time,journal,doi_info,authors,key words,title,abstract
2024 May 24,Nature communications,Nat Commun. 2024 May 24;15(1):4417. doi: 10.1038/s41467-024-48394-y.,"['Keener, Rebecca', 'Chhetri, Surya B', 'Connelly, Carla J', 'Taub, Margaret A', 'Conomos, Matthew P', 'Weinstock, Joshua', 'Ni, Bohan', 'Strober, Benjamin', 'Aslibekyan, Stella', 'Auer, Paul L', 'Barwick, Lucas', 'Becker, Lewis C', 'Blangero, John', 'Bleecker, Eugene R', 'Brody, Jennifer A', 'Cade, Brian E', 'Celedon, Juan C', 'Chang, Yi-Cheng', 'Cupples, L Adrienne', 'Custer, Brian', 'Freedman, Barry I', 'Gladwin, Mark T', 'Heckbert, Susan R', 'Hou, Lifang', 'Irvin, Marguerite R', 'Isasi, Carmen R', 'Johnsen, Jill M', 'Kenny, Eimear E', 'Kooperberg, Charles', 'Minster, Ryan L', 'Naseri, Take', ""Viali, Satupa'itea"", 'Nekhai, Sergei', 'Pankratz, Nathan', 'Peyser, Patricia A', 'Taylor, Kent D', 'Telen, Marilyn J', 'Wu, Baojun', 'Yanek, Lisa R', 'Yang, Ivana V', 'Albert, Christine', 'Arnett, Donna K', 'Ashley-Koch, Allison E', 'Barnes, Kathleen C', 'Bis, Joshua C', 'Blackwell, Thomas W', 'Boerwinkle, Eric', 'Burchard, Esteban G', 'Carson, April P', 'Chen, Zhanghua', 'Chen, Yii-Der Ida', 'Darbar, Dawood', 'de Andrade, Mariza', 'Ellinor, Patrick T', 'Fornage, Myriam', 'Gelb, Bruce D', 'Gilliland, Frank D', 'He, Jiang', 'Islam, Talat', 'Kaab, Stefan', 'Kardia, Sharon L R', 'Kelly, Shannon', 'Konkle, Barbara A', 'Kumar, Rajesh', 'Loos, Ruth J F', 'Martinez, Fernando D', 'McGarvey, Stephen T', 'Meyers, Deborah A', 'Mitchell, Braxton D', 'Montgomery, Courtney G', 'North, Kari E', 'Palmer, Nicholette D', 'Peralta, Juan M', 'Raby, Benjamin A', 'Redline, Susan', 'Rich, Stephen S', 'Roden, Dan', 'Rotter, Jerome I', 'Ruczinski, Ingo', 'Schwartz, David', 'Sciurba, Frank', 'Shoemaker, M Benjamin', 'Silverman, Edwin K', 'Sinner, Moritz F', 'Smith, Nicholas L', 'Smith, Albert V', 'Tiwari, Hemant K', 'Vasan, Ramachandran S', 'Weiss, Scott T', 'Williams, L Keoki', 'Zhang, Yingze', 'Ziv, Elad', 'Raffield, Laura M', 'Reiner, Alexander P', 'Arvanitis, Marios', 'Greider, Carol W', 'Mathias, Rasika A', 'Battle, Alexis']","['humans', ' genome-wide association study', ' telomere genetics metabolism', 'k562 cells', ' telomere homeostasis genetics', 'polymorphism, single nucleotide', 'gene expression regulation', 'crispr-cas systems']",Validation of human telomere length multi-ancestry meta-analysis association signals identifies POP5 and KBTBD6 as human telomere length regulation genes.,"Genome-wide association studies (GWAS) have become well-powered to detect loci associated with telomere length. However, no prior work has validated genes nominated by GWAS to examine their role in telomere length regulation. We conducted a multi-ancestry meta-analysis of 211,369 individuals and identified five novel association signals. Enrichment analyses of chromatin state and cell-type heritability suggested that blood/immune cells are the most relevant cell type to examine telomere length association signals. We validated specific GWAS associations by overexpressing KBTBD6 or POP5 and demonstrated that both lengthened telomeres. CRISPR/Cas9 deletion of the predicted causal regions in K562 blood cells reduced expression of these genes, demonstrating that these loci are related to transcriptional regulation of KBTBD6 and POP5. Our results demonstrate the utility of telomere length GWAS in the identification of telomere length regulation mechanisms and validate KBTBD6 and POP5 as genes affecting telomere length regulation."
2024 May 24,"Science (New York, N.Y.)",Science. 2024 May 24;384(6698):eadh1938. doi: 10.1126/science.adh1938. Epub 2024 ,"['Huuki-Myers, Louise A', 'Spangler, Abby', 'Eagles, Nicholas J', 'Montgomery, Kelsey D', 'Kwon, Sang Ho', 'Guo, Boyi', 'Grant-Peters, Melissa', 'Divecha, Heena R', 'Tippani, Madhavi', 'Sriworarat, Chaichontat', 'Nguyen, Annie B', 'Ravichandran, Prashanthi', 'Tran, Matthew N', 'Seyedian, Arta', 'Hyde, Thomas M', 'Kleinman, Joel E', 'Battle, Alexis', 'Page, Stephanie C', 'Ryten, Mina', 'Hicks, Stephanie C', 'Martinowich, Keri', 'Collado-Torres, Leonardo', 'Maynard, Kristen R']","['adult', 'humans', 'cell communication', ' dorsolateral prefrontal cortex metabolism', 'gene expression profiling', 'neurons metabolism physiology', 'rna-seq', 'sequence analysis, rna', ' single-cell analysis', ' transcriptome']",A data-driven single-cell and spatial transcriptomic map of the human prefrontal cortex.,"The molecular organization of the human neocortex historically has been studied in the context of its histological layers. However, emerging spatial transcriptomic technologies have enabled unbiased identification of transcriptionally defined spatial domains that move beyond classic cytoarchitecture. We used the Visium spatial gene expression platform to generate a data-driven molecular neuroanatomical atlas across the anterior-posterior axis of the human dorsolateral prefrontal cortex. Integration with paired single-nucleus RNA-sequencing data revealed distinct cell type compositions and cell-cell interactions across spatial domains. Using PsychENCODE and publicly available data, we mapped the enrichment of cell types and genes associated with neuropsychiatric disorders to discrete spatial domains."
2024 Mar 26,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Mar 26:2024.03.22.24304565. doi: ,"['Jensen, Tanner D', 'Ni, Bohan', 'Reuter, Chloe M', 'Gorzynski, John E', 'Fazal, Sarah', 'Bonner, Devon', 'Ungar, Rachel A', 'Goddard, Pagé C', 'Raja, Archana', 'Ashley, Euan A', 'Bernstein, Jonathan A', 'Zuchner, Stephan', 'Greicius, Michael D', 'Montgomery, Stephen B', 'Schatz, Michael C', 'Wheeler, Matthew T', 'Battle, Alexis']",[],Integration of transcriptomics and long-read genomics prioritizes structural variants in rare disease.,"Rare structural variants (SVs) - insertions, deletions, and complex rearrangements - can cause Mendelian disease, yet they remain difficult to accurately detect and interpret. We sequenced and analyzed Oxford Nanopore long-read genomes of 68 individuals from the Undiagnosed Disease Network (UDN) with no previously identified diagnostic mutations from short-read sequencing. Using our optimized SV detection pipelines and 571 control long-read genomes, we detected 716 long-read rare (MAF < 0.01) SV alleles per genome on average, achieving a 2.4x increase from short-reads. To characterize the functional effects of rare SVs, we assessed their relationship with gene expression from blood or fibroblasts from the same individuals, and found that rare SVs overlapping enhancers were enriched (LOR = 0.46) near expression outliers. We also evaluated tandem repeat expansions (TREs) and found 14 rare TREs per genome; notably these TREs were also enriched near overexpression outliers. To prioritize candidate functional SVs, we developed Watershed-SV, a probabilistic model that integrates expression data with SV-specific genomic annotations, which significantly outperforms baseline models that don't incorporate expression data. Watershed-SV identified a median of eight high-confidence functional SVs per UDN genome. Notably, this included compound heterozygous deletions in FAM177A1 shared by two siblings, which were likely causal for a rare neurodevelopmental disorder. Our observations demonstrate the promise of integrating long-read sequencing with gene expression towards improving the prioritization of functional SVs and TREs in rare disease patients."
2022,F1000Research,F1000Res. 2024 Feb 29;11:1460. doi: 10.12688/f1000research.126215.2. eCollection ,"['Shapiro, Benjamin D', 'Battle, Alexis']","['humans', 'female', 'bayes theorem', ' algorithms', ' breast neoplasms', 'cluster analysis', 'bayesian models', 'clustering', 'gene expression', 'methylation', 'multi-omics', 'multi-view', 'public health']",Bayesian Multi-View Clustering given complex inter-view structure.,"Multi-view datasets are becoming increasingly prevalent. These datasets consist of different modalities that provide complementary characterizations of the same underlying system. They can include heterogeneous types of information with complex relationships, varying degrees of missingness, and assorted sample sizes, as is often the case in multi-omic biological studies. Clustering multi-view data allows us to leverage different modalities to infer underlying systematic structure, but most existing approaches are limited to contexts in which entities are the same across views or have clear one-to-one relationships across data types with a common sample size. Many methods also make strong assumptions about the similarities of clusterings across views. We propose a Bayesian multi-view clustering approach (BMVC) which can handle the realities of multi-view datasets that often have complex relationships and diverse structure. BMVC incorporates known and complex many-to-many relationships between entities via a probabilistic graphical model that enables the joint inference of clusterings specific to each view, but where each view informs the others. Additionally, BMVC estimates the strength of the relationships between each pair of views, thus moderating the degree to which it imposes dependence constraints. We benchmarked BMVC on simulated data to show that it accurately estimates varying degrees of inter-view dependence when inter-view relationships are not limited to one-to-one correspondence. Next, we demonstrated its ability to capture visually interpretable inter-view structure in a public health survey of individuals and households in Puerto Rico following Hurricane Maria. Finally, we showed that BMVC clusters integrate the complex relationships between multi-omic profiles of breast cancer patient data, improving the biological homogeneity of clusters and elucidating hypotheses for functional biological mechanisms. We found that BMVC leverages complex inter-view structure to produce higher quality clusters than those generated by standard approaches. We also showed that BMVC is a valuable tool for real-world discovery and hypothesis generation."
2024 May,Journal of the American Geriatrics Society,J Am Geriatr Soc. 2024 May;72(5):1602-1604. doi: 10.1111/jgs.18804. Epub 2024 Feb ,"['Li, Rose M', 'Abadir, Peter M', 'Battle, Alexis', 'Chellappa, Rama', 'Choudhry, Niteesh K', 'Demiris, George', 'Ganesan, Deepak', 'Karlawish, Jason', 'Moore, Jason H', 'Walston, Jeremy D']","[' artificial intelligence', 'humans', 'geriatrics']",Artificial intelligence and technology collaboratories: Empowering innovation in AI + AgeTech.,
2024 Jan 23,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 23:2024.01.20.576447. doi: ,"['Ravichandran, Prashanthi', 'Parsana, Princy', 'Keener, Rebecca', 'Hansen, Kaspar D', 'Battle, Alexis']","['complex trait heritability', 'context-specificity', 'data aggregation', 'gtex', 'gene co-expression networks (gcns)', 'graphical lasso', 'public rna-seq data', 'sra', 'tcga', 'recount3', 's-ldsc']",Aggregation of recount3 RNA-seq data improves inference of consensus and tissue-specific gene co-expression networks.,"BACKGROUND: Gene co-expression networks (GCNs) describe relationships among expressed genes key to maintaining cellular identity and homeostasis. However, the small sample size of typical RNA-seq experiments which is several orders of magnitude fewer than the number of genes is too low to infer GCNs reliably. recount3, a publicly available dataset comprised of 316,443 uniformly processed human RNA-seq samples, provides an opportunity to improve power for accurate network reconstruction and obtain biological insight from the resulting networks. RESULTS: We compared alternate aggregation strategies to identify an optimal workflow for GCN inference by data aggregation and inferred three consensus networks: a universal network, a non-cancer network, and a cancer network in addition to 27 tissue context-specific networks. Central network genes from our consensus networks were enriched for evolutionarily constrained genes and ubiquitous biological pathways, whereas central context-specific network genes included tissue-specific transcription factors and factorization based on the hubs led to clustering of related tissue contexts. We discovered that annotations corresponding to context-specific networks inferred from aggregated data were enriched for trait heritability beyond known functional genomic annotations and were significantly more enriched when we aggregated over a larger number of samples. CONCLUSION: This study outlines best practices for network GCN inference and evaluation by data aggregation. We recommend estimating and regressing confounders in each data set before aggregation and prioritizing large sample size studies for GCN reconstruction. Increased statistical power in inferring context-specific networks enabled the derivation of variant annotations that were enriched for concordant trait heritability independent of functional genomic annotations that are context-agnostic. While we observed strictly increasing held-out log-likelihood with data aggregation, we noted diminishing marginal improvements. Future directions aimed at alternate methods for estimating confounders and integrating orthogonal information from modalities such as Hi-C and ChIP-seq can further improve GCN inference."
2024 Apr,Alzheimer's & dementia : the journal of the Alzheimer's Association,Alzheimers Dement. 2024 Apr;20(4):3074-3079. doi: 10.1002/alz.13710. Epub 2024 ,"['Abadir, Peter', 'Oh, Esther', 'Chellappa, Rama', 'Choudhry, Niteesh', 'Demiris, George', 'Ganesan, Deepak', 'Karlawish, Jason', 'Marlin, Benjamin', 'Li, Rose M', 'Dehak, Najim', 'Arbaje, Alicia', 'Unberath, Mathias', 'Cudjoe, Thomas', 'Chute, Christopher', 'Moore, Jason H', 'Phan, Phillip', 'Samus, Quincy', 'Schoenborn, Nancy L', 'Battle, Alexis', 'Walston, Jeremy D']","['united states', 'humans', 'aged', ' alzheimer disease therapy', 'artificial intelligence', 'geroscience', 'quality of life', 'technology', ' isothiocyanates', ""alzheimer's disease"", 'artificial intelligence', 'healthy aging', 'machine learning', 'older adults', 'pilot studies', 'technology']",Artificial Intelligence and Technology Collaboratories: Innovating aging research and Alzheimer's care.,"This perspective outlines the Artificial Intelligence and Technology Collaboratories (AITC) at Johns Hopkins University, University of Pennsylvania, and University of Massachusetts, highlighting their roles in developing AI-based technologies for older adult care, particularly targeting Alzheimer's disease (AD). These National Institute on Aging (NIA) centers foster collaboration among clinicians, gerontologists, ethicists, business professionals, and engineers to create AI solutions. Key activities include identifying technology needs, stakeholder engagement, training, mentoring, data integration, and navigating ethical challenges. The objective is to apply these innovations effectively in real-world scenarios, including in rural settings. In addition, the AITC focuses on developing best practices for AI application in the care of older adults, facilitating pilot studies, and addressing ethical concerns related to technology development for older adults with cognitive impairment, with the ultimate aim of improving the lives of older adults and their caregivers. HIGHLIGHTS: Addressing the complex needs of older adults with Alzheimer's disease (AD) requires a comprehensive approach, integrating medical and social support. Current gaps in training, techniques, tools, and expertise hinder uniform access across communities and health care settings. Artificial intelligence (AI) and digital technologies hold promise in transforming care for this demographic. Yet, transitioning these innovations from concept to marketable products presents significant challenges, often stalling promising advancements in the developmental phase. The Artificial Intelligence and Technology Collaboratories (AITC) program, funded by the National Institute on Aging (NIA), presents a viable model. These Collaboratories foster the development and implementation of AI methods and technologies through projects aimed at improving care for older Americans, particularly those with AD, and promote the sharing of best practices in AI and technology integration. Why Does This Matter? The National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratories (AITC) program's mission is to accelerate the adoption of artificial intelligence (AI) and new technologies for the betterment of older adults, especially those with dementia. By bridging scientific and technological expertise, fostering clinical and industry partnerships, and enhancing the sharing of best practices, this program can significantly improve the health and quality of life for older adults with Alzheimer's disease (AD)."
2024 Jan 22,Genome biology,Genome Biol. 2024 Jan 22;25(1):28. doi: 10.1186/s13059-023-03152-z.,"['Strober, Benjamin J', 'Tayeb, Karl', 'Popp, Joshua', 'Qi, Guanghao', 'Gordon, M Grace', 'Perez, Richard', 'Ye, Chun Jimmie', 'Battle, Alexis']","[' gene expression profiling', ' gene expression regulation', 'quantitative trait loci', 'transcriptome', 'sequence analysis, rna', 'single-cell transcriptomics', 'eqtl']",SURGE: uncovering context-specific genetic-regulation of gene expression from single-cell RNA sequencing using latent-factor models.,"Genetic regulation of gene expression is a complex process, with genetic effects known to vary across cellular contexts such as cell types and environmental conditions. We developed SURGE, a method for unsupervised discovery of context-specific expression quantitative trait loci (eQTLs) from single-cell transcriptomic data. This allows discovery of the contexts or cell types modulating genetic regulation without prior knowledge. Applied to peripheral blood single-cell eQTL data, SURGE contexts capture continuous representations of distinct cell types and groupings of biologically related cell types. We demonstrate the disease-relevance of SURGE context-specific eQTLs using colocalization analysis and stratified LD-score regression."
2023 Nov 8,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 8:2023.11.04.565639. doi: 10.1101/2023.11.04.565639.,"['Taylor, Dylan J', 'Chhetri, Surya B', 'Tassia, Michael G', 'Biddanda, Arjun', 'Battle, Alexis', 'McCoy, Rajiv C']",[],Sources of gene expression variation in a globally diverse human cohort.,"Genetic variation influencing gene expression and splicing is a key source of phenotypic diversity. Though invaluable, studies investigating these links in humans have been strongly biased toward participants of European ancestries, diminishing generalizability and hindering evolutionary research. To address these limitations, we developed MAGE, an open-access RNA-seq data set of lymphoblastoid cell lines from 731 individuals from the 1000 Genomes Project spread across 5 continental groups and 26 populations. Most variation in gene expression (92%) and splicing (95%) was distributed within versus between populations, mirroring variation in DNA sequence. We mapped associations between genetic variants and expression and splicing of nearby genes (cis-eQTLs and cis-sQTLs, respective), identifying >15,000 putatively causal eQTLs and >16,000 putatively causal sQTLs that are enriched for relevant epigenomic signatures. These include 1310 eQTLs and 1657 sQTLs that are largely private to previously underrepresented populations. Our data further indicate that the magnitude and direction of causal eQTL effects are highly consistent across populations and that apparent ""population-specific"" effects observed in previous studies were largely driven by low resolution or additional independent eQTLs of the same genes that were not detected. Together, our study expands understanding of gene expression diversity across human populations and provides an inclusive resource for studying the evolution and function of human genomes."
2023 Oct 11,Cell genomics,Cell Genom. 2023 Sep 6;3(10):100401. doi: 10.1016/j.xgen.2023.100401. eCollection ,"['Li, Taibo', 'Ferraro, Nicole', 'Strober, Benjamin J', 'Aguet, Francois', 'Kasela, Silva', 'Arvanitis, Marios', 'Ni, Bohan', 'Wiel, Laurens', 'Hershberg, Elliot', 'Ardlie, Kristin', 'Arking, Dan E', 'Beer, Rebecca L', 'Brody, Jennifer', 'Blackwell, Thomas W', 'Clish, Clary', 'Gabriel, Stacey', 'Gerszten, Robert', 'Guo, Xiuqing', 'Gupta, Namrata', 'Johnson, W Craig', 'Lappalainen, Tuuli', 'Lin, Henry J', 'Liu, Yongmei', 'Nickerson, Deborah A', 'Papanicolaou, George', 'Pritchard, Jonathan K', 'Qasba, Pankaj', 'Shojaie, Ali', 'Smith, Josh', 'Sotoodehnia, Nona', 'Taylor, Kent D', 'Tracy, Russell P', 'Van Den Berg, David', 'Wheeler, Matthew T', 'Rich, Stephen S', 'Rotter, Jerome I', 'Battle, Alexis', 'Montgomery, Stephen B']","['functional genomics', 'machine learning', 'methylome', 'multi-omics', 'proteome', 'rare variants', 'transcriptome']",The functional impact of rare variation across the regulatory cascade.,"Each human genome has tens of thousands of rare genetic variants; however, identifying impactful rare variants remains a major challenge. We demonstrate how use of personal multi-omics can enable identification of impactful rare variants by using the Multi-Ethnic Study of Atherosclerosis, which included several hundred individuals, with whole-genome sequencing, transcriptomes, methylomes, and proteomes collected across two time points, 10 years apart. We evaluated each multi-omics phenotype's ability to separately and jointly inform functional rare variation. By combining expression and protein data, we observed rare stop variants 62 times and rare frameshift variants 216 times as frequently as controls, compared to 13-27 times as frequently for expression or protein effects alone. We extended a Bayesian hierarchical model, ""Watershed,"" to prioritize specific rare variants underlying multi-omics signals across the regulatory cascade. With this approach, we identified rare variants that exhibited large effect sizes on multiple complex traits including height, schizophrenia, and Alzheimer's disease."
2023 Oct 9,Nature communications,Nat Commun. 2023 Oct 9;14(1):6317. doi: 10.1038/s41467-023-42016-9.,"['Qi, Guanghao', 'Strober, Benjamin J', 'Popp, Joshua M', 'Keener, Rebecca', 'Ji, Hongkai', 'Battle, Alexis']","['humans', 'alleles', ' gene expression regulation', 'cell differentiation genetics', 'computer simulation', ' diabetes mellitus, type 2 metabolism', 'single-cell analysis methods', 'sequence analysis, rna methods', 'gene expression profiling methods']",Single-cell allele-specific expression analysis reveals dynamic and cell-type-specific regulatory effects.,"Differential allele-specific expression (ASE) is a powerful tool to study context-specific cis-regulation of gene expression. Such effects can reflect the interaction between genetic or epigenetic factors and a measured context or condition. Single-cell RNA sequencing (scRNA-seq) allows the measurement of ASE at individual-cell resolution, but there is a lack of statistical methods to analyze such data. We present Differential Allelic Expression using Single-Cell data (DAESC), a powerful method for differential ASE analysis using scRNA-seq from multiple individuals, with statistical behavior confirmed through simulation. DAESC accounts for non-independence between cells from the same individual and incorporates implicit haplotype phasing. Application to data from 105 induced pluripotent stem cell (iPSC) lines identifies 657 genes dynamically regulated during endoderm differentiation, with enrichment for changes in chromatin state. Application to a type-2 diabetes dataset identifies several differentially regulated genes between patients and controls in pancreatic endocrine cells. DAESC is a powerful method for single-cell ASE analysis and can uncover novel insights on gene regulation."
2023 Oct 24,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Oct 24:2023.09.17.557749. doi: ,"['Weinstock, Joshua S', 'Arce, Maya M', 'Freimer, Jacob W', 'Ota, Mineto', 'Marson, Alexander', 'Battle, Alexis', 'Pritchard, Jonathan K']",[],Gene regulatory network inference from CRISPR perturbations in primary CD4+ T cells elucidates the genomic basis of immune disease.,"The effects of genetic variation on complex traits act mainly through changes in gene regulation. Although many genetic variants have been linked to target genes in cis, the trans-regulatory cascade mediating their effects remains largely uncharacterized. Mapping trans-regulators based on natural genetic variation, including eQTL mapping, has been challenging due to small effects. Experimental perturbation approaches offer a complementary and powerful approach to mapping trans-regulators. We used CRISPR knockouts of 84 genes in primary CD4+ T cells to perturb an immune cell gene network, targeting both inborn error of immunity (IEI) disease transcription factors (TFs) and background TFs matched in constraint and expression level, but without a known immune disease association. We developed a novel Bayesian structure learning method called Linear Latent Causal Bayes (LLCB) to estimate the gene regulatory network from perturbation data and observed 211 directed edges among the genes which could not be detected in existing CD4+ trans-eQTL data. We used LLCB to characterize the differences between the IEI and background TFs, finding that the gene groups were highly interconnected, but that IEI TFs were much more likely to regulate immune cell specific pathways and immune GWAS genes. We further characterized nine coherent gene programs based on downstream effects of the TFs and linked these modules to regulation of GWAS genes, finding that canonical JAK-STAT family members are regulated by KMT2A, a global epigenetic regulator. These analyses reveal the trans-regulatory cascade from upstream epigenetic regulator to intermediate TFs to downstream effector cytokines and elucidate the logic linking immune GWAS genes to key signaling pathways."
2023 Mar 7,Nature communications,Nat Commun. 2023 Mar 7;14(1):1271. doi: 10.1038/s41467-023-36862-w.,"['Dai, Qile', 'Zhou, Geyu', 'Zhao, Hongyu', 'Võsa, Urmo', 'Franke, Lude', 'Battle, Alexis', 'Teumer, Alexander', 'Lehtimäki, Terho', 'Raitakari, Olli T', 'Esko, Tõnu', 'Epstein, Michael P', 'Yang, Jingjing']","['animals', ' otters', 'multifactorial inheritance', 'risk factors', 'sample size', 'transcriptome']",OTTERS: a powerful TWAS framework leveraging summary-level reference data.,"Most existing TWAS tools require individual-level eQTL reference data and thus are not applicable to summary-level reference eQTL datasets. The development of TWAS methods that can harness summary-level reference data is valuable to enable TWAS in broader settings and enhance power due to increased reference sample size. Thus, we develop a TWAS framework called OTTERS (Omnibus Transcriptome Test using Expression Reference Summary data) that adapts multiple polygenic risk score (PRS) methods to estimate eQTL weights from summary-level eQTL reference data and conducts an omnibus TWAS. We show that OTTERS is a practical and powerful TWAS tool by both simulations and application studies."
2023 Feb 15,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Feb 15:2023.02.15.528722. doi: ,"['Huuki-Myers, Louise', 'Spangler, Abby', 'Eagles, Nick', 'Montgomery, Kelsey D', 'Kwon, Sang Ho', 'Guo, Boyi', 'Grant-Peters, Melissa', 'Divecha, Heena R', 'Tippani, Madhavi', 'Sriworarat, Chaichontat', 'Nguyen, Annie B', 'Ravichandran, Prashanthi', 'Tran, Matthew N', 'Seyedian, Arta', 'Hyde, Thomas M', 'Kleinman, Joel E', 'Battle, Alexis', 'Page, Stephanie C', 'Ryten, Mina', 'Hicks, Stephanie C', 'Martinowich, Keri', 'Collado-Torres, Leonardo', 'Maynard, Kristen R']",[],Integrated single cell and unsupervised spatial transcriptomic analysis defines molecular anatomy of the human dorsolateral prefrontal cortex.,"Generation of a molecular neuroanatomical map of the human prefrontal cortex reveals novel spatial domains and cell-cell interactions relevant for psychiatric disease. The molecular organization of the human neocortex has been historically studied in the context of its histological layers. However, emerging spatial transcriptomic technologies have enabled unbiased identification of transcriptionally-defined spatial domains that move beyond classic cytoarchitecture. Here we used the Visium spatial gene expression platform to generate a data-driven molecular neuroanatomical atlas across the anterior-posterior axis of the human dorsolateral prefrontal cortex (DLPFC). Integration with paired single nucleus RNA-sequencing data revealed distinct cell type compositions and cell-cell interactions across spatial domains. Using PsychENCODE and publicly available data, we map the enrichment of cell types and genes associated with neuropsychiatric disorders to discrete spatial domains. Finally, we provide resources for the scientific community to explore these integrated spatial and single cell datasets at research.libd.org/spatialDLPFC/."
2023 Mar,Nature methods,Nat Methods. 2023 Mar;20(3):408-417. doi: 10.1038/s41592-022-01753-3. Epub 2023 ,"['Kirsche, Melanie', 'Prabhu, Gautam', 'Sherman, Rachel', 'Ni, Bohan', 'Battle, Alexis', 'Aganezov, Sergey', 'Schatz, Michael C']","['humans', ' jasminum', 'genome', 'sequence analysis', 'genotype', 'iris', 'sequence analysis, dna methods', 'genome, human', 'high-throughput nucleotide sequencing methods', 'software']",Jasmine and Iris: population-scale structural variant comparison and analysis.,"The availability of long reads is revolutionizing studies of structural variants (SVs). However, because SVs vary across individuals and are discovered through imprecise read technologies and methods, they can be difficult to compare. Addressing this, we present Jasmine and Iris ( https://github.com/mkirsche/Jasmine/ ), for fast and accurate SV refinement, comparison and population analysis. Using an SV proximity graph, Jasmine outperforms six widely used comparison methods, including reducing the rate of Mendelian discordance in trio datasets by more than fivefold, and reveals a set of high-confidence de novo SVs confirmed by multiple technologies. We also present a unified callset of 122,813 SVs and 82,379 indels from 31 samples of diverse ancestry sequenced with long reads. We genotype these variants in 1,317 samples from the 1000 Genomes Project and the Genotype-Tissue Expression project with DNA and RNA-sequencing data and assess their widespread impact on gene expression, including within medically relevant genes."
2023 Dec 15,"Biostatistics (Oxford, England)",Biostatistics. 2023 Dec 15;25(1):270-287. doi: 10.1093/biostatistics/kxac047.,"['Neufeld, Anna', 'Gao, Lucy L', 'Popp, Joshua', 'Battle, Alexis', 'Witten, Daniela']","['humans', ' computer simulation', 'sequence analysis, rna', 'binomial thinning', 'clustering', 'poisson', 'pseudotime', 'sample splitting', 'selective inference']",Inference after latent variable estimation for single-cell RNA sequencing data.,"In the analysis of single-cell RNA sequencing data, researchers often characterize the variation between cells by estimating a latent variable, such as cell type or pseudotime, representing some aspect of the cell's state. They then test each gene for association with the estimated latent variable. If the same data are used for both of these steps, then standard methods for computing p-values in the second step will fail to achieve statistical guarantees such as Type 1 error control. Furthermore, approaches such as sample splitting that can be applied to solve similar problems in other settings are not applicable in this context. In this article, we introduce count splitting, a flexible framework that allows us to carry out valid inference in this setting, for virtually any latent variable estimation technique and inference approach, under a Poisson assumption. We demonstrate the Type 1 error control and power of count splitting in a simulation study and apply count splitting to a data set of pluripotent stem cells differentiating to cardiomyocytes."
2022 Nov 7,Genome medicine,Genome Med. 2022 Nov 7;14(1):125. doi: 10.1186/s13073-022-01124-9.,"['Hawe, Johann S', 'Saha, Ashis', 'Waldenberger, Melanie', 'Kunze, Sonja', 'Wahl, Simone', 'Müller-Nurasyid, Martina', 'Prokisch, Holger', 'Grallert, Harald', 'Herder, Christian', 'Peters, Annette', 'Strauch, Konstantin', 'Theis, Fabian J', 'Gieger, Christian', 'Chambers, John', 'Battle, Alexis', 'Heinig, Matthias']","['humans', ' quantitative trait loci', ' transcriptome', 'gene regulatory networks', 'data integration', 'machine learning', 'multi-omics', 'network inference', 'personalized medicine', 'prior information', 'simulation', 'systems biology']",Network reconstruction for trans acting genetic loci using multi-omics data and prior information.,"BACKGROUND: Molecular measurements of the genome, the transcriptome, and the epigenome, often termed multi-omics data, provide an in-depth view on biological systems and their integration is crucial for gaining insights in complex regulatory processes. These data can be used to explain disease related genetic variants by linking them to intermediate molecular traits (quantitative trait loci, QTL). Molecular networks regulating cellular processes leave footprints in QTL results as so-called trans-QTL hotspots. Reconstructing these networks is a complex endeavor and use of biological prior information can improve network inference. However, previous efforts were limited in the types of priors used or have only been applied to model systems. In this study, we reconstruct the regulatory networks underlying trans-QTL hotspots using human cohort data and data-driven prior information. METHODS: We devised a new strategy to integrate QTL with human population scale multi-omics data. State-of-the art network inference methods including BDgraph and glasso were applied to these data. Comprehensive prior information to guide network inference was manually curated from large-scale biological databases. The inference approach was extensively benchmarked using simulated data and cross-cohort replication analyses. Best performing methods were subsequently applied to real-world human cohort data. RESULTS: Our benchmarks showed that prior-based strategies outperform methods without prior information in simulated data and show better replication across datasets. Application of our approach to human cohort data highlighted two novel regulatory networks related to schizophrenia and lean body mass for which we generated novel functional hypotheses. CONCLUSIONS: We demonstrate that existing biological knowledge can improve the integrative analysis of networks underlying trans associations and generate novel hypotheses about regulatory mechanisms."
