time,journal,doi_info,authors,key words,title,abstract
2024 Apr 16,Analytical chemistry,Anal Chem. 2024 Apr 16;96(15):5976-5984. doi: 10.1021/acs.analchem.4c00240. Epub ,"['Tsuchiya, Hiroki', 'Nakamura, Noriko', 'Ohta, Seiichi']","[' metal nanoparticles', 'gold', 'dynamic light scattering', 'biological transport', ' fractionation, field flow methods']",Centrifugal Field-Flow Fractionation Enables Detection of Slight Aggregation of Nanoparticles That Impacts Their Biomedical Applications.,"Nanoparticles (NPs) are anticipated to be used for various biomedical applications in which their aggregation has been an important issue. However, concerns regarding slightly aggregated but apparently monodispersed NPs have been difficult to address because of a lack of appropriate evaluation methods. Here, we report centrifugal field-flow fractionation (CF3) as a powerful method for analyzing the slight aggregation of NPs, using antibody-modified gold NPs (Ab-AuNPs) prepared by a conventional protocol with centrifugal purification as a model. While common evaluation methods such as dynamic light scattering cannot detect significant signs of aggregation, CF3 successfully detects distinct peaks of slightly aggregated NPs, including dimers and trimers. Their impact on biological interactions was also demonstrated by a cellular uptake study: slightly aggregated Ab-AuNPs exhibited 1.8 times higher cellular uptake than monodispersed Ab-AuNPs. These results suggest the importance of aggregate evaluation via CF3 as well as the need for careful attention to the bioconjugation procedures for NPs."
2024 Jun,Current opinion in biotechnology,Curr Opin Biotechnol. 2024 Jun;87:103108. doi: 10.1016/j.copbio.2024.103108. Epub ,"['Nakamura, Noriko', 'Ohta, Seiichi']","[' precision medicine methods', ' nanoparticles chemistry', 'humans', 'surface properties', 'particle size']",Precise control methods of the physicochemical properties of nanoparticles for personalized medicine.,"Biomedical applications of nanoparticles (NPs) have attracted much attention. With the advancement of personalized medicine, researchers are now proposing the concept that the design of NPs needs to be optimized according to the individual patient. To realize this concept, an important question is how precisely we can tailor the physicochemical properties of NPs, such as size, shape, and surface chemistry, using current technology. This review discusses recent advances and challenges in the precise control of the size, shape, and surface chemistry of NPs. While control methods have advanced significantly over the past 20 years, the size, shape, and surface chemistry of currently available NPs vary by type, requiring careful selection based on the targeted disease, organ, and patient."
2024 Mar 12,Biomaterials science,Biomater Sci. 2024 Mar 12;12(6):1454-1464. doi: 10.1039/d3bm01279d.,"['Chandel, Arvind K Singh', 'Sreedevi Madhavikutty, Athira', 'Okada, Saki', 'Qiming, Zhang', 'Inagaki, Natsuko F', 'Ohta, Seiichi', 'Ito, Taichi']","['animals', 'swine', ' tissue adhesives', 'hyaluronic acid chemistry', 'diazomethane', 'polyethyleneimine', 'hydrogels chemistry', 'fibrin tissue adhesive']","Injectable, shear-thinning, photocrosslinkable, and tissue-adhesive hydrogels composed of diazirine-modified hyaluronan and dendritic polyethyleneimine.","In the present study, we report the first synthesis of diazirine-modified hyaluronic acid (HA-DAZ). In addition, we also produced a precursor polymer solution composed of HA-DAZ and dendritic polyethyleneimine (DPI) that showed strong shear-thinning properties. Furthermore, its viscosity was strongly reduced (i.e., from 5 × 10(5) mPa s at 10(-3) s(-1) to 6 × 10(1) mPa s at 10(3) s(-1)), substantially, which enhanced solution injectability using a 21 G needle. After ultraviolet irradiation at 365 nm and 6 mW cm(-2), the HA-DAZ/DPI solution achieved rapid gelation, as measured using the stirring method, and its gelation time decreased from 200 s to 9 s as the total concentrations of HA-DAZ and DPI increased. Following UV irradiation, the storage modulus increased from 40 to 200 Pa. In addition, reversible sol-gel transition and self-healing properties were observed even after UV irradiation. This suggests that the HA-DAZ/DPI hydrogel was crosslinked in multiple ways, i.e., via covalent bonding between the diazirine and amine groups and via intermolecular interactions, including hydrogen bonding, electrostatic interactions, and hydrophobic interactions. A lap shear test showed that the HA-DAZ/DPI hydrogel exhibited strong adhesiveness as a fibrin glue following UV irradiation. Finally, the HA-DAZ/DPI hydrogel showed higher tissue reinforcement than fibrin glue in an ex vivo burst pressure test of the porcine esophageal mucosa."
2023 Oct 10,Biomaterials science,Biomater Sci. 2023 Oct 10;11(20):6781-6789. doi: 10.1039/d3bm00887h.,"['Pan, Qi', 'Tsuji, Yosuke', 'Sreedevi Madhavikutty, Athira', 'Ohta, Seiichi', 'Fujisawa, Ayano', 'Inagaki, Natsuko F', 'Fujishiro, Mitsuhiro', 'Ito, Taichi']","['rats', 'animals', 'swine', ' esophageal stenosis prevention & control etiology', 'gelatin', 'powders', 'constriction, pathologic', 'body weight']",Prevention of esophageal stenosis via in situ cross-linkable alginate/gelatin powder in a new submucosal exfoliation model in rats.,"Endoscopic submucosal dissection (ESD) for the treatment of esophageal mucosal lesions often leads to postoperative stenosis, causing difficulty in swallowing, known as dysphagia. In this study, we developed an in situ cross-linkable powder composed of alginate, gelatin, transglutaminase (TG), and calcium chloride ions (Ca(2+)), which can be administered through a 1.5 m-long and 3.2 mm-diameter endoscopic instrument channel. The powdered mixture of alginate and gelatin quickly formed a hydrogel by absorbing body fluids and was cross-linked by TG and Ca(2+), which adhered ex vivo to porcine submucosal layers for over 2 weeks. In addition, we developed a new submucosal exfoliation model in rats that induced severe stenosis, similar to the ESD-induced stenosis models in clinical practice. When administered to the new rat model, the powder system effectively reduced the severity of esophageal stenosis based on body weight change monitoring, anatomical findings, and histological analysis. The body weight of the rats was maintained at the initial weight on postoperative day 14 (POD14), and epithelialization on POD7 and 14 improved to almost 100%. Additionally, collagen accumulation and the number of α-SMA-positive cells decreased due to powder administration. Therefore, these findings indicate that the in situ cross-linkable powder can prevent esophageal stenosis after ESD."
2023,Science and technology of advanced materials,Sci Technol Adv Mater. 2023 Feb 28;24(1):2175586. doi: ,"['Sreedevi Madhavikutty, Athira', 'Singh Chandel, Arvind K', 'Tsai, Ching-Cheng', 'Inagaki, Natsuko F', 'Ohta, Seiichi', 'Ito, Taichi']","['self-healing', 'hydrogels', 'muco-adhesion']",pH responsive cationic guar gum-borate self-healing hydrogels for muco-adhesion.,"We developed a new muco-adhesive hydrogel composed of cationic guar gum (CGG) and boric acid (BA). The CGG-BA precursor solution of 0.5-2% w/v concentration exhibited fluidity at low pH (3-5), while gelation occurred within 1 min at physiological pH (7-8) conditions. Scanning electron microscopy and Fourier-transform infrared spectroscopy results confirmed the change in physical and chemical behavior, respectively, with change in pH. The pH-responsive self-healing ability was analyzed through microscopy and rheology. CGG-BA hydrogels showed good self-healing property at pH 7.4. The in vitro biocompatibility test of the hydrogel studied using NIH3T3 and NHEK cells showed that it was non-toxic at concentrations of CGG-BA below 2% w/v. Ex vivo mucoadhesive tests confirmed the hydrogel's potential for use as a muco-adhesive. Burst pressure tests were conducted using pig esophageal mucosa and the results showed that at pH 7.4, 1% w/v CGG-BA self-healable hydrogel resisted about 8 ± 2 kPa pressure, comparable to that of Fibrin glue. This was higher than that at solution (pH 5) and brittle gel (pH 10) conditions. To confirm the good adhesive strength of the self-healable hydrogels, lap shear tests conducted, resulted in adhesive strengths measured in the range of 1.0 ± 0.5-2.0 ± 0.6 kPa, which was also comparable to fibrin glue control 1.8 ± 0.6 kPa. Hydrogel weight measurements showed that 40-80% gel lasted under physiological conditions for 10 h. The results suggest that CGG-BA hydrogel has potential as a pH responsive mucosal protectant biomaterial."
2023 Jan 19,Genes,Genes (Basel). 2023 Jan 19;14(2):259. doi: 10.3390/genes14020259.,"['Fujita, Hideaki', 'Ohta, Seiichi', 'Nakamura, Noriko', 'Somiya, Masaharu', 'Horie, Masanobu']","['humans', 'drug delivery systems methods', ' extracellular vesicles', 'cell communication', ' neoplasms', ' nanoparticles', 'dds', 'extracellular vesicle', 'imaging']",Progress of Endogenous and Exogenous Nanoparticles for Cancer Therapy and Diagnostics.,"The focus of this brief review is to describe the application of nanoparticles, including endogenous nanoparticles (e.g., extracellular vesicles, EVs, and virus capsids) and exogenous nanoparticles (e.g., organic and inorganic materials) in cancer therapy and diagnostics. In this review, we mainly focused on EVs, where a recent study demonstrated that EVs secreted from cancer cells are associated with malignant alterations in cancer. EVs are expected to be used for cancer diagnostics by analyzing their informative cargo. Exogenous nanoparticles are also used in cancer diagnostics as imaging probes because they can be easily functionalized. Nanoparticles are promising targets for drug delivery system (DDS) development and have recently been actively studied. In this review, we introduce nanoparticles as a powerful tool in the field of cancer therapy and diagnostics and discuss issues and future prospects."
2023 Apr,Journal of bioscience and bioengineering,J Biosci Bioeng. 2023 Apr;135(4):341-347. doi: 10.1016/j.jbiosc.2023.01.005. Epub ,"['Nakamura, Noriko', 'Hamada, Risa', 'Kaneko, Hiromasa', 'Ohta, Seiichi']","['humans', ' micrornas genetics metabolism', 'rituximab therapeutic use', ' lymphoma, large b-cell, diffuse drug therapy genetics metabolism', 'cyclophosphamide therapeutic use', 'vincristine therapeutic use', 'doxorubicin therapeutic use', 'antineoplastic combined chemotherapy protocols therapeutic use', 'biomarker signature', 'companion diagnostics', 'diffuse large b-cell lymphoma', 'machine learning', 'mirna']",Selecting optimum miRNA panel for miRNA signature-based companion diagnostic model to predict the response of R-CHOP treatment in diffuse large B-cell lymphoma.,"Diffuse large B-cell lymphoma (DLBCL) is the most common type of malignant lymphoma. Although the first-line treatment, R-CHOP treatment, shows efficacy in approximately 80% of patients with DLBCL, some patients have refractory disease or relapse after the initial response to therapy, resulting in a significantly poorer prognosis. In this study, we developed a microRNA (miRNA) signature-based companion diagnostic model to predict the response of patients with DLBCL to R-CHOP treatment by integrating two clinical study datasets. To select the optimum miRNA combination as a panel, we examined three feature selection methods (p-value-based ranking, stepwise method, and Boruta), together with 11 types of classifiers systematically. Boruta selection enabled a higher area under the curve (AUC) with a lower number of miRNAs compared with other feature selection methods, leading to an AUC of 0.751 via the random forest classifier using 36 miRNAs. Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analysis suggested that Boruta avoided multiple selection of miRNAs with similar functions, thereby preventing the decrease in diagnostic ability via collinearity. The AUC value first increased with an increasing number of miRNAs and then became almost constant at approximately 30 miRNAs, suggesting the existence of the optimum number of miRNAs as a panel for future clinical translation of multiple miRNA-based diagnostics."
2023 Jan 10,ACS omega,ACS Omega. 2022 Dec 23;8(1):1343-1352. doi: 10.1021/acsomega.2c06763. eCollection ,"['Nakamura, Noriko', 'Ohta, Seiichi', 'Yamada, Mariko', 'Suzuki, Yukimitsu', 'Inagaki, Natsuko F', 'Yamaguchi, Takeo', 'Ito, Taichi']",[],Development of a Potassium-Ion-Responsive Star Copolymer with Controlled Aggregation/Dispersion Transition.,"Stimuli-responsive star polymers are promising functional materials whose aggregation, adhesion, and interaction with cells can be altered by applying suitable stimuli. Among several stimuli assessed, the potassium ion (K(+)), which is known to be captured by crown ethers, is of considerable interest because of the role it plays in the body. In this study, a K(+)-responsive star copolymer was developed using a polyglycerol (PG) core and grafted copolymer arms consisting of a thermo-responsive poly(N-isopropylacrylamide) unit, a metal ion-recognizing benzo-18-crown-6-acrylamide unit, and a photoluminescent fluorescein O-methacrylate unit. Via optimization of grafting density and copolymerization ratio of grafted arms, along with the use of hydrophilic hyperbranched core, microsized aggregates with a diameter of 5.5 μm were successfully formed in the absence of K(+) ions without inducing severe sedimentation (the lower critical solution temperature (LCST) was 35.6 °C). In the presence of K(+) ions, these aggregates dispersed due to the shift in LCST (47.2 °C at 160 mM K(+)), which further induced the activation of fluorescence that was quenched in the aggregated state. Furthermore, macrophage targeting based on the micron-sized aggregation state and subsequent fluorescence activation of the developed star copolymers in response to an increase in intracellular K(+) concentration were performed as a potential K(+) probe or K(+)-responsive drug delivery vehicle."
2022 Jun,Biomaterials advances,Biomater Adv. 2022 Jun;137:212825. doi: 10.1016/j.bioadv.2022.212825. Epub 2022 ,"['Singh Chandel, Arvind K', 'Ohta, Seiichi', 'Taniguchi, Machiko', 'Yoshida, Hiromi', 'Tanaka, Daichi', 'Omichi, Kiyohiko', 'Shimizu, Atsushi', 'Isaji, Mitsuko', 'Hasegawa, Kiyoshi', 'Ito, Taichi']","[' alginates pharmacology', 'animals', 'bandages', 'hemostasis', ' hemostatics pharmacology', 'mice', 'rats', 'tissue adhesions prevention & control', 'alginate', 'compression', 'hemostasis', 'hepatectomy', 'peritoneal adhesion', 'sponge']","Balance of antiperitoneal adhesion, hemostasis, and operability of compressed bilayer ultrapure alginate sponges.","In surgery, both antiperitoneal adhesion barriers and hemostats with high efficiency and excellent handling are necessary. However, antiadhesion and hemostasis have been examined separately. In this study, six different ultrapure alginate bilayer sponges with thicknesses of 10, 50, 100, 200, 300, and 500 μm were fabricated via lyophilization and subsequent mechanical compression. Compression significantly enhanced mechanical strength and improved handling. Furthermore, it had a complex effect on dissolution time and contact angle. Therefore, the 100 μm compressed sponge showed the highest hemostatic activity in the liver bleeding model in mice, whereas the 200 μm sponge demonstrated the highest antiadhesion efficacy among the compressed sponges in a Pean crush hepatectomy-induced adhesion model in rats. For the first time, we systematically evaluated the effect of sponge compression on foldability, fluid absorption, mechanical strength, hemostatic effect, and antiadhesion properties. The optimum thickness of an alginate bilayer sponge by compression balances antiperitoneal adhesion and hemostasis simultaneously."
2022 Apr 13,RSC advances,RSC Adv. 2022 Apr 14;12(19):11606-11611. doi: 10.1039/d1ra09101h. eCollection ,"['Nakamura, Noriko', 'Tanaka, Nobuaki', 'Ohta, Seiichi']",[],Facile and wide-range size tuning of conjugated polymer nanoparticles for biomedical applications as a fluorescent probe.,"Conjugated polymer nanoparticles (Pdots) are expected to be novel bioimaging and sensing probes. However, the size tuning required to control biological interactions has not been well established. Herein, we achieved a size-tunable synthesis of Pdots ranging from 30 to 200 nm by controlling the hydrolysis rate of the stabilising agent and evaluated their cellular imaging properties."
2022 Jun,Journal of bioscience and bioengineering,J Biosci Bioeng. 2022 Jun;133(6):509-514. doi: 10.1016/j.jbiosc.2022.03.005. Epub ,"['Horie, Masanobu', 'Yamano-Adachi, Noriko', 'Kawabe, Yoshinori', 'Kaneoka, Hidenori', 'Fujita, Hideaki', 'Nagamori, Eiji', 'Iwai, Ryosuke', 'Sato, Yasushi', 'Kanie, Kei', 'Ohta, Seiichi', 'Somiya, Masaharu', 'Ino, Kosuke']","['animals', 'bioreactors', ' crispr-cas systems', 'cell line', 'gene editing methods', ' genetic engineering', 'humans', 'mammals genetics', 'regenerative medicine', 'animal cell bioreactor', 'antibody production', 'chinese hamster ovary', 'gene editing', 'regenerative medicine']",Recent advances in animal cell technologies for industrial and medical applications.,"The industrial use of living organisms for bioproduction of valued substances has been accomplished mostly using microorganisms. To produce high-value bioproducts such as antibodies that require glycosylation modification for better performance, animal cells have been recently gaining attention in bioengineering because microorganisms are unsuitable for producing such substances. Furthermore, animal cells are now classified as products because a large number of cells are required for use in regenerative medicine. In this article, we review animal cell technologies and the use of animal cells, focusing on useable cell generation and large-scale production of animal cells. We review recent advance in mammalian cell line development because this is the first step in the production of recombinant proteins, and it largely affects the efficacy of the production. We next review genetic engineering technology focusing on CRISPR-Cas system as well as surrounding technologies as these methods have been gaining increasing attention in areas that use animal cells. We further review technologies relating to bioreactors used in the context of animal cells because they are essential for the mass production of target products. We also review tissue engineering technology because tissue engineering is one of the main exits for mass-produced cells; in combination with genetic engineering technology, it can prove to be a promising treatment for patients with genetic diseases after the establishment of induced pluripotent stem cell technology. The technologies highlighted in this review cover brief outline of the recent animal cell technologies related to industrial and medical applications."
2022 Jun 15,Carbohydrate polymers,Carbohydr Polym. 2022 Jun 15;286:119289. doi: 10.1016/j.carbpol.2022.119289. Epub ,"['Ohta, Seiichi', 'Mitsuhashi, Kento', 'Chandel, Arvind K Singh', 'Qi, Pan', 'Nakamura, Noriko', 'Nakamichi, Akiko', 'Yoshida, Hiromi', 'Yamaguchi, Gento', 'Hara, Yuichi', 'Sasaki, Ryo', 'Fuke, Masaya', 'Takai, Madoka', 'Ito, Taichi']","['animals', 'bandages', 'carboxymethylcellulose sodium pharmacology', 'mice', ' silver pharmacology therapeutic use', 'wound healing', ' wound infection drug therapy', 'anti-bacterial', 'carboxymethyl cellulose', 'counterions', 'silver release', 'wound dressings', 'wound healing']",Silver-loaded carboxymethyl cellulose nonwoven sheet with controlled counterions for infected wound healing.,"Carboxymethyl cellulose (CMC) is a promising material for moist wound healing, and silver loading onto CMC has been examined for anti-bacterial activity. In this study, we developed silver-loaded CMC nonwoven sheets with different counterions, namely sodium CMC (CMC-Na/Ag) and partially protonated CMC (CMC-H/Ag), to examine their anti-bacterial and wound-healing properties. Owing to the presence of counter protons, CMC-H/Ag showed slower water adsorption, dissolution, and Ag release than CMC-Na/Ag. In addition, CMC-H/Ag and CMC-Na/Ag exhibited differences in anti-bacterial activities in shake-flask and inhibition zone tests in vitro. An in vivo experiment using a pressure ulcer mouse model with Pseudomonas aeruginosa infection showed that CMC-Na/Ag significantly accelerated wound healing compared to CMC-H/Ag and a commercially available Ag-loaded CMC nonwoven sheet, Aquacel Ag. These results suggest the importance of controlling CMC counterions and the therapeutic potential of the developed product as a wound dressing."
2022 Mar 7,Molecular pharmaceutics,Mol Pharm. 2022 Mar 7;19(3):853-861. doi: 10.1021/acs.molpharmaceut.1c00797. Epub ,"['Amano, Yuki', 'Sakura, Kazuma L', 'Ohta, Seiichi', 'Ito, Taichi']","['animals', 'cell line, tumor', ' cisplatin pharmacology therapeutic use', 'humans', 'hyaluronic acid', 'imino acids', ' mesothelioma, malignant', 'mice', 'nanogels', 'cisplatin', 'hyaluronic acid', 'injectable hydrogel', 'malignant pleural mesothelioma', 'nanogel']",Cisplatin-Chelated Iminodiacetic Acid-Conjugated Hyaluronic Acid Nanogels for the Treatment of Malignant Pleural Mesothelioma in Mice.,"Malignant pleural mesothelioma (MPM) is one of the intractable cancers that require a more effective therapeutic strategy for clinical practice. Hyaluronic acid (HA) nanogels were prepared by the chelation of cisplatin (CDDP) with different molecular weights of iminodiacetic acid-conjugated hyaluronic acid (HA-IDA). The sizes of the 100, 850, and 2000 kDa HA nanogels were 33, 43, and 44 nm, respectively. MSTO-211H, a human MPM cell line, was more effective in taking up all three HA nanogels compared to AB22, a mouse MPM cell line. In addition, the 850 kDa HA nanogel showed higher anticancer activity against AB22 and MSTO-211H than 100 and 2000 kDa HA nanogels. Furthermore, all the HA nanogels showed a milder cytotoxic effect on normal Met-5A mesothelial cells compared to that exhibited by free CDDP. Finally, the 850 kDa HA nanogel was administrated intrapleurally into both the MSTO-211H xenograft and AB22 allograft mouse models of MPM using an injectable HA-based hydrogel. HA nanogels showed a significant therapeutic effect in both the xenograft and allograft models."
2021 Nov 1,Molecular pharmaceutics,Mol Pharm. 2021 Nov 1;18(11):4090-4098. doi: 10.1021/acs.molpharmaceut.1c00514. ,"['Yamaguchi, Kohei', 'Hiraike, Osamu', 'Iwaki, Haruna', 'Matsumiya, Kazuki', 'Nakamura, Noriko', 'Sone, Kenbun', 'Ohta, Seiichi', 'Osuga, Yutaka', 'Ito, Taichi']","['alginic acid chemistry', 'animals', 'antineoplastic agents  administration & dosage', 'cell line, tumor', 'cisplatin  administration & dosage', 'female', 'humans', 'hydrogels chemistry', 'injections, intraperitoneal', 'mice', 'nanogels chemistry', 'nanoparticle drug delivery system  chemistry', 'ovarian neoplasms  drug therapy pathology', 'peritoneal neoplasms  drug therapy secondary', 'peritoneum pathology', 'polyethylene glycols chemistry', 'polyethyleneimine chemistry', 'xenograft model antitumor assays', 'alginate-based nanogel', 'cisplatin', 'drug delivery system', 'injectable hydrogel', 'ovarian cancer', 'peritoneal dissemination']",Intraperitoneal Administration of a Cisplatin-Loaded Nanogel through a Hybrid System Containing an Alginic Acid-Based Nanogel and an In Situ Cross-Linkable Hydrogel for Peritoneal Dissemination of Ovarian Cancer.,"Intraperitoneal chemotherapy demonstrates potential applicability in the treatment of peritoneally disseminated ovarian cancer because the disseminated tumors can directly receive exposure to high concentrations of anticancer drugs. However, a considerable proportion of drugs, particularly micromolecular and hydrophilic drugs, such as cisplatin (CDDP), are often excreted through glomerular filtration for a short period. To effectively deliver CDDP into peritoneally disseminated ovarian cancer tissues, we developed an alginate (AL)-based hybrid system in which a CDDP-loaded AL nanogel (AL/CDDP-nanogel) was encapsulated in an injectable AL-hydrogel cross-linked with calcium ions. This system enabled the sustained release of CDDP from the AL/CDDP-nanogel/AL-hydrogel hybrid for over a week. Herein, we constructed a peritoneally disseminated ovarian cancer mouse model using ovarian cancer cell lines with KRAS mutations (ID8-KRAS: KRAS(G12V)). The AL/CDDP-nanogel/AL-hydrogel hybrid system showed significant antitumor activity in vivo. This therapy may be considered a novel strategy for the treatment of advanced-stage ovarian cancer with KRAS mutations."
2020 Oct 26,Scientific reports,Sci Rep. 2020 Oct 26;10(1):18220. doi: 10.1038/s41598-020-75253-9.,"['Ohta, Seiichi', 'Kikuchi, Emi', 'Ishijima, Ayumu', 'Azuma, Takashi', 'Sakuma, Ichiro', 'Ito, Taichi']","['animals', 'blood-brain barrier  metabolism radiation effects', 'brain  drug effects metabolism', 'brain diseases  drug therapy metabolism pathology', 'cell membrane permeability  radiation effects', 'drug delivery systems  methods', 'magnetic resonance imaging methods', 'male', 'metal nanoparticles  administration & dosage chemistry', 'mice', 'mice, inbred icr', 'microbubbles', ' ultrasonic waves']",Investigating the optimum size of nanoparticles for their delivery into the brain assisted by focused ultrasound-induced blood-brain barrier opening.,"The blood-brain barrier (BBB) has hampered the efficiency of nanoparticle delivery into the brain via conventional strategies. The widening of BBB tight junctions via focused ultrasound (FUS) offers a promising approach for enhancing the delivery of nanoparticles into the brain. However, there is currently an insufficient understanding of how nanoparticles pass through the opened BBB gaps. Here we investigated the size-dependence of nanoparticle delivery into the brain assisted by FUS-induced BBB opening, using gold nanoparticles (AuNPs) of 3, 15, and 120 nm diameter. For 3- and 15-nm AuNPs, FUS exposure significantly increased permeation across an in vitro BBB model by up to 9.5 times, and the permeability was higher with smaller diameter. However, in vivo transcranial FUS exposure in mice demonstrated that smaller particles were not necessarily better for delivery into the brain. Medium-sized (15 nm) AuNPs showed the highest delivery efficiency (0.22% ID), compared with 3- and 120-nm particles. A computational model suggested that this optimum size was determined by the competition between their permeation through opened BBB gaps and their excretion from blood. Our results would greatly contribute to designing nanoparticles for their delivery into the brain for the treatment of central nervous system diseases."
2020 Jul 13,Biomacromolecules,Biomacromolecules. 2020 Jul 13;21(7):2695-2704. doi: 10.1021/acs.biomac.0c00390. ,"['Okawa, Masashi', 'Sakoda, Megumu', 'Ohta, Seiichi', 'Hasegawa, Kiyoshi', 'Yatomi, Yutaka', 'Ito, Taichi']","['animals', ' hemostatics', 'hyaluronic acid', 'hydrogels', 'immunity', 'mice', ' polyphosphates']",The Balance between the Hemostatic Effect and Immune Response of Hyaluronan Conjugated with Different Chain Lengths of Inorganic Polyphosphate.,"Inorganic polyphosphate (PolyP) is a potential hemostatic material. However, the effect of PolyP chain length on the immune response and hemostatic function remains to be established. We have developed PolyP-conjugated hyaluronans (HA-PolyPs) with three different short-chain PolyPs (n = 13, 40, and 100 phosphate units). All short-chain PolyPs showed biocompatibility in the cell viability and inflammatory cytokine secretion test in vitro and in vivo, wherein shorter PolyPs showed milder responses in some cases. We then produced HA-PolyP hydrogels (HAX-PolyPs) with three different short-chain PolyPs as hemostats. Interestingly, the in vivo biocompatibility and hemostatic activity of HAX-PolyP were not significantly affected by the length of conjugated PolyPs. HAX-PolyP with all chain lengths significantly decreased the amount of bleeding in a novel mouse liver bleeding model. These results indicated that the shortest PolyP (n = 13) induced milder acute inflammation and had an efficient hemostatic effect when conjugated to hyaluronic acid. The present study provides key insights into the design of PolyP-based biomaterials and bioconjugates, which are expected to grow in importance for various medical applications."
2019 Sep 9,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2019 Sep 9;5(9):4790-4798. doi: ,"['Qi, Pan', 'Zheng, Ying Grace', 'Ohta, Seiichi', 'Kokudo, Norihiro', 'Hasegawa, Kiyoshi', 'Ito, Taichi']","['adhesion barriers', 'double-layered hydrogels', 'hepatectomy', 'in situ cross-linkable hydrogel', 'postoperative adhesions']",In Situ Fabrication of Double-Layered Hydrogels via Spray Processes to Prevent Postoperative Peritoneal Adhesion.,"Postoperative peritoneal adhesions could cause pelvic pain, infertility, and bowel obstruction. In addition, adhesiolysis makes second surgery difficult. For the first time, we fabricated double-layered hydrogels in situ on the trauma surface via sequential double spray processes to prevent peritoneal adhesions. The spray conditions were optimized for spray distance and gas flow rate to create homogeneous and seamless double-layered hydrogels. The top layer was composed of alginate (Alg)-carboxymethyl cellulose (CMC) and serves as the barrier between the wounded tissue and surrounding tissues. The bottom layer was composed of Alg-gelatin (Gela) and comes in direct contact with the wounded tissue to promote wound healing. In vitro experiments showed that the Alg-Gela hydrogel layer promoted wound healing by accelerating horizontal cell migration. In addition, the Alg-CMC layer prevented the vertical penetration of fibroblast cells. The prevention efficacy of the sprayable double-layered hydrogels was evaluated using a partial hepatectomy-induced adhesion model in rats. The double-layered hydrogels decreased the adhesion grade and extent of liver cut surface, whereas the two single-layered hydrogels, Alg-CMC and Alg-Gela, did not show any adhesion prevention efficacy."
2019 Oct 1,European journal of pharmaceutical sciences : official journal of the European ,Eur J Pharm Sci. 2019 Oct 1;138:105008. doi: 10.1016/j.ejps.2019.105008. Epub ,"['Amano, Yuki', 'Ohta, Seiichi', 'Sakura, Kazuma L', 'Ito, Taichi']","['animals', 'antineoplastic agents  pharmacology', 'carcinoma, non-small-cell lung drug therapy metabolism', 'cell line, tumor', 'drug delivery systems methods', 'female', 'humans', 'hyaluronic acid  pharmacology', 'lung neoplasms  drug therapy metabolism', 'mesothelioma  drug therapy metabolism', 'mesothelioma, malignant', 'mice', 'mice, inbred balb c', 'pemetrexed  poisoning', 'thymidylate synthase metabolism', 'anti-tumor', 'drug conjugates', 'malignant pleural mesothelioma', 'pemetrexed']",Pemetrexed-conjugated hyaluronan for the treatment of malignant pleural mesothelioma.,"Pemetrexed (PMX) is a multi-targeted antifolate drug used for the treatment of malignant pleural mesothelioma (MPM) and non-small cell lung cancer. Hyaluronan (HA) in blood is well known as a disease marker of MPM. We synthesized PMX-conjugated hyaluronan (HA-ADH-PMX) for the first time to develop a novel anticancer chemotherapeutic agent. HAs with different molecular weights (76 and 130 kDa) were first derivatized with adipic dihydrazide (ADH) and then conjugated to PMX. The obtained HA-ADH-PMX retained inhibitory activity against folate metabolism enzymes; thymidylate synthase was inhibited to the same extent as native PMX, whereas the inhibition constant against dihydrofolate reductase was 3.3% for 76 kDa HA-ADH-PMX and 12% for 130 kDa HA-ADH-PMX when compared with that of native PMX. The in vitro cytotoxicity of HA-ADH-PMX from both molecular weights against MPM cell lines was lower than that of native PMX. On the other hand, intrapleural administration of 76 kDa HA-ADH-PMX resulted in a survival rate of MPM model mice comparable to that with native PMX, suggesting the potential for future MPM therapy."
