time,journal,doi_info,authors,key words,title,abstract
2024 Apr 19,Science advances,Sci Adv. 2024 Apr 19;10(16):eadk4492. doi: 10.1126/sciadv.adk4492. Epub 2024 Apr ,"['Pottenger, Ayumi E', 'Roy, Debashish', 'Srinivasan, Selvi', 'Chavas, Thomas E J', 'Vlaskin, Vladmir', 'Ho, Duy-Khiet', 'Livingston, Vincent C', 'Maktabi, Mahdi', 'Lin, Hsiuling', 'Zhang, Jing', 'Pybus, Brandon', 'Kudyba, Karl', 'Roth, Alison', 'Senter, Peter', 'Tyson, George', 'Huber, Hans E', 'Wesche, David', 'Rochford, Rosemary', 'Burke, Paul A', 'Stayton, Patrick S']","['humans', ' antimalarials pharmacology therapeutic use', 'aminoquinolines adverse effects', ' malaria drug therapy', ' malaria, vivax drug therapy chemically induced', 'liver']",Liver-targeted polymeric prodrugs delivered subcutaneously improve tafenoquine therapeutic window for malaria radical cure.,"Approximately 3.3 billion people live with the threat of Plasmodium vivax malaria. Infection can result in liver-localized hypnozoites, which when reactivated cause relapsing malaria. This work demonstrates that an enzyme-cleavable polymeric prodrug of tafenoquine addresses key requirements for a mass administration, eradication campaign: excellent subcutaneous bioavailability, complete parasite control after a single dose, improved therapeutic window compared to the parent oral drug, and low cost of goods sold (COGS) at less than $1.50 per dose. Liver targeting and subcutaneous dosing resulted in improved liver:plasma exposure profiles, with increased efficacy and reduced glucose 6-phosphate dehydrogenase-dependent hemotoxicity in validated preclinical models. A COGS and manufacturability analysis demonstrated global scalability, affordability, and the ability to redesign this fully synthetic polymeric prodrug specifically to increase global equity and access. Together, this polymer prodrug platform is a candidate for evaluation in human patients and shows potential for P. vivax eradication campaigns."
2024 Mar 27,ACS central science,ACS Cent Sci. 2024 Feb 23;10(3):666-675. doi: 10.1021/acscentsci.3c01310. ,"['Nguyen, Dinh Chuong', 'Song, Kefan', 'Jokonya, Simbarashe', 'Yazdani, Omeed', 'Sellers, Drew L', 'Wang, Yonghui', 'Zakaria, Abm', 'Pun, Suzie H', 'Stayton, Patrick S']",[],Mannosylated STING Agonist Drugamers for Dendritic Cell-Mediated Cancer Immunotherapy.,"The Stimulator of Interferon Genes (STING) pathway is a promising target for cancer immunotherapy. Despite recent advances, therapies targeting the STING pathway are often limited by routes of administration, suboptimal STING activation, or off-target toxicity. Here, we report a dendritic cell (DC)-targeted polymeric prodrug platform (polySTING) that is designed to optimize intracellular delivery of a diamidobenzimidazole (diABZI) small-molecule STING agonist while minimizing off-target toxicity after parenteral administration. PolySTING incorporates mannose targeting ligands as a comonomer, which facilitates its uptake in CD206(+)/mannose receptor(+) professional antigen-presenting cells (APCs) in the tumor microenvironment (TME). The STING agonist is conjugated through a cathepsin B-cleavable valine-alanine (VA) linker for selective intracellular drug release after receptor-mediated endocytosis. When administered intravenously in tumor-bearing mice, polySTING selectively targeted CD206(+)/mannose receptor(+) APCs in the TME, resulting in increased cross-presenting CD8(+) DCs, infiltrating CD8(+) T cells in the TME as well as maturation across multiple DC subtypes in the tumor-draining lymph node (TDLN). Systemic administration of polySTING slowed tumor growth in a B16-F10 murine melanoma model as well as a 4T1 murine breast cancer model with an acceptable safety profile. Thus, we demonstrate that polySTING delivers STING agonists to professional APCs after systemic administration, generating efficacious DC-driven antitumor immunity with minimal side effects. This new polymeric prodrug platform may offer new opportunities for combining efficient targeted STING agonist delivery with other selective tumor therapeutic strategies."
2024 Apr,Advanced healthcare materials,Adv Healthc Mater. 2024 Apr;13(11):e2303910. doi: 10.1002/adhm.202303910. Epub ,"['Herpoldt, Karla-Luise', 'López, Ciana L', 'Sappington, Isaac', 'Pham, Minh N', 'Srinivasan, Selvi', 'Netland, Jason', 'Montgomery, Katherine S', 'Roy, Debashish', 'Prossnitz, Alexander N', 'Ellis, Daniel', 'Wargacki, Adam J', 'Pepper, Marion', 'Convertine, Anthony J', 'Stayton, Patrick S', 'King, Neil P']","[' nanoparticles chemistry', 'animals', 'mice', 'proteins chemistry', 'toll-like receptor 8 metabolism agonists chemistry', 'toll-like receptor 7 metabolism agonists', 'raft', 'rna delivery', 'computational protein design', 'encapsulation', 'polymer prodrug', 'protein nanomaterials', 'self‐assembly', 'targeted delivery', 'vaccine adjuvants']",Macromolecular Cargo Encapsulation via In Vitro Assembly of Two-Component Protein Nanoparticles.,"Self-assembling protein nanoparticles are a promising class of materials for targeted drug delivery. Here, the use of a computationally designed, two-component, icosahedral protein nanoparticle is reported to encapsulate multiple macromolecular cargoes via simple and controlled self-assembly in vitro. Single-stranded RNA molecules between 200 and 2500 nucleotides in length are encapsulated and protected from enzymatic degradation for up to a month with length-dependent decay rates. Immunogenicity studies of nanoparticles packaging synthetic polymers carrying a small-molecule TLR7/8 agonist show that co-delivery of antigen and adjuvant results in a more than 20-fold increase in humoral immune responses while minimizing systemic cytokine secretion associated with free adjuvant. Coupled with the precise control over nanoparticle structure offered by computational design, robust and versatile encapsulation via in vitro assembly opens the door to a new generation of cargo-loaded protein nanoparticles that can combine the therapeutic effects of multiple drug classes."
2023 Apr,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2023 Apr;356:232-241. doi: 10.1016/j.jconrel.2023.03.004. Epub ,"['Song, Kefan', 'Nguyen, Dinh Chuong', 'Luu, Tran', 'Yazdani, Omeed', 'Roy, Debashish', 'Stayton, Patrick S', 'Pun, Suzie H']","['humans', 'polymers chemistry', 'antigens', 'peptides pharmacology', 'drug delivery systems', 'antigen presentation', ' neoplasms therapy', 'dendritic cells', ' cancer vaccines', 'cancer immunotherapy', 'cancer vaccine', 'cross-presentation', 'drug delivery', 'endosomal escape', 'micelles', 'polymer-peptide conjugates']",A mannosylated polymer with endosomal release properties for peptide antigen delivery.,"Peptide cancer vaccines have had limited clinical success despite their safety, characterization and production advantages. We hypothesize that the poor immunogenicity of peptides can be surmounted by delivery vehicles that overcome the systemic, cellular and intracellular drug delivery barriers faced by peptides. Here, we introduce Man-VIPER, a self-assembling (40-50 nm micelles), pH-sensitive, mannosylated polymeric peptide delivery platform that targets dendritic cells in the lymph nodes, encapsulates peptide antigens at physiological pH, and facilitates endosomal release of antigens at acidic endosomal pH through a conjugated membranolytic peptide melittin. We used d-melittin to improve the safety profile of the formulation without compromising the lytic properties. We evaluated polymers with both releasable (Man-VIPER-R) or non-releasable (Man-VIPER-NR) d-melittin. Both Man-VIPER polymers exhibited superior endosomolysis and antigen cross-presentation compared to non-membranolytic d-melittin-free analogues (Man-AP) in vitro. In vivo, Man-VIPER polymers demonstrated an adjuvanting effect, induced the proliferation of antigen-specific cytotoxic T cells and helper T cells compared to free peptides and Man-AP. Remarkably, antigen delivery with Man-VIPER-NR generated significantly more antigen-specific cytotoxic T cells than Man-VIPER-R in vivo. As our candidate for a therapeutic vaccine, Man-VIPER-NR exerted superior efficacy in a B16F10-OVA tumor model. These results highlight Man-VIPER-NR as a safe and powerful peptide cancer vaccine platform for cancer immunotherapy."
2022 May,Advanced healthcare materials,Adv Healthc Mater. 2022 May;11(9):e2101944. doi: 10.1002/adhm.202101944. Epub ,"['López, Ciana L', 'Brempelis, Katherine J', 'Matthaei, James F', 'Montgomery, Kate S', 'Srinivasan, Selvi', 'Roy, Debashish', 'Huang, Fei', 'Kreuser, Shannon A', 'Gardell, Jennifer L', 'Blumenthal, Ian', 'Chiefari, John', 'Jensen, Michael C', 'Crane, Courtney A', 'Stayton, Patrick S']","['fluoresceins', 'humans', 'ligands', ' neoplasms', 'polymers chemistry', ' prodrugs chemistry pharmacology', 'cell backpacking', 'cell-mediated targeting', 'macrophages', 'polymeric prodrugs', 'solid tumors']",Arming Immune Cell Therapeutics with Polymeric Prodrugs.,"Engineered immune cells are an exciting therapeutic modality, which survey and attack tumors. Backpacking strategies exploit cell targeting capabilities for delivery of drugs to combat tumors and their immune-suppressive environments. Here, a new platform for arming cell therapeutics through dual receptor and polymeric prodrug engineering is developed. Macrophage and T cell therapeutics are engineered to express a bioorthogonal single chain variable fragment receptor. The receptor binds a fluorescein ligand that directs cell loading with ligand-tagged polymeric prodrugs, termed ""drugamers."" The fluorescein ligand facilitates stable binding of drugamer to engineered macrophages over 10 days with 80% surface retention. Drugamers also incorporate prodrug monomers of the phosphoinositide-3-kinase inhibitor, PI-103. The extended release of PI-103 from the drugamer sustains antiproliferative activity against a glioblastoma cell line compared to the parent drug. The versatility and modularity of this cell arming system is demonstrated by loading T cells with a second fluorescein-drugamer. This drugamer incorporates a small molecule estrogen analog, CMP8, which stabilizes a degron-tagged transgene to provide temporal regulation of protein activity in engineered T cells. These results demonstrate that this bioorthogonal receptor and drugamer system can be used to arm multiple immune cell classes with both antitumor and transgene-activating small molecule prodrugs."
2022 May,Advanced healthcare materials,Adv Healthc Mater. 2022 May;11(9):e2101651. doi: 10.1002/adhm.202101651. Epub ,"['Lv, Shixian', 'Song, Kefan', 'Yen, Albert', 'Peeler, David J', 'Nguyen, Dinh Chuong', 'Olshefsky, Audrey', 'Sylvestre, Meilyn', 'Srinivasan, Selvi', 'Stayton, Patrick S', 'Pun, Suzie H']","['animals', 'antigens', ' cancer vaccines', 'drug delivery systems', 'mice', 'micelles', ' neoplasms therapy', 'peptides', 'polymers chemistry', 'vaccines, subunit', 'cancer immunotherapy', 'cancer vaccines', 'peptides', 'polymer-peptide conjugates', 'polymeric micelles']",Well-Defined Mannosylated Polymer for Peptide Vaccine Delivery with Enhanced Antitumor Immunity.,"Peptide-based cancer vaccines offer production and safety advantages but have had limited clinical success due to their intrinsic instability, rapid clearance, and low cellular uptake. Nanoparticle-based delivery vehicles can improve the in vivo stability and cellular uptake of peptide antigens. Here, a well-defined, self-assembling mannosylated polymer is developed for anticancer peptide antigen delivery. The amphiphilic polymer is prepared by reversible addition-fragmentation chain transfer (RAFT) polymerization, and the peptide antigens are conjugated to the pH-sensitive hydrophobic block through the reversible disulfide linkage for selective release after cell entry. The polymer-peptide conjugates self-assemble into sub-100 nm micelles at physiological pH and dissociate at endosomal pH. The mannosylated micellar corona increases the accumulation of vaccine cargoes in the draining inguinal lymph nodes and facilitates nanoparticle uptake by professional antigen presenting cells. In vivo studies demonstrate that the mannosylated micelle formulation improves dendritic cell activation and enhances antigen-specific T cell responses, resulting in higher antitumor immunity in tumor-bearing mice compared to free peptide antigen. The mannosylated polymer is therefore a simple and promising platform for the delivery of peptide cancer vaccines."
2021 Mar 10,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2021 Mar 10;331:213-227. doi: 10.1016/j.jconrel.2020.12.046. ,"['Srinivasan, Selvi', 'Roy, Debashish', 'Chavas, Thomas E J', 'Vlaskin, Vladimir', 'Ho, Duy-Khiet', 'Pottenger, Ayumi', 'LeGuyader, Clare L M', 'Maktabi, Mahdi', 'Strauch, Pamela', 'Jackson, Conner', 'Flaherty, Siobhan M', 'Lin, Hsiuling', 'Zhang, Jing', 'Pybus, Brandon', 'Li, Qigui', 'Huber, Hans E', 'Burke, Paul A', 'Wesche, David', 'Rochford, Rosemary', 'Stayton, Patrick S']","['aminoquinolines', 'animals', ' antimalarials', 'liver', ' malaria drug therapy', ' malaria, vivax drug therapy', 'mice', 'mice, inbred nod', 'mice, scid', 'polymers therapeutic use', 'primaquine', ' prodrugs therapeutic use']",Liver-targeted polymeric prodrugs of 8-aminoquinolines for malaria radical cure.,"Primaquine and tafenoquine are the two 8-aminoquinoline (8-AQ) antimalarial drugs approved for malarial radical cure - the elimination of liver stage hypnozoites after infection with Plasmodium vivax. A single oral dose of tafenoquine leads to high efficacy against intra-hepatocyte hypnozoites after efficient first pass liver uptake and metabolism. Unfortunately, both drugs cause hemolytic anemia in G6PD-deficient humans. This toxicity prevents their mass administration without G6PD testing given the approximately 400 million G6PD deficient people across malarial endemic regions of the world. We hypothesized that liver-targeted delivery of 8-AQ prodrugs could maximize liver exposure and minimize erythrocyte exposure to increase their therapeutic window. Primaquine and tafenoquine were first synthesized as prodrug vinyl monomers with self-immolative hydrolytic linkers or cathepsin-cleavable valine-citrulline peptide linkers. RAFT polymerization was exploited to copolymerize these prodrug monomers with hepatocyte-targeting GalNAc monomers. Pharmacokinetic studies of released drugs after intravenous administration showed that the liver-to-plasma AUC ratios could be significantly improved, compared to parent drug administered orally. Single doses of the liver-targeted, enzyme-cleavable tafenoquine polymer were found to be as efficacious as an equivalent dose of the oral parent drug in the P. berghei causal prophylaxis model. They also elicited significantly milder hemotoxicity in the humanized NOD/S"
2021 Jan 10,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2021 Jan 10;329:223-236. doi: 10.1016/j.jconrel.2020.12.002. ,"['Kim, Woojun', 'Yoon, Hong Yeol', 'Lim, Seungho', 'Stayton, Patrick S', 'Kim, In-San', 'Kim, Kwangmeyung', 'Kwon, Ick Chan']","['animals', 'cell- and tissue-based therapy', ' click chemistry', 'humans', ' immunotherapy, adoptive', 'mice', 't-lymphocytes', 't-lymphocytes, cytotoxic', 'adoptive t-cell therapy', 'bioorthogonal click chemistry', 't-cell tracking', 'in vivo imaging']",In vivo tracking of bioorthogonally labeled T-cells for predicting therapeutic efficacy of adoptive T-cell therapy.,"Non-invasive tracking of T-cells may help to predict the patient responsiveness and therapeutic outcome. Herein, we developed bioorthogonal T-cell labeling and tracking strategy using bioorthogonal click chemistry. First, ovalbumin (OVA) antigen-specific cytotoxic T-cells (CTLs) were incubated with N-azidoacetyl-D-mannosamine-tetraacylated (Ac(4)ManNAz) for incorporating azide (N(3)) groups on the surface of CTLs via metabolic glycoengineering. Subsequently, azide groups on the CTLs were chemically labeled with near infrared fluorescence (NIRF) dye, Cy5.5, conjugated dibenzylcyclooctyne (DBCO-Cy5.5) via bioorthogonal click chemistry, resulting in Cy5.5-labeled CTLs (Cy5.5-CTLs). The labeling efficiency of Cy5.5-CTLs could be readily controlled by changing concentrations of Ac(4)ManNAz and DBCO-Cy5.5 in cultured cells. Importantly, Cy5.5-CTLs presented the strong NIRF signals in vitro and they showed no significant changes in the functional properties, such as cell viability, proliferation, and antigen-specific cytolytic activity. In ovalbumin (OVA)-expressing E.G-7 tumor-bearing immune-deficient mice, intravenously injected Cy5.5-CTLs were clearly observed at targeted solid tumors via non-invasive NIRF imaging. Moreover, tumor growth inhibition of E.G-7 tumors was closely correlated with the intensity of NIRF signals from Cy5.5-CTLs at tumors after 2-3 days post-injection. The Cy5.5-CTLs showed different therapeutic responses in E.G-7 tumor-bearing immune-competent mice, in which they were divided by their tumor growth efficacy as 'high therapeutic response (TR (+))' and 'low therapeutic response (TR (-))'. These different therapeutic responses of Cy5.5-CTLs were highly correlated with the NIRF signals of Cy5.5-CTLs at targeted tumor tissues in the early stage. Therefore, non-invasive tracking of T-cells can be able to predict and elicit therapeutic responses in the adoptive T-cell therapy."
2021 Feb 10,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2021 Feb 10;330:284-292. doi: 10.1016/j.jconrel.2020.11.031. ,"['Chavas, Thomas E J', 'Su, Fang-Yi', 'Srinivasan, Selvi', 'Roy, Debashish', 'Lee, Brian', 'Lovelace-Macon, Lara', 'Rerolle, Guilhem F', 'Limqueco, Elaine', 'Skerrett, Shawn J', 'Ratner, Daniel M', 'West, T Eoin', 'Stayton, Patrick S']","['animals', 'humans', 'lung', 'macrophages, alveolar', ' melioidosis drug therapy prevention & control', 'mice', 'polymers', ' prodrugs', 'alveolar macrophage', 'ciprofloxacin', 'controlled release', 'drug conjugate', 'global health', 'melioidosis', 'polymer drug conjugate', 'prodrug', 'pulmonary infection']",A macrophage-targeted platform for extending drug dosing with polymer prodrugs for pulmonary infection prophylaxis.,"Pulmonary melioidosis is a bacterial disease with high morbidity and a mortality rate that can be as high as 40% in resource-poor regions of South Asia. This disease burden is linked to the pathogen's intrinsic antibiotic resistance and protected intracellular localization in alveolar macrophages. Current treatment regimens require several antibiotics with multi-month oral and intravenous administrations that are difficult to implement in under-resourced settings. Herein, we report that a macrophage-targeted polyciprofloxacin prodrug acts as a surprisingly effective pre-exposure prophylactic in highly lethal murine models of aerosolized human pulmonary melioidosis. A single dose of the polymeric prodrug maintained high lung drug levels and targeted an intracellular depot of ciprofloxacin to the alveolar macrophage compartment that was sustained over a period of 7 days above minimal inhibitory concentrations. This intracellular pharmacokinetic profile provided complete pre-exposure protection in a BSL-3 model with an aerosolized clinical isolate of Burkholderia pseudomallei from Thailand. This total protection was achieved despite the bacteria's relative resistance to ciprofloxacin and where an equivalent dose of pulmonary-administered ciprofloxacin was ineffective. For the first time, we demonstrate that targeting the intracellular macrophage compartment with extended antibiotic dosing can achieve pre-exposure prophylaxis in a model of pulmonary melioidosis. This fully synthetic and modular therapeutic platform could be an important therapeutic approach with new or re-purposed antibiotics for melioidosis prevention and treatment, especially as portable inhalation devices in high-risk, resource-poor settings."
2021 Jan 10,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2021 Jan 10;329:257-269. doi: 10.1016/j.jconrel.2020.11.030. ,"['Ho, Duy-Khiet', 'LeGuyader, Clare', 'Srinivasan, Selvi', 'Roy, Debashish', 'Vlaskin, Vladimir', 'Chavas, Thomas E J', 'Lopez, Ciana L', 'Snyder, Jessica M', 'Postma, Almar', 'Chiefari, John', 'Stayton, Patrick S']","['animals', ' anti-hiv agents therapeutic use', 'anti-retroviral agents', ' hiv infections drug therapy', 'leukocytes, mononuclear', 'mice', 'tenofovir', 'drug delivery', 'hiv', 'infectious disease', 'long-acting depot', 'polymer', 'pre-exposure prophylaxis', 'raft', 'taf']",Fully synthetic injectable depots with high drug content and tunable pharmacokinetics for long-acting drug delivery.,"Clinical studies have validated that antiretroviral (ARV) drugs can serve as an HIV pre-exposure prophylactic (PrEP) strategy. Dosing adherence remains a crucial factor determining the final efficacy outcomes, and both long-acting implants and injectable depot systems are being developed to improve patient adherence. Here, we describe an injectable depot platform that exploits a new mechanism for both formation and controlled release. The depot is a polymeric prodrug synthesized from monomers that incorporate an ARV drug tenofovir alafenamide (TAF) with degradable linkers that can be designed to control release rates. The prodrug monomers are synthetically incorporated into homopolymer or block designs that exhibit high drug weight percent (wt%) and also are hydrophobized in these prodrug segments to drive depot formation upon injection. Drug release converts those monomers to more hydrophilic pendant groups via linker cleavage, and as this drug release proceeds, the polymer chains losing hydrophobicity are then disassociated from the depot and released over time to provide a depot dissolution mechanism. We show that long-acting TAF depots can be designed as block copolymers or as homopolymers. They can also be designed with different linkers, for example with faster or slower degrading p-hydroxybenzyloxycarbonyl (Benzyl) and ethyloxycarbonyl (Alkyl) linkers, respectively. Diblock designs of p(glycerol monomethacrylate)-b-p(Alkyl-TAF-methacrylate) and p(glycerol monomethacrylate)-b-p(Benzyl-TAF-methacrylate) were first characterized in a mouse subcutaneous injection model. The alkylcarbamate linker design (TAF 51 wt%) showed excellent sustained release profiles of the key metabolite tenofovir (TFV) in skin and plasma over a 50-day period. Next, the homopolymer design with a high TAF drug wt% of 73% was characterized in the same model. The homopolymer depots with p(Alkyl-TAFMA) exhibited sustained TFV and TAF release profiles in skin and blood over 60 days, and TFV-DP concentrations in peripheral blood mononuclear cells (PBMC) were found to be at least 10-fold higher than the clinically suggested minimally EC90 protective concentration of 24 fmol/10(6) cells. These are the first reports of sustained parent TAF dosing observed in mouse and TFV-DP in mouse PBMC. IVIS imaging of rhodamine labeled homopolymer depots showed that degradation and release of the depot coincided with the sustained TAF release. Finally, these polymers showed excellent stability in accelerated stability studies over a six-month time period, and exceptional solubility of over 700 mg/mL in the DMSO formulation solvent. The homopolymer designs have a drug reservoir potential of well over a year at mg/day dosing and may not require cold chain storage for global health and developed world long-acting drug delivery applications."
2019 Mar,Biomaterials,Biomaterials. 2019 Mar;195:38-50. doi: 10.1016/j.biomaterials.2018.10.017. Epub ,"['Chen, Jasmin', 'Su, Fang-Yi', 'Das, Debobrato', 'Srinivasan, Selvi', 'Son, Hye-Nam', 'Lee, Brian', 'Radella, Frank 2nd', 'Whittington, Dale', 'Monroe-Jones, Taylor', 'West, T Eoin', 'Convertine, Anthony J', 'Skerrett, Shawn J', 'Stayton, Patrick S', 'Ratner, Daniel M']","['francisella tularensis metabolism', 'macrophages, alveolar  metabolism', 'magnetic resonance spectroscopy', 'mannose metabolism', 'microbial sensitivity tests', 'polysaccharides  chemistry', 'prodrugs  chemistry', 'alveolar macrophage', 'antibiotic prodrug', 'glycopolymer', 'intracellular infection', 'mannose']",Glycan targeted polymeric antibiotic prodrugs for alveolar macrophage infections.,"Alveolar macrophages resident in the lung are prominent phagocytic effector cells of the pulmonary innate immune response, and paradoxically, are attractive harbors for pathogens. Consequently, facultative intracellular bacteria, such as Francisella tularensis, can cause severe systemic disease and sepsis, with high morbidity and mortality associated with pulmonary infection. Current clinical treatment, which involves exhaustive oral or intravenous antibiotic therapy, has limitations such as systemic toxicity and off-target effects. Pulmonary administration represents a promising alternative to systemic dosing for delivering antibiotics directly to the lung. Here, we present synthesized mannosylated ciprofloxacin polymeric prodrugs for efficient pulmonary delivery, targeting, and subsequent internalization by alveolar macrophages. We demonstrate significant improvement in efficacy against intracellular infections in an otherwise uniformly lethal airborne Francisella murine model (F. novicida). When administered to the lungs of mice in a prophylactic regimen, the mannosylated ciprofloxacin polymeric prodrugs led to 50% survival. In a treatment regimen that was concurrent with infection, the survival of mice increased to 87.5%. Free ciprofloxacin antibiotic was ineffective in both cases. This significant difference in antibacterial efficacy demonstrates the impact of this delivery platform based on improved physiochemical, pharmacokinetic, and pharmacodynamic properties of ciprofloxacin administered via our glycan polymeric prodrug. This modular platform provides a route for overcoming the limitations of free drug and increasing efficacy in treatment of intracellular infection."
2018 Oct 10,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2018 Oct 10;287:1-11. doi: 10.1016/j.jconrel.2018.08.014. Epub ,"['Su, Fang-Yi', 'Srinivasan, Selvi', 'Lee, Brian', 'Chen, Jasmin', 'Convertine, Anthony J', 'West, Timothy Eoin', 'Ratner, Daniel M', 'Skerrett, Shawn J', 'Stayton, Patrick S']","['administration, inhalation', 'animals', 'anti-bacterial agents  administration &', 'ciprofloxacin  administration & dosage pharmacokinetics pharmacology therapeutic', 'delayed-action preparations  chemistry', 'drug delivery systems', 'female', 'francisella  drug effects', 'gram-negative bacterial infections  drug therapy', 'lung drug effects metabolism', 'lung diseases  drug therapy metabolism', 'macrophages, alveolar drug effects metabolism', 'mannose analogs & derivatives', 'mice', 'mice, inbred c57bl', 'microbial sensitivity tests', 'polymers chemistry', 'raw 264.7 cells', 'tularemia drug therapy', 'ciprofloxacin', 'drug conjugate', 'enzyme-cleavable linker', 'francisella', 'prodrug', 'tularemia']",Macrophage-targeted drugamers with enzyme-cleavable linkers deliver high intracellular drug dosing and sustained drug pharmacokinetics against alveolar pulmonary infections.,"Intracellular bacterial infections localized to the lung alveolar macrophage (AM) remain one of the most challenging settings for antimicrobial therapy. Current systemic antibiotic treatment fails to deliver sustained doses to intracellular bacterial reservoirs, which necessitates prolonged treatment regimens. Herein, we demonstrate a new intracellular enzyme-cleavable polymeric prodrug with tailored ciprofloxacin release profiles in the lungs and AM. The targeted polymeric prodrug, termed ""drugamers"", incorporates (1) hydrophilic mannose residues to solubilize the antibiotic cargo and to target and enhance AM uptake and intracellular delivery, and (2) enzyme-cleavable linkage chemistry to provide high and sustained intracellular AM drug dosing. Prodrug monomers, derived from the antibiotic ciprofloxacin, were synthesized with either an intracellular protease cleavable dipeptide linker or a hydrolytic phenyl ester linker. RAFT polymerization was used to copolymerize the prodrug monomers and mannose monomer to synthesize well-defined drugamers without requiring a post-polymerization conjugation step. In addition to favorable in vivo safety profiles following intratracheal administration, a single dose of the drugamers sustained ciprofloxacin dosing in lungs and AMs above the minimum inhibitory concentration (MIC) over at least a 48 h period. The enzyme-cleavable therapeutic achieved a >10-fold increase in sustained ciprofloxacin in AM, and maintained a significantly higher whole lung PK as well. Ciprofloxacin dosed in identical fashion displayed rapid clearance with a half-life of approximately 30 min. Notably, inhalation of the mannose-targeted ciprofloxacin drugamers achieved full survival (100%) in a highly lethal mouse model of pneumonic tularemia, contrasted with 0% survival using free ciprofloxacin. These findings demonstrate the versatility of the drugamer platform for engineering the intracellular pharmacokinetic profiles and its strong therapeutic activity in treating pulmonary intracellular infections."
2018 Jun 25,Biomaterials science,Biomater Sci. 2018 Jun 25;6(7):1976-1985. doi: 10.1039/c8bm00282g.,"['Su, Fang-Yi', 'Chen, Jasmin', 'Son, Hye-Nam', 'Kelly, Abby M', 'Convertine, Anthony J', 'West, T Eoin', 'Skerrett, Shawn J', 'Ratner, Daniel M', 'Stayton, Patrick S']","['animals', 'anti-bacterial agents metabolism  pharmacology', 'arylsulfonates chemistry', 'drug compounding methods', 'drug delivery systems  methods', 'drug liberation', 'endosomes drug effects metabolism microbiology', 'fluorescent dyes chemistry', 'francisella tularensis  drug effects growth & development metabolism', 'hydrogen-ion concentration', 'kinetics', 'liposomes chemical synthesis metabolism  pharmacology', 'mannose metabolism', 'methacrylates chemistry', 'mice', 'phosphatidylcholines chemistry', 'phosphatidylethanolamines chemistry', 'polyethylene glycols chemistry', 'pyridinium compounds chemistry', 'raw 264.7 cells', 'streptomycin metabolism  pharmacology']",Polymer-augmented liposomes enhancing antibiotic delivery against intracellular infections.,"Pulmonary intracellular infections, such as tuberculosis, anthrax, and tularemia, have remained a significant challenge to conventional antibiotic therapy. Ineffective antibiotic treatment of these infections can lead not only to undesired side effects, but also to the emergence of antibiotic resistance. Aminoglycosides (e.g., streptomycin) have long been part of the therapeutic regiment for many pulmonary intracellular infections. Their bioavailability for intracellular bacterial pools, however, is limited by poor membrane permeability and rapid elimination. To address this challenge, polymer-augmented liposomes (PALs) were developed to provide improved cytosolic delivery of streptomycin to alveolar macrophages, an important host cell for intracellular pathogens. A multifunctional diblock copolymer was engineered to functionalize PALs with carbohydrate-mediated targeting, pH-responsive drug release, and endosomal release activity with a single functional polymer that replaces the pegylated lipid component to simplify the liposome formulation. The pH-sensing functionality enabled PALs to provide enhanced release of streptomycin under endosomal pH conditions (70% release in 6 hours) with limited release at physiological pH 7.4 (16%). The membrane-destabilizing activity connected to endosomal release was characterized in a hemolysis assay and PALs displayed a sharp pH profile across the endosomal pH development target range. The direct connection of this membrane-destabilizing pH profile to model drug release was demonstrated in an established pyranine/p-xylene bispyridinium dibromide (DPX) fluorescence dequenching assay. PALs displayed similar sharp pH-responsive release, whereas PEGylated control liposomes did not, and similar profiles were then shown for streptomycin release. The mannose-targeting capability of the PALs was also demonstrated with 2.5 times higher internalization compared to non-targeted PEGylated liposomes. Finally, the streptomycin-loaded PALs were shown to have a significantly improved intracellular antibacterial activity in a Francisella-macrophage co-culture model, compared with free streptomycin or streptomycin delivered by control PEGylated liposomes (13× and 16×, respectively). This study suggests the potential of PALs as a useful platform to deliver antibiotics for the treatment of intracellular macrophage infections."
