time,journal,doi_info,authors,key words,title,abstract
2024 May 16,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 May 16:e202402078. doi: 10.1002/anie.202402078.,"['Pichon, Trey J', 'Wang, Xu', 'Mickelson, Ethan E', 'Huang, Wen-Chia', 'Hilburg, Shayna L', 'Stucky, Sarah', 'Ling, Melissa', 'S John, Alexander E', 'Ringgold, Kristyn M', 'Snyder, Jessica M', 'Pozzo, Lilo D', 'Lu, Maggie', 'White, Nathan J', 'Pun, Suzie H']","['low volume resuscitant (lvr)', 'raft polymerization', 'coagulation', 'damage control resuscitation', 'hemorrhagic shock']",Engineering Low Volume Resuscitants for the Prehospital Care of Severe Hemorrhagic Shock.,"Globally, traumatic injury is a leading cause of suffering and death. The ability to curtail damage and ensure survival after major injury requires a time-sensitive response balancing organ perfusion, blood loss, and portability, underscoring the need for novel therapies for the prehospital environment. Currently, there are few options available for damage control resuscitation (DCR) of trauma victims. We hypothesize that synthetic polymers, which are tunable, portable, and stable under austere conditions, can be developed as effective injectable therapies for trauma medicine. In this work, we design injectable polymers for use as low volume resuscitants (LVRs). Using RAFT polymerization, we evaluate the effect of polymer size, architecture, and chemical composition upon both blood coagulation and resuscitation in a rat hemorrhagic shock model. Our therapy is evaluated against a clinically used colloid resuscitant, Hextend. We demonstrate that a radiant star poly(glycerol monomethacrylate) polymer did not interfere with coagulation while successfully correcting metabolic deficit and resuscitating animals from hemorrhagic shock to the desired mean arterial pressure range for DCR - correcting a 60 % total blood volume (TBV) loss when given at only 10 % TBV. This highly portable and non-coagulopathic resuscitant has profound potential for application in trauma medicine."
2024 Mar 27,ACS central science,ACS Cent Sci. 2024 Feb 23;10(3):666-675. doi: 10.1021/acscentsci.3c01310. ,"['Nguyen, Dinh Chuong', 'Song, Kefan', 'Jokonya, Simbarashe', 'Yazdani, Omeed', 'Sellers, Drew L', 'Wang, Yonghui', 'Zakaria, Abm', 'Pun, Suzie H', 'Stayton, Patrick S']",[],Mannosylated STING Agonist Drugamers for Dendritic Cell-Mediated Cancer Immunotherapy.,"The Stimulator of Interferon Genes (STING) pathway is a promising target for cancer immunotherapy. Despite recent advances, therapies targeting the STING pathway are often limited by routes of administration, suboptimal STING activation, or off-target toxicity. Here, we report a dendritic cell (DC)-targeted polymeric prodrug platform (polySTING) that is designed to optimize intracellular delivery of a diamidobenzimidazole (diABZI) small-molecule STING agonist while minimizing off-target toxicity after parenteral administration. PolySTING incorporates mannose targeting ligands as a comonomer, which facilitates its uptake in CD206(+)/mannose receptor(+) professional antigen-presenting cells (APCs) in the tumor microenvironment (TME). The STING agonist is conjugated through a cathepsin B-cleavable valine-alanine (VA) linker for selective intracellular drug release after receptor-mediated endocytosis. When administered intravenously in tumor-bearing mice, polySTING selectively targeted CD206(+)/mannose receptor(+) APCs in the TME, resulting in increased cross-presenting CD8(+) DCs, infiltrating CD8(+) T cells in the TME as well as maturation across multiple DC subtypes in the tumor-draining lymph node (TDLN). Systemic administration of polySTING slowed tumor growth in a B16-F10 murine melanoma model as well as a 4T1 murine breast cancer model with an acceptable safety profile. Thus, we demonstrate that polySTING delivers STING agonists to professional APCs after systemic administration, generating efficacious DC-driven antitumor immunity with minimal side effects. This new polymeric prodrug platform may offer new opportunities for combining efficient targeted STING agonist delivery with other selective tumor therapeutic strategies."
2024,BME frontiers,BME Front. 2024 Mar 21;5:0038. doi: 10.34133/bmef.0038. eCollection 2024.,"['Song, Kefan', 'Pun, Suzie H']",[],Design and Evaluation of Synthetic Delivery Formulations for Peptide-Based Cancer Vaccines.,"With the recent advances in neoantigen identification, peptide-based cancer vaccines offer substantial potential in the field of immunotherapy. However, rapid clearance, low immunogenicity, and insufficient antigen-presenting cell (APC) uptake limit the efficacy of peptide-based cancer vaccines. This review explores the barriers hindering vaccine efficiency, highlights recent advancements in synthetic delivery systems, and features strategies for the key delivery steps of lymph node (LN) drainage, APC delivery, cross-presentation strategies, and adjuvant incorporation. This paper also discusses the design of preclinical studies evaluating vaccine efficiency, including vaccine administration routes and murine tumor models."
2023 Nov 14,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Nov 14;120(46):e2306129120. doi: ,"['Olshefsky, Audrey', 'Benasutti, Halli', 'Sylvestre, Meilyn', 'Butterfield, Gabriel L', 'Rocklin, Gabriel J', 'Richardson, Christian', 'Hicks, Derrick R', 'Lajoie, Marc J', 'Song, Kefan', 'Leaf, Elizabeth', 'Treichel, Catherine', 'Decarreau, Justin', 'Ke, Sharon', 'Kher, Gargi', 'Carter, Lauren', 'Chamberlain, Jeffrey S', 'Baker, David', 'King, Neil P', 'Pun, Suzie H']","[' peptide library', 'tissue distribution', ' proteins', 'nucleocapsid', 'mutation', 'biopanning', 'cancer', 'library selection', 'miniprotein', 'synthetic nucleocapsid']",In vivo selection of synthetic nucleocapsids for tissue targeting.,"Controlling the biodistribution of protein- and nanoparticle-based therapeutic formulations remains challenging. In vivo library selection is an effective method for identifying constructs that exhibit desired distribution behavior; library variants can be selected based on their ability to localize to the tissue or compartment of interest despite complex physiological challenges. Here, we describe further development of an in vivo library selection platform based on self-assembling protein nanoparticles encapsulating their own mRNA genomes (synthetic nucleocapsids or synNCs). We tested two distinct libraries: a low-diversity library composed of synNC surface mutations (45 variants) and a high-diversity library composed of synNCs displaying miniproteins with binder-like properties (6.2 million variants). While we did not identify any variants from the low-diversity surface library that yielded therapeutically relevant changes in biodistribution, the high-diversity miniprotein display library yielded variants that shifted accumulation toward lungs or muscles in just two rounds of in vivo selection. Our approach should contribute to achieving specific tissue homing patterns and identifying targeting ligands for diseases of interest."
2023 Aug 14,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2023 Aug 14;9(8):5062-5071. doi: ,"['Ling, Melissa', 'Cardle, Ian I', 'Song, Kefan', 'Yan, Alexander J', 'Kacherovsky, Nataly', 'Jensen, Michael C', 'Pun, Suzie H']","[' leukocytes, mononuclear', ' cd8-positive t-lymphocytes', 'leukocytes', 'chromatography', 'car t cell manufacturing', 'aptamers', 'cell isolation', 'chromatography']",Aptamer-Based Chromatographic Methods for Efficient and Economical Separation of Leukocyte Populations.,"The manufacturing process of chimeric antigen receptor T cell therapies includes isolation systems that provide pure T cells. Current magnetic-activated cell sorting and immunoaffinity chromatography methods produce desired cells with high purity and yield but require expensive equipment and reagents and involve time-consuming incubation steps. Here, we demonstrate that aptamers can be employed in a continuous-flow resin platform for both depletion of monocytes and selection of CD8(+) T cells from peripheral blood mononuclear cells at low cost with high purity and throughput. Aptamer-mediated cell selection could potentially enable fully synthetic, traceless isolations of leukocyte subsets from a single isolation system."
2023 Sep,Current opinion in biomedical engineering,Curr Opin Biomed Eng. 2023 Sep;27:100456. doi: 10.1016/j.cobme.2023.100456. Epub ,"['Pichon, Trey J', 'White, Nathan J', 'Pun, Suzie H']",[],ENGINEERED INTRAVENOUS THERAPIES FOR TRAUMA.,"Trauma leading to severe hemorrhage and shock on average kills patients within 3 to 6 hours after injury. With average prehospital transport times reaching 1-6 hours in low- to middle-income countries, stopping the bleeding and reversing hemorrhagic shock is vital. First-generation intravenous hemostats rely on traditional drug delivery platforms, such as self-assembling systems, fabricated nanoparticles, and soluble polymers due to their active targeting, biodistribution, and safety. We discuss some challenges translating these therapies to patients, as very few have successfully made it through preclinical evaluation in large-animals, and none have translated to the clinic. Finally, we discuss the physiology of hemorrhagic shock, highlight a new low volume resuscitant (LVR) PEG-20k, and end with considerations for the rational design of LVRs."
2023 May 17,Chemical science,Chem Sci. 2023 May 2;14(19):4961-4978. doi: 10.1039/d3sc00439b. eCollection 2023 ,"['Yang, Lucy F', 'Ling, Melissa', 'Kacherovsky, Nataly', 'Pun, Suzie H']",[],Aptamers 101: aptamer discovery and in vitro applications in biosensors and separations.,"Aptamers are single-stranded nucleic acids that bind and recognize targets much like antibodies. Recently, aptamers have garnered increased interest due to their unique properties, including inexpensive production, simple chemical modification, and long-term stability. At the same time, aptamers possess similar binding affinity and specificity as their protein counterpart. In this review, we discuss the aptamer discovery process as well as aptamer applications to biosensors and separations. In the discovery section, we describe the major steps of the library selection process for aptamers, called systematic evolution of ligands by exponential enrichment (SELEX). We highlight common approaches and emerging strategies in SELEX, from starting library selection to aptamer-target binding characterization. In the applications section, we first evaluate recently developed aptamer biosensors for SARS-CoV-2 virus detection, including electrochemical aptamer-based sensors and lateral flow assays. Then we discuss aptamer-based separations for partitioning different molecules or cell types, especially for purifying T cell subsets for therapeutic applications. Overall, aptamers are promising biomolecular tools and the aptamer field is primed for expansion in biosensing and cell separation."
2023 Apr,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2023 Apr;356:232-241. doi: 10.1016/j.jconrel.2023.03.004. Epub ,"['Song, Kefan', 'Nguyen, Dinh Chuong', 'Luu, Tran', 'Yazdani, Omeed', 'Roy, Debashish', 'Stayton, Patrick S', 'Pun, Suzie H']","['humans', 'polymers chemistry', 'antigens', 'peptides pharmacology', 'drug delivery systems', 'antigen presentation', ' neoplasms therapy', 'dendritic cells', ' cancer vaccines', 'cancer immunotherapy', 'cancer vaccine', 'cross-presentation', 'drug delivery', 'endosomal escape', 'micelles', 'polymer-peptide conjugates']",A mannosylated polymer with endosomal release properties for peptide antigen delivery.,"Peptide cancer vaccines have had limited clinical success despite their safety, characterization and production advantages. We hypothesize that the poor immunogenicity of peptides can be surmounted by delivery vehicles that overcome the systemic, cellular and intracellular drug delivery barriers faced by peptides. Here, we introduce Man-VIPER, a self-assembling (40-50 nm micelles), pH-sensitive, mannosylated polymeric peptide delivery platform that targets dendritic cells in the lymph nodes, encapsulates peptide antigens at physiological pH, and facilitates endosomal release of antigens at acidic endosomal pH through a conjugated membranolytic peptide melittin. We used d-melittin to improve the safety profile of the formulation without compromising the lytic properties. We evaluated polymers with both releasable (Man-VIPER-R) or non-releasable (Man-VIPER-NR) d-melittin. Both Man-VIPER polymers exhibited superior endosomolysis and antigen cross-presentation compared to non-membranolytic d-melittin-free analogues (Man-AP) in vitro. In vivo, Man-VIPER polymers demonstrated an adjuvanting effect, induced the proliferation of antigen-specific cytotoxic T cells and helper T cells compared to free peptides and Man-AP. Remarkably, antigen delivery with Man-VIPER-NR generated significantly more antigen-specific cytotoxic T cells than Man-VIPER-R in vivo. As our candidate for a therapeutic vaccine, Man-VIPER-NR exerted superior efficacy in a B16F10-OVA tumor model. These results highlight Man-VIPER-NR as a safe and powerful peptide cancer vaccine platform for cancer immunotherapy."
2023 Feb,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2023 Feb;354:188-195. doi: 10.1016/j.jconrel.2022.12.057. Epub ,"['Sellers, Drew L', 'Lee, Kunwoo', 'Murthy, Niren', 'Pun, Suzie H']","['mice', 'animals', 'humans', ' gene editing methods', ' crispr-cas systems', 'ribonucleases', 'peptides', 'neurons', 'brain', 'cas12a ribonuclease', 'neuronal delivery', 'non-viral crispr delivery', 'targeted delivery']",TAxI-peptide targeted Cas12a ribonuclease protein nanoformulations increase genome editing in hippocampal neurons.,"Gene therapy approaches that utilize Clustered Regularly Interspaced Short Palindromic Repeats (CRISPR) ribonucleases have tremendous potential to treat human disease. However, CRISPR therapies delivered by integrating viral vectors are limited by potential off-target genome editing caused by constitutive activation of ribonuclease functions. Thus, biomaterial formulations are being used for the delivery of purified CRISPR components to increase the efficiency and safety of genome editing approaches. We previously demonstrated that a novel peptide identified by phage display, TAxI-peptide, mediates delivery of recombinant proteins into neurons. In this report we utilized NeutrAvidin protein to formulate neuron-targeted genome-editing nanoparticles. Cas12a ribonucleases was loaded with biotinylated guide RNA and biotinylated TAxI-peptide onto NeutrAvidin protein to coordinate the formation a targeted ribonuclease protein (RNP) complex. TAxI-RNP complexes are polydisperse with a 14.3 nm radius. The nanoparticles are stable after formulation and show good stability in the presence of normal mouse serum. TAxI-RNP nanoparticles increased neuronal delivery of Cas12a in reporter mice, resulting in induced tdTomato expression after direct injection into the dentate gyrus of the hippocampus. TAxI-RNP nanoparticles also increased genome editing efficacy in hippocampal neurons versus glia. These studies demonstrate the ability to assemble RNP nanoformulations with NeutrAvidin by binding biotinylated peptides and gRNA-loaded Cas12a ribonucleases into protein nanoparticles that target CRISPR delivery to specific cell-types in vivo. The potential to deliver CRISPR nanoparticles to specific cell-types and control off-target delivery to further reduce deleterious genome editing is essential for the creation of viable therapies to treat nervous system disease."
2022 Oct 5,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2022 Oct 5;14(39):44136-44146. doi: ,"['Cheng, Emmeline L', 'Kacherovsky, Nataly', 'Pun, Suzie H']","[' aptamers, nucleotide metabolism', 'cell separation', 'flow cytometry', ' selex aptamer technique', 'aptamer', 'cell isolation', 'immunomagnetic separation', 'reversible binding', 'strand displacement']",Aptamer-Based Traceless Multiplexed Cell Isolation Systems.,"In both biomedical research and clinical cell therapy manufacturing, there is a need for cell isolation systems that recover purified cells in the absence of any selection agent. Reported traceless cell isolation methods using engineered antigen-binding fragments or aptamers have been limited to processing a single cell type at a time. There remains an unmet need for cell isolation processes that rapidly sort multiple target cell types. Here, we utilized two aptamers along with their designated complementary strands (reversal agents) to tracelessly isolate two cell types from a mixed cell population with one aptamer-labeling step and two sequential cell elution steps with reversal agents. We engineered a CD71-binding aptamer (rvCD71apt) and a reversal agent pair to be used simultaneously with our previously reported traceless purification approach using the CD8 aptamer (rvCD8apt) and its reversal agent. We verified the compatibility of the two aptamer displacement mechanisms by flow cytometry and the feasibility of incorporating rvCD71apt with a magnetic solid state. We then combined rvCD71apt with rvCD8apt to isolate activated CD4(+) T cells and resting CD8(+) cells by eluting these target cells into separate fractions with orthogonal strand displacements. This is the first demonstration of isolating different cell types using two aptamers and reversal agents at the same time. Potentially, different or more aptamers can be included in this traceless multiplexed isolation system for diverse applications with a shortened operation time and a lower production cost."
2022 Sep 20,Analytical chemistry,Anal Chem. 2022 Sep 20;94(37):12683-12690. doi: 10.1021/acs.analchem.2c01993. ,"['Yang, Lucy F', 'Kacherovsky, Nataly', 'Liang, Joey', 'Salipante, Stephen J', 'Pun, Suzie H']","['angiotensin-converting enzyme 2', 'antibodies, viral', ' aptamers, nucleotide', ' covid-19 diagnosis', 'humans', ' rna viruses', 'sars-cov-2 genetics']",SCORe: SARS-CoV-2 Omicron Variant RBD-Binding DNA Aptamer for Multiplexed Rapid Detection and Pseudovirus Neutralization.,"During the COVID-19 (coronavirus disease 2019) pandemic, several SARS-CoV-2 variants of concern emerged, including the Omicron variant, which has enhanced infectivity and immune invasion. Many antibodies and aptamers that bind the spike (S) of previous strains of SARS-CoV-2 either do not bind or bind with low affinity to Omicron S. In this study, we report a high-affinity SARS-CoV-2 Omicron RBD-binding aptamer (SCORe) that binds Omicron BA.1 and BA.2 RBD with nanomolar K(D1). We employ aptamers SCORe.50 and SNAP4.74 in a multiplexed lateral flow assay (LFA) to distinguish between Omicron and wild-type S at concentrations as low as 100 pM. Finally, we show that SCORe.50 and its dimerized form SCOReD can neutralize Omicron S-pseudotyped virus infection of ACE2-overexpressing cells by >70%. SCORe therefore has potential applications in COVID-19 rapid diagnostics as well as in viral neutralization."
2022 Aug 3,Journal of the American Chemical Society,J Am Chem Soc. 2022 Aug 3;144(30):13851-13864. doi: 10.1021/jacs.2c05349. Epub ,"['Cheng, Emmeline L', 'Cardle, Ian I', 'Kacherovsky, Nataly', 'Bansia, Harsh', 'Wang, Tong', 'Zhou, Yunshi', 'Raman, Jai', 'Yen, Albert', 'Gutierrez, Dominique', 'Salipante, Stephen J', 'des Georges, Amédée', 'Jensen, Michael C', 'Pun, Suzie H']","['cell- and tissue-based therapy', 'humans', 'leukocytes, mononuclear', ' neoplasms metabolism', 'receptors, antigen, t-cell metabolism', ' receptors, chimeric antigen genetics', 'receptors, transferrin metabolism', 't-lymphocytes']",Discovery of a Transferrin Receptor 1-Binding Aptamer and Its Application in Cancer Cell Depletion for Adoptive T-Cell Therapy Manufacturing.,"The clinical manufacturing of chimeric antigen receptor (CAR) T cells includes cell selection, activation, gene transduction, and expansion. While the method of T-cell selection varies across companies, current methods do not actively eliminate the cancer cells in the patient's apheresis product from the healthy immune cells. Alarmingly, it has been found that transduction of a single leukemic B cell with the CAR gene can confer resistance to CAR T-cell therapy and lead to treatment failure. In this study, we report the identification of a novel high-affinity DNA aptamer, termed tJBA8.1, that binds transferrin receptor 1 (TfR1), a receptor broadly upregulated by cancer cells. Using competition assays, high resolution cryo-EM, and de novo model building of the aptamer into the resulting electron density, we reveal that tJBA8.1 shares a binding site on TfR1 with holo-transferrin, the natural ligand of TfR1. We use tJBA8.1 to effectively deplete B lymphoma cells spiked into peripheral blood mononuclear cells with minimal impact on the healthy immune cell composition. Lastly, we present opportunities for affinity improvement of tJBA8.1. As TfR1 expression is broadly upregulated in many cancers, including difficult-to-treat T-cell leukemias and lymphomas, our work provides a facile, universal, and inexpensive approach for comprehensively removing cancerous cells from patient apheresis products for safe manufacturing of adoptive T-cell therapies."
2022 Mar 15,ACS macro letters,ACS Macro Lett. 2022 Mar 15;11(3):276-283. doi: 10.1021/acsmacrolett.1c00751. ,"['Prossnitz, Alexander N', 'Pun, Suzie H']","['amines', 'boron', 'boronic acids chemistry', 'catechols', 'delayed-action preparations', ' esters chemistry', ' micelles', 'polymers chemistry']",Modulating Boronic Ester Stability in Block Copolymer Micelles via the Neighbor Effect of Copolymerized Tertiary Amines for Controlled Release of Polyphenolic Drugs.,"The traceless and pH-sensitive properties of boronic esters are attractive for the synthesis of polymer-drug conjugates, but current platforms suffer from both low stability under physiologically relevant conditions and synthetically demanding optimization to tune drug release profiles. We hypothesized that the high catechol affinity and stability of Wulff-type boronic acids could be mimicked by copolymerization of phenyl boronic acid with a tertiary amine and subsequent micellization. This strategy yielded a versatile platform for the preparation of reversible polymer-drug conjugates, which more than doubled the oxidative stability of encapsulated polyphenolic drug cargo at physiologically relevant pH and enabled simple and incremental tuning of drug release kinetics. Moreover, we validated, with (19)F NMR, that these copolymers exhibit uniquely high catechol affinity that could not be replicated by combinations of similarly functionalized small molecules. Overall, this report demonstrates that copolymerization of boronic acid and tertiary amine monomers is a powerful and modular approach to improving boronic ester chemistry for drug delivery applications."
2022 May 24,Analytical chemistry,Anal Chem. 2022 May 24;94(20):7278-7285. doi: 10.1021/acs.analchem.2c00554. Epub ,"['Yang, Lucy F', 'Kacherovsky, Nataly', 'Panpradist, Nuttada', 'Wan, Ruixuan', 'Liang, Joey', 'Zhang, Bo', 'Salipante, Stephen J', 'Lutz, Barry R', 'Pun, Suzie H']","['antibodies, viral', ' aptamers, nucleotide chemistry', ' covid-19 diagnosis', 'covid-19 vaccines', 'humans', 'pandemics', 'sars-cov-2', 'spike glycoprotein, coronavirus']",Aptamer Sandwich Lateral Flow Assay (AptaFlow) for Antibody-Free SARS-CoV-2 Detection.,"The COVID-19 pandemic is among the greatest health and socioeconomic crises in recent history. Although COVID-19 vaccines are being distributed, there remains a need for rapid testing to limit viral spread from infected individuals. We previously identified the SARS-CoV-2 spike protein N-terminal domain (NTD) binding DNA aptamer 1 (SNAP1) for detection of SARS-CoV-2 virus by aptamer-antibody sandwich enzyme-linked immunoassay (ELISA) and lateral flow assay (LFA). In this work, we identify a new aptamer that also binds at the NTD, named SARS-CoV-2 spike protein NTD-binding DNA aptamer 4 (SNAP4). SNAP4 binds with high affinity (<30 nM) for the SARS-CoV-2 spike protein, a 2-fold improvement over SNAP1. Furthermore, we utilized both SNAP1 and SNAP4 in an aptamer sandwich LFA (AptaFlow), which detected SARS-CoV-2 UV-inactivated virus at concentrations as low as 10(6) copies/mL. AptaFlow costs <$1 per test to produce, provides results in <1 h, and detects SARS-CoV-2 at concentrations that indicate higher viral loads and a high probability of contagious transmission. AptaFlow is a potential approach for a low-cost, convenient antigen test to aid the control of the COVID-19 pandemic."
2022 Nov 16,Bioconjugate chemistry,Bioconjug Chem. 2022 Nov 16;33(11):2018-2034. doi: ,"['Olshefsky, Audrey', 'Richardson, Christian', 'Pun, Suzie H', 'King, Neil P']","['tissue distribution', ' nanoparticles', 'proteins therapeutic use', 'polymers', 'drug delivery systems']",Engineering Self-Assembling Protein Nanoparticles for Therapeutic Delivery.,"Despite remarkable advances over the past several decades, many therapeutic nanomaterials fail to overcome major in vivo delivery barriers. Controlling immunogenicity, optimizing biodistribution, and engineering environmental responsiveness are key outstanding delivery problems for most nanotherapeutics. However, notable exceptions exist including some lipid and polymeric nanoparticles, some virus-based nanoparticles, and nanoparticle vaccines where immunogenicity is desired. Self-assembling protein nanoparticles offer a powerful blend of modularity and precise designability to the field, and have the potential to solve many of the major barriers to delivery. In this review, we provide a brief overview of key designable features of protein nanoparticles and their implications for therapeutic delivery applications. We anticipate that protein nanoparticles will rapidly grow in their prevalence and impact as clinically relevant delivery platforms."
2022 May,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2022 May;345:661-674. doi: 10.1016/j.jconrel.2022.03.051. Epub ,"['Baldassi, Domizia', 'Ambike, Shubhankar', 'Feuerherd, Martin', 'Cheng, Cho-Chin', 'Peeler, David J', 'Feldmann, Daniel P', 'Porras-Gonzalez, Diana Leidy', 'Wei, Xin', 'Keller, Lea-Adriana', 'Kneidinger, Nikolaus', 'Stoleriu, Mircea Gabriel', 'Popp, Andreas', 'Burgstaller, Gerald', 'Pun, Suzie H', 'Michler, Thomas', 'Merkel, Olivia M']","[' covid-19 therapy', 'humans', 'lung metabolism', 'polymers chemistry', 'rna, small interfering', ' sars-cov-2 genetics', 'virus replication genetics', 'human precision-cut lung slices', 'pulmonary delivery', 'rna therapeutics', 'sars-cov-2', 'sirna delivery']",Inhibition of SARS-CoV-2 replication in the lung with siRNA/VIPER polyplexes.,"SARS-CoV-2 has been the cause of a global pandemic since 2019 and remains a medical urgency. siRNA-based therapies are a promising strategy to fight viral infections. By targeting a specific region of the viral genome, siRNAs can efficiently downregulate viral replication and suppress viral infection. However, to achieve the desired therapeutic activity, siRNA requires a suitable delivery system. The VIPER (virus-inspired polymer for endosomal release) block copolymer has been reported as promising delivery system for both plasmid DNA and siRNA in the past years. It is composed of a hydrophilic block for condensation of nucleic acids as well as a hydrophobic, pH-sensitive block that, at acidic pH, exposes the membrane lytic peptide melittin, which enhances endosomal escape. In this study, we aimed at developing a formulation for pulmonary administration of siRNA to suppress SARS-CoV-2 replication in lung epithelial cells. After characterizing siRNA/VIPER polyplexes, the activity and safety profile were confirmed in a lung epithelial cell line. To further investigate the activity of the polyplexes in a more sophisticated cell culture system, an air-liquid interface (ALI) culture was established. siRNA/VIPER polyplexes reached the cell monolayer and penetrated through the mucus layer secreted by the cells. Additionally, the activity against wild-type SARS-CoV-2 in the ALI model was confirmed by qRT-PCR. To investigate translatability of our findings, the activity against SARS-CoV-2 was tested ex vivo in human lung explants. Here, siRNA/VIPER polyplexes efficiently inhibited SARS-CoV-2 replication. Finally, we verified the delivery of siRNA/VIPER polyplexes to lung epithelial cells in vivo, which represent the main cellular target of viral infection in the lung. In conclusion, siRNA/VIPER polyplexes efficiently delivered siRNA to lung epithelial cells and mediated robust downregulation of viral replication both in vitro and ex vivo without toxic or immunogenic side effects in vivo, demonstrating the potential of local siRNA delivery as a promising antiviral therapy in the lung."
2022 Apr,Nature reviews. Materials,Nat Rev Mater. 2022 Apr;7(4):314-331. doi: 10.1038/s41578-021-00394-w. Epub 2021 ,"['Nance, Elizabeth', 'Pun, Suzie H', 'Saigal, Rajiv', 'Sellers, Drew L']",[],Drug delivery to the central nervous system.,"Despite the rising global incidence of central nervous system (CNS) disorders, CNS drug development remains challenging, with high costs, long pathways to clinical use and high failure rates. The CNS is highly protected by physiological barriers, in particular, the blood-brain barrier and the blood-cerebrospinal fluid barrier, which limit access of most drugs. Biomaterials can be designed to bypass or traverse these barriers, enabling the controlled delivery of drugs into the CNS. In this Review, we first examine the effects of normal and diseased CNS physiology on drug delivery to the brain and spinal cord. We then discuss CNS drug delivery designs and materials that are administered systemically, directly to the CNS, intranasally or peripherally through intramuscular injections. Finally, we highlight important challenges and opportunities for materials design for drug delivery to the CNS and the anticipated clinical impact of CNS drug delivery."
2022 May,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2022 May;345:278-291. doi: 10.1016/j.jconrel.2022.03.018. Epub ,"['Ma, Wei', 'Kang, Gui-Ying', 'Sun, Lu', 'Meng, Chao', 'Liu, Ying', 'Zheng, Zhi', 'Jiang, Ming-Chao', 'Wang, Dun', 'Pun, Suzie H', 'Yu, Cui-Yun', 'Wei, Hua']","['animals', ' antineoplastic agents', 'drug delivery systems', 'mice', ' micelles', 'polyethylene glycols chemistry', 'polymerization', 'polymers chemistry', 'colloidal stability', 'enhanced drug delivery', 'multicyclic copolymers', 'number of cyclic units']",Multicyclic topology-enhanced anticancer drug delivery.,"Inspired by the biological use of a combination of precision and self-assembly to achieve exquisite control and diversity from 20 natural amino acids, there is considerable scope for the development of synthetic precision materials with complex architecture that can access advanced function for biomedical applications. Single cyclic polymers (SCPs) have been shown to offer different and often better performance compared to their linear analogues. Because multicyclic topology in nature offers enhanced effects relative to single cyclization, we hypothesize that multicyclic polymers (MCPs) would access unique features compared to SCPs. However, there are currently quite limited ways to efficiently synthesize MCPs and to precisely modulate the valency of cyclic units. In this work, we report for the first time a straightforward and robust strategy to synthesize MCPs with controllable valency via facile one-pot statistical reversible addition-fragmentation chain transfer (RAFT) copolymerization. We use this strategy to synthesize biocompatible MCPs based on the most classic and important biocompatible polymers of oligo (ethylene glycol) (OEG) and cyclic poly(ε-caprolactone) (cPCL), which can further self-assemble into well-defined nanostructures. We then apply these MCP-based formulations as drug delivery vehicles and demonstrate greater colloidal stability with a low critical micelle concentration (CMC) of 80.3 nM, larger drug loading capacity, higher cellular uptake efficiency, more tumor accumulation, and increased anti-tumor efficacy in murine tumor models compared to SCP-based analogues. We believe this cumulative work demonstrating facile synthesis of MCPs and demonstration of multicyclic topology-enhanced anti-cancer efficiency in vivo provides key technologies and concepts to the burgeoning field of cyclic topology-derived biomaterials."
2022 May,Advanced healthcare materials,Adv Healthc Mater. 2022 May;11(9):e2101651. doi: 10.1002/adhm.202101651. Epub ,"['Lv, Shixian', 'Song, Kefan', 'Yen, Albert', 'Peeler, David J', 'Nguyen, Dinh Chuong', 'Olshefsky, Audrey', 'Sylvestre, Meilyn', 'Srinivasan, Selvi', 'Stayton, Patrick S', 'Pun, Suzie H']","['animals', 'antigens', ' cancer vaccines', 'drug delivery systems', 'mice', 'micelles', ' neoplasms therapy', 'peptides', 'polymers chemistry', 'vaccines, subunit', 'cancer immunotherapy', 'cancer vaccines', 'peptides', 'polymer-peptide conjugates', 'polymeric micelles']",Well-Defined Mannosylated Polymer for Peptide Vaccine Delivery with Enhanced Antitumor Immunity.,"Peptide-based cancer vaccines offer production and safety advantages but have had limited clinical success due to their intrinsic instability, rapid clearance, and low cellular uptake. Nanoparticle-based delivery vehicles can improve the in vivo stability and cellular uptake of peptide antigens. Here, a well-defined, self-assembling mannosylated polymer is developed for anticancer peptide antigen delivery. The amphiphilic polymer is prepared by reversible addition-fragmentation chain transfer (RAFT) polymerization, and the peptide antigens are conjugated to the pH-sensitive hydrophobic block through the reversible disulfide linkage for selective release after cell entry. The polymer-peptide conjugates self-assemble into sub-100 nm micelles at physiological pH and dissociate at endosomal pH. The mannosylated micellar corona increases the accumulation of vaccine cargoes in the draining inguinal lymph nodes and facilitates nanoparticle uptake by professional antigen presenting cells. In vivo studies demonstrate that the mannosylated micelle formulation improves dendritic cell activation and enhances antigen-specific T cell responses, resulting in higher antitumor immunity in tumor-bearing mice compared to free peptide antigen. The mannosylated polymer is therefore a simple and promising platform for the delivery of peptide cancer vaccines."
