time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Chemistry of materials : a publication of the American Chemical Society,Chem Mater. 2024 May 17;36(11):5378-5387. doi: 10.1021/acs.chemmater.4c00137. ,"['Sarswat, Akriti', 'Bacsa, John', 'Roy, Ankana', 'Marreiros, Joao', 'Finn, M G', 'Sholl, David S', 'Lively, Ryan P']",[],Investigating the Effect of Trace Levels of Manganese Ions During Solvothermal Synthesis of Massey University Framework-16 on CO(2) Uptake Capacity.,"The effects of impurities on reaction precursors for metal-organic framework (MOF) synthesis have not been studied in extensive detail. The impact of these impurities can be an important factor while considering scale-up of these materials. In this work, we study the apparently positive impact of the presence of manganese ions for the synthesis of a Co-based MOF, Massey University Framework-16 (MUF-16). The presence of a trace amount of manganese in the reaction mixture led to consistently high CO(2) uptake across multiple batches. Characterization including X-ray diffraction, scanning electron microscopy, Fourier transform infrared-attenuated total reflectance, ultraviolet-visible spectroscopy, thermogravimetric analysis, X-ray photoelectron spectroscopy, and extended X-ray absorption fine structure spectroscopy led us to hypothesize that the differences in CO(2) adsorption among materials with differing synthesis routes arise from variations in the local environment around the cobalt metal center. Aided by density functional theory calculations, we speculate that manganese ions get inserted into the structure during crystallization and act as catalysts for ligand substitution, improving the possibility for octahedral coordination of cobalt with the ligand, thus leading to Co-based pristine structures with higher CO(2) uptakes."
2024 Apr 12,ACS infectious diseases,ACS Infect Dis. 2024 Apr 12;10(4):1162-1173. doi: 10.1021/acsinfecdis.3c00479. ,"['Fan, Zixing', 'Pavlova, Anna', 'Jenkins, Matthew C', 'Bassit, Leda', 'Salman, Mohammad', 'Lynch, Diane L', 'Patel, Dharmeshkumar', 'Korablyov, Maksym', 'Finn, M G', 'Schinazi, Raymond F', 'Gumbart, James C']","[' hepatitis b virus', ' capsid metabolism', 'capsid proteins', 'virus assembly', 'nucleocapsid', 'cam', 'hbv', 'docking', 'molecular dynamics']",Biophysics-Guided Lead Discovery of HBV Capsid Assembly Modifiers.,"Hepatitis B virus (HBV) is the leading cause of chronic liver pathologies worldwide. HBV nucleocapsid, a key structural component, is formed through the self-assembly of the capsid protein units. Therefore, interfering with the self-assembly process is a promising approach for the development of novel antiviral agents. Applied to HBV, this approach has led to several classes of capsid assembly modulators (CAMs). Here, we report structurally novel CAMs with moderate activity and low toxicity, discovered through a biophysics-guided approach combining docking, molecular dynamics simulations, and a series of assays with a particular emphasis on biophysical experiments. Several of the identified compounds induce the formation of aberrant capsids and inhibit HBV DNA replication in vitro, suggesting that they possess modest capsid assembly modulation effects. The synergistic computational and experimental approaches provided key insights that facilitated the identification of compounds with promising activities. The discovery of preclinical CAMs presents opportunities for subsequent optimization efforts, thereby opening new avenues for HBV inhibition."
2024 Feb 26,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 26:2024.02.24.581861. doi: ,"['Bhattacharya, Sonia', 'Jenkins, Matthew C', 'Keshavarz-Joud, Parisa', 'Bourque, Alisyn Retos', 'White, Keiyana', 'Alvarez Barkane, Amina M', 'Bryksin, Anton V', 'Hernandez, Carolina', 'Kopylov, Mykhailo', 'Finn, M G']",[],Heterologous Prime-Boost with Immunologically Orthogonal Protein Nanoparticles for Peptide Immunofocusing.,"Protein nanoparticles are effective platforms for antigen presentation and targeting effector immune cells in vaccine development. Encapsulins are a class of protein-based microbial nanocompartments that self-assemble into icosahedral structures with external diameters ranging from 24 to 42 nm. Encapsulins from Mxyococcus xanthus were designed to package bacterial RNA when produced in E. coli and were shown to have immunogenic and self-adjuvanting properties enhanced by this RNA. We genetically incorporated a 20-mer peptide derived from a mutant strain of the SARS-CoV-2 receptor binding domain (RBD) into the encapsulin protomeric coat protein for presentation on the exterior surface of the particle. This immunogen elicited conformationally-relevant humoral responses to the SARS-CoV-2 RBD. Immunological recognition was enhanced when the same peptide was presented in a heterologous prime/boost vaccination strategy using the engineered encapsulin and a previously reported variant of the PP7 virus-like particle, leading to the development of a selective antibody response against a SARS-CoV-2 RBD point mutant. While generating epitope-focused antibody responses is an interplay between inherent vaccine properties and B/T cells, here we demonstrate the use of orthogonal nanoparticles to fine-tune the control of epitope focusing."
2024 Apr 1,"Journal of immunology (Baltimore, Md. : 1950)",J Immunol. 2024 Apr 1;212(7):1094-1104. doi: 10.4049/jimmunol.2300769.,"['Costanzo, Anne', 'Clarke, Don', 'Holt, Marie', 'Sharma, Siddhartha', 'Nagy, Kenna', 'Tan, Xuqian', 'Kain, Lisa', 'Abe, Brian', 'Luce, Sandrine', 'Boitard, Christian', 'Wyseure, Tine', 'Mosnier, Laurent O', 'Su, Andrew I', 'Grimes, Catherine', 'Finn, M G', 'Savage, Paul B', 'Gottschalk, Michael', 'Pettus, Jeremy', 'Teyton, Luc']","['humans', 'mice', 'animals', ' diabetes mellitus, type 1', ' islets of langerhans', 'endothelial cells', 'histocompatibility antigens class ii', 'inflammation pathology', 'mice, inbred nod']",Repositioning the Early Pathology of Type 1 Diabetes to the Extraislet Vasculature.,"Type 1 diabetes (T1D) is a prototypic T cell-mediated autoimmune disease. Because the islets of Langerhans are insulated from blood vessels by a double basement membrane and lack detectable lymphatic drainage, interactions between endocrine and circulating T cells are not permitted. Thus, we hypothesized that initiation and progression of anti-islet immunity required islet neolymphangiogenesis to allow T cell access to the islet. Combining microscopy and single cell approaches, the timing of this phenomenon in mice was situated between 5 and 8 wk of age when activated anti-insulin CD4 T cells became detectable in peripheral blood while peri-islet pathology developed. This ""peri-insulitis,"" dominated by CD4 T cells, respected the islet basement membrane and was limited on the outside by lymphatic endothelial cells that gave it the attributes of a tertiary lymphoid structure. As in most tissues, lymphangiogenesis seemed to be secondary to local segmental endothelial inflammation at the collecting postcapillary venule. In addition to classic markers of inflammation such as CD29, V-CAM, and NOS, MHC class II molecules were expressed by nonhematopoietic cells in the same location both in mouse and human islets. This CD45- MHC class II+ cell population was capable of spontaneously presenting islet Ags to CD4 T cells. Altogether, these observations favor an alternative model for the initiation of T1D, outside of the islet, in which a vascular-associated cell appears to be an important MHC class II-expressing and -presenting cell."
2024 Jan 18,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 18:2024.01.18.575711. doi: ,"['Lensch, Valerie', 'Gabba, Adele', 'Hincapie, Robert', 'Bhagchandani, Sachin H', 'Basak, Ankit', 'Alam, Mohammad Murshid', 'Irvine, Darrell J', 'Shalek, Alex K', 'Johnson, Jeremiah A', 'Finn, M G', 'Kiessling, Laura L']",[],Glycan-costumed virus-like particles promote type 1 anti-tumor immunity.,"Cancer vaccine development is inhibited by a lack of strategies for directing dendritic cell (DC) induction of effective tumor-specific cellular immunity. Pathogen engagement of DC lectins and toll-like receptors (TLRs) shapes immunity by directing T cell function. Strategies to activate specific DC signaling pathways via targeted receptor engagement are crucial to unlocking type 1 cellular immunity. Here, we engineered a glycan-costumed virus-like particle (VLP) vaccine that delivers programmable peptide antigens to induce tumor-specific cellular immunity in vivo. VLPs encapsulating TLR7 agonists and decorated with a selective mannose-derived ligand for the lectin DC-SIGN induced robust DC activation and type 1 cellular immunity, whereas VLPs lacking this key DC-SIGN ligand failed to promote DC-mediated immunity. Vaccination with glycan-costumed VLPs generated tumor antigen-specific Th1 CD4(+) and CD8(+) T cells that infiltrated solid tumors, inhibiting tumor growth in a murine melanoma model. Thus, VLPs employing lectin-driven immune reprogramming provide a framework for advancing cancer immunotherapies."
2023 Nov 10,"Science (New York, N.Y.)",Science. 2023 Nov 10;382(6671):679-683. doi: 10.1126/science.adh8830. Epub 2023 ,"['Robinson, M L', 'Hahn, P G', 'Inouye, B D', 'Underwood, N', 'Whitehead, S R', 'Abbott, K C', 'Bruna, E M', 'Cacho, N I', 'Dyer, L A', 'Abdala-Roberts, L', 'Allen, W J', 'Andrade, J F', 'Angulo, D F', 'Anjos, D', 'Anstett, D N', 'Bagchi, R', 'Bagchi, S', 'Barbosa, M', 'Barrett, S', 'Baskett, C A', 'Ben-Simchon, E', 'Bloodworth, K J', 'Bronstein, J L', 'Buckley, Y M', 'Burghardt, K T', 'Bustos-Segura, C', 'Calixto, E S', 'Carvalho, R L', 'Castagneyrol, B', 'Chiuffo, M C', 'Cinoğlu, D', 'Cinto Mejía, E', 'Cock, M C', 'Cogni, R', 'Cope, O L', 'Cornelissen, T', 'Cortez, D R', 'Crowder, D W', 'Dallstream, C', 'Dáttilo, W', 'Davis, J K', 'Dimarco, R D', 'Dole, H E', 'Egbon, I N', 'Eisenring, M', 'Ejomah, A', 'Elderd, B D', 'Endara, M-J', 'Eubanks, M D', 'Everingham, S E', 'Farah, K N', 'Farias, R P', 'Fernandes, A P', 'Fernandes, G W', 'Ferrante, M', 'Finn, A', 'Florjancic, G A', 'Forister, M L', 'Fox, Q N', 'Frago, E', 'França, F M', 'Getman-Pickering, A S', 'Getman-Pickering, Z', 'Gianoli, E', 'Gooden, B', 'Gossner, M M', 'Greig, K A', 'Gripenberg, S', 'Groenteman, R', 'Grof-Tisza, P', 'Haack, N', 'Hahn, L', 'Haq, S M', 'Helms, A M', 'Hennecke, J', 'Hermann, S L', 'Holeski, L M', 'Holm, S', 'Hutchinson, M C', 'Jackson, E E', 'Kagiya, S', 'Kalske, A', 'Kalwajtys, M', 'Karban, R', 'Kariyat, R', 'Keasar, T', 'Kersch-Becker, M F', 'Kharouba, H M', 'Kim, T N', 'Kimuyu, D M', 'Kluse, J', 'Koerner, S E', 'Komatsu, K J', 'Krishnan, S', 'Laihonen, M', 'Lamelas-López, L', 'LaScaleia, M C', 'Lecomte, N', 'Lehn, C R', 'Li, X', 'Lindroth, R L', 'LoPresti, E F', 'Losada, M', 'Louthan, A M', 'Luizzi, V J', 'Lynch, S C', 'Lynn, J S', 'Lyon, N J', 'Maia, L F', 'Maia, R A', 'Mannall, T L', 'Martin, B S', 'Massad, T J', 'McCall, A C', 'McGurrin, K', 'Merwin, A C', 'Mijango-Ramos, Z', 'Mills, C H', 'Moles, A T', 'Moore, C M', 'Moreira, X', 'Morrison, C R', 'Moshobane, M C', 'Muola, A', 'Nakadai, R', 'Nakajima, K', 'Novais, S', 'Ogbebor, C O', 'Ohsaki, H', 'Pan, V S', 'Pardikes, N A', 'Pareja, M', 'Parthasarathy, N', 'Pawar, R R', 'Paynter, Q', 'Pearse, I S', 'Penczykowski, R M', 'Pepi, A A', 'Pereira, C C', 'Phartyal, S S', 'Piper, F I', 'Poveda, K', 'Pringle, E G', 'Puy, J', 'Quijano, T', 'Quintero, C', 'Rasmann, S', 'Rosche, C', 'Rosenheim, L Y', 'Rosenheim, J A', 'Runyon, J B', 'Sadeh, A', 'Sakata, Y', 'Salcido, D M', 'Salgado-Luarte, C', 'Santos, B A', 'Sapir, Y', 'Sasal, Y', 'Sato, Y', 'Sawant, M', 'Schroeder, H', 'Schumann, I', 'Segoli, M', 'Segre, H', 'Shelef, O', 'Shinohara, N', 'Singh, R P', 'Smith, D S', 'Sobral, M', 'Stotz, G C', 'Tack, A J M', 'Tayal, M', 'Tooker, J F', 'Torrico-Bazoberry, D', 'Tougeron, K', 'Trowbridge, A M', 'Utsumi, S', 'Uyi, O', 'Vaca-Uribe, J L', 'Valtonen, A', 'van Dijk, L J A', 'Vandvik, V', 'Villellas, J', 'Waller, L P', 'Weber, M G', 'Yamawo, A', 'Yim, S', 'Zarnetske, P L', 'Zehr, L N', 'Zhong, Z', 'Wetzel, W C']","['ecosystem', ' herbivory', 'phylogeny', ' plants', ' plant defense against herbivory', 'animals', ' biological variation, population', 'biological evolution']","Plant size, latitude, and phylogeny explain within-population variability in herbivory.","Interactions between plants and herbivores are central in most ecosystems, but their strength is highly variable. The amount of variability within a system is thought to influence most aspects of plant-herbivore biology, from ecological stability to plant defense evolution. Our understanding of what influences variability, however, is limited by sparse data. We collected standardized surveys of herbivory for 503 plant species at 790 sites across 116° of latitude. With these data, we show that within-population variability in herbivory increases with latitude, decreases with plant size, and is phylogenetically structured. Differences in the magnitude of variability are thus central to how plant-herbivore biology varies across macroscale gradients. We argue that increased focus on interaction variability will advance understanding of patterns of life on Earth.CN - Herbivory Variability Network*†"
2024 Jan,Veterinary pathology,Vet Pathol. 2024 Jan;61(1):157-159. doi: 10.1177/03009858231209409. Epub 2023 Nov ,"['Schulman, F Yvonne', 'Bertram, Christof A', 'Meuten, Donald J', 'Moore, Frances M', 'Avallone, Giancarlo', 'Bartel, Alexander', 'Bolfa, Pompei', 'Camus, Melinda', 'Chambers, James K', 'Dark, Michael J', 'Dervisis, Nick', 'Dobromylskyj, Melanie J', 'Donovan, Taryn A', 'Foster, Robert A', 'Krimer, Paula M', 'Miller, Andrew', 'Milovancev, Milan', 'Roccabianca, Paola', 'Selmic, Laura E', 'Wood, Geoff A']","['animals', 'neoplasm grading', ' neoplasms diagnosis veterinary']","Overview of the Veterinary Cancer Guidelines and Protocols group's ""Developing, reporting and validating histologic tumor grading systems"".",
2023 Dec,Nature materials,Nat Mater. 2023 Dec;22(12):1540-1547. doi: 10.1038/s41563-023-01682-2. Epub 2023 ,"['Bruno, Nicholas C', 'Mathias, Ronita', 'Lee, Young Joo', 'Zhu, Guanghui', 'Ahn, Yun-Ho', 'Rangnekar, Neel D', 'Johnson, J R', 'Hoy, Scott', 'Bechis, Irene', 'Tarzia, Andrew', 'Jelfs, Kim E', 'McCool, Benjamin A', 'Lively, Ryan', 'Finn, M G']",[],Solution-processable polytriazoles from spirocyclic monomers for membrane-based hydrocarbon separations.,"The thermal distillation of crude oil mixtures is an energy-intensive process, accounting for nearly 1% of global energy consumption. Membrane-based separations are an appealing alternative or tandem process to distillation due to intrinsic energy efficiency advantages. We developed a family of spirocyclic polytriazoles from structurally diverse monomers for membrane applications. The resulting polymers were prepared by a convenient step-growth method using copper-catalysed azide-alkyne cycloaddition, providing very fast reaction rates, high molecular weights and solubilities in common organic solvents and non-interconnected microporosity. Fractionation of whole Arabian light crude oil and atmospheric tower bottom feeds using these materials enriched the low-boiling-point components and removed trace heteroatom and metal impurities (comparable performance with the lighter feed as the commercial polyimide, Matrimid), demonstrating opportunities to reduce the energy cost of crude oil distillation with tandem membrane processes. Membrane-based molecular separation under these demanding conditions is made possible by high thermal stability and a moderate level of dynamic chain mobility, leading to transient interconnections between micropores, as revealed by the calculations of static and swollen pore structures."
2023 Sep 26,ACS nano,ACS Nano. 2023 Sep 26;17(18):18470-18480. doi: 10.1021/acsnano.3c06178. Epub 2023 ,"['Keshavarz-Joud, Parisa', 'Zhao, Liangjun', 'Bobe, Daija', 'Hernandez, Carolina', 'Kopylov, Mykhailo', 'Yen, Laura Y', 'Djeddar, Naima', 'Thompson, Brianna', 'Connors, Caleb', 'Gibson, Greg', 'Bryksin, Anton', 'Finn, M G']","[' peptides', 'amino acid sequence', ' amino acids', 'capsid', 'capsid proteins genetics', 'polymers', 'molecular library', 'peptide display', 'selection', 'self-assembly', 'virus-like particles']",Exploring the Landscape of the PP7 Virus-like Particle for Peptide Display.,"Self-assembling virus-like particles (VLPs) can tolerate a wide degree of genetic and chemical manipulation to their capsid protein to display a foreign molecule polyvalently. We previously reported the successful incorporation of foreign peptide sequences in the junction loop and onto the C-terminus of PP7 dimer VLPs, as these regions are accessible for surface display on assembled capsids. Here, we report the implementation of a library-based approach to test the assembly tolerance of PP7 dimer capsid proteins to insertions or terminal extensions of randomized 15-mer peptide sequences. By performing two iterative rounds of assembly-based selection, we evaluated the degree of favorability of all 20 amino acids at each of the 15 randomized positions. Deep sequencing analysis revealed a distinct preference for the inclusion of hydrophilic peptides and negatively charged amino acids (Asp and Glu) and the exclusion of positively charged peptides and bulky and hydrophobic amino acid residues (Trp, Phe, Tyr, and Cys). Within the libraries tested here, we identified 4000 to 22,000 unique 15-mer peptide sequences that can successfully be displayed on the surface of the PP7 dimer capsid. Overall, the use of small initial libraries consisting of no more than a few million members yielded a significantly larger number of unique and assembly-competent VLP sequences than have been previously characterized for this class of nucleoprotein particle."
2023 Dec,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2023 Dec;19(52):e2304263. doi: 10.1002/smll.202304263. Epub 2023 Aug 30.,"['Hincapie, Robert', 'Bhattacharya, Sonia', 'Baksh, Michael M', 'Sanhueza, Carlos A', 'Echeverri, Elisa Schrader', 'Kim, Hyejin', 'Paunovska, Kalina', 'Podilapu, Ananda R', 'Xu, Minghao', 'Dahlman, James E', 'Finn, M G']","['animals', 'mice', 'asialoglycoprotein receptor', 'ligands', ' endothelial cells metabolism', ' liver metabolism', 'hepatocytes metabolism', 'hepatocellular targeting', 'nanoparticles', 'protein-carbohydrate conjugates', 'virus-like particles']",Multivalent Targeting of the Asialoglycoprotein Receptor by Virus-Like Particles.,"The asialoglycoprotein receptor (ASGPR) is expressed in high density on hepatocytes. Multivalent variants of galactosyl carbohydrates bind ASGPR with high affinity, enabling hepatic delivery of ligand-bound cargo. Virus-like particle (VLP) conjugates of a relatively high-affinity ligand were efficiently endocytosed by ASGPR-expressing cells in a manner strongly dependent on the nature and density of ligand display, with the best formulation using a nanomolar-, but not a picomolar-level, binder. Optimized particles were taken up by HepG2 cells with greater efficiency than competing small molecules or the natural multigalactosylated ligand, asialoorosomucoid. Upon systemic injection in mice, these VLPs were rapidly cleared to the liver and were found in association with sinusoidal endothelial cells, Kupffer cells, hepatocytes, dendritic cells, and other immune cells. Both ASGPR-targeted and nontargeted particles were distributed similarly to endothelial and Kupffer cells, but targeted particles were distributed to a greater number and fraction of hepatocytes. Thus, selective cellular trafficking in the liver is difficult to achieve: even with the most potent ASGPR targeting available, barrier cells take up much of the injected particles and hepatocytes are accessed only approximately twice as efficiently in the best case."
2023 Jul 22,Microscopy and microanalysis : the official journal of Microscopy Society of ,Microsc Microanal. 2023 Jul 22;29(Supplement_1):906-910. doi: ,"['Newton, Thomas', 'Zhao, Liangjun', 'Finn, M G', 'Kopylov, Mykhailo']",[],Diversity in Qβ Virus-like Particle Cage Assembly via Coat Protein Monomers and AYGG-linked Dimers.,
2023 Aug 15,Nature communications,Nat Commun. 2023 Aug 15;14(1):4931. doi: 10.1038/s41467-023-40257-2.,"['Lee, Young Joo', 'Chen, Lihua', 'Nistane, Janhavi', 'Jang, Hye Youn', 'Weber, Dylan J', 'Scott, Joseph K', 'Rangnekar, Neel D', 'Marshall, Bennett D', 'Li, Wenjun', 'Johnson, J R', 'Bruno, Nicholas C', 'Finn, M G', 'Ramprasad, Rampi', 'Lively, Ryan P']",[],Data-driven predictions of complex organic mixture permeation in polymer membranes.,"Membrane-based organic solvent separations are rapidly emerging as a promising class of technologies for enhancing the energy efficiency of existing separation and purification systems. Polymeric membranes have shown promise in the fractionation or splitting of complex mixtures of organic molecules such as crude oil. Determining the separation performance of a polymer membrane when challenged with a complex mixture has thus far occurred in an ad hoc manner, and methods to predict the performance based on mixture composition and polymer chemistry are unavailable. Here, we combine physics-informed machine learning algorithms (ML) and mass transport simulations to create an integrated predictive model for the separation of complex mixtures containing up to 400 components via any arbitrary linear polymer membrane. We experimentally demonstrate the effectiveness of the model by predicting the separation of two crude oils within 6-7% of the measurements. Integration of ML predictors of diffusion and sorption properties of molecules with transport simulators enables for the rapid screening of polymer membranes prior to physical experimentation for the separation of complex liquid mixtures."
2023 Sep 6,EMBO reports,EMBO Rep. 2023 Sep 6;24(9):e57850. doi: 10.15252/embr.202357850. Epub 2023 Aug 1.,"['Finn, M G', 'Kamerlin, Shina Caroline Lynn']",[],Representation matters: responding to the current campaign against DEI efforts.,"Abandonment of diversity, equity and inclusion programs undermines fairness and the productivity of research."
2023,PloS one,PLoS One. 2023 Jun 23;18(6):e0286297. doi: 10.1371/journal.pone.0286297. ,"['Horwitz, Leora I', 'Thaweethai, Tanayott', 'Brosnahan, Shari B', 'Cicek, Mine S', 'Fitzgerald, Megan L', 'Goldman, Jason D', 'Hess, Rachel', 'Hodder, S L', 'Jacoby, Vanessa L', 'Jordan, Michael R', 'Krishnan, Jerry A', 'Laiyemo, Adeyinka O', 'Metz, Torri D', 'Nichols, Lauren', 'Patzer, Rachel E', 'Sekar, Anisha', 'Singer, Nora G', 'Stiles, Lauren E', 'Taylor, Barbara S', 'Ahmed, Shifa', 'Algren, Heather A', 'Anglin, Khamal', 'Aponte-Soto, Lisa', 'Ashktorab, Hassan', 'Bassett, Ingrid V', 'Bedi, Brahmchetna', 'Bhadelia, Nahid', 'Bime, Christian', 'Bind, Marie-Abele C', 'Black, Lora J', 'Blomkalns, Andra L', 'Brim, Hassan', 'Castro, Mario', 'Chan, James', 'Charney, Alexander W', 'Chen, Benjamin K', 'Chen, Li Qing', 'Chen, Peter', 'Chestek, David', 'Chibnik, Lori B', 'Chow, Dominic C', 'Chu, Helen Y', 'Clifton, Rebecca G', 'Collins, Shelby', 'Costantine, Maged M', 'Cribbs, Sushma K', 'Deeks, Steven G', 'Dickinson, John D', 'Donohue, Sarah E', 'Durstenfeld, Matthew S', 'Emery, Ivette F', 'Erlandson, Kristine M', 'Facelli, Julio C', 'Farah-Abraham, Rachael', 'Finn, Aloke V', 'Fischer, Melinda S', 'Flaherman, Valerie J', 'Fleurimont, Judes', 'Fonseca, Vivian', 'Gallagher, Emily J', 'Gander, Jennifer C', 'Gennaro, Maria Laura', 'Gibson, Kelly S', 'Go, Minjoung', 'Goodman, Steven N', 'Granger, Joey P', 'Greenway, Frank L', 'Hafner, John W', 'Han, Jenny E', 'Harkins, Michelle S', 'Hauser, Kristine S P', 'Heath, James R', 'Hernandez, Carla R', 'Ho, On', 'Hoffman, Matthew K', 'Hoover, Susan E', 'Horowitz, Carol R', 'Hsu, Harvey', 'Hsue, Priscilla Y', 'Hughes, Brenna L', 'Jagannathan, Prasanna', 'James, Judith A', 'John, Janice', 'Jolley, Sarah', 'Judd, S E', 'Juskowich, Joy J', 'Kanjilal, Diane G', 'Karlson, Elizabeth W', 'Katz, Stuart D', 'Kelly, J Daniel', 'Kelly, Sara W', 'Kim, Arthur Y', 'Kirwan, John P', 'Knox, Kenneth S', 'Kumar, Andre', 'Lamendola-Essel, Michelle F', 'Lanca, Margaret', 'Lee-Lannotti, Joyce K', 'Lefebvre, R Craig', 'Levy, Bruce D', 'Lin, Janet Y', 'Logarbo, Brian P Jr', 'Logue, Jennifer K', 'Longo, Michele T', 'Luciano, Carlos A', 'Lutrick, Karen', 'Malakooti, Shahdi K', 'Mallett, Gail', 'Maranga, Gabrielle', 'Marathe, Jai G', 'Marconi, Vincent C', 'Marshall, Gailen D', 'Martin, Christopher F', 'Martin, Jeffrey N', 'May, Heidi T', 'McComsey, Grace A', 'McDonald, Dylan', 'Mendez-Figueroa, Hector', 'Miele, Lucio', 'Mittleman, Murray A', 'Mohandas, Sindhu', 'Mouchati, Christian', 'Mullington, Janet M', 'Nadkarni, Girish N', 'Nahin, Erica R', 'Neuman, Robert B', 'Newman, Lisa T', 'Nguyen, Amber', 'Nikolich, Janko Z', 'Ofotokun, Igho', 'Ogbogu, Princess U', 'Palatnik, Anna', 'Palomares, Kristy T S', 'Parimon, Tanyalak', 'Parry, Samuel', 'Parthasarathy, Sairam', 'Patterson, Thomas F', 'Pearman, Ann', 'Peluso, Michael J', 'Pemu, Priscilla', 'Pettker, Christian M', 'Plunkett, Beth A', 'Pogreba-Brown, Kristen', 'Poppas, Athena', 'Porterfield, J Zachary', 'Quigley, John G', 'Quinn, Davin K', 'Raissy, Hengameh', 'Rebello, Candida J', 'Reddy, Uma M', 'Reece, Rebecca', 'Reeder, Harrison T', 'Rischard, Franz P', 'Rosas, Johana M', 'Rosen, Clifford J', 'Rouphael, Nadine G', 'Rouse, Dwight J', 'Ruff, Adam M', 'Saint Jean, Christina', 'Sandoval, Grecio J', 'Santana, Jorge L', 'Schlater, Shannon M', 'Sciurba, Frank C', 'Selvaggi, Caitlin', 'Seshadri, Sudha', 'Sesso, Howard D', 'Shah, Dimpy P', 'Shemesh, Eyal', 'Sherif, Zaki A', 'Shinnick, Daniel J', 'Simhan, Hyagriv N', 'Singh, Upinder', 'Sowles, Amber', 'Subbian, Vignesh', 'Sun, Jun', 'Suthar, Mehul S', 'Teunis, Larissa J', 'Thorp, John M Jr', 'Ticotsky, Amberly', 'Tita, Alan T N', 'Tragus, Robin', 'Tuttle, Katherine R', 'Urdaneta, Alfredo E', 'Utz, P J', 'VanWagoner, Timothy M', 'Vasey, Andrew', 'Vernon, Suzanne D', 'Vidal, Crystal', 'Walker, Tiffany', 'Ward, Honorine D', 'Warren, David E', 'Weeks, Ryan M', 'Weiner, Steven J', 'Weyer, Jordan C', 'Wheeler, Jennifer L', 'Whiteheart, Sidney W', 'Wiley, Zanthia', 'Williams, Natasha J', 'Wisnivesky, Juan P', 'Wood, John C', 'Yee, Lynn M', 'Young, Natalie M', 'Zisis, Sokratis N', 'Foulkes, Andrea S']","['humans', ' covid-19 epidemiology', 'observational studies as topic', 'post-acute covid-19 syndrome', 'prospective studies', 'retrospective studies', 'sars-cov-2', 'adolescent', 'adult', 'multicenter studies as topic']","Researching COVID to Enhance Recovery (RECOVER) adult study protocol: Rationale, objectives, and design.","IMPORTANCE: SARS-CoV-2 infection can result in ongoing, relapsing, or new symptoms or other health effects after the acute phase of infection; termed post-acute sequelae of SARS-CoV-2 infection (PASC), or long COVID. The characteristics, prevalence, trajectory and mechanisms of PASC are ill-defined. The objectives of the Researching COVID to Enhance Recovery (RECOVER) Multi-site Observational Study of PASC in Adults (RECOVER-Adult) are to: (1) characterize PASC prevalence; (2) characterize the symptoms, organ dysfunction, natural history, and distinct phenotypes of PASC; (3) identify demographic, social and clinical risk factors for PASC onset and recovery; and (4) define the biological mechanisms underlying PASC pathogenesis. METHODS: RECOVER-Adult is a combined prospective/retrospective cohort currently planned to enroll 14,880 adults aged ≥18 years. Eligible participants either must meet WHO criteria for suspected, probable, or confirmed infection; or must have evidence of no prior infection. Recruitment occurs at 86 sites in 33 U.S. states, Washington, DC and Puerto Rico, via facility- and community-based outreach. Participants complete quarterly questionnaires about symptoms, social determinants, vaccination status, and interim SARS-CoV-2 infections. In addition, participants contribute biospecimens and undergo physical and laboratory examinations at approximately 0, 90 and 180 days from infection or negative test date, and yearly thereafter. Some participants undergo additional testing based on specific criteria or random sampling. Patient representatives provide input on all study processes. The primary study outcome is onset of PASC, measured by signs and symptoms. A paradigm for identifying PASC cases will be defined and updated using supervised and unsupervised learning approaches with cross-validation. Logistic regression and proportional hazards regression will be conducted to investigate associations between risk factors, onset, and resolution of PASC symptoms. DISCUSSION: RECOVER-Adult is the first national, prospective, longitudinal cohort of PASC among US adults. Results of this study are intended to inform public health, spur clinical trials, and expand treatment options. REGISTRATION: NCT05172024."
2023 Jul 18,Antimicrobial agents and chemotherapy,Antimicrob Agents Chemother. 2023 Jul 18;67(7):e0056823. doi: ,"['Garrigues, Jacob M', 'Hemarajata, Peera', 'Karan, Abraar', 'Shah, Naman K', 'Alarcón, Jemma', 'Marutani, Amy N', 'Finn, Lauren', 'Smith, Todd G', 'Gigante, Crystal M', 'Davidson, Whitni', 'Wynn, Nhien T', 'Hutson, Christina L', 'Kim, Moon', 'Terashita, Dawn', 'Balter, Sharon E', 'Green, Nicole M']","['humans', ' monkeypox virus', 'los angeles', 'mutation', ' mpox (monkeypox)', 'drug resistance', 'mpox', 'tecovirimat']",Identification of Tecovirimat Resistance-Associated Mutations in Human Monkeypox Virus - Los Angeles County.,
