time,journal,doi_info,authors,key words,title,abstract
2024 Jun 25,Journal of biomechanics,J Biomech. 2024 Jun 25;172:112210. doi: 10.1016/j.jbiomech.2024.112210.,"['Mat Jais, Ita Suzana', 'Wong, Yoke-Rung', 'McGrouther, Duncan Angus', 'Leo, Hwa-Liang']","['anatomy', 'biomechanics', 'carpal bones', 'kinematics', 'wrist joint']",Investigating the biomechanical behaviour of tendon-loaded wrist joint using web-like kinematic network model.,"The complexity of wrist anatomy and mechanics makes it challenging to develop standardized measurements and establish a normative reference database of wrist biomechanics despite being studied extensively. Moreover, heterogeneity factors in both demographic characteristics (e.g. gender) and physiological properties (e.g. ligament laxity) could lead to differences in biomechanical behaviour even within healthy groups. We investigated the kinematic behaviour of the carpal bones by creating a virtual web-like network between the bones using electromagnetic (EM) sensors. Our objective was to quantify the changes in the carpal bones' biomechanical relative motions and orientations during active wrist motion in the form of orb-web architecture. Models from five cadaveric specimens at different wrist positions: (1) Neutral to 30° Extension, (2) Neutral to 50° Flexion, (3) Neutral to 10° Radial Deviation, (4) Neutral to 20° Ulnar Deviation, and (5) Dart-Throw Motion - Extension (30° Extension/10° RD) to Dart-Throw Motion Flexion (50° Flexion/20° UD), in both neutral and pronated forearm have been analyzed. Quantification analyses were done by measuring the changes in the network thread length, as well as determining the correlation between the threads at different wrist positions. We observed similarities in the kinematic web-network patterns across all specimens, and the interactions between the network threads were aligned to the carpal bones' kinematic behaviour. Furthermore, analyzing the relative changes in the wrist web network has the potential to address the heterogeneity challenges and further facilitate the development of a 3D wrist biomechanics quantitative tool."
2024,Frontiers in cardiovascular medicine,Front Cardiovasc Med. 2024 May 31;11:1343210. doi: 10.3389/fcvm.2024.1343210. ,"['Sazzad, Faizus', 'Ler, Ashlynn Ai Li', 'Furqan, Mohammad Shaheryar', 'Tan, Linus Kai Zhe', 'Leo, Hwa Liang', 'Kuntjoro, Ivandito', 'Tay, Edgar', 'Kofidis, Theo']","['aortic valve replacement', 'artificial intelligence', 'machine learning', 'mortality', 'systematic review', 'transcatheter', 'transcatheter aortic valve prosthesis']",Harnessing the power of artificial intelligence in predicting all-cause mortality in transcatheter aortic valve replacement: a systematic review and meta-analysis.,"OBJECTIVES: In recent years, the use of artificial intelligence (AI) models to generate individualised risk assessments and predict patient outcomes post-Transcatheter Aortic Valve Implantation (TAVI) has been a topic of increasing relevance in literature. This study aims to evaluate the predictive accuracy of AI algorithms in forecasting post-TAVI mortality as compared to traditional risk scores. METHODS: Following the Preferred Reporting Items for Systematic Reviews and Meta-analyses for Systematic Reviews (PRISMA) standard, a systematic review was carried out. We searched four databases in total-PubMed, Medline, Embase, and Cochrane-from 19 June 2023-24 June, 2023. RESULTS: From 2,239 identified records, 1,504 duplicates were removed, 735 manuscripts were screened, and 10 studies were included in our review. Our pooled analysis of 5 studies and 9,398 patients revealed a significantly higher mean area under curve (AUC) associated with AI mortality predictions than traditional score predictions (MD: -0.16,"
2024 Feb 21,Cardiovascular engineering and technology,Cardiovasc Eng Technol. 2024 Feb 21. doi: 10.1007/s13239-024-00718-1.,"['Keramati, Hamed', 'Birgersson, Erik', 'Kim, Sangho', 'Leo, Hwa Liang']","['aortic dissection', 'finite-element method', 'monte carlo simulation', 'reduced-order model', 'sensitivity analysis']",A Monte Carlo Sensitivity Analysis for a Dimensionally Reduced-Order Model of the Aortic Dissection.,"PURPOSE: Aortic dissection is associated with a high mortality rate. Although computational approaches have shed light on many aspects of the disease, a sensitivity analysis is required to determine the significance of different factors. Because of its complex geometry and high computational expense, the three-dimensional (3D) fluid-structure interaction (FSI) simulation is not a suitable approach for sensitivity analysis. METHODS: We performed a Monte Carlo simulation (MCS) to investigate the sensitivity of hemodynamic quantities to the lumped parameters of our zero-dimensional (0D) model with numerically calculated lumped parameters. We performed local and global analyses on the effect of the model parameters on important hemodynamic quantities. RESULTS: The MCS showed that a larger lumped resistance value for the false lumen and the tears result in a higher retrograde flow rate in the false lumen (the coefficient of variation, [Formula: see text], the sensitivity [Formula: see text], Spearman's coefficient,[Formula: see text]). For the intraluminal pressure, our results show a significant role in the resistance and inertance of the true lumen (the coefficient of variation, [Formula: see text], the sensitivity [Formula: see text], and Spearman's coefficient,[Formula: see text] for the inertance of the true lumen). CONCLUSION: This study highlights the necessity of comparing the results of the local and global sensitivity analyses to understand the significance of multiple lumped parameters. Because of the efficiency of the method, our approach is potentially useful to investigate and analyze medical planning."
2024 Jan 31,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2024 Jan 31;16(4):4307-4320. doi: ,"['Dong, Yibing', 'Xu, Yaoxian', 'Lian, Chengxing', 'Prak, Krisna', 'Leo, Hwa Liang', 'Tetley, Teresa D', 'Braga, Vania', 'Emerson, Mike', 'Ahnström, Josefin', 'Yap, Choon Hwai']","['rats', 'animals', ' hemorrhage prevention & control', ' hemostatics pharmacology therapeutic use', 'blood coagulation', 'hemostasis', 'hydrophobic and hydrophilic interactions', 'disease models, animal', 'bandage', 'blood coagulation pathway', 'carbon nanofiber', 'hemostasis', 'superhydrophobic', 'toxicity', 'trauma']",Safe and Efficacious Near Superhydrophobic Hemostat for Reduced Blood Loss and Easy Detachment in Traumatic Wounds.,"Hemorrhage is the leading cause of trauma death, and innovation in hemostatic technology is important. The strongly hydrophobic carbon nanofiber (CNF) coating has previously been shown to have excellent hemostatic properties. However, the understanding of how CNF coating guides the coagulation cascade and the biosafety of CNF as hemostatic agents has yet to be explored. Here, our thrombin generation assay investigation showed that CNF induced fast blood coagulation via factor (F) XII activation of the intrinsic pathway. We further performed studies of a rat vein injury and demonstrated that the CNF gauze enabled a substantial reduction of blood loss compared to both the plain gauze and kaolin-imbued gauze (QuikClot). Analysis of blood samples from the model revealed no acute toxicity from the CNF gauze, with no detectable CNF deposition in any organ, suggesting that the immobilization of CNF on our gauze prevented the infiltration of CNF into the bloodstream. Direct injection of CNF into the rat vein was also investigated and found not to elicit overt acute toxicity or affect animal survival or behavior. Finally, toxicity assays with primary keratinocytes revealed minimal toxicity responses to CNF. Our studies thus supported the safety and efficacy of the CNF hemostatic gauze, highlighting its potential as a promising approach in the field of hemostatic control."
2023 Oct 1,"Biomimetics (Basel, Switzerland)",Biomimetics (Basel). 2023 Oct 1;8(6):465. doi: 10.3390/biomimetics8060465.,"['Gu, Zhuohan', 'Ong, Chi Wei', 'Mi, Yongzhen', 'Seetharaman, Ashwin', 'Ling, Ryan Ruiyang', 'Ramanathan, Kollengode', 'Leo, Hwa Liang']","['lvad', 'aortic insufficiency', 'aortic valve', 'computational fluid dynamics']",The Impact of Left Ventricular Assist Device Outflow Graft Positioning on Aortic Hemodynamics: Improving Flow Dynamics to Mitigate Aortic Insufficiency.,"Heart failure is a global health concern with significant implications for healthcare systems. Left ventricular assist devices (LVADs) provide mechanical support for patients with severe heart failure. However, the placement of the LVAD outflow graft within the aorta has substantial implications for hemodynamics and can lead to aortic insufficiency during long-term support. This study employs computational fluid dynamics (CFD) simulations to investigate the impact of different LVAD outflow graft locations on aortic hemodynamics. The introduction of valve morphology within the aorta geometry allows for a more detailed analysis of hemodynamics at the aortic root. The results demonstrate that the formation of vortex rings and subsequent vortices during the high-velocity jet flow from the graft interacted with the aortic wall. Time-averaged wall shear stress (TAWSS) and oscillatory shear index (OSI) indicate that modification of the outflow graft location changes mechanical states within the aortic wall and aortic valve. Among the studied geometric factors, both the height and inclination angle of the LVAD outflow graft are important in controlling retrograde flow to the aortic root, while the azimuthal angle primarily determines the rotational direction of blood flow in the aortic arch. Thus, precise positioning of the LVAD outflow graft emerges as a critical factor in optimizing patient outcomes by improving the hemodynamic environment."
2023 Aug 23,Scientific reports,Sci Rep. 2023 Aug 23;13(1):13760. doi: 10.1038/s41598-023-40323-1.,"['Ong, Chi Wei', 'Wee, Ian J Y', 'Toma, Milan', 'Cui, Fangsen', 'Xu, Xiao Yun', 'Richards, Arthur Mark', 'Leo, Hwa Liang', 'Choong, Andrew M T L']","['humans', ' aortic aneurysm, thoracoabdominal', 'tomography, x-ray computed', 'aorta', 'action potentials', 'hemodynamics']",Haemodynamic changes in visceral hybrid repairs of type III and type V thoracoabdominal aortic aneurysms.,"The visceral hybrid procedure combining retrograde visceral bypass grafting and completion endovascular stent grafting is a feasible alternative to conventional open surgical or wholly endovascular repairs of thoracoabdominal aneurysms (TAAA). However, the wide variability in visceral hybrid configurations means that a priori prediction of surgical outcome based on haemodynamic flow profiles such as velocity pattern and wall shear stress post repair remain challenging. We sought to appraise the clinical relevance of computational fluid dynamics (CFD) analyses in the setting of visceral hybrid TAAA repairs. Two patients, one with a type III and the other with a type V TAAA, underwent successful elective and emergency visceral hybrid repairs, respectively. Flow patterns and haemodynamic parameters were analysed using reconstructed pre- and post-operative CT scans. Both type III and type V TAAAs showed highly disturbed flow patterns with varying helicity values preoperatively within their respective aneurysms. Low time-averaged wall shear stress (TAWSS) and high endothelial cell action potential (ECAP) and relative residence time (RRT) associated with thrombogenic susceptibility was observed in the posterior aspect of both TAAAs preoperatively. Despite differing bypass configurations in the elective and emergency repairs, both treatment options appear to improve haemodynamic performance compared to preoperative study. However, we observed reduced TAWSS in the right iliac artery (portending a theoretical risk of future graft and possibly limb thrombosis), after the elective type III visceral hybrid repair, but not the emergency type V repair. We surmise that this difference may be attributed to the higher neo-bifurcation of the aortic stent graft in the type III as compared to the type V repair. Our results demonstrate that CFD can be used in complicated visceral hybrid repair to yield potentially actionable predictive insights with implications on surveillance and enhanced post-operative management, even in patients with complicated geometrical bypass configurations."
2023 Aug,Biomechanics and modeling in mechanobiology,Biomech Model Mechanobiol. 2023 Aug;22(4):1313-1332. doi: ,"['Zheng, Yu', 'Chan, Wei Xuan', 'Nielles-Vallespin, Sonia', 'Scott, Andrew D', 'Ferreira, Pedro F', 'Leo, Hwa Liang', 'Yap, Choon Hwai']","['humans', ' ventricular function, left', 'myocardium', 'diastole', 'systole', ' cardiomyopathy, dilated', 'heart ventricles', 'finite element', 'lv dilation', 'lv function', 'lv hypertrophy', 'myocardial sheetlet sliding', 'shear stiffness', 'sheetlet orientation']",Effects of myocardial sheetlet sliding on left ventricular function.,"Left ventricle myocardium has a complex micro-architecture, which was revealed to consist of myocyte bundles arranged in a series of laminar sheetlets. Recent imaging studies demonstrated that these sheetlets re-orientated and likely slided over each other during the deformations between systole and diastole, and that sheetlet dynamics were altered during cardiomyopathy. However, the biomechanical effect of sheetlet sliding is not well-understood, which is the focus here. We conducted finite element simulations of the left ventricle (LV) coupled with a windkessel lumped parameter model to study sheetlet sliding, based on cardiac MRI of a healthy human subject, and modifications to account for hypertrophic and dilated geometric changes during cardiomyopathy remodeling. We modeled sheetlet sliding as a reduced shear stiffness in the sheet-normal direction and observed that (1) the diastolic sheetlet orientations must depart from alignment with the LV wall plane in order for sheetlet sliding to have an effect on cardiac function, that (2) sheetlet sliding modestly aided cardiac function of the healthy and dilated hearts, in terms of ejection fraction, stroke volume, and systolic pressure generation, but its effects were amplified during hypertrophic cardiomyopathy and diminished during dilated cardiomyopathy due to both sheetlet angle configuration and geometry, and that (3) where sheetlet sliding aided cardiac function, it increased tissue stresses, particularly in the myofibre direction. We speculate that sheetlet sliding is a tissue architectural adaptation to allow easier deformations of the LV walls so that LV wall stiffness will not hinder function, and to provide a balance between function and tissue stresses. A limitation here is that sheetlet sliding is modeled as a simple reduction in shear stiffness, without consideration of micro-scale sheetlet mechanics and dynamics."
2023 Mar 14,Biomaterials science,Biomater Sci. 2023 Mar 14;11(6):2115-2128. doi: 10.1039/d2bm01632j.,"['Gao, Yanan', 'Xiao, Jingyu', 'Chen, Zijian', 'Ma, Yutao', 'Liu, Xiaoya', 'Yang, Dishuang', 'Leo, Hwa Liang', 'Yu, Hanry', 'Kong, Jian', 'Guo, Qiongyu']","['animals', 'rats', ' liver neoplasms therapy pathology', ' carcinoma, hepatocellular pathology', ' chemoembolization, therapeutic methods', 'portal vein pathology', 'spheroids, cellular pathology', 'tumor microenvironment']",Engineering orthotopic tumor spheroids with organ-specific vasculatures for local chemoembolization evaluation.,"Developing a three-dimensional (3D) in vitro tumor model with vasculature systems suitable for testing endovascular interventional therapies remains a challenge. Here we develop an orthotopic liver tumor spheroid model that captures the organ-level complexity of vasculature systems and the extracellular matrix to evaluate transcatheter arterial chemoembolization (TACE) treatment. The orthotopic tumor spheroids are derived by seeding HepG2 cell colonies with controlled size and location surrounding the portal triads in a decellularized rat liver matrix and are treated by clinically relevant drug-eluting beads embolized in a portal vein vasculature while maintaining dynamic physiological conditions with nutrient and oxygen supplies through the hepatic vein vasculature. The orthotopic tumor model exhibits strong drug retention inside the spheroids and embolization location-dependent cellular apoptosis responses in an analogous manner to in vivo conditions. Such a tumor spheroid model built in a decellularized scaffold containing organ-specific vasculatures, which closely resembles the unique tumor microenvironment, holds the promise to efficiently assess various diagnostic and therapeutic strategies for endovascular therapies."
2022 Nov,Journal of biomechanics,J Biomech. 2022 Nov;144:111348. doi: 10.1016/j.jbiomech.2022.111348. Epub 2022 ,"['Zheng, Yu', 'Chan, Wei Xuan', 'Charles, Christopher J', 'Richards, Arthur Mark', 'Lee, Lik Chuan', 'Leo, Hwa Liang', 'Yap, Choon Hwai']","['swine', 'animals', 'stroke volume physiology', ' heart failure etiology', 'ventricular remodeling', 'ventricular function, left physiology', 'hypertrophy complications', '3d echo motion tracking', 'disease progression', 'finite element method', 'heart failure with preserved ejection fraction', 'left ventricle hypertension', 'left ventricle hypertrophy', 'left ventricle remodelling', 'porcine model']","Morphological, functional, and biomechanical progression of LV remodelling in a porcine model of HFpEF.","Heart failure (HF) with preserved ejection fraction (HFpEF) accounts for about half of heart failure cases, but the progression of cardiac biomechanics during pathogenesis is not completely understood. We investigated a published porcine model of HFpEF, generated by progressive constriction of an aortic cuff causing progressive left ventricle (LV) pressure overload, and characterized by hypertrophy, diastolic dysfunction and overt HF with elevated plasma beta natriuretic peptide (BNP). We characterized morphological and functional features and performed image-based finite element modelling over multiple time points, so as to understand how biomechanics evolved with morphological and functional changes during pathogenesis, and to provide data for future growth and remodeling investigations. Results showed that the hypertrophic responses quickly manifested and were effective at preventing an elevation of systolic myocardial stresses, suggesting active compensated remodeling. Consequent to the hypertrophy, diastolic myocardial stresses decreased despite the elevations in diastolic pressures. The left ventricle hypertrophy (LVH) myocardium also exhibited a quick elevation of active tension at the onset of the disease. There was a progressive and significant decrease in myocardial strain, which was more significant in the longitudinal direction. Further, elevated myocardial stiffness and diastolic pressures, which reflected diastolic dysfunction, also manifested, but this was delayed from the onset of the disease. Correlation analysis showed that hypertrophy was closely correlated to systolic pressure, active tension and systolic myocardial stress, suggesting that these factors may play a role in initiating hypertrophy. Myocardial stiffness was weakly correlated to LV pressures and myocardial stresses."
2022 Aug 31,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2022 Aug 31;14(34):39159-39171. doi: ,"['Cao, Jian', 'Yang, Xingyi', 'Rao, Jiancheng', 'Mitriashkin, Aleksandr', 'Fan, Xing', 'Chen, Rui', 'Cheng, Hanlin', 'Wang, Xinchao', 'Goh, James', 'Leo, Hwa Liang', 'Ouyang, Jianyong']","['adhesives', 'bridged bicyclo compounds, heterocyclic', 'electrodes', 'equipment design', 'polymers', ' resin cements', ' sweat', 'biopotential', 'conformal', 'dry electrodes', 'self-adhesive', 'stretchable']",Stretchable and Self-Adhesive PEDOT:PSS Blend with High Sweat Tolerance as Conformal Biopotential Dry Electrodes.,"Dry epidermal electrodes that can always form conformal contact with skin can be used for continuous long-term biopotential monitoring, which can provide vital information for disease diagnosis and rehabilitation. But, this application has been limited by the poor contact of dry electrodes on wet skin. Herein, we report a biocompatible fully organic dry electrode that can form conformal contact with both dry and wet skin even during physical movement. The dry electrodes are prepared by drop casting an aqueous solution consisting of poly(3,4-ethylenedioxythiophene):polystyrenesulfonate (PEDOT:PSS), poly(vinyl alcohol) (PVA), tannic acid (TA), and ethylene glycol (EG). The electrodes can exhibit a conductivity of 122 S cm(-1) and a mechanical stretchability of 54%. Moreover, they are self-adhesive to not only dry skin but also wet skin. As a result, they can exhibit a lower contact impedance to skin than commercial Ag/AgCl gel electrodes on both dry and sweat skins. They can be used as dry epidermal electrodes to accurately detect biopotential signals including electrocardiogram (ECG) and electromyogram (EMG) on both dry and wet skins for the users at rest or during physical movement. This is the first time to demonstrate dry epidermal electrodes self-adhesive to wet skin for accurate biopotential detection."
2023 Sep,Computer methods in biomechanics and biomedical engineering,Comput Methods Biomech Biomed Engin. 2023 Sep;26(9):1077-1085. doi: ,"['Ong, Joachim Ee En', 'Teng, Shi Lei', 'McGrouther, Duncan Angus', 'Leo, Hwa Liang', 'Wong, Yoke Rung']","['wrist joint diagnostic imaging', ' carpal joints', 'ligaments, articular diagnostic imaging', ' scaphoid bone', ' lunate bone', 'biomechanical phenomena', 'cfd', 'fea', 'fsi', 'wrist instability', 'interosseous ligament', 'ligament stress', 'liquid pressure', 'scapholunate joint', 'synovial fluid']",A fluid-structure interaction investigation of intra-articular pressure and ligament in wrist joint.,"Understanding the stresses on the scapholunate interosseous ligament (SLIL) and its interaction with synovial fluid pressure could be vital to improve wrist treatment for various wrist conditions such as arthritis, sprains and tendonitis. This study investigated the interaction between the intra-articular pressure, specifically the synovial fluid pressure change and the SLIL stresses in a computational model during wrist radioulnar deviation (RUD). Magnetic resonance imaging (MRI) scans were used to acquire the anatomical model of the carpal bones and ligament, while the kinematics of scaphoid and lunate were obtained through dynamic computerized tomography (CT) scans. A two-way fluid-structure interaction (FSI) was used to model the dynamics between the scaphoid and lunate, the SLIL, and the synovial fluid. The synovial fluid pressure change was found to be small (-4.86 to 3.23 Pa) and close to that simulated in a previous work without the SLIL (-1.68 to 2.64 Pa). Furthermore, peaks of maximum fluid pressure were found to trail the peaks of ligament stress. Therefore, it is suggested that the influence of synovial fluid pressure on the ligament in the SLIL model is negligible and simulations of the scapholunate joint could forego fluid-structure interactions. Future studies can instead explore other structures in the carpus that can possibly contribute to the ligament stresses. Clinically, treatments can be targeted at these areas to help prevent or slow the progression of ligament injuries into serious consequences like the degenerative joint disease."
2022,Frontiers in physiology,Front Physiol. 2022 May 31;13:898775. doi: 10.3389/fphys.2022.898775. eCollection ,"['Zheng, Yu', 'Chan, Wei Xuan', 'Charles, Christopher J', 'Richards, A Mark', 'Sampath, Smita', 'Abu Bakar Ali, Asad', 'Leo, Hwa Liang', 'Yap, Choon Hwai']","['hfpef', 'cardiac function', 'cardiac geometry remodelling', 'ejection fraction', 'mid-wall ejection fraction', 'myocardial strain']",Effects of Hypertrophic and Dilated Cardiac Geometric Remodeling on Ejection Fraction.,"Background: Both heart failure (HF) with preserved ejection fraction (HFpEF) and heart failure with reduced ejection fraction (HFrEF) can present a wide variety of cardiac morphologies consequent to cardiac remodeling. We sought to study if geometric changes to the heart during such remodeling will adversely affect the ejection fraction (EF) parameter's ability to serve as an indicator of heart function, and to identify the mechanism for it. Methods and Results: A numerical model that simulated the conversion of myocardial strain to stroke volume was developed from two porcine animal models of heart failure. Hypertrophic wall thickening was found to elevate EF, while left ventricle (LV) dilation was found to depress EF when myocardial strain was kept constant, causing EF to inaccurately represent the overall strain function. This was caused by EF being calculated using the endocardial boundary rather than the mid-wall layer. Radial displacement of the endocardial boundary resulted in endocardial strain deviating from the overall LV strain, and this deviation varied with LV geometric changes. This suggested that using the epi- or endo-boundaries to calculate functional parameters was not effective, and explained why EF could be adversely affected by geometric changes. Further, when EF was modified by calculating it at the mid-wall layer instead of at the endocardium, this shortcoming was resolved, and the mid-wall EF could differentiate between healthy and HFpEF subjects in our animal models, while the traditional EF could not. Conclusion: We presented the mechanism to explain why EF can no longer effectively indicate cardiac function during cardiac geometric changes relevant to HF remodeling, losing the ability to distinguish between hypertrophic diseased hearts from healthy hearts. Measuring EF at the mid-wall location rather than endocardium can avoid the shortcoming and better represent the cardiac strain function."
2022 Dec,Cardiovascular engineering and technology,Cardiovasc Eng Technol. 2022 Dec;13(6):915-929. doi: 10.1007/s13239-022-00626-2. ,"['Anbalakan, Karthic', 'Toh, Han Wei', 'Ang, Hui Ying', 'Buist, Martin Lindsay', 'Leo, Hwa Liang']","['humans', ' angioplasty, balloon adverse effects', 'excipients', 'paclitaxel', 'coated materials, biocompatible', ' plaque, atherosclerotic', 'citrates', 'urea', 'treatment outcome', 'atherosclerosis', 'computational modelling', 'diffusion-advection-reaction', 'drug-coated balloon therapy']",How does the Nature of an Excipient and an Atheroma Influence Drug-Coated Balloon Therapy?,"The advent of drug-eluting stents and drug-coated balloons have significantly improved the clinical outcome of patients with vascular occlusions. However, ischemic vascular disease remains the most common cause of death worldwide. Improving the current treatment modalities demands a better understanding of the processes which govern drug uptake and retention in blood vessels. In this study, we evaluated the influence of urea and butyryl-trihexyl citrate, as excipients, on the efficacy of drug-coated balloon therapy. An integrated approach, utilizing both in-vitro and in-silico methods, was used to quantify the tracking loss, vessel adhesion, drug release, uptake, and distribution associated with the treatment. Moreover, a parametric study was used to evaluate the potential influence of different types of lesions on drug-coated balloon therapy. Despite the significantly higher tracking loss (urea: 35.5% vs. butyryl-trihexyl citrate: 8.13%) observed in the urea-based balloons, the drug uptake was almost two times greater than with its hydrophobic counterpart. Non-calcified lesions were found to delay the transmural propagation of sirolimus while calcification was shown to limit the retentive potential of lesions. Ultimately this study helps to elucidate how different excipients and types of lesions may influence the efficacy of drug-coated balloon therapy."
2022 Jun,Computers in biology and medicine,Comput Biol Med. 2022 Jun;145:105524. doi: 10.1016/j.compbiomed.2022.105524. Epub ,"['Ong, Chi Wei', 'Kumar, Gideon Praveen', 'Zuo, Keping', 'Koh, Li Buay', 'Charles, Christopher J', 'Ho, Pei', 'Leo, Hwa Liang', 'Cui, Fangsen']","['animals', ' carotid stenosis', 'computer simulation', 'hemodynamics', 'stents', ' thrombosis', 'carotid artery stenting (cas)', 'computational fluid dynamics (cfd)', 'covered stent', 'finite element analysis (fea)', 'infolding', 'membrane', 'nitinol', 'stent']",A novel coating method to reduce membrane infolding through pre-crimping of covered stents - Computational and experimental evaluation.,"A covered stent has been used to treat carotid artery stenosis to reduce the chance of embolization, as it offers improved performance over bare-metal stents. However, membrane infolding of covered stents can affect efficiency and functionality for treating occlusive disease of first-order aortic branches. In order to mitigate the degree of infolding of the stent once it was re-expanded, we proposed a new coating method performed on the pre-crimped stent. A systematic study was carried out to evaluate this new coating technique: a) in vivo animal testing to determine the degree of membrane infolding; b) structural finite element modeling and simulation were used to evaluate the mechanical performance of the covered stent; and c) computational fluid dynamics (CFD) to evaluate hemodynamic behavior of the stents and risk of thrombosis after stent deployment. The degree of infolding was substantially reduced as demonstrated by the in vivo deployment of the pre-crimped stent compared to a conventional dip-coated stent. The structural analysis results demonstrated that the membrane of the covered stent manufactured by conventional dip-coating resulted in a large degree of infolding but this could be minimized by our new pre-crimped coating method. CFD studies showed that the new coating method reduced the risk of thrombosis compared to the conventional coating method. In conclusion, both simulation and in vivo testing demonstrate that our new pre-crimped coating method reduces membrane infolding compared with the conventional dip-coating method and may reduce risk of thrombosis."
2022 Jun,International journal for numerical methods in biomedical engineering,Int J Numer Method Biomed Eng. 2022 Jun;38(6):e3596. doi: 10.1002/cnm.3596. Epub ,"['Keramati, Hamed', 'Birgersson, Erik', 'Kim, Sangho', 'Ho, Jackie P', 'Leo, Hwa Liang']","[' aortic dissection', 'aorta', 'heart rate', 'hemodynamics physiology', 'humans', ' models, cardiovascular', 'aortic dissection', 'finite-element method', 'heart rate', 'lump-parameter model', 'reduced-order model', 'zero-dimension model']",Using a reduced-order model to investigate the effect of the heart rate on the aortic dissection.,"The computational cost of a three-dimensional (3D) fluid-structure interaction (FSI) simulation of a dissected aorta has prevented researchers from investigating the effect of a wide range of the heart rate on the hemodynamic quantities in the disease. We have presented a systematic procedure to develop a zero-dimensional (0D) model for a dissected aorta. A series of numerical experiments were used to calculate the values for the resistance, inertance, and compliance of each lumen with irregular geometries. Having validated the results from the 0D model against those from the 3D model for one heart rate, we used the 0D model to investigate the effect of the heart rate of 50-150 bpm on the flow rates and the pressures in an idealized geometry of an aortic dissection. The 0D model showed acceptable accuracy when compared with the 3D FSI simulation. For instance, at peak systole, 7.18% relative error in the flow rate in the true lumen was observed for 0D and 3D simulations. The flow rate in the true lumen showed a stronger dependency on the heart rate, that is, 300% for the true lumen and 1.5% for the false lumen. The pressure difference between the lumina increased non-monotonically as the heart beats faster. Because of its efficiency, the reported procedure can be used for uncertainty and sensitivity analysis of the hemodynamic quantities in a diseased aorta with complex geometries such as that of the aortic dissection."
2022 Apr,Biomaterials,Biomaterials. 2022 Apr;283:121426. doi: 10.1016/j.biomaterials.2022.121426. Epub ,"['Li, Zhihua', 'Chen, Zijian', 'Gao, Yanan', 'Xing, Yi', 'Zhou, Yuping', 'Luo, Yucheng', 'Xu, Weihong', 'Chen, Zhengchang', 'Gao, Xu', 'Gupta, Kapish', 'Anbalakan, Karthic', 'Chen, Lei', 'Liu, Chuang', 'Kong, Jian', 'Leo, Hwa Liang', 'Hu, Chengzhi', 'Yu, Hanry', 'Guo, Qiongyu']","['animals', ' embolization, therapeutic', 'magnetic phenomena', ' nanoparticles', 'physical phenomena', 'rabbits', 'embolotherapy', 'hyperthermia', 'magnetic guidance', 'micro-device', 'shape memory polymer']",Shape memory micro-anchors with magnetic guidance for precision micro-vascular deployment.,"Transcatheter medical micro-devices through circulatory system show great potential for therapy but lack strategies to stably anchor them at the desired site in vascularized tissues to take actions. Here a shape memory functionalized biodegradable magnetic micro-anchor (SM(2)A) is developed to achieve magnetic guided endovascular localization through precisely controlled shape transformation. The SM(2)A comprises anisotropic polylactide-based microparticle embedded with superparamagnetic Fe(3)O(4) nanoparticles, exhibiting thermally activated tunable shape recovery modes at a body-friendly temperature range to accomplished an efficient endovascular anchoring effect in both decellularized liver organ and rabbit ear embolization models. The SM(2)A can be anchored at the target micro-vessel, exhibiting a controlled radial expansion of the vessel wall yielding with estimated stresses of 7-26 kPa in contact stress and 38-218 kPa in von Mises stress. The SM(2)A is a promising platform to incorporate diagnostic or therapeutic agents for precision deployment and in-situ action."
2022 May,Advanced healthcare materials,Adv Healthc Mater. 2022 May;11(10):e2102281. doi: 10.1002/adhm.202102281. Epub ,"['Luo, Yucheng', 'Ma, Yutao', 'Chen, Zijian', 'Gao, Yanan', 'Zhou, Yuping', 'Liu, Xiaoya', 'Liu, Xuezhe', 'Gao, Xu', 'Li, Zhihua', 'Liu, Chuang', 'Leo, Hwa Liang', 'Yu, Hanry', 'Guo, Qiongyu']","['animals', 'anisotropy', ' embolization, therapeutic methods', ' microfluidics', 'microspheres', 'polyvinyl alcohol', 'rabbits', 'embolization treatment', 'endovascular navigation', 'microfluidic techniques', 'penetration depths', 'shape anisotropy']",Shape-Anisotropic Microembolics Generated by Microfluidic Synthesis for Transarterial Embolization Treatment.,"Particulate embolic agents with calibrated sizes, which employ interventional procedures to achieve endovascular embolization, have recently attracted tremendous interest in therapeutic embolotherapies for a wide plethora of diseases. However, the particulate shape effect, which may play a critical role in embolization performances, has been rarely investigated. Here, polyvinyl alcohol (PVA)-based shape-anisotropic microembolics are developed using a facile droplet-based microfluidic fabrication method via heat-accelerated PVA-glutaraldehyde crosslinking reaction at a mild temperature of 38 (°) C. Precise geometrical controls of the microembolics are achieved with a nearly capsule shape through regulating surfactant concentration and flow rate ratio between dispersed phase and continuous phase in the microfluidics. Two specific models are employed, i.e., in vitro decellularized rabbit liver embolization model and in vivo rabbit ear embolization model, to systematically evaluate the embolization behaviors of the nonspherical microembolics. Compared to microspheres of the same volume, the elongated microembolics demonstrated advantageous endovascular navigation capability, penetration depth and embolization stability due to their comparatively smaller radial diameter and their central cylindrical part providing larger contact area with distal vessels. Such nonspherical microembolics present a promising platform to apply shape anisotropy to achieve distinctive therapeutic effects for endovascular treatments."
