time,journal,doi_info,authors,key words,title,abstract
2024 Jun 18,Kidney international,Kidney Int. 2024 Jun 18:S0085-2538(24)00407-1. doi: 10.1016/j.kint.2024.05.026.,"['Maggiore, Joseph C', 'LeGraw, Ryan', 'Przepiorski, Aneta', 'Velazquez, Jeremy', 'Chaney, Christopher', 'Vanichapol, Thitinee', 'Streeter, Evan', 'Almuallim, Zainab', 'Oda, Akira', 'Chiba, Takuto', 'Silva-Barbosa, Anne', 'Franks, Jonathan', 'Hislop, Joshua', 'Hill, Alex', 'Wu, Haojia', 'Pfister, Katherine', 'Howden, Sara E', 'Watkins, Simon C', 'Little, Melissa H', 'Humphreys, Benjamin D', 'Kiani, Samira', 'Watson, Alan', 'Stolz, Donna B', 'Davidson, Alan J', 'Carroll, Tom', 'Cleaver, Ondine', 'Sims-Lucas, Sunder', 'Ebrahimkhani, Mo R', 'Hukriede, Neil A']","['genetic engineering', 'endothelial', 'organoids', 'podocytes', 'renin', 'scrnaseq']",A genetically inducible endothelial niche enables vascularization of human kidney organoids with multilineage maturation and emergence of renin expressing cells.,"Vascularization plays a critical role in organ maturation and cell type development. Drug discovery, organ mimicry, and ultimately transplantation hinge on achieving robust vascularization of in vitro engineered organs. Here, focusing on human kidney organoids, we overcame this hurdle by combining a human induced pluripotent stem cell (iPSC) line containing an inducible ETS translocation variant 2 (ETV2) (a transcription factor playing a role in endothelial cell development) that directs endothelial differentiation in vitro, with a non-transgenic iPSC line in suspension organoid culture. The resulting human kidney organoids show extensive endothelialization with a cellular identity most closely related to human kidney endothelia. Endothelialized kidney organoids also show increased maturation of nephron structures, an associated fenestrated endothelium with de novo formation of glomerular and venous subtypes, and the emergence of drug-responsive renin expressing cells. The creation of an engineered vascular niche capable of improving kidney organoid maturation and cell type complexity is a significant step forward in the path to clinical translation. Thus, incorporation of an engineered endothelial niche into a previously published kidney organoid protocol allowed the orthogonal differentiation of endothelial and parenchymal cell types, demonstrating the potential for applicability to other basic and translational organoid studies."
2024 Feb,Nature,Nature. 2024 Feb;626(7998):367-376. doi: 10.1038/s41586-023-06914-8. Epub 2023 ,"['Hislop, Joshua', 'Song, Qi', 'Keshavarz F, Kamyar', 'Alavi, Amir', 'Schoenberger, Rayna', 'LeGraw, Ryan', 'Velazquez, Jeremy J', 'Mokhtari, Tahere', 'Taheri, Mohammad Naser', 'Rytel, Matthew', 'Chuva de Sousa Lopes, Susana M', 'Watkins, Simon', 'Stolz, Donna', 'Kiani, Samira', 'Sozen, Berna', 'Bar-Joseph, Ziv', 'Ebrahimkhani, Mo R']","['humans', 'embryo implantation', ' embryonic development', 'endoderm cytology embryology', ' germ layers cytology embryology', ' yolk sac cytology embryology', 'mesoderm cytology embryology', ' hematopoiesis', 'induced pluripotent stem cells cytology', 'amnion cytology embryology', 'embryoid bodies cytology', 'cell lineage', 'developmental biology methods trends']",Modelling post-implantation human development to yolk sac blood emergence.,"Implantation of the human embryo begins a critical developmental stage that comprises profound events including axis formation, gastrulation and the emergence of haematopoietic system(1,2). Our mechanistic knowledge of this window of human life remains limited due to restricted access to in vivo samples for both technical and ethical reasons(3-5). Stem cell models of human embryo have emerged to help unlock the mysteries of this stage(6-16). Here we present a genetically inducible stem cell-derived embryoid model of early post-implantation human embryogenesis that captures the reciprocal codevelopment of embryonic tissue and the extra-embryonic endoderm and mesoderm niche with early haematopoiesis. This model is produced from induced pluripotent stem cells and shows unanticipated self-organizing cellular programmes similar to those that occur in embryogenesis, including the formation of amniotic cavity and bilaminar disc morphologies as well as the generation of an anterior hypoblast pole and posterior domain. The extra-embryonic layer in these embryoids lacks trophoblast and shows advanced multilineage yolk sac tissue-like morphogenesis that harbours a process similar to distinct waves of haematopoiesis, including the emergence of erythroid-, megakaryocyte-, myeloid- and lymphoid-like cells. This model presents an easy-to-use, high-throughput, reproducible and scalable platform to probe multifaceted aspects of human development and blood formation at the early post-implantation stage. It will provide a tractable human-based model for drug testing and disease modelling."
2023 Dec,Journal of hepatology,J Hepatol. 2023 Dec;79(6):1385-1395. doi: 10.1016/j.jhep.2023.07.039. Epub 2023 ,"['Glessner, Joseph T', 'Ningappa, Mylarappa B', 'Ngo, Kim A', 'Zahid, Maliha', 'So, Juhoon', 'Higgs, Brandon W', 'Sleiman, Patrick M A', 'Narayanan, Tejaswini', 'Ranganathan, Sarangarajan', 'March, Michael', 'Prasadan, Krishna', 'Vaccaro, Courtney', 'Reyes-Mugica, Miguel', 'Velazquez, Jeremy', 'Salgado, Claudia M', 'Ebrahimkhani, Mo R', 'Schmitt, Lori', 'Rajasundaram, Dhivyaa', 'Paul, Morgan', 'Pellegrino, Renata', 'Gittes, George K', 'Li, Dong', 'Wang, Xiang', 'Billings, Jonathan', 'Squires, Robert', 'Ashokkumar, Chethan', 'Sharif, Khalid', 'Kelly, Deirdre', 'Dhawan, Anil', 'Horslen, Simon', 'Lo, Cecilia W', 'Shin, Donghun', 'Subramaniam, Shankar', 'Hakonarson, Hakon', 'Sindhi, Rakesh']","['child', 'animals', 'mice', 'humans', ' biliary atresia genetics', 'genome-wide association study', 'genetic predisposition to disease', 'zebrafish genetics', 'canada', 'biliary atresia', 'ciliogenesis', 'polygenic susceptibility', 'portal vein', 'tube morphogenesis', 'vascular development']",Biliary atresia is associated with polygenic susceptibility in ciliogenesis and planar polarity effector genes.,"BACKGROUND & AIMS: Biliary atresia (BA) is poorly understood and leads to liver transplantation (LT), with the requirement for and associated risks of lifelong immunosuppression, in most children. We performed a genome-wide association study (GWAS) to determine the genetic basis of BA. METHODS: We performed a GWAS in 811 European BA cases treated with LT in US, Canadian and UK centers, and 4,654 genetically matched controls. Whole-genome sequencing of 100 cases evaluated synthetic association with rare variants. Functional studies included whole liver transcriptome analysis of 64 BA cases and perturbations in experimental models. RESULTS: A GWAS of common single nucleotide polymorphisms (SNPs), i.e. allele frequencies >1%, identified intronic SNPs rs6446628 in AFAP1 with genome-wide significance (p = 3.93E-8) and rs34599046 in TUSC3 at sub-threshold genome-wide significance (p = 1.34E-7), both supported by credible peaks of neighboring SNPs. Like other previously reported BA-associated genes, AFAP1 and TUSC3 are ciliogenesis and planar polarity effectors (CPLANE). In gene-set-based GWAS, BA was associated with 6,005 SNPs in 102 CPLANE genes (p = 5.84E-15). Compared with non-CPLANE genes, more CPLANE genes harbored rare variants (allele frequency <1%) that were assigned Human Phenotype Ontology terms related to hepatobiliary anomalies by predictive algorithms, 87% vs. 40%, p <0.0001. Rare variants were present in multiple genes distinct from those with BA-associated common variants in most BA cases. AFAP1 and TUSC3 knockdown blocked ciliogenesis in mouse tracheal cells. Inhibition of ciliogenesis caused biliary dysgenesis in zebrafish. AFAP1 and TUSC3 were expressed in fetal liver organoids, as well as fetal and BA livers, but not in normal or disease-control livers. Integrative analysis of BA-associated variants and liver transcripts revealed abnormal vasculogenesis and epithelial tube formation, explaining portal vein anomalies that co-exist with BA. CONCLUSIONS: BA is associated with polygenic susceptibility in CPLANE genes. Rare variants contribute to polygenic risk in vulnerable pathways via unique genes. IMPACT AND IMPLICATIONS: Liver transplantation is needed to cure most children born with biliary atresia, a poorly understood rare disease. Transplant immunosuppression increases the likelihood of life-threatening infections and cancers. To improve care by preventing this disease and its progression to transplantation, we examined its genetic basis. We find that this disease is associated with both common and rare mutations in highly specialized genes which maintain normal communication and movement of cells, and their organization into bile ducts and blood vessels during early development of the human embryo. Because defects in these genes also cause other birth defects, our findings could lead to preventive strategies to lower the incidence of biliary atresia and potentially other birth defects."
2023 Aug 8,Stem cell reports,Stem Cell Reports. 2023 Aug 8;18(8):1721-1742. doi: 10.1016/j.stemcr.2023.06.008. ,"['Lo, Emily K W', 'Velazquez, Jeremy J', 'Peng, Da', 'Kwon, Chulan', 'Ebrahimkhani, Mo R', 'Cahan, Patrick']","['cell differentiation genetics', ' cell engineering methods', ' software', 'myocytes, cardiac', 'hepatocytes', 'cardiomyocytes', 'cell engineering', 'computational biology', 'directed differentiation', 'heart', 'hepatocytes', 'liver', 'organoids', 'transcriptomics', 'transdifferentiation']",Platform-agnostic CellNet enables cross-study analysis of cell fate engineering protocols.,"Optimization of cell engineering protocols requires standard, comprehensive quality metrics. We previously developed CellNet, a computational tool to quantitatively assess the transcriptional fidelity of engineered cells compared with their natural counterparts, based on bulk-derived expression profiles. However, this platform and others were limited in their ability to compare data from different sources, and no current tool makes it easy to compare new protocols with existing state-of-the-art protocols in a standardized manner. Here, we utilized our prior application of the top-scoring pair transformation to build a computational platform, platform-agnostic CellNet (PACNet), to address both shortcomings. To demonstrate the utility of PACNet, we applied it to thousands of samples from over 100 studies that describe dozens of protocols designed to produce seven distinct cell types. We performed an in-depth examination of hepatocyte and cardiomyocyte protocols to identify the best-performing methods, characterize the extent of intra-protocol and inter-lab variation, and identify common off-target signatures, including a surprising neural/neuroendocrine signature in primary liver-derived organoids. We have made PACNet available as an easy-to-use web application, allowing users to assess their protocols relative to our database of reference engineered samples, and as open-source, extensible code."
2023 Jul 24,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 24:2023.06.15.545118. doi: ,"['Hislop, Joshua', 'Alavi, Amir', 'Song, Qi', 'Schoenberger, Rayna', 'Kamyar, Keshavarz F', 'LeGraw, Ryan', 'Velazquez, Jeremy', 'Mokhtari, Tahere', 'Taheri, Mohammad Nasser', 'Rytel, Matthew', 'de Sousa Lopes, Susana M Chuva', 'Watkins, Simon', 'Stolz, Donna', 'Kiani, Samira', 'Sozen, Berna', 'Bar-Joseph, Ziv', 'Ebrahimkhani, Mo R']",[],Modelling Human Post-Implantation Development via Extra-Embryonic Niche Engineering.,"Implantation of the human embryo commences a critical developmental stage that comprises profound morphogenetic alteration of embryonic and extra-embryonic tissues, axis formation, and gastrulation events. Our mechanistic knowledge of this window of human life remains limited due to restricted access to in vivo samples for both technical and ethical reasons. Additionally, human stem cell models of early post-implantation development with both embryonic and extra-embryonic tissue morphogenesis are lacking. Here, we present iDiscoid, produced from human induced pluripotent stem cells via an engineered a synthetic gene circuit. iDiscoids exhibit reciprocal co-development of human embryonic tissue and engineered extra-embryonic niche in a model of human post-implantation. They exhibit unanticipated self-organization and tissue boundary formation that recapitulates yolk sac-like tissue specification with extra-embryonic mesoderm and hematopoietic characteristics, the formation of bilaminar disc-like embryonic morphology, the development of an amniotic-like cavity, and acquisition of an anterior-like hypoblast pole and posterior-like axis. iDiscoids offer an easy-to-use, high-throughput, reproducible, and scalable platform to probe multifaceted aspects of human early post-implantation development. Thus, they have the potential to provide a tractable human model for drug testing, developmental toxicology, and disease modeling."
2023 May 30,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 May 30:2023.05.30.542848. doi: ,"['Maggiore, Joseph C', 'LeGraw, Ryan', 'Przepiorski, Aneta', 'Velazquez, Jeremy', 'Chaney, Christopher', 'Streeter, Evan', 'Silva-Barbosa, Anne', 'Franks, Jonathan', 'Hislop, Joshua', 'Hill, Alex', 'Wu, Haojia', 'Pfister, Katherine', 'Howden, Sara E', 'Watkins, Simon C', 'Little, Melissa', 'Humphreys, Benjamin D', 'Watson, Alan', 'Stolz, Donna B', 'Kiani, Samira', 'Davidson, Alan J', 'Carroll, Thomas J', 'Cleaver, Ondine', 'Sims-Lucas, Sunder', 'Ebrahimkhani, Mo R', 'Hukriede, Neil A']","['genetic engineering', 'endothelial', 'organoids', 'podocytes', 'renin', 'scrnaseq']","Genetically engineering endothelial niche in human kidney organoids enables multilineage maturation, vascularization and de novo cell types.","Vascularization plays a critical role in organ maturation and cell type development. Drug discovery, organ mimicry, and ultimately transplantation in a clinical setting thereby hinges on achieving robust vascularization of in vitro engineered organs. Here, focusing on human kidney organoids, we overcome this hurdle by combining an inducible ETS translocation variant 2 (ETV2) human induced pluripotent stem cell (iPSC) line, which directs endothelial fate, with a non-transgenic iPSC line in suspension organoid culture. The resulting human kidney organoids show extensive vascularization by endothelial cells with an identity most closely related to endogenous kidney endothelia. Vascularized organoids also show increased maturation of nephron structures including more mature podocytes with improved marker expression, foot process interdigitation, an associated fenestrated endothelium, and the presence of renin(+) cells. The creation of an engineered vascular niche capable of improving kidney organoid maturation and cell type complexity is a significant step forward in the path to clinical translation. Furthermore, this approach is orthogonal to native tissue differentiation paths, hence readily adaptable to other organoid systems and thus has the potential for a broad impact on basic and translational organoid studies."
2023 Jun 2,Signal transduction and targeted therapy,Signal Transduct Target Ther. 2023 Jun 2;8(1):230. doi: ,"['Chao, Yiming', 'Xiang, Yang', 'Xiao, Jiashun', 'Zheng, Weizhong', 'Ebrahimkhani, Mo R', 'Yang, Can', 'Wu, Angela Ruohao', 'Liu, Pentao', 'Huang, Yuanhua', 'Sugimura, Ryohichi']","['humans', ' hematopoiesis genetics', 'cell differentiation genetics', ' embryonic development genetics', 'gene expression']",Organoid-based single-cell spatiotemporal gene expression landscape of human embryonic development and hematopoiesis.,
2023 Feb 6,Cells,Cells. 2023 Feb 6;12(4):529. doi: 10.3390/cells12040529.,"['Shafritz, David A', 'Ebrahimkhani, Mo R', 'Oertel, Michael']","['humans', 'rats', 'animals', 'rats, inbred f344', ' stem cell transplantation methods', ' induced pluripotent stem cells', 'liver metabolism', 'hepatocytes metabolism', 'dlk-1', 'cell transplantation', 'fetal liver stem progenitor cells', 'human organoids', 'ips cells']",Therapeutic Cell Repopulation of the Liver: From Fetal Rat Cells to Synthetic Human Tissues.,"Progenitor cells isolated from the fetal liver can provide a unique cell source to generate new healthy tissue mass. Almost 20 years ago, it was demonstrated that rat fetal liver cells repopulate the normal host liver environment via a mechanism akin to cell competition. Activin A, which is produced by hepatocytes, was identified as an important player during cell competition. Because of reduced activin receptor expression, highly proliferative fetal liver stem/progenitor cells are resistant to activin A and therefore exhibit a growth advantage compared to hepatocytes. As a result, transplanted fetal liver cells are capable of repopulating normal livers. Important for cell-based therapies, hepatic stem/progenitor cells containing repopulation potential can be separated from fetal hematopoietic cells using the cell surface marker δ-like 1 (Dlk-1). In livers with advanced fibrosis, fetal epithelial stem/progenitor cells differentiate into functional hepatic cells and out-compete injured endogenous hepatocytes, which cause anti-fibrotic effects. Although fetal liver cells efficiently repopulate the liver, they will likely not be used for human cell transplantation. Thus, utilizing the underlying mechanism of repopulation and developed methods to produce similar growth-advantaged cells in vitro, e.g., human induced pluripotent stem cells (iPSCs), this approach has great potential for developing novel cell-based therapies in patients with liver disease. The present review gives a brief overview of the classic cell transplantation models and various cell sources studied as donor cell candidates. The advantages of fetal liver-derived stem/progenitor cells are discussed, as well as the mechanism of liver repopulation. Moreover, this article reviews the potential of in vitro developed synthetic human fetal livers from iPSCs and their therapeutic benefits."
2021 Oct 25,Cell reports methods,Cell Rep Methods. 2021 Oct 4;1(6):100087. doi: 10.1016/j.crmeth.2021.100087. ,"['Ding, Jun', 'Alavi, Amir', 'Ebrahimkhani, Mo R', 'Bar-Joseph, Ziv']","['cell differentiation', ' pluripotent stem cells', 'computational approaches', 'pluripotent cell differentiation', 'protocol optimization', 'single cell', 'stem cell applications']",Computational tools for analyzing single-cell data in pluripotent cell differentiation studies.,"Single-cell technologies are revolutionizing the ability of researchers to infer the causes and results of biological processes. Although several studies of pluripotent cell differentiation have recently utilized single-cell sequencing data, other aspects related to the optimization of differentiation protocols, their validation, robustness, and usage are still not taking full advantage of single-cell technologies. In this review, we focus on computational approaches for the analysis of single-cell omics and imaging data and discuss their use to address many of the major challenges involved in the development, validation, and use of cells obtained from pluripotent cell differentiation."
2022 Mar 7,Genome biology,Genome Biol. 2022 Mar 7;23(1):73. doi: 10.1186/s13059-022-02629-7.,"['Li, Dongshunyi', 'Velazquez, Jeremy J', 'Ding, Jun', 'Hislop, Joshua', 'Ebrahimkhani, Mo R', 'Bar-Joseph, Ziv']","['cell communication', ' gene expression profiling', 'sequence analysis, rna', ' single-cell analysis', 'software', 'cell-cell interactions', 'development', 'gene expression']",TraSig: inferring cell-cell interactions from pseudotime ordering of scRNA-Seq data.,"A major advantage of single cell RNA-sequencing (scRNA-Seq) data is the ability to reconstruct continuous ordering and trajectories for cells. Here we present TraSig, a computational method for improving the inference of cell-cell interactions in scRNA-Seq studies that utilizes the dynamic information to identify significant ligand-receptor pairs with similar trajectories, which in turn are used to score interacting cell clusters. We applied TraSig to several scRNA-Seq datasets and obtained unique predictions that improve upon those identified by prior methods. Functional experiments validate the ability of TraSig to identify novel signaling interactions that impact vascular development in liver organoids.Software https://github.com/doraadong/TraSig ."
2021 May 21,iScience,iScience. 2021 May 4;24(5):102505. doi: 10.1016/j.isci.2021.102505. eCollection ,"['Ebrahimkhani, Mo R', 'Levin, Michael']","['bioengineering', 'developmental biology', 'synthetic biology']",Synthetic living machines: A new window on life.,"Increased control of biological growth and form is an essential gateway to transformative medical advances. Repairing of birth defects, restoring lost or damaged organs, normalizing tumors, all depend on understanding how cells cooperate to make specific, functional large-scale structures. Despite advances in molecular genetics, significant gaps remain in our understanding of the meso-scale rules of morphogenesis. An engineering approach to this problem is the creation of novel synthetic living forms, greatly extending available model systems beyond evolved plant and animal lineages. Here, we review recent advances in the emerging field of synthetic morphogenesis, the bioengineering of novel multicellular living bodies. Emphasizing emergent self-organization, tissue-level guided self-assembly, and active functionality, this work is the essential next generation of synthetic biology. Aside from useful living machines for specific functions, the rational design and analysis of new, coherent anatomies will greatly increase our understanding of foundational questions in evolutionary developmental and cell biology."
2021 Aug,Journal of hepatology,J Hepatol. 2021 Aug;75(2):262-264. doi: 10.1016/j.jhep.2021.05.006. Epub 2021 May ,"['Boulter, Luke', 'Ebrahimkhani, Mo R']","[' biliary tract', 'carcinogenesis genetics', 'cell transformation, neoplastic', 'humans', ' organoids', 'receptor, fibroblast growth factor, type 2 genetics', 'fgfr2 fusion proteins', 'organoids', 'biliary', 'cancer', 'liver', 'stem cells']",Build to understand biliary oncogenesis via organoids and FGFR2 fusion proteins.,
2021 Jun,Transplant international : official journal of the European Society for Organ ,Transpl Int. 2021 Jun;34(6):999-1001. doi: 10.1111/tri.13902. Epub 2021 Jun 10.,"['Velazquez, Jeremy J', 'Ebrahimkhani, Mo R']","[' bile ducts', 'epithelial cells', ' organoids']",Cholangiocyte organoids as a cell source for biliary repair.,
