time,journal,doi_info,authors,key words,title,abstract
2023 Dec,Otology & neurotology open,Otol Neurotol Open. 2023 Dec 13;3(4):e044. doi: 10.1097/ONO.0000000000000044. ,"['Balaban, Carey D', 'Williams, Erin', 'Holland, Cynthia L', 'Kiderman, Alexander', 'Kontos, Anthony P', 'Hoffer, Michael E']","['normative values', 'preset effect', 'sex differences', 'subjective visual horizontal', 'subjective visual vertical']",Statistical Considerations for Subjective Visual Vertical and Subjective Visual Horizontal Assessment in Normal Subjects.,"OBJECTIVES: Judgments of the subjective visual vertical (SVV) and subjective visual horizontal (SVH) while seated upright are commonly included in standard clinical test batteries for vestibular function. We examined SVV and SVH data from retrospective control to assess their statistical distributions and normative values for magnitudes of the preset effect, sex differences, and fixed-head versus head-free device platforms for assessment. METHODS: Retrospective clinical SVV and SVH data from 2 test platforms, Neuro-otologic Test Center (NOTC) and the Neurolign Dx 100 (I-Portal Portable Assessment System Nystagmograph) were analyzed statistically (SPSS and MATLAB software) for 408 healthy male and female civilians and military service members, aged 18-50 years. RESULTS: No prominent age-related effects were observed. The preset angle effects for both SVV and SVH, and their deviations from orthogonality, agree in magnitude with previous reports. Differences attributable to interactions with device type and sex are of small magnitude. Analyses confirmed that common clinical measure for SVV and SVH, the average of equal numbers of clockwise and counterclockwise preset trials, was not significantly affected by the test device or sex of the subject. Finally, distributional analyses failed to reject the hypothesis of underlying Gaussian distributions for the clinical metrics. CONCLUSIONS: z scores based on these normative findings can be used for objective detection of outliers from normal functional limits in the clinic."
2023,Frontiers in neurology,Front Neurol. 2023 Jun 15;14:1081084. doi: 10.3389/fneur.2023.1081084. ,"['Balaban, Carey D', 'Nayak, Neil S', 'Williams, Erin C', 'Kiderman, Alexander', 'Hoffer, Michael E']","['binocular disparity stimuli', 'coordination', 'near response', 'smooth pursuit', 'synkinesis', 'vergence']",Frequency dependence of coordinated pupil and eye movements for binocular disparity tracking.,"INTRODUCTION: Coordinated alignment of the eyes during gaze fixation and eye movements are an important component of normal visual function. We have previously described the coordinated behavior of convergence eye movements and pupillary responses using a 0.1 Hz binocular disparity-driven sine profile and a step profile. The goal of this publication is to further characterize ocular vergence-pupil size coordination over a wider range of frequencies of ocular disparity stimulation in normal subjects. METHODS: Binocular disparity stimulation is generated by presentation of independent targets to each eye on a virtual reality display, while eye movements and pupil size are measured by an embedded video-oculography system. This design allows us to study two complimentary analyses of this motion relationship. First, a macroscale analysis describes the vergence angle of the eyes in response to binocular disparity target movement and pupil area as a function of the observed vergence response. Second, a microscale analysis performs a piecewise linear decomposition of the vergence angle and pupil relationship to permit more nuanced findings. RESULTS: These analyses identified three main features of controlled coupling of pupil and convergence eye movements. First, a near response relationship operates with increasing prevalence during convergence (relative to the ""baseline"" angle); the coupling is higher with increased convergence in this range. Second, the prevalence of ""near response""-type coupling decreases monotonically in the diverging direction; the decrease persists after the targets move (converge back) from maximum divergence toward the baseline positions, with a minimum prevalence of near response segments near the baseline target position. Third, an opposite polarity pupil response is infrequent, but tends to be more prevalent when the vergence angles are at maximum convergence or divergence for a sinusoidal binocular disparity task. DISCUSSION: We suggest that the latter response is an exploratory ""range-validation"" when binocular disparity is relatively constant. In a broader sense, these findings describe operating characteristics of the near response in normal subjects and form a basis for quantitative assessments of function in conditions such as convergence insufficiency and mild traumatic brain injury."
2022,Frontiers in neurology,Front Neurol. 2023 Jan 19;13:1035478. doi: 10.3389/fneur.2022.1035478. ,"['Wackym, P Ashley', 'Balaban, Carey D', 'Van Osch, Olivia J', 'Morris, Brian T', 'Tamakloe, Mark-Avery', 'Salvatore, Victoria L', 'Duwadi, Sudan', 'Gay, Jennifer D', 'Mowery, Todd M']","['cognitive dysfunction', 'dizziness', 'memory', 'perilymph fistula', 'spatial disorientation', 'superior semicircular canal dehiscence', 'third window syndrome', 'vestibular evoked myogenic potential']",New model of superior semicircular canal dehiscence with reversible diagnostic findings characteristic of patients with the disorder.,"BACKGROUND: Third window syndrome is a vestibular-cochlear disorder in humans in which a third mobile window of the otic capsule creates changes to the flow of sound pressure energy through the perilymph/endolymph. The nature and location of this third mobile window can occur at many different sites (or multiple sites); however, the most common third mobile window is superior semicircular canal dehiscence (SSCD). There are two essential objective diagnostic characteristics needed to validate a model of SSCD: the creation of a pseudoconductive hearing loss and cVEMP increased amplitude and decreased threshold. METHODS: Adult Mongolian gerbils (n = 36) received surgical fenestration of the superior semicircular canal of the left inner ear. ABR and c+VEMP testing were carried out prior to surgery and over acute (small 1 mm SSCD, 1-10 days) or prolonged (large 2 mm SSCD, 28 days) recovery. Because recovery of function occurred quickly, condenser brightfield stereomicroscopic examination of the dehiscence site was carried out for the small SSCD animals post-hoc and compared to both ABRs and c+VEMPs. Micro-CT analysis was also completed with representative samples of control, day 3 and 10 post-SSCD animals. RESULTS: The SSCD created a significant worsening of hearing thresholds of the left ear; especially in the lower frequency domain (1-4 kHz). Left (EXP)/right (CTL) ear comparisons via ABR show significant worsening thresholds at the same frequency representations, which is a proxy for the human pseudoconductive hearing loss seen in SSCD. For the c+VEMP measurements, increased amplitude of the sound-induced response (N1 2.5 ms and P1 3.2 ms) was observed in animals that received larger fenestrations. As the bone regrew, the c+VEMP and ABR responses returned toward preoperative values. For small SSCD animals, micro-CT data show that progressive osteoneogenesis results in resurfacing of the SSCD without bony obliteration. CONCLUSION: The large (2 mm) SSCD used in our gerbil model results in similar electrophysiologic findings observed in patients with SSCD. The changes observed also reverse and return to baseline as the SSCD heals by bone resurfacing (with the lumen intact). Hence, this model does not require a second surgical procedure to plug the SSCD."
2021,PloS one,PLoS One. 2021 Nov 22;16(11):e0260351. doi: 10.1371/journal.pone.0260351. ,"['Kullmann, Aura', 'Ashmore, Robin C', 'Braverman, Alexandr', 'Mazur, Christian', 'Snapp, Hillary', 'Williams, Erin', 'Szczupak, Mikhaylo', 'Murphy, Sara', 'Marshall, Kathryn', 'Crawford, James', 'Balaban, Carey D', 'Hoffer, Michael', 'Kiderman, Alexander']","['adolescent', 'adult', 'cognition', ' eye movements', 'eye-tracking technology  instrumentation', 'female', 'humans', 'male', 'middle aged', 'reaction time', 'young adult']","Portable eye-tracking as a reliable assessment of oculomotor, cognitive and reaction time function: Normative data for 18-45 year old.","Eye movements measured by high precision eye-tracking technology represent a sensitive, objective, and non-invasive method to probe functional neural pathways. Oculomotor tests (e.g., saccades and smooth pursuit), tests that involve cognitive processing (e.g., antisaccade and predictive saccade), and reaction time tests have increasingly been showing utility in the diagnosis and monitoring of mild traumatic brain injury (mTBI) in research settings. Currently, the adoption of these tests into clinical practice is hampered by a lack of a normative data set. The goal of this study was to construct a normative database to be used as a reference for comparing patients' results. Oculomotor, cognitive, and reaction time tests were administered to male and female volunteers, aged 18-45, who were free of any neurological, vestibular disorders, or other head injuries. Tests were delivered using either a rotatory chair equipped with video-oculography goggles (VOG) or a portable virtual reality-like VOG goggle device with incorporated infrared eye-tracking technology. Statistical analysis revealed no effects of age on test metrics when participant data were divided into pediatric (i.e.,18-21 years, following FDA criteria) and adult (i.e., 21-45 years) groups. Gender (self-reported) had an effect on auditory reaction time, with males being faster than females. Pooled data were used to construct a normative database using 95% reference intervals (RI) with 90% confidence intervals on the upper and lower limits of the RI. The availability of these RIs readily allows clinicians to identify specific metrics that are deficient, therefore aiding in rapid triage, informing and monitoring treatment and/or rehabilitation protocols, and aiding in the return to duty/activity decision. This database is FDA cleared for use in clinical practice (K192186)."
2021 Oct,Laryngoscope investigative otolaryngology,Laryngoscope Investig Otolaryngol. 2021 Aug 21;6(5):1116-1127. doi: ,"['Kullmann, Aura', 'Ashmore, Robin C', 'Braverman, Alexandr', 'Mazur, Christian', 'Snapp, Hillary', 'Williams, Erin', 'Szczupak, Mikhaylo', 'Murphy, Sara', 'Marshall, Kathryn', 'Crawford, James', 'Balaban, Carey D', 'Hoffer, Michael', 'Kiderman, Alexander']","['notc', 'neurolign dx 100', 'concussion', 'eye tracking', 'mtbi', 'mild traumatic brain injury', 'neurological conditions', 'rotation tests', 'vestibular conditions']",Normative data for ages 18-45 for ocular motor and vestibular testing using eye tracking.,"OBJECTIVE: Eye tracking technology has been employed in assessing ocular motor and vestibular function following vestibular and neurologic conditions, including traumatic brain injury (TBI). Assessments include tests that provide visual and motion (rotation) stimuli while recording horizontal, vertical, and torsional eye movements. While some of these tests have shown diagnostic promise in previous studies, their use in clinical practice is limited by the lack of normative data. The goal of this study was to construct normative reference ranges to be used when comparing patients' results. METHODS: Optokinetic response, subjective visual horizontal and vertical, and rotation tests were administered to male and female volunteers, ages 18-45, who were free from neurological, vestibular disorders, or other head injuries. Tests were administered using either a rotatory chair or a portable virtual reality-like goggle equipped with video-oculography. RESULTS: Reference values for eye movements in response to different patterns of stimuli were analyzed from 290 to 449 participants. Analysis of gender (self-reported) or age when grouped as pediatric (late adolescent; 18-21 years of age) and adult (21-45 years of age) revealed no effects on the test metrics. Data were pooled and presented for each test metric as the 95% reference interval (RI) with 90% confidence intervals ("
2022 Jan,Annals of human genetics,Ann Hum Genet. 2022 Jan;86(1):45-51. doi: 10.1111/ahg.12447. Epub 2021 Sep 28.,"['Morton, Cynthia C', 'Marazita, Mary L', 'Peter, Beate', 'Rice, Mabel L', 'Kraft, Shelly Jo', 'Barkmeier-Kraemer, Julie', 'Balaban, Carey', 'Phillips, Michael', 'Schoden, Jennifer', 'Maiese, Deborah', 'Hendershot, Tabitha', 'Hamilton, Carol M']","['hearing', 'humans', 'phenotype', ' research design', ' speech', 'phenx toolkit', 'common data elements', 'hearing', 'language', 'phenotypes', 'speech', 'standardized measurement protocol']","Tools for standardized data collection: Speech, Language, and Hearing measurement protocols in the PhenX Toolkit.","The PhenX Toolkit (https://www.phenxtoolkit.org/) is an online catalog of recommended measurement protocols to facilitate cross-study analyses for biomedical research. An expert review panel (ERP) reviewed and updated the PhenX Toolkit Speech and Hearing domain to improve the precision and consistency of speech, language, and hearing disorder phenotypes. A three-member ERP convened in August 2018 to review the measurement protocols in the PhenX Speech and Hearing domain. Aided by three additional experts in voice assessment, vertigo, and stuttering, the ERP updated the 28 protocols to reflect the latest science and technology. ERP recommendations include six new protocols, five updated protocols (from the same source), and one retired protocol. New additions include two voice-related, three hearing-related, and two speech-related protocols. Additions reflect new phone/tablet applications for hearing and language, and clinical evaluations of voice. ""Language"" was added to the domain name, which is now ""Speech, Language, and Hearing,"" to represent language-related protocols. These protocols can facilitate the assessment of speech, language, and hearing in clinical and population research. Common data elements (i.e., use of the same variables across studies) used by geneticists, otolaryngologists, audiologists, speech-language pathologists, and in other disciplines can lead to cross-study data integration and increased statistical power when studies are combined."
2021 Oct,Journal of otology,J Otol. 2021 Oct;16(4):258-265. doi: 10.1016/j.joto.2021.06.001. Epub 2021 Jun ,"['Coto, Jennifer', 'Alvarez, Carmen L', 'Cejas, Ivette', 'Colbert, Brett M', 'Levin, Bonnie E', 'Huppert, Joshua', 'Rundek, Tatjana', 'Balaban, Carey', 'Blanton, Susan H', 'Lee, David J', 'Loewenstein, David', 'Hoffer, Michael', 'Liu, Xue Zhong']","['age-related vestibular loss', 'balance', 'cognitive', 'peripheral vestibular system', 'psychological', 'vision']",Peripheral vestibular system: Age-related vestibular loss and associated deficits.,"Given the interdependence of multiple factors in age-related vestibular loss (e.g., balance, vision, cognition), it is important to examine the individual contributions of these factors with ARVL. While the relationship between the vestibular and visual systems has been well studied (Bronstein et al., 2015), little is known about the association of the peripheral vestibular system with neurodegenerative disorders (Cronin et al., 2017). Further, emerging research developments implicate the vestibular system as an opportunity for examining brain function beyond balance, and into other areas, such as cognition and psychological functioning. Additionally, the bidirectional impact of psychological functioning is understudied in ARVL. Recognition of ARVL as part of a multifaceted aging process will help guide the development of integrated interventions for patients who remain at risk for decline. In this review, we will discuss a wide variety of characteristics of the peripheral vestibular system and ARVL, how it relates to neurodegenerative diseases, and correlations between ARVL and balance, vision, cognitive, and psychological dysfunction. We also discuss clinical implications as well as future directions for research, with an emphasis on improving care for patients with ARVL."
2021,Frontiers in neurology,Front Neurol. 2021 Jun 18;12:704095. doi: 10.3389/fneur.2021.704095. eCollection ,"['Wackym, P Ashley', 'Agrawal, Yuri', 'Ikezono, Tetsuo', 'Balaban, Carey D']","['cognitive dysfunction', 'dizziness', 'perilymph fistula', 'sound-induced dizziness', 'superior semicircular canal dehiscence', 'third window syndrome', 'vestibular migraine']",Editorial: Third Window Syndrome.,
2021 Sep 15,Brain research,Brain Res. 2021 Sep 15;1767:147541. doi: 10.1016/j.brainres.2021.147541. Epub ,"['Inui, Takaki', 'Hoffer, Michael', 'Balaban, Carey D']","['animals', 'blast injuries  physiopathology', 'brain injuries, traumatic  physiopathology', 'disease models, animal', 'female', 'matrix metalloproteinase 2  metabolism physiology', 'rats', 'rats, sprague-dawley', 'animal model', 'blood brain barrier', 'mmp2', 'mild blast wave', 'rat', 'traumatic brain injury']",Mild blast wave exposure produces intensity-dependent changes in MMP2 expression patches in rat brains - Findings from different blast severities.,"Matrix metalloproteinase 2 (MMP2) is a gelatinase with multiple functions at the neurovascular interface, including local modification of the glia limitans to facilitate access of immune cells into the brain and amyloid-beta degradation during responses to injury or disease. This study examines regional changes in immunoreactive MMP2 in the rat brain after a single mild (2.7-7.9 psi peak) or moderate (13-17.5 psi peak) blast overpressure (BOP) exposure. Immunopositive MMP2 expression was examined quantitatively in histological sections of decalcified rat heads as a marker at 2, 24, and 72 h after BOP. The MMP2 immunoreactivity was isolated to patchy deposits in brain parenchyma surrounding blood vessels. Separate analyses were conducted for the cerebellum, brain stem caudal to the thalamo-mesencephalic junction, and the cerebrum (including diencephalon). The deposits varied in number, size, staining homogeneity (standard deviation of immunopositive region), and a cumulative measure, the product of size, average intensity and number, as a function of blast intensity and time. The sequences of changes in MMP2 spots from sham control animals suggested that the mild BOP exposure differences normalized within 72 h. However, the responses to moderate exposure revealed a delayed response at 72 h in the subtentorial brain stem and the cerebrum, but not the cerebellum. Hence, local MMP2 responses may be a contextual biomarker for locally regulated responses to widely distributed brain injury foci."
2021 Apr 1,Journal of neurophysiology,J Neurophysiol. 2021 Apr 1;125(4):1095-1110. doi: 10.1152/jn.00350.2019. Epub ,"['McCall, Andrew A', 'Miller, Derek M', 'Balaban, Carey D']","['afferent pathways', 'animals', 'behavior, animal physiology', 'cats', 'electrophysiological phenomena physiology', 'female', 'hindlimb  physiology', 'movement physiology', 'neurons  physiology', 'physical stimulation', 'postural balance physiology', 'proprioception  physiology', 'vestibular nuclei  physiology', 'vestibule, labyrinth  physiology', 'limb', 'sensory integration', 'vestibular']",Integration of vestibular and hindlimb inputs by vestibular nucleus neurons: multisensory influences on postural control.,"We recently demonstrated in decerebrate and conscious cat preparations that hindlimb somatosensory inputs converge with vestibular afferent input onto neurons in multiple central nervous system (CNS) locations that participate in balance control. Although it is known that head position and limb state modulate postural reflexes, presumably through vestibulospinal and reticulospinal pathways, the combined influence of the two inputs on the activity of neurons in these brainstem regions is unknown. In the present study, we evaluated the responses of vestibular nucleus (VN) neurons to vestibular and hindlimb stimuli delivered separately and together in conscious cats. We hypothesized that VN neuronal firing during activation of vestibular and limb proprioceptive inputs would be well fit by an additive model. Extracellular single-unit recordings were obtained from VN neurons. Sinusoidal whole body rotation in the roll plane was used as the search stimulus. Units responding to the search stimulus were tested for their responses to 10° ramp-and-hold roll body rotation, 60° extension hindlimb movement, and both movements delivered simultaneously. Composite response histograms were fit by a model of low- and high-pass filtered limb and body position signals using least squares nonlinear regression. We found that VN neuronal activity during combined vestibular and hindlimb proprioceptive stimulation in the conscious cat is well fit by a simple additive model for signals with similar temporal dynamics. The mean R(2) value for goodness of fit across all units was 0.74 ± 0.17. It is likely that VN neurons that exhibit these integrative properties participate in adjusting vestibulospinal outflow in response to limb state.NEW & NOTEWORTHY Vestibular nucleus neurons receive convergent information from hindlimb somatosensory inputs and vestibular inputs. In this study, extracellular single-unit recordings of vestibular nucleus neurons during conditions of passively applied limb movement, passive whole body rotations, and combined stimulation were well fit by an additive model. The integration of hindlimb somatosensory inputs with vestibular inputs at the first stage of vestibular processing suggests that vestibular nucleus neurons account for limb position in determining vestibulospinal responses to postural perturbations."
2020,Frontiers in neurology,Front Neurol. 2020 Jun 16;11:469. doi: 10.3389/fneur.2020.00469. eCollection ,"['Balaban, Carey D', 'Szczupak, Mikhaylo', 'Kiderman, Alexander', 'Levin, Bonnie E', 'Hoffer, Michael E']","['human', 'objective diagnosis', 'pupil regulation', 'vergence eye movements', 'video-oculography']",Distinctive Convergence Eye Movements in an Acquired Neurosensory Dysfunction.,"In late 2016, diplomats in Havana, Cuba, began presenting with a unique symptom complex after perceiving a strange noise and/or feeling a pressure field in their domicile. This report is a retrospective, quantitative analysis of video-oculography data of pupillary light reflex performance and binocular disparity-driven eye and pupil movements during the acute time period after the reported exposure. The patterns of response in these 19 individuals are markedly different than those seen in a group of individuals with the usual acute mild traumatic brain injury (17 subjects) and from 62 control subjects (21-60 years old) with no injury. Non-linear least squares regression was used to estimate the model parameters from the eye movement and the pupil measurements (1). Linear discriminant analysis was then used to identify a classifier for an objective discrimination of the groups with >91% accuracy and no confusion between the acute neurosensory findings among the members of the Havana diplomatic community and the subjects with acute mild traumatic brain injury. This pattern difference in eye and pupil behavior may be a useful screen to help objectively distinguish blunt trauma from Havana-type effects in the future and to guide the affected individuals to appropriate care."
2019,Frontiers in neurology,Front Neurol. 2019 Dec 13;10:1281. doi: 10.3389/fneur.2019.01281. eCollection ,"['Wackym, P Ashley', 'Balaban, Carey D', 'Zhang, Pengfei', 'Siker, David A', 'Hundal, Jasdeep S']","['cochlea-facial nerve dehiscence', 'cognitive dysfunction', 'dizziness', 'perilymph fistula', 'spatial disorientation', 'superior semicircular canal dehiscence syndrome', 'traumatic brain injury', 'vestibular migraine']",Third Window Syndrome: Surgical Management of Cochlea-Facial Nerve Dehiscence.,"Objective: This communication is the first assessment of outcomes after surgical repair of cochlea-facial nerve dehiscence (CFD) in a series of patients. Pre- and post-operative quantitative measurement of validated survey instruments, symptoms, diagnostic findings and anonymous video descriptions of symptoms in a cohort of 16 patients with CFD and third window syndrome (TWS) symptoms were systematically studied. Study design: Observational analytic case-control study. Setting: Quaternary referral center. Patients: Group 1 had 8 patients (5 children and 3 adults) with CFD and TWS who underwent surgical management using a previously described round window reinforcement technique. Group 2 had 8 patients (2 children and 6 adults) with CFD who did not have surgical intervention. Interventions: The Dizziness Handicap Inventory (DHI) and Headache Impact Test (HIT-6) were administered pre-operatively and post-operatively. In addition, diagnostic findings of comprehensive audiometry, cervical vestibular evoked myogenic potential (cVEMP) thresholds and electrocochleography (ECoG) were studied. Symptoms before and after surgical intervention were compared. Main outcome measures: Pre- vs. post-operative DHI, HIT-6, and audiometric data were compared statistically. The thresholds and amplitudes for cVEMP in symptomatic ears, ears with cochlea-facial nerve dehiscence and ears without CFD were compared statistically. Results: There was a highly significant improvement in DHI and HIT-6 at pre- vs. post-operative (p < 0.0001 and p < 0.001, respectively). The age range was 12.8-52.9 years at the time of surgery (mean = 24.7 years). There were 6 females and 2 males. All 8 had a history of trauma before the onset of their symptoms. The mean cVEMP threshold was 75 dB nHL (SD 3.8) for the operated ear and 85.7 dB (SD 10.6) for the unoperated ear. In contrast to superior semicircular canal dehiscence, where most ears have abnormal ECoG findings suggestive of endolymphatic hydrops, only 1 of 8 operated CFD ears (1 of 16 ears) had an abnormal ECoG study. Conclusions: Overall there was a marked improvement in DHI, HIT-6 and symptoms post-operatively. Statistically significant reduction in cVEMP thresholds was observed in patients with radiographic evidence of CFD. Surgical management with round window reinforcement in patients with CFD was associated with improved symptoms and outcomes measures."
2019,Frontiers in cellular neuroscience,Front Cell Neurosci. 2019 Jun 11;13:261. doi: 10.3389/fncel.2019.00261. ,"['Patel, Jaimin', 'Szczupak, Mikhaylo', 'Rajguru, Suhrud', 'Balaban, Carey', 'Hoffer, Michael E']","['cochlea', 'intratympanic', 'labyrinthine', 'middle ear', 'transtympanic']",Inner Ear Therapeutics: An Overview of Middle Ear Delivery.,"There are a variety of methods to access the inner ear and many of these methods depend on utilizing the middle ear as a portal. In this approach the middle ear can be used as a passive receptacle, as part of an active drug delivery system, or simply as the most convenient way to access the inner ear directly in human subjects. The purpose of this volume is to examine some of the more cutting-edge approaches to treating the middle ear. Before considering these therapies, this manuscript provides an overview of some therapies that have been delivered through the middle ear both in the past and at the current time. This manuscript also serves as a review of many of the methods for accessing the inner ear that directly utilize or pass though the middle ear. This manuscript provides the reader a basis for understanding middle ear delivery, the basis of delivery of medicines via cochlear implants, and examines the novel approach of using hypothermia as a method of altering the responses of the inner ear to damage."
2019 Jul,Headache,Headache. 2019 Jul;59(7):1109-1127. doi: 10.1111/head.13550. Epub 2019 May 11.,"['Balaban, Carey D', 'Black, Robert D', 'Silberstein, Stephen D']","['cognition  physiology', 'eye movements  physiology', 'humans', 'migraine disorders drug therapy  physiopathology', 'perception  physiology', 'postural balance  physiology', 'vestibule, labyrinth  anatomy & histology  physiology', 'headache', 'migraine', 'vestibular system']",Vestibular Neuroscience for the Headache Specialist.,"BACKGROUND: The vestibular system is a multifaceted, integrative sensory system that is often referred to as the ""multi-sensory"" sense. There is an extensive literature about the vestibular sensory organs and afferent nerve pathways; however, this rich resource is often unknown to the headache specialist. AIMS: In this review, we highlight the significance of vestibular sensory processing beyond its role in the maintenance of balance. The role of the vestibular system in migraine pathophysiology is emphasized, not just in how it impacts dizziness or nausea, but also in its higher order effects on mood and cognition. How the vestibular system responds to current and new migraine therapies, such as anti-CGRP (calcitonin gene-related peptide) antibodies, is also discussed. CONCLUSIONS: The vestibular system is not just about balance; this should be taken into account by clinicians as they assess their patients' associated non-headache symptoms. There is a co-occurrence of migraine and vestibular-based problems and a confluence of disciplines relevant to vestibular migraine."
2019 Feb,Laryngoscope investigative otolaryngology,Laryngoscope Investig Otolaryngol. 2018 Dec 12;4(1):124-131. doi: ,"['Hoffer, Michael E', 'Levin, Bonnie E', 'Snapp, Hillary', 'Buskirk, James', 'Balaban, Carey']","['cuba exposure', 'vestibular disorder', 'brain injury', 'cognitive disorder']",Acute findings in an acquired neurosensory dysfunction.,"BACKGROUND: In the Autumn of 2016, diplomatic personnel residing in Havana began to present with symptoms of dizziness, ear pain, and tinnitus that emerged after perception of high frequency noise and/or a pressure sensation. Understanding the acute symptoms of this disorder is important for better defining the disorder and developing optimal diagnostic, preventive, and treatment algorithms. OBJECTIVES: To define the presenting symptoms in a cohort of patients in the acute time period after perceiving a noise/pressure exposure in Havana. DESIGN/SETTINGS/PARTI"
2019 Apr,Journal of the Association for Research in Otolaryngology : JARO,J Assoc Res Otolaryngol. 2019 Apr;20(2):115-131. doi: 10.1007/s10162-018-00709-9. ,"['Tzounopoulos, Thanos', 'Balaban, Carey', 'Zitelli, Lori', 'Palmer, Catherine']","['animals', 'disease models, animal', 'hearing loss, noise-induced complications', 'humans', 'precision medicine  methods', 'tinnitus  classification etiology physiopathology', 'audiology', 'auditory physiology', 'big data', 'electroencephalography', 'hearing loss', 'machine learning', 'magnetoencephalography', 'plasticity', 'precision medicine', 'slow-wave cortical oscillations', 'thalamocortical dysrhythmia', 'tinnitus']",Towards a Mechanistic-Driven Precision Medicine Approach for Tinnitus.,"In this position review, we propose to establish a path for replacing the empirical classification of tinnitus with a taxonomy from precision medicine. The goal of a classification system is to understand the inherent heterogeneity of individuals experiencing and suffering from tinnitus and to identify what differentiates potential subgroups. Identification of different patient subgroups with distinct audiological, psychophysical, and neurophysiological characteristics will facilitate the management of patients with tinnitus as well as the design and execution of drug development and clinical trials, which, for the most part, have not yielded conclusive results. An alternative outcome of a precision medicine approach in tinnitus would be that additional mechanistic phenotyping might not lead to the identification of distinct drivers in each individual, but instead, it might reveal that each individual may display a quantitative blend of causal factors. Therefore, a precision medicine approach towards identifying these causal factors might not lead to subtyping these patients but may instead highlight causal pathways that can be manipulated for therapeutic gain. These two outcomes are not mutually exclusive, and no matter what the final outcome is, a mechanistic-driven precision medicine approach is a win-win approach for advancing tinnitus research and treatment. Although there are several controversies and inconsistencies in the tinnitus field, which will not be discussed here, we will give a few examples, as to how the field can move forward by exploring the major neurophysiological tinnitus models, mostly by taking advantage of the common features supported by all of the models. Our position stems from the central concept that, as a field, we can and must do more to bring studies of mechanisms into the realm of neuroscience."
2018,Frontiers in neurology,Front Neurol. 2018 Nov 26;9:990. doi: 10.3389/fneur.2018.00990. eCollection 2018.,"['Balaban, Carey D', 'Kiderman, Alex', 'Szczupak, Mikhaylo', 'Ashmore, Robin C', 'Hoffer, Michael E']","['convergent eye movements', 'human', 'pupil responses', 'synkinesias', 'virtual environment']",Patterns of Pupillary Activity During Binocular Disparity Resolution.,"This study examined the dynamic coordination between disconjugate, vergence eye movements, and pupil size in 52 normal subjects during binocular disparity stimulation in a virtual reality display. Eye movements and pupil area were sampled with a video-oculographic system at 100 Hz during performance of two tasks, (1) fusion of a binocular disparity step (±1.5° of visual angle in the horizontal plane) and (2) pursuit of a sinusoidally varying binocular disparity stimulus (0.1 Hz, ±2.6° of visual angle in the horizontal plane). Pupil size data were normalized on the basis of responses to homogeneous illumination increments ranging from 0.42 to 65.4 cd/m(2). The subjects produced robust vergence eye movements in response to disparity step shifts and high fidelity sinusoidal vergence responses (R (2) relative to stimulus profile: 0.933 ± 0.088), accompanied by changes in pupil area. Trajectory plots of pupil area as a function of vergence angle showed that the pupil area at zero vergence is altered between epochs of linear vergence angle-pupil area relations. Analysis with a modified Gath-Geva clustering algorithm revealed that the dynamic relationship between the ocular vergence angle and pupil size includes two different transient, synkinetic response patterns. The near response pattern, pupil constriction during convergence and pupil dilation during divergence, occurred ~80% of the time across subjects. An opposite, previously undescribed synkinetic pattern was pupil constriction during divergence and pupil dilatation during convergence; it occurred ~15% of the time across subjects. The remainder of the data were epochs of uncorrelated activity. The pupil size intercepts of the synkinetic segments, representing pupil size at initial tropia, had different relationships to vergence angle for the two main coordinated movement types. Hippus-like movements of the pupil could also be accompanied by vergence movements. No pupil coordination was observed during a conjugate pursuit task. In terms of the current dual interaction control model (1), findings suggest that the synkinetic eye and pupillary movements are produced by a dynamic switch of the influence of vergence related information to pupil control, accompanied by a resetting of the pupil aperture size at zero-vergence."
2017 Aug,Laryngoscope investigative otolaryngology,Laryngoscope Investig Otolaryngol. 2017 Apr 12;2(4):157-165. doi: ,"['Hoffer, Michael E', 'Balaban, Carey', 'Szczupak, Mikhaylo', 'Buskirk, James', 'Snapp, Hillary', 'Crawford, James', 'Wise, Sean', 'Murphy, Sara', 'Marshall, Kathryn', 'Pelusso, Constanza', 'Knowles, Sean', 'Kiderman, Alex']","['concussion', 'point of injury testing', 'vestibular disorders', 'mtbi']","The use of oculomotor, vestibular, and reaction time tests to assess mild traumatic brain injury (mTBI) over time.","OBJECTIVES: The objective of this work is to examine the outcomes of a set of objective measures for evaluating individuals with minor traumatic brain injury (mTBI) over the sub-acute time period. These methods involve tests of oculomotor, vestibular, and reaction time functions. This work expands upon published work examining these test results at the time of presentation. STUDY DESIGN: This study is a prospective age- and sex-matched controlled study. MATERIALS AND METHODS: The subject group was composed of 106 individuals with mTBI and 300 age- and sex-matched controls without a history of mTBI. All individuals agreeing to participate in the study underwent a battery of oculomotor, vestibular, and reaction time tests (OVRT). Those subjects with mTBI underwent these tests at presentation (within 6 days of injury) and 1 and 2weeks post injury. These outcomes were compared to each other over time as well as to results from the controls that underwent 1 test session. RESULTS: Six measures from 5 tests can classify the control and mTBI during Session 1 with a true positive rate (sensitivity) of 84.9% and true negative rate (specificity) of 97.0%. Patterns of abnormalities changed over time in the mTBI group and overall normalized in a subset of individuals at the third (final) testing session. CONCLUSIONS: We describe an objective and effective second generation testing algorithm for diagnosing and following the prognosis of mTBI/concussion. This testing paradigm will allow investigators to institute better treatments and provide more accurate return to activity advice. LEVEL OF EVIDENCE: 3."
