time,journal,doi_info,authors,key words,title,abstract
2024 May 22,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 May 22:2024.05.21.24307699. doi: ,"['Zhang, Dazheng', 'Stein, Ronen', 'Lu, Yiwen', 'Zhou, Ting', 'Lei, Yuqing', 'Li, Lu', 'Chen, Jiajie', 'Arnold, Jonathan', 'Becich, Michael J', 'Chrischilles, Elizabeth A', 'Chuang, Cynthia H', 'Christakis, Dimitri A', 'Fort, Daniel', 'Geary, Carol R', 'Hornig, Mady', 'Kaushal, Rainu', 'Liebovitz, David M', 'Mosa, Abu Saleh Mohammad', 'Morizono, Hiroki', 'Mirhaji, Parsa', 'Dotson, Jennifer L', 'Pulgarin, Claudia', 'Sills, Marion R', 'Suresh, Srinivasan', 'Williams, David A', 'Baldassano, Robert N', 'Forrest, Christopher B', 'Chen, Yong']","['covid-19', 'children', 'gastrointestinal outcomes', 'post-acute phase']",Pediatric Gastrointestinal Outcomes During the Post-Acute Phase of COVID-19.,"BACKGROUND: The impact of COVID-19 on gastrointestinal (GI) outcomes in children during the post-acute and chronic phases of the disease is not well understood. METHODS: We conducted a retrospective cohort study across twenty-nine healthcare institutions from March 2020 to September 2023, including 413,455 pediatric patients with confirmed SARS-CoV-2 infection and 1,163,478 controls without infection. Infection was confirmed via polymerase chain reaction (PCR), serology, antigen tests, or clinical diagnosis of COVID-19 and related conditions. We examined the incidence of predefined GI symptoms and disorders during the post-acute (28 to 179 days post-infection) and chronic (180 to 729 days post-infection) phases. The adjusted risk ratios (aRRs) were calculated using stratified Poisson regression, with stratification based on propensity scores. RESULTS: Our cohort comprised 1,576,933 patients, with females representing 48.0% of the sample. The analysis revealed that children with SARS-CoV-2 infection had an increased risk of developing at least one GI symptom or disorder in both the post-acute (8.64% vs. 6.85%; aRR 1.25, 95%"
2024 Feb 6,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Feb 6:2024.02.04.24302242. doi: ,"['Li, Chenyu', 'Mowery, Danielle L', 'Ma, Xiaomeng', 'Yang, Rui', 'Vurgun, Ugurcan', 'Hwang, Sy', 'Donnelly, Hayoung Kim', 'Bandhey, Harsh', 'Akhtar, Zohaib', 'Senathirajah, Yalini', 'Sadhu, Eugene Mathew', 'Getzen, Emily', 'Freda, Philip J', 'Long, Qi', 'Becich, Michael J']","['electronic health records', 'health equity', 'natural language processing', 'social determinants of health', 'social risk factors']","Realizing the Potential of Social Determinants Data: A Scoping Review of Approaches for Screening, Linkage, Extraction, Analysis and Interventions.","BACKGROUND: Social determinants of health (SDoH) like socioeconomics and neighborhoods strongly influence outcomes, yet standardized SDoH data is lacking in electronic health records (EHR), limiting research and care quality. METHODS: We searched PubMed using keywords ""SDOH"" and ""EHR"", underwent title/abstract and full-text screening. Included records were analyzed under five domains: 1) SDoH screening and assessment approaches, 2) SDoH data collection and documentation, 3) Use of natural language processing (NLP) for extracting SDoH, 4) SDoH data and health outcomes, and 5) SDoH-driven interventions. RESULTS: We identified 685 articles, of which 324 underwent full review. Key findings include tailored screening instruments implemented across settings, census and claims data linkage providing contextual SDoH profiles, rule-based and neural network systems extracting SDoH from notes using NLP, connections found between SDoH data and healthcare utilization/chronic disease control, and integrated care management programs executed. However, considerable variability persists across data sources, tools, and outcomes. DISCUSSION: Despite progress identifying patient social needs, further development of standards, predictive models, and coordinated interventions is critical to fulfill the potential of SDoH-EHR integration. Additional database searches could strengthen this scoping review. Ultimately widespread capture, analysis, and translation of multidimensional SDoH data into clinical care is essential for promoting health equity."
2024 Feb,Digestive diseases and sciences,Dig Dis Sci. 2024 Feb;69(2):370-383. doi: 10.1007/s10620-023-08186-8. Epub 2023 ,"['Behari, Jaideep', 'Bradley, Allison', 'Townsend, Kevin', 'Becich, Michael J', 'Cappella, Nickie', 'Chuang, Cynthia H', 'Fernandez, Soledad A', 'Ford, Daniel E', 'Kirchner, H Lester', 'Morgan, Richard', 'Paranjape, Anuradha', 'Silverstein, Jonathan C', 'Williams, David A', 'Donahoo, W Troy', 'Asrani, Sumeet K', 'Ntanios, Fady', 'Ateya, Mohammad', 'Hegeman-Dingle, Rozelle', 'McLeod, Euan', 'McTigue, Kathleen']","['humans', 'aged', ' non-alcoholic fatty liver disease diagnosis epidemiology pathology', 'biopsy', 'severity of illness index', 'liver cirrhosis diagnosis epidemiology pathology', 'risk assessment', 'liver pathology', 'fibrosis-4 index', 'hepatic steatosis index', 'metabolic dysfunction-associated steatotic liver disease', 'nafld fibrosis score', 'nafld screening', 'nonalcoholic steatohepatitis']",Limitations of Noninvasive Tests-Based Population-Level Risk Stratification Strategy for Nonalcoholic Fatty Liver Disease.,"BACKGROUND: Nonalcoholic fatty liver disease (NAFLD) and nonalcoholic steatohepatitis (NASH) are highly prevalent but underdiagnosed. AIMS: We used an electronic health record data network to test a population-level risk stratification strategy using noninvasive tests (NITs) of liver fibrosis. METHODS: Data were obtained from PCORnet(®) sites in the East, Midwest, Southwest, and Southeast United States from patients aged [Formula: see text] 18 with or without ICD-10-CM diagnosis codes for NAFLD, NASH, and NASH-cirrhosis between 9/1/2017 and 8/31/2020. Average and standard deviations (SD) for Fibrosis-4 index (FIB-4), NAFLD fibrosis score (NFS), and Hepatic Steatosis Index (HSI) were estimated by site for each patient cohort. Sample-wide estimates were calculated as weighted averages across study sites. RESULTS: Of 11,875,959 patients, 0.8% and 0.1% were coded with NAFLD and NASH, respectively. NAFLD diagnosis rates in White, Black, and Hispanic patients were 0.93%, 0.50%, and 1.25%, respectively, and for NASH 0.19%, 0.04%, and 0.16%, respectively. Among undiagnosed patients, insufficient EHR data for estimating NITs ranged from 68% (FIB-4) to 76% (NFS). Predicted prevalence of NAFLD by HSI was 60%, with estimated prevalence of advanced fibrosis of 13% by NFS and 7% by FIB-4. Approximately, 15% and 23% of patients were classified in the intermediate range by FIB-4 and NFS, respectively. Among NAFLD-cirrhosis patients, a third had FIB-4 scores in the low or intermediate range. CONCLUSIONS: We identified several potential barriers to a population-level NIT-based screening strategy. HSI-based NAFLD screening appears unrealistic. Further research is needed to define merits of NFS- versus FIB-4-based strategies, which may identify different high-risk groups."
2023 Dec 1,Medical care,Med Care. 2023 Dec 1;61(12 Suppl 2):S153-S160. doi: 10.1097/MLR.0000000000001929. ,"['Waitman, Lemuel R', 'Bailey, Leonard Charles', 'Becich, Michael J', 'Chung-Bridges, Katherine', 'Dusetzina, Stacie B', 'Espino, Jessi U', 'Hogan, William R', 'Kaushal, Rainu', 'McClay, James C', 'Merritt, James Greg', 'Rothman, Russell L', 'Shenkman, Elizabeth A', 'Song, Xing', 'Nauman, Elizabeth']","['aged', 'humans', 'united states', 'prospective studies', ' medicare', ' patient outcome assessment', 'outcome assessment, health care', 'patient-centered care']",Avenues for Strengthening PCORnet's Capacity to Advance Patient-Centered Economic Outcomes in Patient-Centered Outcomes Research (PCOR).,"PCORnet, the National Patient-Centered Clinical Research Network, provides the ability to conduct prospective and observational pragmatic research by leveraging standardized, curated electronic health records data together with patient and stakeholder engagement. PCORnet is funded by the Patient-Centered Outcomes Research Institute (PCORI) and is composed of 8 Clinical Research Networks that incorporate at total of 79 health system ""sites."" As the network developed, linkage to commercial health plans, federal insurance claims, disease registries, and other data resources demonstrated the value in extending the networks infrastructure to provide a more complete representation of patient's health and lived experiences. Initially, PCORnet studies avoided direct economic comparative effectiveness as a topic. However, PCORI's authorizing law was amended in 2019 to allow studies to incorporate patient-centered economic outcomes in primary research aims. With PCORI's expanded scope and PCORnet's phase 3 beginning in January 2022, there are opportunities to strengthen the network's ability to support economic patient-centered outcomes research. This commentary will discuss approaches that have been incorporated to date by the network and point to opportunities for the network to incorporate economic variables for analysis, informed by patient and stakeholder perspectives. Topics addressed include: (1) data linkage infrastructure; (2) commercial health plan partnerships; (3) Medicare and Medicaid linkage; (4) health system billing-based benchmarking; (5) area-level measures; (6) individual-level measures; (7) pharmacy benefits and retail pharmacy data; and (8) the importance of transparency and engagement while addressing the biases inherent in linking real-world data sources."
2023 Oct 2,JAMA network open,JAMA Netw Open. 2023 Oct 2;6(10):e2336480. doi: ,"['Becich, Michael J']","['humans', ' translational research, biomedical', ' translational science, biomedical']",Clinical Trial Strategies Fueled by Informatics Innovation Catalyze Translational Research.,
2023 Sep 25,Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc. 2023 Sep 25;30(10):1634-1644. doi: 10.1093/jamia/ocad132.,"['Rashid, Rumana', 'Copelli, Susan', 'Silverstein, Jonathan C', 'Becich, Michael J']","['humans', ' rare diseases', ' mesothelioma', 'software', 'translational research, biomedical', 'biological specimen banks', 'national mesothelioma virtual bank', 'redcap', 'biobank', 'biorepository', 'rare disease', 'registry']",REDCap and the National Mesothelioma Virtual Bank-a scalable and sustainable model for rare disease biorepositories.,"OBJECTIVE: Rare disease research requires data sharing networks to power translational studies. We describe novel use of Research Electronic Data Capture (REDCap), a web application for managing clinical data, by the National Mesothelioma Virtual Bank, a federated biospecimen, and data sharing network. MATERIALS AND METHODS: National Mesothelioma Virtual Bank (NMVB) uses REDCap to integrate honest broker activities, enabling biospecimen and associated clinical data provisioning to investigators. A Web Portal Query tool was developed to source and visualize REDCap data in interactive, faceted search, enabling cohort discovery by public users. An AWS Lambda function behind an API calculates the counts visually presented, while protecting record level data. The user-friendly interface, quick responsiveness, automatic generation from REDCap, and flexibility to new data, was engineered to sustain the NMVB research community. RESULTS: NMVB implementations enabled a network of 8 research institutions with over 2000 mesothelioma cases, including clinical annotations and biospecimens, and public users' cohort discovery and summary statistics. NMVB usage and impact is demonstrated by high website visits (>150 unique queries per month), resource use requests (>50 letter of interests), and citations (>900) to papers published using NMVB resources. DISCUSSION: NMVB's REDCap implementation and query tool is a framework for implementing federated and integrated rare disease biobanks and registries. Advantages of this framework include being low-cost, modular, scalable, and efficient. Future advances to NVMB's implementations will include incorporation of -omics data and development of downstream analysis tools to advance mesothelioma and rare disease research. CONCLUSION: NVMB presents a framework for integrating biobanks and patient registries to enable translational research for rare diseases."
2023 Sep,International journal of medical informatics,Int J Med Inform. 2023 Sep;177:105144. doi: 10.1016/j.ijmedinf.2023.105144. Epub ,"['Oniani, David', 'Parmanto, Bambang', 'Saptono, Andi', 'Bove, Allyn', 'Freburger, Janet', 'Visweswaran, Shyam', 'Cappella, Nickie', 'McLay, Brian', 'Silverstein, Jonathan C', 'Becich, Michael J', 'Delitto, Anthony', 'Skidmore, Elizabeth', 'Wang, Yanshan']","['humans', ' rehabilitation research', 'electronic health records', ' medical informatics', 'natural language processing', 'clinical research informatics', 'common data model', 'electronic health records', 'informatics infrastructure', 'natural language processing', 'rehabilitation']",ReDWINE: A clinical datamart with text analytical capabilities to facilitate rehabilitation research.,"Rehabilitation research focuses on determining the components of a treatment intervention, the mechanism of how these components lead to recovery and rehabilitation, and ultimately the optimal intervention strategies to maximize patients' physical, psychologic, and social functioning. Traditional randomized clinical trials that study and establish new interventions face challenges, such as high cost and time commitment. Observational studies that use existing clinical data to observe the effect of an intervention have shown several advantages over RCTs. Electronic Health Records (EHRs) have become an increasingly important resource for conducting observational studies. To support these studies, we developed a clinical research datamart, called ReDWINE (Rehabilitation Datamart With Informatics iNfrastructure for rEsearch), that transforms the rehabilitation-related EHR data collected from the UPMC health care system to the Observational Health Data Sciences and Informatics (OHDSI) Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) to facilitate rehabilitation research. The standardized EHR data stored in ReDWINE will further reduce the time and effort required by investigators to pool, harmonize, clean, and analyze data from multiple sources, leading to more robust and comprehensive research findings. ReDWINE also includes deployment of data visualization and data analytics tools to facilitate cohort definition and clinical data analysis. These include among others the Open Health Natural Language Processing (OHNLP) toolkit, a high-throughput NLP pipeline, to provide text analytical capabilities at scale in ReDWINE. Using this comprehensive representation of patient data in ReDWINE for rehabilitation research will facilitate real-world evidence for health interventions and outcomes."
2023 Aug 1,Environmental research,Environ Res. 2023 Aug 1;230:115085. doi: 10.1016/j.envres.2022.115085. Epub 2023 ,"['Gao, Yuhe', 'Mazurek, Jacek M', 'Li, Yaming', 'Blackley, David', 'Weissman, David N', 'Burton, Shirley V', 'Amin, Waqas', 'Landsittel, Douglas', 'Becich, Michael J', 'Ye, Ye']","['female', 'humans', 'male', ' mesothelioma, malignant chemically induced', ' mesothelioma chemically induced epidemiology', ' asbestos toxicity', 'industry', 'occupations', ' occupational exposure adverse effects', ' occupational diseases epidemiology', 'asbestos', 'mesothelioma', 'occupational exposure', 'sex', 'survival', 'work history']","Industry, occupation, and exposure history of mesothelioma patients in the U.S. National Mesothelioma Virtual Bank, 2006-2022.","BACKGROUND: Malignant mesothelioma is associated with environmental and occupational exposure to certain mineral fibers, especially asbestos. This study aims to examine work histories of mesothelioma patients and their survival time. METHOD: Using the NIOSH Industry and Occupation Computerized Coding System, we mapped occupations and industries recorded for 748 of 1444 patients in the U.S. National Mesothelioma Virtual Bank (NMVB) during the period 2006-2022. Descriptive and survival analyses were conducted. RESULTS: Among the 1023 industries recorded for those having mesothelioma, the most frequent cases were found for those in manufacturing (n = 225, 22.0%), construction (138, 13.5%), and education services (66, 6.5%); among the 924 occupation records, the most frequent cases were found for those in construction and extraction (174, 18.8%), production (145, 15.7%), and management (84, 9.1%). Males (583) or persons aged >40 years (658) at the time of diagnosis tended to have worked in industries traditionally associated with mesothelioma (e.g., construction), while females (163) or persons aged 20-40 years (27) tended to have worked in industries not traditionally associated with mesothelioma (e.g., health care). Asbestos, unknown substances, and chemical solvents were the most frequently reported exposure, with females most often reporting an unknown substance. A multi-variable Cox Hazard Regression analysis showed that significant prognostic factors associated with decreased survival in mesothelioma cases are sex (male) and work experience in utility-related industry, while factor associated with increased survival are epithelial or epithelioid histological type, prior history of surgery and immunotherapy, and industry experience in accommodation and food services. CONCLUSION: The NMVB has the potential of serving as a sentinel surveillance mechanism for identifying industries and occupations not traditionally associated with mesothelioma. Results indicate the importance of considering all potential sources of asbestos exposures including occupational, environmental, and extra-occupational exposures when evaluating mesothelioma patients and advising family members."
2023 Aug 1,Environmental research,Environ Res. 2023 Aug 1;230:114578. doi: 10.1016/j.envres.2022.114578. Epub 2023 ,"['Goodman, Julie E', 'Becich, Michael J', 'Bernstein, David M', 'Case, Bruce W', 'Mandel, Jeffrey H', 'Nel, Andre E', 'Nolan, Robert', 'Odo, Nnaemeka U', 'Smith, Steven R', 'Taioli, Emanuela', 'Gibbs, Graham']","['humans', 'epigenesis, genetic', ' air pollutants, occupational', ' occupational exposure', ' lung neoplasms chemically induced epidemiology', 'minerals analysis', ' mesothelioma chemically induced epidemiology', ' asbestos toxicity', 'tumor microenvironment', 'asbestos', 'cleavage fragments', 'elongate mineral particle (emp)', 'high aspect ratio engineered nanomaterials', 'mesothelioma']",Non-asbestiform elongate mineral particles and mesothelioma risk: Human and experimental evidence.,"The presentations in this session of the Monticello II conference were aimed at summarizing what is known about asbestiform and non-asbestiform elongate mineral particles (EMPs) and mesothelioma risks based on evidence from experimental and epidemiology studies. Dr. Case discussed case reports of mesothelioma over the last several decades. Dr. Taioli indicated that the epidemiology evidence concerning non-asbestiform EMPs is weak or lacking, and that progress would be limited unless mesothelioma registries are established. One exception discussed is that of taconite miners, who are exposed to grunerite. Drs. Mandel and Odo noted that studies of taconite miners in Minnesota have revealed an excess rate of mesothelioma, but the role of non-asbestiform EMPs in this excess incidence of mesothelioma is unclear. Dr. Becich discussed the National Mesothelioma Virtual Bank (NMVB), a virtual mesothelioma patient registry that includes mesothelioma patients' lifetime work histories, exposure histories, biospecimens, proteogenomic information, and imaging data that can be used in epidemiology research on mesothelioma. Dr. Bernstein indicated that there is a strong consensus that long, highly durable respirable asbestiform EMPs have the potential to cause mesothelioma, but there is continued debate concerning the biodurability required, and the dimensions (both length and diameter), the shape, and the dose associated with mesothelioma risk. Finally, Dr. Nel discussed how experimental studies of High Aspect Ratio Engineered Nanomaterials have clarified dimensional and durability features that impact disease risk, the impact of inflammation and oxidative stress on the epigenetic regulation of tumor suppressor genes, and the generation of immune suppressive effects in the mesothelioma tumor microenvironment. The session ended with a discussion of future research needs."
2022 Nov 16,Cancers,Cancers (Basel). 2022 Nov 16;14(22):5626. doi: 10.3390/cancers14225626.,"['Osmanbeyoglu, Hatice Ulku', 'Palmer, Drake', 'Sagan, April', 'Sementino, Eleonora', 'Becich, Michael J', 'Testa, Joseph R']","['bap1', 'malignant pleural mesothelioma', 'tumor suppressor gene loss']",Isolated BAP1 Genomic Alteration in Malignant Pleural Mesothelioma Predicts Distinct Immunogenicity with Implications for Immunotherapeutic Response.,"Malignant pleural mesothelioma (MPM), an aggressive cancer of the mesothelial cells lining the pleural cavity, lacks effective treatments. Multiple somatic mutations and copy number losses in tumor suppressor genes (TSGs) BAP1, CDKN2A/B, and NF2 are frequently associated with MPM. The impact of single versus multiple genomic alterations of TSG on MPM biology, the immune tumor microenvironment, clinical outcomes, and treatment responses are unknown. Tumors with genomic alterations in BAP1 alone were associated with a longer overall patient survival rate compared to tumors with CDKN2A/B and/or NF2 alterations with or without BAP1 and formed a distinct immunogenic subtype with altered transcription factor and pathway activity patterns. CDKN2A/B genomic alterations consistently contributed to an adverse clinical outcome. Since the genomic alterations of only BAP1 was associated with the PD-1 therapy response signature and higher LAG3 and VISTA gene expression, it might be a candidate marker for immune checkpoint blockade therapy. Our results on the impact of TSG genotypes on MPM and the correlations between TSG alterations and molecular pathways provide a foundation for developing individualized MPM therapies."
2022,Academic pathology,Acad Pathol. 2022 May 30;9(1):100026. doi: 10.1016/j.acpath.2022.100026. ,"['Pantanowitz, Liron', 'Bui, Marilyn M', 'Chauhan, Chhavi', 'ElGabry, Ehab', 'Hassell, Lewis', 'Li, Zaibo', 'Parwani, Anil V', 'Salama, Mohamed E', 'Sebastian, Manu M', 'Tulman, David', 'Vepa, Suryanarayana', 'Becich, Michael J']","['academic-industry partnership', 'artificial intelligence', 'conflict of interest', 'digital pathology', 'industry', 'innovation', 'intellectual property', 'patent', 'sponsored research', 'university']",Rules of engagement: Promoting academic-industry partnership in the era of digital pathology and artificial intelligence.,"Academic industry partnership (AIP) represents an important alliance between academic researchers and industry that helps translate technology and complete the innovation cycle within academic health systems. Despite diverging missions and skillsets the culture for academia and industry is changing in response to the current digital era which is spawning greater collaboration between physicians and businesses in this marketplace. In the field of pathology, this is further driven by the fact that traditional funding sources cannot keep pace with the innovation needed in digital pathology and artificial intelligence. This concept article from the Digital Pathology Association (DPA) describes the rules of engagement for pathology innovators in academia and for their corporate partners to help establish best practices in this critical area. Stakeholders include pathologists, basic and translational researchers, university technology transfer and sponsored research offices, as well as industry relations officers. The article discusses the benefits and pitfalls of an AIP, reviews different partnership models, examines the role of pathologists in the innovation cycle, explains various agreements that may need to be signed, covers conflict of interest and intellectual property issues, and offers recommendations for ensuring successful partnerships."
2022 Mar 15,Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc. 2022 Mar 15;29(4):581-584. doi: 10.1093/jamia/ocac024.,"['Murphy, Shawn N', 'Visweswaran, Shyam', 'Becich, Michael J', 'Campion, Thomas R', 'Knosp, Boyd M', 'Melton-Meaux, Genevieve B', 'Lenert, Leslie A']","[' data warehousing', 'information dissemination', ' medical informatics']",Research data warehouse best practices: catalyzing national data sharing through informatics innovation.,
2021 Dec 2,Journal of medical Internet research,J Med Internet Res. 2021 Dec 2;23(12):e20028. doi: 10.2196/20028.,"['Ye, Ye', 'Barapatre, Seemran', 'Davis, Michael K', 'Elliston, Keith O', 'Davatzikos, Christos', 'Fedorov, Andrey', 'Fillion-Robin, Jean-Christophe', 'Foster, Ian', 'Gilbertson, John R', 'Lasso, Andras', 'Miller, James V', 'Morgan, Martin', 'Pieper, Steve', 'Raumann, Brigitte E', 'Sarachan, Brion D', 'Savova, Guergana', 'Silverstein, Jonathan C', 'Taylor, Donald P', 'Zelnis, Joyce B', 'Zhang, Guo-Qiang', 'Cuticchia, Jamie', 'Becich, Michael J']","[' ecosystem', 'humans', 'informatics', ' neoplasms therapy', 'research', 'software', 'technology', 'cancer informatics', 'financial model', 'licensing model', 'open-source software', 'product management', 'sustainability']",Open-source Software Sustainability Models: Initial White Paper From the Informatics Technology for Cancer Research Sustainability and Industry Partnership Working Group.,"BACKGROUND: The National Cancer Institute Informatics Technology for Cancer Research (ITCR) program provides a series of funding mechanisms to create an ecosystem of open-source software (OSS) that serves the needs of cancer research. As the ITCR ecosystem substantially grows, it faces the challenge of the long-term sustainability of the software being developed by ITCR grantees. To address this challenge, the ITCR sustainability and industry partnership working group (SIP-WG) was convened in 2019. OBJECTIVE: The charter of the SIP-WG is to investigate options to enhance the long-term sustainability of the OSS being developed by ITCR, in part by developing a collection of business model archetypes that can serve as sustainability plans for ITCR OSS development initiatives. The working group assembled models from the ITCR program, from other studies, and from the engagement of its extensive network of relationships with other organizations (eg, Chan Zuckerberg Initiative, Open Source Initiative, and Software Sustainability Institute) in support of this objective. METHODS: This paper reviews the existing sustainability models and describes 10 OSS use cases disseminated by the SIP-WG and others, including 3D Slicer, Bioconductor, Cytoscape, Globus, i2b2 (Informatics for Integrating Biology and the Bedside) and tranSMART, Insight Toolkit, Linux, Observational Health Data Sciences and Informatics tools, R, and REDCap (Research Electronic Data Capture), in 10 sustainability aspects: governance, documentation, code quality, support, ecosystem collaboration, security, legal, finance, marketing, and dependency hygiene. RESULTS: Information available to the public reveals that all 10 OSS have effective governance, comprehensive documentation, high code quality, reliable dependency hygiene, strong user and developer support, and active marketing. These OSS include a variety of licensing models (eg, general public license version 2, general public license version 3, Berkeley Software Distribution, and Apache 3) and financial models (eg, federal research funding, industry and membership support, and commercial support). However, detailed information on ecosystem collaboration and security is not publicly provided by most OSS. CONCLUSIONS: We recommend 6 essential attributes for research software: alignment with unmet scientific needs, a dedicated development team, a vibrant user community, a feasible licensing model, a sustainable financial model, and effective product management. We also stress important actions to be considered in future ITCR activities that involve the discussion of the sustainability and licensing models for ITCR OSS, the establishment of a central library, the allocation of consulting resources to code quality control, ecosystem collaboration, security, and dependency hygiene."
2022 Feb,Clinical and translational science,Clin Transl Sci. 2022 Feb;15(2):309-321. doi: 10.1111/cts.13175. Epub 2021 Oct ,"['Bernstam, Elmer V', 'Shireman, Paula K', 'Meric-Bernstam, Funda', 'N Zozus, Meredith', 'Jiang, Xiaoqian', 'Brimhall, Bradley B', 'Windham, Ashley K', 'Schmidt, Susanne', 'Visweswaran, Shyam', 'Ye, Ye', 'Goodrum, Heath', 'Ling, Yaobin', 'Barapatre, Seemran', 'Becich, Michael J']","[' artificial intelligence', 'humans', 'translational research, biomedical', ' translational science, biomedical', 'united states', 'artificial intelligence', 'machine learning', 'translational medical research']","Artificial intelligence in clinical and translational science: Successes, challenges and opportunities.","Artificial intelligence (AI) is transforming many domains, including finance, agriculture, defense, and biomedicine. In this paper, we focus on the role of AI in clinical and translational research (CTR), including preclinical research (T1), clinical research (T2), clinical implementation (T3), and public (or population) health (T4). Given the rapid evolution of AI in CTR, we present three complementary perspectives: (1) scoping literature review, (2) survey, and (3) analysis of federally funded projects. For each CTR phase, we addressed challenges, successes, failures, and opportunities for AI. We surveyed Clinical and Translational Science Award (CTSA) hubs regarding AI projects at their institutions. Nineteen of 63 CTSA hubs (30%) responded to the survey. The most common funding source (48.5%) was the federal government. The most common translational phase was T2 (clinical research, 40.2%). Clinicians were the intended users in 44.6% of projects and researchers in 32.3% of projects. The most common computational approaches were supervised machine learning (38.6%) and deep learning (34.2%). The number of projects steadily increased from 2012 to 2020. Finally, we analyzed 2604 AI projects at CTSA hubs using the National Institutes of Health Research Portfolio Online Reporting Tools (RePORTER) database for 2011-2019. We mapped available abstracts to medical subject headings and found that nervous system (16.3%) and mental disorders (16.2) were the most common topics addressed. From a computational perspective, big data (32.3%) and deep learning (30.0%) were most common. This work represents a snapshot in time of the role of AI in the CTSA program."
2022 Mar 15,Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc. 2022 Mar 15;29(4):601-608. doi: 10.1093/jamia/ocab204.,"['Visweswaran, Shyam', 'McLay, Brian', 'Cappella, Nickie', 'Morris, Michele', 'Milnes, John T', 'Reis, Steven E', 'Silverstein, Jonathan C', 'Becich, Michael J']","[' data warehousing', 'electronic health records', 'ethics committees, research', ' health insurance portability and accountability act', 'humans', 'information storage and retrieval', 'united states', 'electronic health records', 'research data warehouse', 'research patient data repository', 'secondary use']",An atomic approach to the design and implementation of a research data warehouse.,"OBJECTIVE: As a long-standing Clinical and Translational Science Awards (CTSA) Program hub, the University of Pittsburgh and the University of Pittsburgh Medical Center (UPMC) developed and implemented a modern research data warehouse (RDW) to efficiently provision electronic patient data for clinical and translational research. MATERIALS AND METHODS: We designed and implemented an RDW named Neptune to serve the specific needs of our CTSA. Neptune uses an atomic design where data are stored at a high level of granularity as represented in source systems. Neptune contains robust patient identity management tailored for research; integrates patient data from multiple sources, including electronic health records (EHRs), health plans, and research studies; and includes knowledge for mapping to standard terminologies. RESULTS: Neptune contains data for more than 5 million patients longitudinally organized as Health Insurance Portability and Accountability Act (HIPAA) Limited Data with dates and includes structured EHR data, clinical documents, health insurance claims, and research data. Neptune is used as a source for patient data for hundreds of institutional review board-approved research projects by local investigators and for national projects. DISCUSSION: The design of Neptune was heavily influenced by the large size of UPMC, the varied data sources, and the rich partnership between the University and the healthcare system. It includes several unique aspects, including the physical warehouse straddling the University and UPMC networks and management under an HIPAA Business Associates Agreement. CONCLUSION: We describe the design and implementation of an RDW at a large academic healthcare system that uses a distinctive atomic design where data are stored at a high level of granularity."
