time,journal,doi_info,authors,key words,title,abstract
2024 Jan 31,Communications biology,Commun Biol. 2024 Jan 31;7(1):144. doi: 10.1038/s42003-024-05835-0.,"['Thakur, Avinash', 'Park, Kwangjin', 'Cullum, Rebecca', 'Fuglerud, Bettina M', 'Khoshnoodi, Mina', 'Drissler, Sibyl', 'Stephan, Tabea L', 'Lotto, Jeremy', 'Kim, Donghwan', 'Gonzalez, Frank J', 'Hoodless, Pamela A']","['animals', ' enhancer elements, genetic', 'histones genetics metabolism', 'chromatin genetics', ' leukemia', 'histone-lysine n-methyltransferase genetics metabolism', 'mammals genetics']",HNF4A guides the MLL4 complex to establish and maintain H3K4me1 at gene regulatory elements.,"Hepatocyte nuclear factor 4A (HNF4A/NR2a1), a transcriptional regulator of hepatocyte identity, controls genes that are crucial for liver functions, primarily through binding to enhancers. In mammalian cells, active and primed enhancers are marked by monomethylation of histone 3 (H3) at lysine 4 (K4) (H3K4me1) in a cell type-specific manner. How this modification is established and maintained at enhancers in connection with transcription factors (TFs) remains unknown. Using analysis of genome-wide histone modifications, TF binding, chromatin accessibility and gene expression, we show that HNF4A is essential for an active chromatin state. Using HNF4A loss and gain of function experiments in vivo and in cell lines in vitro, we show that HNF4A affects H3K4me1, H3K27ac and chromatin accessibility, highlighting its contribution to the establishment and maintenance of a transcriptionally permissive epigenetic state. Mechanistically, HNF4A interacts with the mixed-lineage leukaemia 4 (MLL4) complex facilitating recruitment to HNF4A-bound regions. Our findings indicate that HNF4A enriches H3K4me1, H3K27ac and establishes chromatin opening at transcriptional regulatory regions."
2023 Sep 9,Nature communications,Nat Commun. 2023 Sep 9;14(1):5567. doi: 10.1038/s41467-023-41279-6.,"['Lotto, Jeremy', 'Cullum, Rebecca', 'Drissler, Sibyl', 'Arostegui, Martin', 'Garside, Victoria C', 'Fuglerud, Bettina M', 'Clement-Ranney, Makenna', 'Thakur, Avinash', 'Underhill, T Michael', 'Hoodless, Pamela A']","['animals', 'mice', ' heart valves', ' endocardium', 'cell differentiation', 'biology', 'cell communication']",Cell diversity and plasticity during atrioventricular heart valve EMTs.,"Epithelial-to-mesenchymal transitions (EMTs) of both endocardium and epicardium guide atrioventricular heart valve formation, but the cellular complexity and small scale of this tissue have restricted analyses. To circumvent these issues, we analyzed over 50,000 murine single-cell transcriptomes from embryonic day (E)7.75 hearts to E12.5 atrioventricular canals. We delineate mesenchymal and endocardial bifurcation during endocardial EMT, identify a distinct, transdifferentiating epicardial population during epicardial EMT, and reveal the activation of epithelial-mesenchymal plasticity during both processes. In Sox9-deficient valves, we observe increased epithelial-mesenchymal plasticity, indicating a role for SOX9 in promoting endothelial and mesenchymal cell fate decisions. Lastly, we deconvolve cell interactions guiding the initiation and progression of cardiac valve EMTs. Overall, these data reveal mechanisms of emergence of mesenchyme from endocardium or epicardium at single-cell resolution and will serve as an atlas of EMT initiation and progression with broad implications in regenerative medicine and cancer biology."
2023 Sep,Nature reviews. Gastroenterology & hepatology,Nat Rev Gastroenterol Hepatol. 2023 Sep;20(9):561-581. doi: ,"['Lotto, Jeremy', 'Stephan, Tabea L', 'Hoodless, Pamela A']","['humans', ' liver', ' liver diseases etiology metabolism', 'hepatocytes metabolism', 'cell differentiation', 'cell lineage']",Fetal liver development and implications for liver disease pathogenesis.,"The metabolic, digestive and homeostatic roles of the liver are dependent on proper crosstalk and organization of hepatic cell lineages. These hepatic cell lineages are derived from their respective progenitors early in organogenesis in a spatiotemporally controlled manner, contributing to the liver's specialized and diverse microarchitecture. Advances in genomics, lineage tracing and microscopy have led to seminal discoveries in the past decade that have elucidated liver cell lineage hierarchies. In particular, single-cell genomics has enabled researchers to explore diversity within the liver, especially early in development when the application of bulk genomics was previously constrained due to the organ's small scale, resulting in low cell numbers. These discoveries have substantially advanced our understanding of cell differentiation trajectories, cell fate decisions, cell lineage plasticity and the signalling microenvironment underlying the formation of the liver. In addition, they have provided insights into the pathogenesis of liver disease and cancer, in which developmental processes participate in disease emergence and regeneration. Future work will focus on the translation of this knowledge to optimize in vitro models of liver development and fine-tune regenerative medicine strategies to treat liver disease. In this Review, we discuss the emergence of hepatic parenchymal and non-parenchymal cells, advances that have been made in in vitro modelling of liver development and draw parallels between developmental and pathological processes."
2022 Aug 26,Nucleic acids research,Nucleic Acids Res. 2022 Aug 26;50(15):8547-8565. doi: 10.1093/nar/gkac652.,"['Fuglerud, Bettina M', 'Drissler, Sibyl', 'Lotto, Jeremy', 'Stephan, Tabea L', 'Thakur, Avinash', 'Cullum, Rebecca', 'Hoodless, Pamela A']","[' chromatin genetics metabolism', ' gene expression regulation', 'human umbilical vein endothelial cells metabolism', 'humans', 'sox9 transcription factor  metabolism', 'signal transduction']",SOX9 reprograms endothelial cells by altering the chromatin landscape.,"The transcription factor SOX9 is activated at the onset of endothelial-to-mesenchymal transition (EndMT) during embryonic development and in pathological conditions. Its roles in regulating these processes, however, are not clear. Using human umbilical vein endothelial cells (HUVECs) as an EndMT model, we show that SOX9 expression alone is sufficient to activate mesenchymal genes and steer endothelial cells towards a mesenchymal fate. By genome-wide mapping of the chromatin landscape, we show that SOX9 displays features of a pioneer transcription factor, such as opening of chromatin and leading to deposition of active histone modifications at silent chromatin regions, guided by SOX dimer motifs and H2A.Z enrichment. We further observe highly transient and dynamic SOX9 binding, possibly promoted through its eviction by histone phosphorylation. However, while SOX9 binding is dynamic, changes in the chromatin landscape and cell fate induced by SOX9 are persistent. Finally, our analysis of single-cell chromatin accessibility indicates that SOX9 opens chromatin to drive EndMT in atherosclerotic lesions in vivo. This study provides new insight into key molecular functions of SOX9 and mechanisms of EndMT and highlights the crucial developmental role of SOX9 and relevance to human disease."
2022 Aug,Leukemia,Leukemia. 2022 Aug;36(8):1980-1989. doi: 10.1038/s41375-022-01602-4. Epub 2022 ,"['Xiang, Ping', 'Yang, Xining', 'Escano, Leo', 'Dhillon, Ishpreet', 'Schneider, Edith', 'Clemans-Gibbon, Jack', 'Wei, Wei', 'Wong, Jasper', 'Wang, Simon Xufeng', 'Tam, Derek', 'Deng, Yu', 'Yung, Eric', 'Morin, Gregg B', 'Hoodless, Pamela A', 'Hirst, Martin', 'Karsan, Aly', 'Kuchenbauer, Florian', 'Humphries, R Keith', 'Rouhi, Arefeh']","[' homeodomain proteins chemistry', 'humans', ' leukemia, myeloid, acute genetics', ' myeloid ecotropic viral integration site 1 protein genetics', 'neoplasm proteins metabolism', 'transcription factors metabolism']",Elucidating the importance and regulation of key enhancers for human MEIS1 expression.,"Myeloid ecotropic virus insertion site 1 (MEIS1) is essential for normal hematopoiesis and is a critical factor in the pathogenesis of a large subset of acute myeloid leukemia (AML). Despite the clinical relevance of MEIS1, its regulation is largely unknown. To understand the transcriptional regulatory mechanisms contributing to human MEIS1 expression, we created a knock-in green florescent protein (GFP) reporter system at the endogenous MEIS1 locus in a human AML cell line. Using this model, we have delineated and dissected a critical enhancer region of the MEIS1 locus for transcription factor (TF) binding through in silico prediction in combination with oligo pull-down, mass-spectrometry and knockout analysis leading to the identification of FLI1, an E-twenty-six (ETS) transcription factor, as an important regulator of MEIS1 transcription. We further show direct binding of FLI1 to the MEIS1 locus in human AML cell lines as well as enrichment of histone acetylation in MEIS1-high healthy and leukemic cells. We also observe a positive correlation between high FLI1 transcript levels and worse overall survival in AML patients. Our study expands the role of ETS factors in AML and our model constitutes a feasible tool for a more detailed understanding of transcriptional regulatory elements and their interactome."
2022 May 16,The Journal of clinical investigation,J Clin Invest. 2022 May 16;132(10):e145343. doi: 10.1172/JCI145343.,"['Takata, Katsuyoshi', 'Chong, Lauren C', 'Ennishi, Daisuke', 'Aoki, Tomohiro', 'Li, Michael Yu', 'Thakur, Avinash', 'Healy, Shannon', 'Viganò, Elena', 'Dao, Tao', 'Kwon, Daniel', 'Duns, Gerben', 'Nielsen, Julie S', 'Ben-Neriah, Susana', 'Tse, Ethan', 'Hung, Stacy S', 'Boyle, Merrill', 'Mun, Sung Soo', 'Bourne, Christopher M', 'Woolcock, Bruce', 'Telenius, Adèle', 'Kishida, Makoto', 'Rai, Shinya', 'Zhang, Allen W', 'Bashashati, Ali', 'Saberi, Saeed', ""D'Antonio, Gianluca"", 'Nelson, Brad H', 'Shah, Sohrab P', 'Hoodless, Pamela A', 'Melnick, Ari M', 'Gascoyne, Randy D', 'Connors, Joseph M', 'Scheinberg, David A', 'Béguelin, Wendy', 'Scott, David W', 'Steidl, Christian']","[' antigens, neoplasm genetics metabolism', 'humans', ' lymphoma, large b-cell, diffuse drug therapy therapy', 'tumor microenvironment genetics', 'hematology', 'lymphomas', 'oncology']",Tumor-associated antigen PRAME exhibits dualistic functions that are targetable in diffuse large B cell lymphoma.,
2021 Nov 12,Communications biology,Commun Biol. 2021 Nov 12;4(1):1285. doi: 10.1038/s42003-021-02816-5.,"['Cheng, Jung-Chien', 'Fang, Lanlan', 'Li, Yuxi', 'Thakur, Avinash', 'Hoodless, Pamela A', 'Guo, Yanjie', 'Wang, Zhen', 'Wu, Ze', 'Yan, Yang', 'Jia, Qiongqiong', 'Gao, Yibo', 'Han, Xiaoyu', 'Yu, Yiping', 'Sun, Ying-Pu']","['angiopoietin-like protein 1  genetics metabolism', ' cell communication', 'cell cycle proteins  genetics metabolism', ' gene expression', 'humans', 'receptors, estrogen  genetics metabolism', 'receptors, g-protein-coupled  genetics metabolism', 'transcription factors  genetics metabolism', 'trophoblasts cytology  metabolism', 'up-regulation']",G protein-coupled estrogen receptor stimulates human trophoblast cell invasion via YAP-mediated ANGPTL4 expression.,"Insufficient invasion of trophoblast cells into the uterine decidua is associated with preeclampsia (PE). G protein-coupled estrogen receptor (GPER) is a membrane estrogen receptor involved in non-genomic estrogen signaling. GPER is expressed in human trophoblast cells and downregulated GPER levels are noted in PE. However, to date, the role of GPER in trophoblast cells remains largely unknown. Here, we applied RNA sequencing (RNA-seq) to HTR-8/SVneo human trophoblast cells in response to G1, an agonist of GPER, and identified angiopoietin-like 4 (ANGPTL4) as a target gene of GPER. Treatment of trophoblast cells with G1 or 17β-estradiol (E2) activated Yes-associated protein (YAP), the major downstream effector of the Hippo pathway, via GPER but in a mammalian STE20-like protein kinase 1 (MST1)-independent manner. Using pharmacological inhibitors as well as loss- and gain-of-function approaches, our results revealed that YAP activation was required for GPER-stimulated ANGPTL4 expression. Transwell invasion assays demonstrated that activation of GPER-induced ANGPTL4 promoted cell invasion. In addition, the expression levels of GPER, YAP, and ANGPTL4 were downregulated in the placenta of patients with PE. Our findings reveal a mechanism by which GPER exerts its stimulatory effect on human trophoblast cell invasion by upregulating YAP-mediated ANGPTL4 expression."
2021 Sep 1,"Development (Cambridge, England)",Development. 2021 Sep 1;148(17):dev199814. doi: 10.1242/dev.199814. Epub 2021 Sep ,"['Campbell, Stephanie A', 'Stephan, Tabea L', 'Lotto, Jeremy', 'Cullum, Rebecca', 'Drissler, Sibyl', 'Hoodless, Pamela A']","['cell differentiation', 'epithelial cells cytology metabolism', 'hepatocytes cytology metabolism', 'humans', 'liver cytology  growth & development metabolism', 'liver neoplasms metabolism  pathology', 'liver regeneration', 'signal transduction  physiology', 'tissue engineering', 'transcription factors  metabolism', 'cancer', 'liver', 'organoids', 'signalling pathways', 'transcription factors']",Signalling pathways and transcriptional regulators orchestrating liver development and cancer.,"Liver development is controlled by key signals and transcription factors that drive cell proliferation, migration, differentiation and functional maturation. In the adult liver, cell maturity can be perturbed by genetic and environmental factors that disrupt hepatic identity and function. Developmental signals and fetal genetic programmes are often dysregulated or reactivated, leading to dedifferentiation and disease. Here, we highlight signalling pathways and transcriptional regulators that drive liver cell development and primary liver cancers. We also discuss emerging models derived from pluripotent stem cells, 3D organoids and bioengineering for improved studies of signalling pathways in liver cancer and regenerative medicine."
2020 Oct 29,Cell,Cell. 2020 Oct 29;183(3):702-716.e14. doi: 10.1016/j.cell.2020.09.012.,"['Lotto, Jeremy', 'Drissler, Sibyl', 'Cullum, Rebecca', 'Wei, Wei', 'Setty, Manu', 'Bell, Erin M', 'Boutet, Stéphane C', 'Nowotschin, Sonja', 'Kuo, Ying-Yi', 'Garg, Vidur', ""Pe'er, Dana"", 'Church, Deanna M', 'Hadjantonakis, Anna-Katerina', 'Hoodless, Pamela A']","['animals', 'cell lineage  genetics', 'cell movement', 'embryo, mammalian cytology', 'endothelium cytology', 'liver  cytology  metabolism', 'mesoderm cytology', 'mice', 'signal transduction', ' single-cell analysis', 'stem cells cytology', 'transcriptome  genetics', 'endoderm', 'hepatoblasts', 'liver', 'mesothelium', 'organogenesis', 'scrna-seq', 'single-cell', 'sinusoidal endothelium', 'stellate cells']",Single-Cell Transcriptomics Reveals Early Emergence of Liver Parenchymal and Non-parenchymal Cell Lineages.,"The cellular complexity and scale of the early liver have constrained analyses examining its emergence during organogenesis. To circumvent these issues, we analyzed 45,334 single-cell transcriptomes from embryonic day (E)7.5, when endoderm progenitors are specified, to E10.5 liver, when liver parenchymal and non-parenchymal cell lineages emerge. Our data detail divergence of vascular and sinusoidal endothelia, including a distinct transcriptional profile for sinusoidal endothelial specification by E8.75. We characterize two distinct mesothelial cell types as well as early hepatic stellate cells and reveal distinct spatiotemporal distributions for these populations. We capture transcriptional profiles for hepatoblast specification and migration, including the emergence of a hepatomesenchymal cell type and evidence for hepatoblast collective cell migration. Further, we identify cell-cell interactions during the organization of the primitive sinusoid. This study provides a comprehensive atlas of liver lineage establishment from the endoderm and mesoderm through to the organization of the primitive sinusoid at single-cell resolution."
2019 Jul 1,Developmental cell,Dev Cell. 2019 Jul 1;50(1):3-4. doi: 10.1016/j.devcel.2019.06.006.,"['Thakur, Avinash', 'Hoodless, Pamela A']","['dna methylation', 'epigenesis, genetic', ' epigenomics', 'liver', ' liver regeneration']",Repressive Epigenetic Signatures Safeguard the Liver.,"To date, how epigenetic changes are regulated during liver regeneration remains unclear. In this issue of Developmental Cell, Wang and colleagues (2019) employed transcriptomic and epigenomic profiling to explore how Uhrf1, an epigenetic regulator of DNA methylation, functions in liver regeneration using a mouse model of partial hepatectomy."
2019 May 7,Cell reports,Cell Rep. 2019 May 7;27(6):1769-1780.e4. doi: 10.1016/j.celrep.2019.04.039.,"['Coulombe, Patrick', 'Paliouras, Grigorios N', 'Clayton, Ashley', 'Hussainkhel, Angela', 'Fuller, Megan', 'Jovanovic, Vida', 'Dauphinee, Shauna', 'Umlandt, Patricia', 'Xiang, Ping', 'Kyle, Alistair H', 'Minchinton, Andrew I', 'Humphries, R Keith', 'Hoodless, Pamela A', 'Parker, Jeremy D K', 'Wright, Joanne L', 'Karsan, Aly']","['animals', 'animals, newborn', 'cell line', 'cyclic gmp metabolism', 'embryo loss metabolism pathology', 'embryo, mammalian metabolism pathology', 'endothelial cells  metabolism', 'endothelium metabolism', 'epithelial cells metabolism', 'gene expression regulation, developmental', 'humans', 'lung  growth & development ultrastructure', 'mice', 'mice, inbred c57bl', 'nitric oxide  metabolism', 'nitric oxide synthase type iii metabolism', 'protein binding', 'proto-oncogene proteins c-akt metabolism', 'pulmonary alveoli pathology', 'pulmonary surfactant-associated proteins metabolism', ' signal transduction', 'tumor suppressor proteins deficiency genetics metabolism', 'beta-arrestins metabolism', 'sash1', 'tlr4', 'alveolar type 2 cells', 'endothelium', 'lung development', 'nitric oxide', 'respiratory distress', 'surfactant', 'β-arrestin']",Endothelial Sash1 Is Required for Lung Maturation through Nitric Oxide Signaling.,"The sterile alpha motif (SAM) and SRC homology 3 (SH3) domain containing protein 1 (Sash1) acts as a scaffold in TLR4 signaling. We generated Sash1(-/-) mice, which die in the perinatal period due to respiratory distress. Constitutive or endothelial-restricted Sash1 loss leads to a delay in maturation of alveolar epithelial cells causing reduced surfactant-associated protein synthesis. We show that Sash1 interacts with β-arrestin 1 downstream of the TLR4 pathway to activate Akt and endothelial nitric oxide synthase (eNOS) in microvascular endothelial cells. Generation of nitric oxide downstream of Sash1 in endothelial cells affects alveolar epithelial cells in a cGMP-dependent manner, inducing maturation of alveolar type 1 and 2 cells. Thus, we identify a critical cell nonautonomous function for Sash1 in embryonic development in which endothelial Sash1 regulates alveolar epithelial cell maturation and promotes pulmonary surfactant production through nitric oxide signaling. Lung immaturity is a major cause of respiratory distress and mortality in preterm infants, and these findings identify the endothelium as a potential target for therapy."
