time,journal,doi_info,authors,key words,title,abstract
2024 Jul 2,Analytical chemistry,Anal Chem. 2024 Jul 2;96(26):10780-10790. doi: 10.1021/acs.analchem.4c01981. Epub ,"['Jeon, Hyungkook', 'Perez, Caleb R', 'Kyung, Taeyoon', 'Birnbaum, Michael E', 'Han, Jongyoon']","[' t-lymphocytes cytology', 'humans', ' receptors, chimeric antigen metabolism', ' lymphocyte activation', ' cell separation methods', 'microfluidic analytical techniques instrumentation', 'immunotherapy, adoptive methods']",Separation of Activated T Cells Using Multidimensional Double Spiral (MDDS) Inertial Microfluidics for High-Efficiency CAR T Cell Manufacturing.,"This study introduces a T cell enrichment process, capitalizing on the size differences between activated and unactivated T cells to facilitate the isolation of activated, transducible T cells. By employing multidimensional double spiral (MDDS) inertial sorting, our approach aims to remove unactivated or not fully activated T cells post-activation, consequently enhancing the efficiency of chimeric antigen receptor (CAR) T cell manufacturing. Our findings reveal that incorporating a simple, label-free, and continuous MDDS sorting step yields a purer T cell population, exhibiting significantly enhanced viability and CAR-transducibility (with up to 85% removal of unactivated T cells and approximately 80% recovery of activated T cells); we found approximately 2-fold increase in CAR transduction efficiency for a specific sample, escalating from ∼10% to ∼20%, but this efficiency highly depends on the original T cell sample as MDDS sorting would be more effective for samples possessing a higher proportion of unactivated T cells. This new cell separation process could augment the efficiency, yield, and cost-effectiveness of CAR T cell manufacturing, potentially broadening the accessibility of this transformative therapy and contributing to improved patient outcomes."
2024 Jun 4,Nature biomedical engineering,Nat Biomed Eng. 2024 Jun 4. doi: 10.1038/s41551-024-01219-1.,"['Sin, Wei-Xiang', 'Jagannathan, N Suhas', 'Teo, Denise Bei Lin', 'Kairi, Faris', 'Fong, Shin Yie', 'Tan, Joel Heng Loong', 'Sandikin, Dedy', 'Cheung, Ka-Wai', 'Luah, Yen Hoon', 'Wu, Xiaolin', 'Raymond, Joshua Jebaraj', 'Lim, Francesca Lorraine Wei Inng', 'Lee, Yie Hou', 'Seng, Michaela Su-Fern', 'Soh, Shui Yen', 'Chen, Qingfeng', 'Ram, Rajeev J', 'Tucker-Kellogg, Lisa', 'Birnbaum, Michael E']",[],A high-density microfluidic bioreactor for the automated manufacturing of CAR T cells.,"The manufacturing of autologous chimaeric antigen receptor (CAR) T cells largely relies either on fed-batch and manual processes that often lack environmental monitoring and control or on bioreactors that cannot be easily scaled out to meet patient demands. Here we show that human primary T cells can be activated, transduced and expanded to high densities in a 2 ml automated closed-system microfluidic bioreactor to produce viable anti-CD19 CAR T cells (specifically, more than 60 million CAR T cells from donor cells derived from patients with lymphoma and more than 200 million CAR T cells from healthy donors). The in vitro secretion of cytokines, the short-term cytotoxic activity and the long-term persistence and proliferation of the cell products, as well as their in vivo anti-leukaemic activity, were comparable to those of T cells produced in a gas-permeable well. The manufacturing-process intensification enabled by the miniaturized perfusable bioreactor may facilitate the analysis of the growth and metabolic states of CAR T cells during ex vivo culture, the high-throughput optimization of cell-manufacturing processes and the scale out of cell-therapy manufacturing."
2024 May 7,"Structure (London, England : 1993)",Structure. 2024 May 7:S0969-2126(24)00141-2. doi: 10.1016/j.str.2024.04.015.,"['Tano-Menka, Rhoda', 'Singh, Nishant K', 'Muzhingi, Itai', 'Li, Xiaolong', 'Mandanas, Michael V', 'Kaseke, Clarety', 'Crain, Charles R', 'Zhang, Angela', 'Ogunshola, Funsho J', 'Vecchiarello, Liza', 'Piechocka-Trocha, Alicja', 'Bashirova, Arman', 'Birnbaum, Michael E', 'Carrington, Mary', 'Walker, Bruce D', 'Gaiha, Gaurav D']","['cd8(+) t\xa0cells', 'hiv', 'hla', 'kir', 'nk cells', 'tcr', 'immunogenetics']",Polymorphic residues in HLA-B that mediate HIV control distinctly modulate peptide interactions with both TCR and KIR molecules.,"Immunogenetic studies have shown that specific HLA-B residues (67, 70, 97, and 156) mediate the impact of HLA class I on HIV infection, but the molecular basis is not well understood. Here we evaluate the function of these residues within the protective HLA-B(∗)5701 allele. While mutation of Met67, Ser70, and Leu156 disrupt CD8(+) T cell recognition, substitution of Val97 had no significant impact. Thermal denaturation of HLA-B(∗)5701-peptide complexes revealed that Met67 and Leu156 maintain HLA-peptide stability, while Ser70 and Leu156 facilitate T cell receptor (TCR) interactions. Analyses of existing structures and structural models suggested that Val97 mediates HLA-peptide binding to inhibitory KIR3DL1 molecules, which was confirmed by experimental assays. These data thereby demonstrate that the genetic basis by which host immunity impacts HIV outcomes occurs by modulating HLA-B-peptide stability and conformation for interaction with TCR and killer immunoglobulin receptor (KIR) molecules. Moreover, they indicate a key role for epitope specificity and HLA-KIR interactions to HIV control."
2024 Mar 15,Acta biomaterialia,Acta Biomater. 2024 Mar 15;177:157-164. doi: 10.1016/j.actbio.2024.02.013. Epub ,"['Pandit, Sharda', 'Smith, Blake E', 'Birnbaum, Michael E', 'Brudno, Yevgeny']","['humans', ' t-lymphocytes', ' leukocytes, mononuclear', 'transduction, genetic', 'genetic therapy', 'immunotherapy, adoptive methods', 'lentivirus genetics', 'genetic vectors', 'alginate', 'car t cell therapy', 'gene delivery', 'macroporous scaffolds', 'pseudotyped lentivirus', 't cell activation', 't cell engineering', 'targeting', 'transduction']",A biomaterial platform for T cell-specific gene delivery.,"Efficient T cell engineering is central to the success of CAR T cell therapy but involves multiple time-consuming manipulations, including T cell isolation, activation, and transduction. These steps add complexity and delay CAR T cell manufacturing, which takes a mean time of 4 weeks. To streamline T cell engineering, we strategically combine two critical engineering solutions - T cell-specific lentiviral vectors and macroporous scaffolds - that enable T cell activation and transduction in a simple, single step. The T cell-specific lentiviral vectors (referred to as STAT virus) target T cells through the display of an anti-CD3 antibody and the CD80 extracellular domain on their surface and provide robust T cell activation. Biocompatible macroporous scaffolds (referred to as Drydux) mediate robust transduction by providing effective interaction between naïve T cells and viral vectors. We show that when unstimulated peripheral blood mononuclear cells (PBMCs) are seeded together with STAT lentivirus on Drydux scaffolds, T cells are activated, selectively transduced, and reprogrammed in a single step. Further, we show that the Drydux platform seeded with PBMCs and STAT lentivirus generates tumor-specific functional CAR T cells. This potent combination of engineered lentivirus and biomaterial scaffold holds promise for an effective, simple, and safe avenue for in vitro and in vivo T cell engineering. STATEMENT OF SIGNIFICANCE: Manufacturing T cell therapies involves lengthy and labor-intensive steps, including T cell selection, activation, and transduction. These steps add complexity to current CAR T cell manufacturing protocols and limit widespread patient access to this revolutionary therapy. In this work, we demonstrate the combination of engineered virus and biomaterial platform that, together, enables selective T cell activation and transduction in a single step, eliminating multistep T cell engineering protocols and significantly simplifying the manufacturing process."
2024 Jan 22,Cell reports methods,Cell Rep Methods. 2024 Jan 22;4(1):100694. doi: 10.1016/j.crmeth.2023.100694.,"['Smith, Blake E', 'Chan, Amanda O', 'Birnbaum, Michael E']","[' t-lymphocytes', ' autoimmunity', 'epitopes, t-lymphocyte', 'cd4-positive t-lymphocytes']",Re-centauring T cell antigen discovery around CD4(+) T cells.,"In a recent issue of Cell, Dezfulian et al. develop a genome-scale platform to enable high-throughput identification of CD4(+) T cell epitopes. This platform enables unbiased screens to discover antigens recognized by CD4(+) T cells in cancer, infectious diseases, and autoimmunity."
2023 Dec 5,Nature communications,Nat Commun. 2023 Dec 5;14(1):8048. doi: 10.1038/s41467-023-43790-2.,"['Ramos, Azucena', 'Koch, Catherine E', 'Liu-Lupo, Yunpeng', 'Hellinger, Riley D', 'Kyung, Taeyoon', 'Abbott, Keene L', 'Fröse, Julia', 'Goulet, Daniel', 'Gordon, Khloe S', 'Eidell, Keith P', 'Leclerc, Paul', 'Whittaker, Charles A', 'Larson, Rebecca C', 'Muscato, Audrey J', 'Yates, Kathleen B', 'Dubrot, Juan', 'Doench, John G', 'Regev, Aviv', 'Vander Heiden, Matthew G', 'Maus, Marcela V', 'Manguso, Robert T', 'Birnbaum, Michael E', 'Hemann, Michael T']","['humans', 'animals', 'mice', ' receptors, chimeric antigen', 'rna, guide, crispr-cas systems', 'immunotherapy, adoptive', 't-lymphocytes', ' precursor b-cell lymphoblastic leukemia-lymphoma genetics therapy', ' leukemia', ' burkitt lymphoma', 'tumor microenvironment']",Leukemia-intrinsic determinants of CAR-T response revealed by iterative in vivo genome-wide CRISPR screening.,"CAR-T therapy is a promising, novel treatment modality for B-cell malignancies and yet many patients relapse through a variety of means, including loss of CAR-T cells and antigen escape. To investigate leukemia-intrinsic CAR-T resistance mechanisms, we performed genome-wide CRISPR-Cas9 loss-of-function screens in an immunocompetent murine model of B-cell acute lymphoblastic leukemia (B-ALL) utilizing a modular guide RNA library. We identified IFNγR/JAK/STAT signaling and components of antigen processing and presentation pathway as key mediators of resistance to CAR-T therapy in vivo; intriguingly, loss of this pathway yielded the opposite effect in vitro (sensitized leukemia to CAR-T cells). Transcriptional characterization of this model demonstrated upregulation of these pathways in tumors relapsed after CAR-T treatment, and functional studies showed a surprising role for natural killer (NK) cells in engaging this resistance program. Finally, examination of data from B-ALL patients treated with CAR-T revealed an association between poor outcomes and increased expression of JAK/STAT and MHC-I in leukemia cells. Overall, our data identify an unexpected mechanism of resistance to CAR-T therapy in which tumor cell interaction with the in vivo tumor microenvironment, including NK cells, induces expression of an adaptive, therapy-induced, T-cell resistance program in tumor cells."
2023 Aug 29,Nature communications,Nat Commun. 2023 Aug 29;14(1):5264. doi: 10.1038/s41467-023-40946-y.,"['Huisman, Brooke D', 'Guan, Ning', 'Rückert, Timo', 'Garner, Lee', 'Singh, Nishant K', 'McMichael, Andrew J', 'Gillespie, Geraldine M', 'Romagnani, Chiara', 'Birnbaum, Michael E']",[],Publisher Correction: High-throughput characterization of HLA-E-presented CD94/NKG2x ligands reveals peptides which modulate NK cell activation.,
2023 Aug 9,Nature communications,Nat Commun. 2023 Aug 9;14(1):4809. doi: 10.1038/s41467-023-40220-1.,"['Huisman, Brooke D', 'Guan, Ning', 'Rückert, Timo', 'Garner, Lee', 'Singh, Nishant K', 'McMichael, Andrew J', 'Gillespie, Geraldine M', 'Romagnani, Chiara', 'Birnbaum, Michael E']","['humans', 'ligands', ' saccharomyces cerevisiae metabolism', 'protein binding', ' histocompatibility antigens class i metabolism', 'peptides chemistry', 'killer cells, natural', 'hla-e antigens']",High-throughput characterization of HLA-E-presented CD94/NKG2x ligands reveals peptides which modulate NK cell activation.,"HLA-E is a non-classical class I MHC protein involved in innate and adaptive immune recognition. While recent studies have shown HLA-E can present diverse peptides to NK cells and T cells, the HLA-E repertoire recognized by CD94/NKG2x has remained poorly defined, with only a limited number of peptide ligands identified. Here we screen a yeast-displayed peptide library in the context of HLA-E to identify 500 high-confidence unique peptides that bind both HLA-E and CD94/NKG2A or CD94/NKG2C. Utilizing the sequences identified via yeast display selections, we train prediction algorithms and identify human and cytomegalovirus (CMV) proteome-derived, HLA-E-presented peptides capable of binding and signaling through both CD94/NKG2A and CD94/NKG2C. In addition, we identify peptides which selectively activate NKG2C(+) NK cells. Taken together, characterization of the HLA-E-binding peptide repertoire and identification of NK activity-modulating peptides present opportunities for studies of NK cell regulation in health and disease, in addition to vaccine and therapeutic design."
2023 Aug 7,eLife,Elife. 2023 Aug 7;12:e85263. doi: 10.7554/eLife.85263.,"['Nguyen, Kim Bich', 'Roerden, Malte', 'Copeland, Christopher J', 'Backlund, Coralie M', 'Klop-Packel, Nory G', 'Remba, Tanaka', 'Kim, Byungji', 'Singh, Nishant K', 'Birnbaum, Michael E', 'Irvine, Darrell J', 'Spranger, Stefani']","['animals', 'mice', ' cross-priming', 'antigens, neoplasm genetics', ' lung neoplasms genetics', 't-lymphocytes', 'dendritic cells', 'cancer biology', 'checkpoint blockade', 'cross-presenting dc', 'heterogeneity', 'immunology', 'inflammation', 'mouse', 'neoantigens']",Decoupled neoantigen cross-presentation by dendritic cells limits anti-tumor immunity against tumors with heterogeneous neoantigen expression.,"Cancer immunotherapies, in particular checkpoint blockade immunotherapy (CBT), can induce control of cancer growth, with a fraction of patients experiencing durable responses. However, the majority of patients currently do not respond to CBT and the molecular determinants of resistance have not been fully elucidated. Mounting clinical evidence suggests that the clonal status of neoantigens (NeoAg) impacts the anti-tumor T cell response. High intratumor heterogeneity (ITH), where the majority of NeoAgs are expressed subclonally, is correlated with poor clinical response to CBT and poor infiltration with tumor-reactive T cells. However, the mechanism by which ITH blunts tumor-reactive T cells is unclear. We developed a transplantable murine lung cancer model to characterize the immune response against a defined set of NeoAgs expressed either clonally or subclonally to model low or high ITH, respectively. Here we show that clonal expression of a weakly immunogenic NeoAg with a relatively strong NeoAg increased the immunogenicity of tumors with low but not high ITH. Mechanistically we determined that clonal NeoAg expression allowed cross-presenting dendritic cells to acquire and present both NeoAgs. Dual NeoAg presentation by dendritic cells was associated with a more mature DC phenotype and a higher stimulatory capacity. These data suggest that clonal NeoAg expression can induce more potent anti-tumor responses due to more stimulatory dendritic cell:T cell interactions. Therapeutic vaccination targeting subclonally expressed NeoAgs could be used to boost anti-tumor T cell responses."
2023 Oct,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2023 Oct;10(28):e2302175. doi: 10.1002/advs.202302175. Epub 2023 ,"['Wu, Tongjin', 'Tan, Joel Heng Loong', 'Sin, Wei-Xiang', 'Luah, Yen Hoon', 'Tan, Sue Yee', 'Goh, Myra', 'Birnbaum, Michael E', 'Chen, Qingfeng', 'Cheow, Lih Feng']","[' cd8-positive t-lymphocytes', ' immunotherapy, adoptive', 'immunotherapy', 'cd4-positive t-lymphocytes', 'stem cells', 't cells', 'cell granularity', 'immunotherapy', 'lymphocyte', 'side scatter']",Cell Granularity Reflects Immune Cell Function and Enables Selection of Lymphocytes with Superior Attributes for Immunotherapy.,"In keeping with the rule of ""form follows function"", morphological aspects of a cell can reflect its role. Here, it is shown that the cellular granularity of a lymphocyte, represented by its intrinsic side scatter (SSC), is a potent indicator of its cell state and function. The granularity of a lymphocyte increases from naïve to terminal effector state. High-throughput cell-sorting yields a SSC(high) population that can mediate immediate effector functions, and a highly prolific SSC(low) population that can give rise to the replenishment of the memory pool. CAR-T cells derived from the younger SSC(low) population possess desirable attributes for immunotherapy, manifested by increased naïve-like cells and stem cell memory (T(SCM) )-like cells together with a balanced CD4/CD8 ratio, as well as enhanced target-killing in vitro and in vivo. Altogether, lymphocyte segregation based on biophysical properties is an effective approach for label-free selection of cells that share collective functions and can have important applications for cell-based immunotherapies."
2023 Jul 23,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 23:2023.07.20.549939. doi: ,"['Lagattuta, Kaitlyn A', 'Nathan, Aparna', 'Rumker, Laurie', 'Birnbaum, Michael E', 'Raychaudhuri, Soumya']",[],The T cell receptor sequence influences the likelihood of T cell memory formation.,"T cell differentiation depends on activation through the T cell receptor (TCR), whose amino acid sequence varies cell to cell. Particular TCR amino acid sequences nearly guarantee Mucosal-Associated Invariant T (MAIT) and Natural Killer T (NKT) cell fates. To comprehensively define how TCR amino acids affects all T cell fates, we analyze the paired αβTCR sequence and transcriptome of 819,772 single cells. We find that hydrophobic CDR3 residues promote regulatory T cell transcriptional states in both the CD8 and CD4 lineages. Most strikingly, we find a set of TCR sequence features, concentrated in CDR2α, that promotes positive selection in the thymus as well as transition from naïve to memory in the periphery. Even among T cells that recognize the same antigen, these TCR sequence features help to explain which T cells form immunological memory, which is essential for effective pathogen response."
