time,journal,doi_info,authors,key words,title,abstract
2024 May 13,Nature materials,Nat Mater. 2024 May 13. doi: 10.1038/s41563-024-01867-3.,"['Li, Bowen', 'Raji, Idris O', 'Gordon, Akiva G R', 'Sun, Lizhuang', 'Raimondo, Theresa M', 'Oladimeji, Favour A', 'Jiang, Allen Y', 'Varley, Andrew', 'Langer, Robert S', 'Anderson, Daniel G']",[],Accelerating ionizable lipid discovery for mRNA delivery using machine learning and combinatorial chemistry.,"To unlock the full promise of messenger (mRNA) therapies, expanding the toolkit of lipid nanoparticles is paramount. However, a pivotal component of lipid nanoparticle development that remains a bottleneck is identifying new ionizable lipids. Here we describe an accelerated approach to discovering effective ionizable lipids for mRNA delivery that combines machine learning with advanced combinatorial chemistry tools. Starting from a simple four-component reaction platform, we create a chemically diverse library of 584 ionizable lipids. We screen the mRNA transfection potencies of lipid nanoparticles containing those lipids and use the data as a foundational dataset for training various machine learning models. We choose the best-performing model to probe an expansive virtual library of 40,000 lipids, synthesizing and experimentally evaluating the top 16 lipids flagged. We identify lipid 119-23, which outperforms established benchmark lipids in transfecting muscle and immune cells in several tissues. This approach facilitates the creation and evaluation of versatile ionizable lipid libraries, advancing the formulation of lipid nanoparticles for precise mRNA delivery."
2024 Apr 23,"Med (New York, N.Y.)",Med. 2024 Apr 23:S2666-6340(24)00132-6. doi: 10.1016/j.medj.2024.03.020.,"['DeRidder, Louis B', 'Hare, Kyle A', 'Lopes, Aaron', 'Jenkins, Josh', 'Fitzgerald, Nina', 'MacPherson, Emmeline', 'Fabian, Niora', 'Morimoto, Josh', 'Chu, Jacqueline N', 'Kirtane, Ameya R', 'Madani, Wiam', 'Ishida, Keiko', 'Kuosmanen, Johannes L P', 'Zecharias, Naomi', 'Colangelo, Christopher M', 'Huang, Hen-Wei', 'Chilekwa, Makaya', 'Lal, Nikhil B', 'Srinivasan, Shriya S', 'Hayward, Alison M', 'Wolpin, Brian M', 'Trumper, David', 'Quast, Troy', 'Rubinson, Douglas A', 'Langer, Robert', 'Traverso, Giovanni']","['foundational research', 'cancer', 'chemotherapy', 'closed-loop system', 'drug delivery', 'personalized dosing']","Closed-loop automated drug infusion regulator: A clinically translatable, closed-loop drug delivery system for personalized drug dosing.","BACKGROUND: Dosing of chemotherapies is often calculated according to the weight and/or height of the patient or equations derived from these, such as body surface area (BSA). Such calculations fail to capture intra- and interindividual pharmacokinetic variation, which can lead to order of magnitude variations in systemic chemotherapy levels and thus under- or overdosing of patients. METHODS: We designed and developed a closed-loop drug delivery system that can dynamically adjust its infusion rate to the patient to reach and maintain the drug's target concentration, regardless of a patient's pharmacokinetics (PK). FINDINGS: We demonstrate that closed-loop automated drug infusion regulator (CLAUDIA) can control the concentration of 5-fluorouracil (5-FU) in rabbits according to a range of concentration-time profiles (which could be useful in chronomodulated chemotherapy) and over a range of PK conditions that mimic the PK variability observed clinically. In one set of experiments, BSA-based dosing resulted in a concentration 7 times above the target range, while CLAUDIA keeps the concentration of 5-FU in or near the targeted range. Further, we demonstrate that CLAUDIA is cost effective compared to BSA-based dosing. CONCLUSIONS: We anticipate that CLAUDIA could be rapidly translated to the clinic to enable physicians to control the plasma concentration of chemotherapy in their patients. FUNDING: This work was supported by MIT's Karl van Tassel (1925) Career Development Professorship and Department of Mechanical Engineering and the Bridge Project, a partnership between the Koch Institute for Integrative Cancer Research at MIT and the Dana-Farber/Harvard Cancer Center."
2024 Apr 5,Science advances,Sci Adv. 2024 Apr 5;10(14):eadk5949. doi: 10.1126/sciadv.adk5949. Epub 2024 Apr ,"['Jeang, William J', 'Bochenek, Matthew A', 'Bose, Suman', 'Zhao, Yichao', 'Wong, Bryan M', 'Yang, Jiawei', 'Jiang, Alexis L', 'Langer, Robert', 'Anderson, Daniel G']","['mice', 'animals', ' hydrogels', ' cryogels', 'silicones', 'alginates', 'oxygen', 'skeleton', 'cell survival']",Silicone cryogel skeletons enhance the survival and mechanical integrity of hydrogel-encapsulated cell therapies.,"The transplantation of engineered cells that secrete therapeutic proteins presents a promising method for addressing a range of chronic diseases. However, hydrogels used to encase and protect non-autologous cells from immune rejection often suffer from poor mechanical properties, insufficient oxygenation, and fibrotic encapsulation. Here, we introduce a composite encapsulation system comprising an oxygen-permeable silicone cryogel skeleton, a hydrogel matrix, and a fibrosis-resistant polymer coating. Cryogel skeletons enhance the fracture toughness of conventional alginate hydrogels by 23-fold and oxygen diffusion by 2.8-fold, effectively mitigating both implant fracture and hypoxia of encapsulated cells. Composite implants containing xenogeneic cells engineered to secrete erythropoietin significantly outperform unsupported alginate implants in therapeutic delivery over 8 weeks in immunocompetent mice. By improving mechanical resiliency and sustaining denser cell populations, silicone cryogel skeletons enable more durable and miniaturized therapeutic implants."
2024 Mar,Science advances,Sci Adv. 2024 Mar;10(9):eadj9793. doi: 10.1126/sciadv.adj9793. Epub 2024 Feb 28.,"['Clift, Cassandra L', 'Blaser, Mark C', 'Gerrits, Willem', 'Turner, Mandy E', 'Sonawane, Abhijeet', 'Pham, Tan', 'Andresen, Jason L', 'Fenton, Owen S', 'Grolman, Joshua M', 'Campedelli, Alesandra', 'Buffolo, Fabrizio', 'Schoen, Frederick J', 'Hjortnaes, Jesper', 'Muehlschlegel, Jochen D', 'Mooney, David J', 'Aikawa, Masanori', 'Singh, Sasha A', 'Langer, Robert', 'Aikawa, Elena']","['humans', ' aortic valve chemistry metabolism  pathology', 'proteomics', 'proteome metabolism', ' aortic valve stenosis etiology metabolism', 'cells, cultured', ' calcinosis']",Intracellular proteomics and extracellular vesiculomics as a metric of disease recapitulation in 3D-bioprinted aortic valve arrays.,"In calcific aortic valve disease (CAVD), mechanosensitive valvular cells respond to fibrosis- and calcification-induced tissue stiffening, further driving pathophysiology. No pharmacotherapeutics are available to treat CAVD because of the paucity of (i) appropriate experimental models that recapitulate this complex environment and (ii) benchmarking novel engineered aortic valve (AV)-model performance. We established a biomaterial-based CAVD model mimicking the biomechanics of the human AV disease-prone fibrosa layer, three-dimensional (3D)-bioprinted into 96-well arrays. Liquid chromatography-tandem mass spectrometry analyses probed the cellular proteome and vesiculome to compare the 3D-bioprinted model versus traditional 2D monoculture, against human CAVD tissue. The 3D-bioprinted model highly recapitulated the CAVD cellular proteome (94% versus 70% of 2D proteins). Integration of cellular and vesicular datasets identified known and unknown proteins ubiquitous to AV calcification. This study explores how 2D versus 3D-bioengineered systems recapitulate unique aspects of human disease, positions multiomics as a technique for the evaluation of high throughput-based bioengineered model systems, and potentiates future drug discovery."
2024 Feb 27,Nature materials,Nat Mater. 2024 Feb 27. doi: 10.1038/s41563-024-01811-5.,"['Liu, Gary W', 'Pickett, Matthew J', 'Kuosmanen, Johannes L P', 'Ishida, Keiko', 'Madani, Wiam A M', 'White, Georgia N', 'Jenkins, Joshua', 'Park, Sanghyun', 'Feig, Vivian R', 'Jimenez, Miguel', 'Karavasili, Christina', 'Lal, Nikhil B', 'Murphy, Matt', 'Lopes, Aaron', 'Morimoto, Joshua', 'Fitzgerald, Nina', 'Cheah, Jaime H', 'Soule, Christian K', 'Fabian, Niora', 'Hayward, Alison', 'Langer, Robert', 'Traverso, Giovanni']",[],Drinkable in situ-forming tough hydrogels for gastrointestinal therapeutics.,"Pills are a cornerstone of medicine but can be challenging to swallow. While liquid formulations are easier to ingest, they lack the capacity to localize therapeutics with excipients nor act as controlled release devices. Here we describe drug formulations based on liquid in situ-forming tough (LIFT) hydrogels that bridge the advantages of solid and liquid dosage forms. LIFT hydrogels form directly in the stomach through sequential ingestion of a crosslinker solution of calcium and dithiol crosslinkers, followed by a drug-containing polymer solution of alginate and four-arm poly(ethylene glycol)-maleimide. We show that LIFT hydrogels robustly form in the stomachs of live rats and pigs, and are mechanically tough, biocompatible and safely cleared after 24 h. LIFT hydrogels deliver a total drug dose comparable to unencapsulated drug in a controlled manner, and protect encapsulated therapeutic enzymes and bacteria from gastric acid-mediated deactivation. Overall, LIFT hydrogels may expand access to advanced therapeutics for patients with difficulty swallowing."
2024 Mar,Nature biomedical engineering,Nat Biomed Eng. 2024 Mar;8(3):278-290. doi: 10.1038/s41551-023-01128-9. Epub 2024 ,"['Shi, Yunhua', 'Reker, Daniel', 'Byrne, James D', 'Kirtane, Ameya R', 'Hess, Kaitlyn', 'Wang, Zhuyi', 'Navamajiti, Natsuda', 'Young, Cameron C', 'Fralish, Zachary', 'Zhang, Zilu', 'Lopes, Aaron', 'Soares, Vance', 'Wainer, Jacob', 'von Erlach, Thomas', 'Miao, Lei', 'Langer, Robert', 'Traverso, Giovanni']","['humans', 'animals', 'mice', 'swine', 'pharmaceutical preparations metabolism', 'drug interactions', 'biological availability', ' intestines', ' machine learning']",Screening oral drugs for their interactions with the intestinal transportome via porcine tissue explants and machine learning.,"In vitro systems that accurately model in vivo conditions in the gastrointestinal tract may aid the development of oral drugs with greater bioavailability. Here we show that the interaction profiles between drugs and intestinal drug transporters can be obtained by modulating transporter expression in intact porcine tissue explants via the ultrasound-mediated delivery of small interfering RNAs and that the interaction profiles can be classified via a random forest model trained on the drug-transporter relationships. For 24 drugs with well-characterized drug-transporter interactions, the model achieved 100% concordance. For 28 clinical drugs and 22 investigational drugs, the model identified 58 unknown drug-transporter interactions, 7 of which (out of 8 tested) corresponded to drug-pharmacokinetic measurements in mice. We also validated the model's predictions for interactions between doxycycline and four drugs (warfarin, tacrolimus, digoxin and levetiracetam) through an ex vivo perfusion assay and the analysis of pharmacologic data from patients. Screening drugs for their interactions with the intestinal transportome via tissue explants and machine learning may help to expedite drug development and the evaluation of drug safety."
2024 Apr,Nature biomedical engineering,Nat Biomed Eng. 2024 Apr;8(4):415-426. doi: 10.1038/s41551-023-01150-x. Epub 2024 ,"['Gu, Wenchao', 'Luozhong, Sijin', 'Cai, Simian', 'Londhe, Ketaki', 'Elkasri, Nadine', 'Hawkins, Robert', 'Yuan, Zhefan', 'Su-Greene, Kai', 'Yin, Yujie', 'Cruz, Margaret', 'Chang, Yu-Wei', 'McMullen, Patrick', 'Wu, Chunyan', 'Seo, Changwoo', 'Guru, Akash', 'Gao, Wenting', 'Sarmiento, Tara', 'Schaffer, Chris', 'Nishimura, Nozomi', 'Cerione, Richard', 'Yu, Qiuming', 'Warden, Melissa', 'Langer, Robert', 'Jiang, Shaoyi']","['animals', ' neurons metabolism', ' extracellular vesicles metabolism', ' rna, messenger genetics metabolism', 'mice', ' blood-brain barrier metabolism', 'retroviridae genetics', 'capsid metabolism', 'leukocytes metabolism', 'humans', 'mice, inbred c57bl']",Extracellular vesicles incorporating retrovirus-like capsids for the enhanced packaging and systemic delivery of mRNA into neurons.,"The blood-brain barrier (BBB) restricts the systemic delivery of messenger RNAs (mRNAs) into diseased neurons. Although leucocyte-derived extracellular vesicles (EVs) can cross the BBB at inflammatory sites, it is difficult to efficiently load long mRNAs into the EVs and to enhance their neuronal uptake. Here we show that the packaging of mRNA into leucocyte-derived EVs and the endocytosis of the EVs by neurons can be enhanced by engineering leucocytes to produce EVs that incorporate retrovirus-like mRNA-packaging capsids. We transfected immortalized and primary bone-marrow-derived leucocytes with DNA or RNA encoding the capsid-forming activity-regulated cytoskeleton-associated (Arc) protein as well as capsid-stabilizing Arc 5'-untranslated-region RNA elements. These engineered EVs inherit endothelial adhesion molecules from donor leukocytes, recruit endogenous enveloping proteins to their surface, cross the BBB, and enter the neurons in neuro-inflammatory sites. Produced from self-derived donor leukocytes, the EVs are immunologically inert, and enhanced the neuronal uptake of the packaged mRNA in a mouse model of low-grade chronic neuro-inflammation."
2024 Feb,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Feb;36(8):e2309225. doi: 10.1002/adma.202309225. Epub 2023 Dec 8.,"['Ralvenius, William T', 'Andresen, Jason L', 'Huston, Margaret M', 'Penney, Jay', 'Bonner, Julia Maeve', 'Fenton, Owen S', 'Langer, Robert', 'Tsai, Li-Huei']","['humans', 'animals', 'mice', 'rna, small interfering genetics', 'neuroinflammatory diseases', 'genome-wide association study', ' alzheimer disease drug therapy metabolism', ' nanoparticles', 'rna delivery', 'lipid nanoparticles', 'microglia', 'neurodegeneration', 'neuroinflammation']",Nanoparticle-Mediated Delivery of Anti-PU.1 siRNA via Localized Intracisternal Administration Reduces Neuroinflammation.,"Neuroinflammation is a hallmark of neurodegenerative disorders including Alzheimer's disease (AD). Microglia, the brain's immune cells, express many of the AD-risk loci identified in genome wide association studies and present a promising target for anti-inflammatory RNA therapeutics but are difficult to transfect with current methods. Here, several lipid nanoparticle (LNP) formulations are examined, and a lead candidate that supports efficient RNA delivery in cultures of human stem cell-derived microglia-like cells (iMGLs) and animal models of neuroinflammation is identified. The lead microglia LNP (MG-LNP) formulation shows minimal toxicity and improves delivery efficiency to inflammatory iMGLs, suggesting a preference for delivery into activated microglia. Intraperitoneal injection of the MG-LNP formulation generates widespread expression of the delivered reporter construct in all organs, whereas local intracisternal injection directly into the cerebrospinal fluid leads to preferential expression in the brain. It is shown that LNP-mediated delivery of siRNA targeting the PU.1 transcription factor, a known AD-risk locus, successfully reduces PU.1 levels in iMGLs and reduces neuroinflammation in mice injected with LPS and in CK-p25 mice that mimic the chronic neuroinflammation seen in AD patients. The LNP formulation represents an effective RNA delivery vehicle when applied intrathecally and can be broadly utilized to test potential neuroinflammation-directed gene therapies."
2024 Mar,Nature nanotechnology,Nat Nanotechnol. 2024 Mar;19(3):364-375. doi: 10.1038/s41565-023-01548-3. Epub ,"['Jiang, Allen Y', 'Witten, Jacob', 'Raji, Idris O', 'Eweje, Feyisayo', 'MacIsaac, Corina', 'Meng, Sabrina', 'Oladimeji, Favour A', 'Hu, Yizong', 'Manan, Rajith S', 'Langer, Robert', 'Anderson, Daniel G']","[' excipients', 'cell differentiation', ' nanoparticles', 'polymers', 'rna, messenger genetics', 'rna, small interfering']",Combinatorial development of nebulized mRNA delivery formulations for the lungs.,"Inhaled delivery of mRNA has the potential to treat a wide variety of diseases. However, nebulized mRNA lipid nanoparticles (LNPs) face several unique challenges including stability during nebulization and penetration through both cellular and extracellular barriers. Here we develop a combinatorial approach addressing these barriers. First, we observe that LNP formulations can be stabilized to resist nebulization-induced aggregation by altering the nebulization buffer to increase the LNP charge during nebulization, and by the addition of a branched polymeric excipient. Next, we synthesize a combinatorial library of ionizable, degradable lipids using reductive amination, and evaluate their delivery potential using fully differentiated air-liquid interface cultured primary lung epithelial cells. The final combination of ionizable lipid, charge-stabilized formulation and stability-enhancing excipient yields a significant improvement in lung mRNA delivery over current state-of-the-art LNPs and polymeric nanoparticles."
2023 Dec,Biomaterials,Biomaterials. 2023 Dec;303:122345. doi: 10.1016/j.biomaterials.2023.122345. Epub ,"['Wang, Erika Yan', 'Sarmadi, Morteza', 'Ying, Binbin', 'Jaklenec, Ana', 'Langer, Robert']","['humans', 'pandemics', ' vaccines', 'drug delivery systems', 'vaccination', ' nanoparticles', 'nanoparticle drug delivery system']",Recent advances in nano- and micro-scale carrier systems for controlled delivery of vaccines.,"Vaccines provide substantial safety against infectious diseases, saving millions of lives each year. The recent COVID-19 pandemic highlighted the importance of vaccination in providing mass-scale immunization against outbreaks. However, the delivery of vaccines imposes a unique set of challenges due to their large molecular size and low room temperature stability. Advanced biomaterials and delivery systems such as nano- and mciro-scale carriers are becoming critical components for successful vaccine development. In this review, we provide an updated overview of recent advances in the development of nano- and micro-scale carriers for controlled delivery of vaccines, focusing on carriers compatible with nucleic acid-based vaccines and therapeutics that emerged amid the recent pandemic. We start by detailing nano-scale delivery systems, focusing on nanoparticles, then move on to microscale systems including hydrogels, microparticles, and 3D printed microneedle patches. Additionally, we delve into emerging methods that move beyond traditional needle-based applications utilizing innovative delivery systems. Future challenges for clinical translation and manufacturing in this rapidly advancing field are also discussed."
2023 Jan 24,Chemistry of materials : a publication of the American Chemical Society,Chem Mater. 2023 Jan 24;35(2):359-363. doi: 10.1021/acs.chemmater.2c03003.,"['Gao, Jingjing', 'Karp, Jeffrey M', 'Langer, Robert', 'Joshi, Nitin']",[],The Future of Drug Delivery.,
2023 Oct 3,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Oct 3;120(40):e2311707120. doi: ,"['Krishnan, Siddharth R', 'Liu, Claudia', 'Bochenek, Matthew A', 'Bose, Suman', 'Khatib, Nima', 'Walters, Ben', ""O'Keeffe, Laura"", 'Facklam, Amanda', 'Langer, Robert', 'Anderson, Daniel G']","['animals', ' oxygen', ' hypoxia therapy', 'cell death', 'cell line', 'cell- and tissue-based therapy', 'bioelectronics', 'cell therapies', 'diabetes', 'encapsulation', 'islet transplantation']","A wireless, battery-free device enables oxygen generation and immune protection of therapeutic xenotransplants in vivo.","The immune isolation of cells within devices has the potential to enable long-term protein replacement and functional cures for a range of diseases, without requiring immune suppressive therapy. However, a lack of vasculature and the formation of fibrotic capsules around cell immune-isolating devices limits oxygen availability, leading to hypoxia and cell death in vivo. This is particularly problematic for pancreatic islet cells that have high O(2) requirements. Here, we combine bioelectronics with encapsulated cell therapies to develop the first wireless, battery-free oxygen-generating immune-isolating device (O(2)-Macrodevice) for the oxygenation and immune isolation of cells in vivo. The system relies on electrochemical water splitting based on a water-vapor reactant feed, sustained by wireless power harvesting based on a flexible resonant inductive coupling circuit. As such, the device does not require pumping, refilling, or ports for recharging and does not generate potentially toxic side products. Through systematic in vitro studies with primary cell lines and cell lines engineered to secrete protein, we demonstrate device performance in preventing hypoxia in ambient oxygen concentrations as low as 0.5%. Importantly, this device has shown the potential to enable subcutaneous (SC) survival of encapsulated islet cells, in vivo in awake, freely moving, immune-competent animals. Islet transplantation in Type I Diabetes represents an important application space, and 1-mo studies in immune-competent animals with SC implants show that the O(2)-Macrodevice allows for survival and function of islets at high densities (~1,000 islets/cm(2)) in vivo without immune suppression and induces normoglycemia in diabetic animals."
2023 Nov,Biomaterials,Biomaterials. 2023 Nov;302:122317. doi: 10.1016/j.biomaterials.2023.122317. Epub ,"['Rousseau, Erin', 'Raman, Ritu', 'Tamir, Tigist', 'Bu, Angel', 'Srinivasan, Shriya', 'Lynch, Naomi', 'Langer, Robert', 'White, Forest M', 'Cima, Michael J']","['mice', 'animals', ' tissue engineering', 'muscle, skeletal', ' muscular diseases', 'muscle contraction physiology', 'prostheses and implants', 'neuromuscular', 'phosphoproteomics', 'regenerative medicine', 'skeletal muscle', 'tissue engineering', 'volumetric muscle loss']",Actuated tissue engineered muscle grafts restore functional mobility after volumetric muscle loss.,"Damage that affects large volumes of skeletal muscle tissue can severely impact health, mobility, and quality-of-life. Efforts to restore muscle function by implanting tissue engineered muscle grafts at the site of damage have demonstrated limited restoration of force production. Various forms of mechanical and biochemical stimulation have been shown to have a potentially beneficial impact on graft maturation, vascularization, and innervation. However, these approaches yield unpredictable and incomplete recovery of functional mobility. Here we show that targeted actuation of implanted grafts, via non-invasive transcutaneous light stimulation of optogenetic engineered muscle, restores motor function to levels similar to healthy mice 2 weeks post-injury. Furthermore, we conduct phosphoproteomic analysis of actuated engineered muscle in vivo and in vitro to show that repeated muscle contraction alters signaling pathways that play key roles in skeletal muscle contractility, adaptation to injury, neurite growth, neuromuscular synapse formation, angiogenesis, and cytoskeletal remodeling. Our study uncovers changes in phosphorylation of several proteins previously unreported in the context of muscle contraction, revealing promising mechanisms for leveraging actuated muscle grafts to restore mobility after volumetric muscle loss."
2024 Mar,Journal of pharmaceutical sciences,J Pharm Sci. 2024 Mar;113(3):718-724. doi: 10.1016/j.xphs.2023.09.001. Epub 2023 ,"['Navamajiti, Natsuda', 'Gardner, Apolonia', 'Cao, Ruonan', 'Sugimoto, Yutaro', 'Yang, Jee Won', 'Lopes, Aaron', 'Phan, Nhi V', 'Collins, Joy', 'Hua, Tiffany', 'Damrongsakkul, Siriporn', 'Kanokpanont, Sorada', 'Steiger, Christoph', 'Reker, Daniel', 'Langer, Robert', 'Traverso, Giovanni']","['humans', ' fibroins', 'pancreatin', 'drug delivery systems', 'polymethacrylic acids', 'polymers', 'silk', 'enteric coating', 'in vivo validation', 'pancreatin-dependent drug delivery', 'silk fibroin–polymethacrylate copolymers', 'triggered release']",Silk Fibroin-Based Coatings for Pancreatin-Dependent Drug Delivery.,"Triggerable coatings, such as pH-responsive polymethacrylate copolymers, can be used to protect the active pharmaceutical ingredients contained within oral solid dosage forms from the acidic gastric environment and to facilitate drug delivery directly to the intestine. However, gastrointestinal pH can be highly variable, which can reduce delivery efficiency when using pH-responsive drug delivery technologies. We hypothesized that biomaterials susceptible to proteolysis could be used in combination with other triggerable polymers to develop novel enteric coatings. Bioinformatic analysis suggested that silk fibroin is selectively degradable by enzymes in the small intestine, including chymotrypsin, but resilient to gastric pepsin. Based on the analysis, we developed a silk fibroin-polymethacrylate copolymer coating for oral dosage forms. In vitro and in vivo studies demonstrated that capsules coated with this novel silk fibroin formulation enable pancreatin-dependent drug release. We believe that this novel formulation and extensions thereof have the potential to produce more effective and personalized oral drug delivery systems for vulnerable populations including patients that have impaired and highly variable intestinal physiology."
2023 Sep 7,Nature biomedical engineering,Nat Biomed Eng. 2023 Sep 7. doi: 10.1038/s41551-023-01082-6.,"['Li, Bowen', 'Jiang, Allen Yujie', 'Raji, Idris', 'Atyeo, Caroline', 'Raimondo, Theresa M', 'Gordon, Akiva G R', 'Rhym, Luke H', 'Samad, Tahoura', 'MacIsaac, Corina', 'Witten, Jacob', 'Mughal, Haseeb', 'Chicz, Taras M', 'Xu, Yue', 'McNamara, Ryan P', 'Bhatia, Sangeeta', 'Alter, Galit', 'Langer, Robert', 'Anderson, Daniel G']",[],Enhancing the immunogenicity of lipid-nanoparticle mRNA vaccines by adjuvanting the ionizable lipid and the mRNA.,"To elicit optimal immune responses, messenger RNA vaccines require intracellular delivery of the mRNA and the careful use of adjuvants. Here we report a multiply adjuvanted mRNA vaccine consisting of lipid nanoparticles encapsulating an mRNA-encoded antigen, optimized for efficient mRNA delivery and for the enhanced activation of innate and adaptive responses. We optimized the vaccine by screening a library of 480 biodegradable ionizable lipids with headgroups adjuvanted with cyclic amines and by adjuvanting the mRNA-encoded antigen by fusing it with a natural adjuvant derived from the C3 complement protein. In mice, intramuscular or intranasal administration of nanoparticles with the lead ionizable lipid and with mRNA encoding for the fusion protein (either the spike protein or the receptor-binding domain of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)) increased the titres of antibodies against SARS-CoV-2 tenfold with respect to the vaccine encoding for the unadjuvanted antigen. Multiply adjuvanted mRNA vaccines may improve the efficacy, safety and ease of administration of mRNA-based immunization."
2023 Aug 17,The AAPS journal,AAPS J. 2023 Aug 17;25(5):81. doi: 10.1208/s12248-023-00844-z.,"['Kim, Hyunjoon', 'Kirtane, Ameya R', 'Kim, Na Yoon', 'Rajesh, Netra Unni', 'Tang, Chaoyang', 'Ishida, Keiko', 'Hayward, Alison M', 'Langer, Robert', 'Traverso, Giovanni']","['animals', 'mice', ' vaccines, synthetic', 'mrna vaccines', 'b-lymphocytes', ' nanoparticles', 'gi delivery', 'pbae', 'mrna vaccine', 'nanomedicine', 'oral vaccine']",Gastrointestinal Delivery of an mRNA Vaccine Using Immunostimulatory Polymeric Nanoparticles.,"mRNA vaccines can be translated into protein antigens, in vivo, to effectively induce humoral and cellular immunity against these proteins. While current mRNA vaccines have generated potent immune responses, the need for ultracold storage conditions (- 80 °C) and healthcare professionals to administer the vaccine through the parenteral route has somewhat limited their distribution in rural areas and developing countries. Overcoming these challenges stands to transform future deployment of mRNA vaccines. In this study, we developed an mRNA vaccine that can trigger a systemic immune response through administration via the gastrointestinal (GI) tract and is stable at 4 °C. A library of cationic branched poly(β-amino ester) (PBAE) polymers was synthesized and characterized, from which a polymer with high intracellular mRNA delivery efficiency and immune stimulation capacity was down-selected. mRNA vaccines made with the lead polymer-elicited cellular and humoral immunity in mice. Furthermore, lyophilization conditions of the formulation were optimized to enable storage under refrigeration. Our results suggest that PBAE nanoparticles are potent mRNA delivery platforms that can elicit B cell and T cell activation, including antigen-specific cellular and humoral responses. This system can serve as an easily administrable, potent oral mRNA vaccine."
2023 Aug 11,"Med (New York, N.Y.)",Med. 2023 Aug 11;4(8):541-553.e5. doi: 10.1016/j.medj.2023.05.007. Epub 2023 Jun ,"['Srinivasan, Shriya S', 'Gfrerer, Lisa', 'Karandikar, Paramesh', 'Som, Avik', 'Alshareef, Amro', 'Liu, Sabrina', 'Higginbotham, Haley', 'Ishida, Keiko', 'Hayward, Alison', 'Kalva, Sanjeeva P', 'Langer, Robert', 'Traverso, Giovanni']","['animals', 'swine', ' transcutaneous electric nerve stimulation', 'sciatic nerve', 'ultrasonography', 'nerve regeneration physiology', 'foundational research', 'electrical stimulation', 'lead migration', 'muscular atrophy', 'nerve regeneration', 'nerve repair', 'nerve stimulation', 'peripheral nerve', 'rehabilitation', 'removable electrodes']",Adaptive conductive electrotherapeutic scaffolds for enhanced peripheral nerve regeneration and stimulation.,"BACKGROUND: While peripheral nerve stimulation (PNS) has shown promise in applications ranging from peripheral nerve regeneration to therapeutic organ stimulation, clinical implementation has been impeded by various technological limitations, including surgical placement, lead migration, and atraumatic removal. METHODS: We describe the design and validation of a platform technology for nerve regeneration and interfacing: adaptive, conductive, and electrotherapeutic scaffolds (ACESs). ACESs are comprised of an alginate/poly-acrylamide interpenetrating network hydrogel optimized for both open surgical and minimally invasive percutaneous approaches. FINDINGS: In a rodent model of sciatic nerve repair, ACESs significantly improved motor and sensory recovery (p < 0.05), increased muscle mass (p < 0.05), and increased axonogenesis (p < 0.05). Triggered dissolution of ACESs enabled atraumatic, percutaneous removal of leads at forces significantly lower than controls (p < 0.05). In a porcine model, ultrasound-guided percutaneous placement of leads with an injectable ACES near the femoral and cervical vagus nerves facilitated stimulus conduction at significantly greater lengths than saline controls (p < 0.05). CONCLUSION: Overall, ACESs facilitated lead placement, stabilization, stimulation, and atraumatic removal, enabling therapeutic PNS as demonstrated in small- and large-animal models. FUNDING: This work was supported by K. Lisa Yang Center for Bionics at MIT."
2023 Jun 16,Science advances,Sci Adv. 2023 Jun 16;9(24):eade9488. doi: 10.1126/sciadv.ade9488. Epub 2023 Jun ,"['Doloff, Joshua C', 'Ma, Minglin', 'Sadraei, Atieh', 'Tam, Hok Hei', 'Farah, Shady', 'Hollister-Lock, Jennifer', 'Vegas, Arturo J', 'Veiseh, Omid', 'Quiroz, Victor M', 'Rakoski, Amanda', 'Aresta-DaSilva, Stephanie', 'Bader, Andrew R', 'Griffin, Marissa', 'Weir, Gordon C', 'Brehm, Michael A', 'Shultz, Leonard D', 'Langer, Robert', 'Greiner, Dale L', 'Anderson, Daniel G']","['humans', 'animals', 'mice', ' biocompatible materials', 'foreign-body reaction etiology', 'disease models, animal', ' foreign bodies', 'cytokines', 'fibrosis']",Identification of a humanized mouse model for functional testing of immune-mediated biomaterial foreign body response.,"Biomedical devices comprise a major component of modern medicine, however immune-mediated fibrosis and rejection can limit their function over time. Here, we describe a humanized mouse model that recapitulates fibrosis following biomaterial implantation. Cellular and cytokine responses to multiple biomaterials were evaluated across different implant sites. Human innate immune macrophages were verified as essential to biomaterial rejection in this model and were capable of cross-talk with mouse fibroblasts for collagen matrix deposition. Cytokine and cytokine receptor array analysis confirmed core signaling in the fibrotic cascade. Foreign body giant cell formation, often unobserved in mice, was also prominent. Last, high-resolution microscopy coupled with multiplexed antibody capture digital profiling analysis supplied spatial resolution of rejection responses. This model enables the study of human immune cell-mediated fibrosis and interactions with implanted biomaterials and devices."
