time,journal,doi_info,authors,key words,title,abstract
2024 Apr 10,Nature communications,Nat Commun. 2024 Apr 10;15(1):3120. doi: 10.1038/s41467-024-47183-x.,"['Zhu, Hongxian', 'Sydor, Andrew M', 'Boddy, Kirsten C', 'Coyaud, Etienne', 'Laurent, Estelle M N', 'Au, Aaron', 'Tan, Joel M J', 'Yan, Bing-Ru', 'Moffat, Jason', 'Muise, Aleixo M', 'Yip, Christopher M', 'Grinstein, Sergio', 'Raught, Brian', 'Brumell, John H']","['humans', ' salmonella typhimurium metabolism', 'bacterial proteins genetics metabolism', ' salmonella infections microbiology', 'cell membrane metabolism', 'membranes metabolism', 'hela cells']",Salmonella exploits membrane reservoirs for invasion of host cells.,"Salmonella utilizes a type 3 secretion system to translocate virulence proteins (effectors) into host cells during infection(1). The effectors modulate host cell machinery to drive uptake of the bacteria into vacuoles, where they can establish an intracellular replicative niche. A remarkable feature of Salmonella invasion is the formation of actin-rich protuberances (ruffles) on the host cell surface that contribute to bacterial uptake. However, the membrane source for ruffle formation and how these bacteria regulate membrane mobilization within host cells remains unclear. Here, we show that Salmonella exploits membrane reservoirs for the generation of invasion ruffles. The reservoirs are pre-existing tubular compartments associated with the plasma membrane (PM) and are formed through the activity of RAB10 GTPase. Under normal growth conditions, membrane reservoirs contribute to PM homeostasis and are preloaded with the exocyst subunit EXOC2. During Salmonella invasion, the bacterial effectors SipC, SopE2, and SopB recruit exocyst subunits from membrane reservoirs and other cellular compartments, thereby allowing exocyst complex assembly and membrane delivery required for bacterial uptake. Our findings reveal an important role for RAB10 in the establishment of membrane reservoirs and the mechanisms by which Salmonella can exploit these compartments during host cell invasion."
2024 Mar,HardwareX,HardwareX. 2024 Jan 26;17:e00508. doi: 10.1016/j.ohx.2024.e00508. eCollection ,"['Jin, Lei', 'Yu, Ziyang', 'Au, Aaron', 'Serles, Peter', 'Wang, Nan', 'Lant, Jeremy T', 'Filleter, Tobin', 'Yip, Christopher M']","['holographic microscopy', 'portable microscope', 'portable telecentric digital holographic microscopy', 'quantitative phase imaging']",P-TDHM: Open-source portable telecentric digital holographic microscope.,"We present the design of a low-cost, portable telecentric digital holographic microscope (P-TDHM) that utilizes off-the-shelf components. We describe the system's hardware and software elements and evaluate its performance by imaging samples ranging from nano-printed targets to live HeLa cells, HEK293 cells, and Dolichospermum via both in-line and off-axis modes. Our results demonstrate that the system can acquire high quality quantitative phase images with nanometer axial and sub-micron lateral resolution in a small form factor, making it a promising candidate for resource-limited settings and remote locations. Our design represents a significant step forward in making telecentric digital holographic microscopy accessible and affordable to the broader community."
2023 Dec 15,STAR protocols,STAR Protoc. 2023 Dec 15;4(4):102745. doi: 10.1016/j.xpro.2023.102745. Epub 2023 ,"['Nag, Sudeshna', 'Szederkenyi, Kaitlin', 'Yip, Christopher M', 'McQuibban, G Angus']","['carbonyl cyanide m-chlorophenyl hydrazone pharmacology', ' mitochondria physiology', ' software', 'cell biology', 'cell culture', 'metabolism', 'microscopy', 'molecular chemical probes']",Protocol for evaluating mitochondrial morphology changes in response to CCCP-induced stress through open-source image processing software.,"Mitochondrial morphology is an indicator of cellular health and function; however, its quantification and categorization into different subclasses is a complicated process. Here, we present a protocol for mitochondrial morphology quantification in the presence and absence of carbonyl cyanide m-chlorophenyl hydrazone stress. We describe steps for the preparation of cells for immunofluorescence microscopy, staining, and morphology quantification. The quantification protocol generates an aspect ratio that helps to categorize mitochondria into two clear subclasses. For complete details on the use and execution of this protocol, please refer to Nag et al.(1)."
2023 Aug 29,Cell reports,Cell Rep. 2023 Aug 29;42(8):112895. doi: 10.1016/j.celrep.2023.112895. Epub 2023 ,"['Nag, Sudeshna', 'Szederkenyi, Kaitlin', 'Gorbenko, Olena', 'Tyrrell, Hannah', 'Yip, Christopher M', 'McQuibban, G Angus']","[' gtp phosphohydrolases metabolism', ' phosphoric monoester hydrolases', 'phosphoglycerate mutase', 'mitochondrial dynamics genetics', 'mitochondrial proteins genetics metabolism', 'dynamins metabolism', 'cp: molecular biology', 'drp1', 'mfn2', 'pgam5', 'mitochondrial morphology']",,"Mitochondrial morphology is regulated by the post-translational modifications of the dynamin family GTPase proteins including mitofusin 1 (MFN1), MFN2, and dynamin-related protein 1 (DRP1). Mitochondrial phosphatase phosphoglycerate mutase 5 (PGAM5) is emerging as a regulator of these post-translational modifications; however, its precise role in the regulation of mitochondrial morphology is unknown. We show that PGAM5 interacts with MFN2 and DRP1 in a stress-sensitive manner. PGAM5 regulates MFN2 phosphorylation and consequently protects it from ubiquitination and degradation. Further, phosphorylation and dephosphorylation modification of MFN2 regulates its fusion ability. Phosphorylation enhances fission and degradation, whereas dephosphorylation enhances fusion. PGAM5 dephosphorylates MFN2 to promote mitochondrial network formation. Further, using a Drosophila genetic model, we demonstrate that the MFN2 homolog Marf and dPGAM5 are in the same biological pathway. Our results identify MFN2 dephosphorylation as a regulator of mitochondrial fusion and PGAM5 as an MFN2 phosphatase."
2023 Feb 8,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Feb 8;15(5):6326-6337. doi: ,"['Ho, Man', 'Au, Aaron', 'Flick, Robert', 'Vuong, Thu V', 'Sklavounos, Alexandros A', 'Swyer, Ian', 'Yip, Christopher M', 'Wheeler, Aaron R']","['humans', ' poloxamer chemistry', 'surface-active agents', 'microfluidics', ' biofouling prevention & control', 'polyethylene glycols chemistry', 'digital microfluidics', 'electrowetting', 'fouling', 'nonspecific adsorption', 'pluronics', 'tetronics']",Antifouling Properties of Pluronic and Tetronic Surfactants in Digital Microfluidics.,"Fouling at liquid-solid interfaces is a pernicious problem for a wide range of applications, including those that are implemented by digital microfluidics (DMF). There are several strategies that have been used to combat surface fouling in DMF, the most common being inclusion of amphiphilic surfactant additives in the droplets to be manipulated. Initial studies relied on Pluronic additives, and more recently, Tetronic additives have been used, which has allowed manipulation of complex samples like serum and whole blood. Here, we report our evaluation of 19 different Pluronic and Tetronic additives, with attempts to determine (1) the difference in antifouling performance between the two families, (2) the structural similarities that predict exceptional antifouling performance, and (3) the mechanism of the antifouling behavior. Our analysis shows that both Pluronic and Tetronic additives with modest molar mass, poly(propylene oxide) (PPO) ≥50 units, poly(ethylene oxide) (PEO) mass percentage ≤50%, and hydrophilic-lipophilic balance (HLB) ca. 13-15 allow for exceptional antifouling performance in DMF. The most promising candidates, P104, P105, and T904, were able to support continuous movement of droplets of serum for more than 2 h, a result (for devices operating in air) previously thought to be out of reach for this technique. Additional results generated using device longevity assays, intrinsic fluorescence measurements, dynamic light scattering, asymmetric flow field flow fractionation, supercritical angle fluorescence microscopy, atomic force microscopy, and quartz crystal microbalance measurements suggest that the best-performing surfactants are more likely to operate by forming a protective layer at the liquid-solid interface than by complexation with proteins. We propose that these results and their implications are an important step forward for the growing community of users of this technique, which may provide guidance in selecting surfactants for manipulating biological matrices for a wide range of applications."
2022 Nov 1,The Review of scientific instruments,Rev Sci Instrum. 2022 Nov 1;93(11):113707. doi: 10.1063/5.0111787.,"['Au, Aaron', 'Ho, Man', 'Wheeler, Aaron R', 'Yip, Christopher M']","['adsorption', 'microscopy, fluorescence', 'fluorescein', ' fluorescent dyes', ' surface-active agents']",Monitoring non-specific adsorption at solid-liquid interfaces by supercritical angle fluorescence microscopy.,"Supercritical angle fluorescence (SAF) microscopy is a novel imaging tool based on the use of distance-dependent fluorophore emission patterns to provide accurate locations of fluorophores relative to a surface. This technique has been extensively used to construct accurate cellular images and to detect surface phenomena in a static environment. However, the capability of SAF microscopy in monitoring dynamic surface phenomena and changes in millisecond intervals is underexplored in the literature. Here, we report on a hardware add-on for a conventional inverted microscope coupled with a post-processing Python module that extends the capability of SAF microscopy to monitor dynamic surface adsorption in sub-second intervals, thereby greatly expanding the potential of this tool to study surface interactions, such as surface fouling and competitive surface adhesion. The Python module enables researchers to automatically extract SAF profiles from each image. We first assessed the performance of the system by probing the specific binding of biotin-fluorescein conjugates to a neutravidin-coated cover glass in the presence of non-binding fluorescein. The SAF emission was observed to increase with the quantity of bound fluorophore on the cover glass. However, a high concentration of unbound fluorophore also contributed to overall SAF emission, leading to over-estimation in surface-bound fluorescence. To expand the applications of SAF in monitoring surface phenomena, we monitored the non-specific surface adsorption of BSA and non-ionic surfactants on a Teflon-AF surface. Solution mixtures of bovine serum albumin (BSA) and nine Pluronic/Tetronic surfactants were exposed to a Teflon-AF surface. No significant BSA adsorption was observed in all BSA-surfactant solution mixtures with negligible SAF intensity. Finally, we monitored the adsorption dynamics of BSA onto the Teflon-AF surface and observed rapid BSA adsorption on Teflon-AF surface within 10 s of addition. The adsorption rate constant (k(a)) and half-life of BSA adsorption on Teflon-AF were determined to be 0.419 ± 0.004 s(-1) and 1.65 ± 0.016 s, respectively, using a pseudo-first-order adsorption equation."
2022 Nov 25,ACS sensors,ACS Sens. 2022 Nov 25;7(11):3308-3317. doi: 10.1021/acssensors.2c01174. Epub 2022 ,"['Chang, Huntley H', 'Bennett, Alex M', 'Cameron, William D', 'Floro, Eric', 'Au, Aaron', 'McFaul, Christopher M', 'Yip, Christopher M', 'Rocheleau, Jonathan V']","['nadp metabolism', ' insulin-secreting cells metabolism', 'oxidation-reduction', 'glucose metabolism', 'mitochondria metabolism', 'fret', 'nadph redox', 'fluorescence anisotropy', 'fluorescent protein', 'organelle targeting']",Targeting Apollo-NADP(+) to Image NADPH Generation in Pancreatic Beta-Cell Organelles.,"NADPH/NADP(+) redox state supports numerous reactions related to cell growth and survival; yet the full impact is difficult to appreciate due to organelle compartmentalization of NADPH and NADP(+). To study glucose-stimulated NADPH production in pancreatic beta-cell organelles, we targeted the Apollo-NADP(+) sensor by first selecting the most pH-stable version of the single-color sensor. We subsequently targeted mTurquoise2-Apollo-NADP(+) to various organelles and confirmed activity in the cytoplasm, mitochondrial matrix, nucleus, and peroxisome. Finally, we measured the glucose- and glutamine-stimulated NADPH responses by single- and dual-color imaging of the targeted sensors. Overall, we developed multiple organelle-targeted Apollo-NADP(+) sensors to reveal the prominent role of beta-cell mitochondria in determining NADPH production in the cytoplasm, nucleus, and peroxisome."
2022 Oct 18,Nature communications,Nat Commun. 2022 Oct 18;13(1):6166. doi: 10.1038/s41467-022-33303-y.,"['Teng, Allen C T', 'Gu, Liyang', 'Di Paola, Michelle', 'Lakin, Robert', 'Williams, Zachary J', 'Au, Aaron', 'Chen, Wenliang', 'Callaghan, Neal I', 'Zadeh, Farigol Hakem', 'Zhou, Yu-Qing', 'Fatah, Meena', 'Chatterjee, Diptendu', 'Jourdan, L Jane', 'Liu, Jack', 'Simmons, Craig A', 'Kislinger, Thomas', 'Yip, Christopher M', 'Backx, Peter H', 'Gourdie, Robert G', 'Hamilton, Robert M', 'Gramolini, Anthony O']","['mice', 'animals', ' connexin 43 genetics metabolism', ' nav1.5 voltage-gated sodium channel genetics metabolism', 'rna, small interfering metabolism', 'myocardium metabolism', 'myocytes, cardiac metabolism', 'transcription factors metabolism']",Tmem65 is critical for the structure and function of the intercalated discs in mouse hearts.,"The intercalated disc (ICD) is a unique membrane structure that is indispensable to normal heart function, yet its structural organization is not completely understood. Previously, we showed that the ICD-bound transmembrane protein 65 (Tmem65) was required for connexin43 (Cx43) localization and function in cultured mouse neonatal cardiomyocytes. Here, we investigate the functional and cellular effects of Tmem65 reductions on the myocardium in a mouse model by injecting CD1 mouse pups (3-7 days after birth) with recombinant adeno-associated virus 9 (rAAV9) harboring Tmem65 shRNA, which reduces Tmem65 expression by 90% in mouse ventricles compared to scrambled shRNA injection. Tmem65 knockdown (KD) results in increased mortality which is accompanied by eccentric hypertrophic cardiomyopathy within 3 weeks of injection and progression to dilated cardiomyopathy with severe cardiac fibrosis by 7 weeks post-injection. Tmem65 KD hearts display depressed hemodynamics as measured echocardiographically as well as slowed conduction in optical recording accompanied by prolonged PR intervals and QRS duration in electrocardiograms. Immunoprecipitation and super-resolution microscopy demonstrate a physical interaction between Tmem65 and sodium channel β subunit (β1) in mouse hearts and this interaction appears to be required for both the establishment of perinexal nanodomain structure and the localization of both voltage-gated sodium channel 1.5 (NaV1.5) and Cx43 to ICDs. Despite the loss of NaV1.5 at ICDs, whole-cell patch clamp electrophysiology did not reveal reductions in Na(+) currents but did show reduced Ca(2+) and K(+) currents in Tmem65 KD cardiomyocytes in comparison to control cells. We conclude that disrupting Tmem65 function results in impaired ICD structure, abnormal cardiac electrophysiology, and ultimately cardiomyopathy."
2022 Sep 20,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Sep 20;119(38):e2212419119. doi: ,"['Yip, Christopher M']",[],Probing both sides of the story.,
2022 Oct,The Journal of biological chemistry,J Biol Chem. 2022 Oct;298(10):102448. doi: 10.1016/j.jbc.2022.102448. Epub 2022 ,"['Driouchi, Amine', 'Gray-Owen, Scott D', 'Yip, Christopher M']","['humans', 'hela cells', 'membrane proteins', ' microscopy methods', 'optical imaging', 'cytological techniques', 'storm', 'clustering', 'homofret', 'membrane proteins', 'nanobodies', 'oligomers', 'super-resolution microscopy']",Correlated STORM-homoFRET imaging reveals highly heterogeneous membrane receptor structures.,"Mapping the self-organization and spatial distribution of membrane proteins is key to understanding their function. Developing methods that can provide insight into correlations between membrane protein colocalization and interactions is challenging. We report here on a correlated stochastic optical reconstruction microscopy/homoFRET imaging approach for resolving the nanoscale distribution and oligomeric state of membrane proteins. Using live cell homoFRET imaging of carcinoembryonic antigen-related cellular adhesion molecule 1, a cell-surface receptor known to exist in a complex equilibrium between monomer and dimer/oligomer states, we revealed highly heterogeneous diffraction-limited structures on the surface of HeLa cells. Furthermore, correlated super-resolved stochastic optical reconstruction microscopy imaging showed that these structures comprised a complex mixture and spatial distribution of self-associated carcinoembryonic antigen-related cellular adhesion molecule 1 molecules. In conclusion, this correlated approach provides a compelling strategy for addressing challenging questions about the interplay between membrane protein concentration, distribution, interaction, clustering, and function."
2022 Aug 24,Communications biology,Commun Biol. 2022 Aug 24;5(1):865. doi: 10.1038/s42003-022-03819-6.,"['Harrington, Sean', 'Knox, Jessica J', 'Burns, Andrew R', 'Choo, Ken-Loon', 'Au, Aaron', 'Kitner, Megan', 'Haeberli, Cecile', 'Pyche, Jacob', ""D'Amata, Cassandra"", 'Kim, Yong-Hyun', 'Volpatti, Jonathan R', 'Guiliani, Maximillano', 'Snider, Jamie', 'Wong, Victoria', 'Palmeira, Bruna M', 'Redman, Elizabeth M', 'Vaidya, Aditya S', 'Gilleard, John S', 'Stagljar, Igor', 'Cutler, Sean R', 'Kulke, Daniel', 'Dowling, James J', 'Yip, Christopher M', 'Keiser, Jennifer', 'Zasada, Inga', 'Lautens, Mark', 'Roy, Peter J']","['acetylcholinesterase', 'animals', 'antinematodal agents pharmacology', ' caenorhabditis elegans', 'humans', ' nematoda', 'neurotransmitter agents', 'phylogeny']",Egg-laying and locomotory screens with C. elegans yield a nematode-selective small molecule stimulator of neurotransmitter release.,"Nematode parasites of humans, livestock and crops dramatically impact human health and welfare. Alarmingly, parasitic nematodes of animals have rapidly evolved resistance to anthelmintic drugs, and traditional nematicides that protect crops are facing increasing restrictions because of poor phylogenetic selectivity. Here, we exploit multiple motor outputs of the model nematode C. elegans towards nematicide discovery. This work yielded multiple compounds that selectively kill and/or immobilize diverse nematode parasites. We focus on one compound that induces violent convulsions and paralysis that we call nementin. We find that nementin stimulates neuronal dense core vesicle release, which in turn enhances cholinergic signaling. Consequently, nementin synergistically enhances the potency of widely-used non-selective acetylcholinesterase (AChE) inhibitors, but in a nematode-selective manner. Nementin therefore has the potential to reduce the environmental impact of toxic AChE inhibitors that are used to control nematode infections and infestations."
2022 Jul 19,Biofabrication,Biofabrication. 2022 Jul 19;14(4). doi: 10.1088/1758-5090/ac7eea.,"['Rafiei, Nafiseh', 'Moghadam, Mohammadamir G', 'Au, Aaron', 'Regeenes, Romario', 'Chidambaram, Subbulakshmi', 'Liang, Tao', 'Wang, Yufeng', 'Yip, Christopher M', 'Gaisano, Herbert', 'Rocheleau, Jonathan V']","['animals', 'humans', ' imaging, three-dimensional methods', ' lab-on-a-chip devices', 'mice', 'microscopy, fluorescence methods', 'optical imaging', 'confocal imaging', 'light sheet fluorescence microscopy (lsfm)', 'microfluidic device', 'precision-cut-tissue-slice-on-a-chip', 'selective plane illumination microscopy (spim)']",Design of a versatile microfluidic device for imaging precision-cut-tissue slices.,"Precision-cut-tissues (PCTs), which preserve many aspects of a tissue's microenvironment, are typically imaged using conventional sample dishes and chambers. These can require large amounts of reagent and, when used for flow-through experiments, the shear forces applied on the tissues are often ill-defined. Their physical design also makes it difficult to image large volumes and repetitively image smaller regions of interest in the living slice. We report here on the design of a versatile microfluidic device capable of holding mouse or human pancreas PCTs for 3D fluorescence imaging using confocal and selective plane illumination microscopy (SPIM). Our design positions PCTs within a 5 × 5 mm × 140µm deep chamber fitted with 150µm tall channels to facilitate media exchange. Shear stress in the device is localized to small regions on the surface of the tissue and can be easily controlled. This design allows for media exchange at flowrates ∼10-fold lower than those required for conventional chambers. Finally, this design allows for imaging the same immunofluorescently labeled PCT with high resolution on a confocal and with large field of view on a SPIM, without adversely affecting image quality."
