time,journal,doi_info,authors,key words,title,abstract
2024 May 25,BMC oral health,BMC Oral Health. 2024 May 25;24(1):607. doi: 10.1186/s12903-024-04373-9.,"['Silva Ramos, Fernanda de Souza', 'de Castro Oliveira, Laryssa', 'Albertinazzi, Larissa', 'Bezerra, Sávio José Cardoso', 'Dos Santos, Vanessa Rodrigues', 'Scaramucci, Tais', 'Duque, Cristiane', 'Ganss, Bernhard', 'Souza, Marina Trevelin', 'Pessan, Juliano Pelim', 'Fagundes, Ticiane Cestari']","['animals', 'cattle', ' dentin desensitizing agents pharmacology', ' sodium fluoride pharmacology', ' dentin drug effects', 'fluorides, topical pharmacology', 'fibroblasts drug effects', 'cell survival drug effects', 'tooth wear', 'materials testing', 'polyphosphates pharmacology', 'cell biology', 'cytotoxicity tests', 'dental abrasion', 'dental erosion', 'dentin sensitivity', 'desensitizing agents']",Analysis of dentin wear and biological properties promoted by experimental inoffice desensitizing materials.,"BACKGROUND: This study aimed to evaluate dentin wear and biological performance of desensitizing materials. METHODS: Seventy bovine root dentin blocks were sectioned. Half of the surface of each specimen was untreated (control) and the other half was immersed in EDTA and treated with the following desensitizing materials: placebo varnish (PLA), fluoride varnish (FLU), sodium fluoride (NaF) varnish + sodium trimetaphosphate (TMP), universal adhesive (SBU), S-PRG varnish (SPRG), biosilicate (BIOS), and amelotin solution (AMTN). After application, the specimens were submitted to an erosive-abrasive challenge and the wear analyzed by optical profilometer. Serial dilutions of extracts obtained from the culture medium containing discs impregnated with those desensitizers were applied on fibroblasts and odontoblasts-like cells cultures. Cytotoxicity and production of total protein (TP) by colorimetric assays were determined after 24 h. Data were statistically analyzed using Kruskal-Wallis, Dunn's, One-way ANOVA and Tukey tests (p ≤ 0.05). RESULTS: No dentin wear was observed only for SBU. The lowest dentin wear was observed for AMTN and TMP. Cell viability was significantly reduced after treatment with undiluted extracts of PLA, FLU, TMP and SBU in fibroblasts and TMP and SBU in odontoblast-like cells. SPRG, BIOS and AMTN were cytocompatible at all dilutions tested. Considering TP results, no statistical difference was observed among the groups and high levels for TP were observed after TMP and FLU treatments. CONCLUSIONS: Universal adhesive system may protect dentin with opened tubules from wear after challenge. Extracts of adhesive and fluoride varnishes presented cytotoxic mainly on fibroblasts. The enamel protein may be a future alternative to treat dentin with opened tubules because it may cause low wear under erosive-abrasive challenge with low cytotoxic effects."
2024 Feb 21,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2024 Feb 21;16(7):9190-9200. doi: ,"['Yu, Menghan', 'Feng, Li', 'Gan, Zongle', 'Hua, Yicheng', 'Wu, Haiyan', 'Ganss, Bernhard', 'Yang, Huaming']","['clay chemistry', ' biocompatible materials chemistry', ' nanotubes chemistry', 'anti-bacterial agents pharmacology', 'durapatite chemistry', 'antibacterial activity', 'crystallization', 'halloysite nanotubes', 'hydroxyapatite', 'mechanical properties']",Tubular Nanoclay-Enhanced Calcium Phosphate Mineralization and Assembly to Impart High Stiffness and Antimicrobial Properties.,"Achieving superior mechanical properties of composite materials in artificially engineered materials is a great challenge due to technical bottlenecks in the size and morphological modulation of inorganic nanominerals. Hence, a ""bioprocess-inspired fabrication"" is proposed to create multilayered organic-inorganic columnar structures. The sequential assembly of halloysite nanotubes (HNTs), polyelectrolytes (PAAs), and calcium phosphates (CaPs) results in organic-inorganic structures. PAA plays a crucial role in controlling the formation of CaP, guiding it into amorphous particles with smaller nanosizes. The introduction of HNT induces the assembly and maturation of CaP-PAA, leading to the formation of a highly crystalline hydroxyapatite. Poly(vinyl alcohol) was then woven into HNT-encapsulated hydroxyapatite nanorods, resulting in composite materials with basic hierarchical structures across multiple scales. The fabricated composite exhibits exceptional hardness (4.27 ± 0.33 GPa) and flexural strength (101.25 ± 1.72 MPa), surpassing those of most previously developed biological hard tissue materials. Additionally, the composite demonstrates effective antibacterial properties and corrosion resistance, attributed to the dense crystalline phase of CaP. This innovative approach showcases the potential of clay minerals, particularly HNT, in the advancement of biomaterial design. The outstanding mechanical and antimicrobial properties of clay-based composites make them a promising candidate for applications in hard tissue repair, offering versatility in biomedicine and engineering."
2023,Frontiers in oral health,Front Oral Health. 2023 Oct 12;4:1260442. doi: 10.3389/froh.2023.1260442. ,"['Enax, Joachim', 'Ganss, Bernhard', 'Amaechi, Bennett T', 'Schulze Zur Wiesche, Erik', 'Meyer, Frederic']","['biofilm', 'dental pellicle', 'hydroxyapatite', 'proteins', 'saliva', 'teeth']",The composition of the dental pellicle: an updated literature review.,"BACKGROUND: The dental pellicle is a thin layer of up to several hundred nm in thickness, covering the tooth surface. It is known to protect the teeth from acid attacks through its selective permeability and it is involved in the remineralization process of the teeth. It functions also as binding site and source of nutrients for bacteria and conditioning biofilm (foundation) for dental plaque formation. METHODS: For this updated literature review, the PubMed database was searched for the dental pellicle and its composition. RESULTS: The dental pellicle has been analyzed in the past years with various state-of-the art analytic techniques such as high-resolution microscopic techniques (e.g., scanning electron microscopy, atomic force microscopy), spectrophotometry, mass spectrometry, affinity chromatography, enzyme-linked immunosorbent assays (ELISA), and blotting-techniques (e.g., western blot). It consists of several different amino acids, proteins, and proteolytic protein fragments. Some studies also investigated other compounds of the pellicle, mainly fatty acids, and carbohydrates. CONCLUSIONS: The dental pellicle is composed mainly of different proteins, but also fatty acids, and carbohydrates. Analysis with state-of-the-art analytical techniques have uncovered mainly acidic proline-rich proteins, amylase, cystatin, immunoglobulins, lysozyme, and mucins as main proteins of the dental pellicle. The pellicle has protective properties for the teeth. Further research is necessary to gain more knowledge about the role of the pellicle in the tooth remineralization process."
2023 Oct,Oral diseases,Oral Dis. 2023 Oct;29(7):2845-2853. doi: 10.1111/odi.14445. Epub 2022 Dec 2.,"['Quan, Bryan D', 'Sadeghi, Rokhsareh', 'Ikeda, Yuichi', 'Ganss, Bernhard', 'Hamilton, Douglas W', 'McCulloch, Christopher A', 'Sone, Eli D']","['animals', 'swine', ' insulin-like growth factor i', 'bone regeneration', 'collagen', 'dental cementum', 'calcium phosphates pharmacology', 'guided tissue regeneration, periodontal methods', 'periodontal ligament', ' alveolar bone loss drug therapy', 'amelotin', 'calcium phosphate cement', 'cementum', 'fibronectin', 'insulin-like growth factor 1']",Screening of functionalized collagen membranes with a porcine periodontal regeneration model.,"OBJECTIVES: Current methods for periodontal regeneration do not promote collagen fiber insertions into new bone and cementum. We used a pig wound model to screen different functionalized collagen membranes in promoting periodontal reattachment to root surfaces. METHODS: Treatment groups included (1) control with no membranes, (2) collagen-coated membranes, (3) membranes with insulin-like growth factor-1 (IGF-1), (4) membranes with amelotin, or (5) membranes attached with calcium phosphate cement (CPC), or with CPC combined with IGF-1. Flap procedures were performed on mandibular and maxillary premolars of each pig. RESULTS: Histomorphometric, micro-CT, and clinical measurements obtained at 4 and 12 weeks after surgery showed cementum formation on denuded roots and reformation of alveolar bone, indicating that the pig model can model healing responses in periodontal regeneration. Calcium phosphate cement simplified procedures by eliminating the need for sutures and improved regeneration of alveolar bone (p < 0.05) compared with other treatments. There was a reduction (p < 0.05) of PD only for the IGF group. Large observed variances between treatment groups indicated that a priori power analyses should be conducted to optimize statistical analysis. CONCLUSIONS: Pigs can model discrete elements of periodontal healing using collagen-based, functionalized membranes. Screening indicates that membrane anchorage with calcium phosphate cements improve regeneration of alveolar bone."
2023 Mar,Clinical oral investigations,Clin Oral Investig. 2023 Mar;27(3):1265-1276. doi: 10.1007/s00784-022-04760-y. ,"['de Castro Oliveira, Laryssa', 'Marchetti, Vitória Marega', 'de Souza E Silva Ramos, Fernanda', 'Delbem, Alberto Carlos Botazzo', 'Souza, Marina Trevelin', 'Ganss, Bernhard', 'Theodoro, Leticia Helena', 'Fagundes, Ticiane Cestari']","['animals', 'cattle', 'dentin', ' dentin desensitizing agents therapeutic use', 'dentin permeability', ' dentin sensitivity drug therapy', 'fluorides pharmacology', 'fluorides, topical pharmacology', 'microscopy, electron, scanning', 'polyesters', 'dentin desensitizer', 'dentin hypersensitivity', 'dentin permeability', 'dentinal tubule occlusion']",In vitro dentin permeability and tubule occlusion of experimental in-office desensitizing materials.,"OBJECTIVES: This study investigates the dentin permeability (by hydraulic conductance) and tubule occlusion (by confocal and scanning electron microscopies) of in-office desensitizing materials. MATERIALS AND METHODS: Bovine dentin blocks were immersed in EDTA to open dentinal tubules. Placebo varnish (PLA), fluoride varnish (FLU), NaF 5% + 5% nanoparticulate sodium trimetaphosphate varnish (TMP), universal adhesive system (SBU), S-PRG filler varnish (SPRG), Biosilicate (BIOS), and amelotin (AMTN) solution were the materials tested. After application, the specimens underwent an erosive-abrasive challenge. Dentin permeability was evaluated at T0 (initial), T1 (after treatment), and T2 (after challenge). Confocal and scanning electron microscopy (SEM) were used to evaluate, respectively, length and number of dentinal tubule occlusions and opened dentinal tubules, after challenge. Permeability and SEM data were analyzed by two-way repeated measures ANOVA and Tukey's tests. Confocal data were analyzed by one-way ANOVA, Tukey's test, and Kruskal-Wallis and Dunn's tests. Spearman and Pearson's correlation tests were also used. Significance level was set at 5%. RESULTS: At T1, the AMTN group showed the lowest permeability value, following the increasing order at T2: AMTN = SBU < BIOS = SPRG < TMP < FLU < PLA. The SBU group had the highest value of occluded dentinal tubule length. The AMTN group presented more occluded dentinal tubules compared to PLA and FLU. AMTN and SBU had the lowest values of opened dentin tubules. Results showed a negative correlation between the analyses. CONCLUSION: The SBU and AMTN solution were more effective in reducing dentin permeability by occluding dentin tubules. CLINICAL RELEVANCE: All materials reduced permeability after challenge, except fluoride varnish."
2022 Jul 15,Acta biomaterialia,Acta Biomater. 2022 Jul 15;147:209-220. doi: 10.1016/j.actbio.2022.05.035. Epub ,"['Nouri, Shahrzad', 'Holcroft, James', 'Caruso, Laura-Lee', 'Vuong, Thu V', 'Simmons, Craig A', 'Master, Emma R', 'Ganss, Bernhard']","['basement membrane metabolism', ' epithelial attachment metabolism', ' epithelial cells', 'gingiva', 'hydroxyapatites', 'regeneration', 'wound healing', 'bioadhesives', 'cell attachment and migration', 'junctional epithelium', 'microfluidics', 'protein adsorption']",An SCPPPQ1/LAM332 protein complex enhances the adhesion and migration of oral epithelial cells: Implications for dentogingival regeneration.,"Common periodontal disease treatment procedures often fail to restore the structural integrity of the junctional epithelium (JE), the epithelial attachment of the gum to the tooth, leaving the tooth-gum interface prone to bacterial colonization. To address this issue, we introduced a novel bio-inspired protein complex comprised of a proline-rich enamel protein, SCPPPQ1, and laminin 332 (LAM332) to enhance the JE attachment. Using quartz crystal microbalance with dissipation monitoring (QCM-D), we showed that SCPPPQ1 and LAM332 interacted and assembled into a protein complex with high-affinity adsorption of 5.9e(-8) [M] for hydroxyapatite (HA), the main component of the mineralized tooth surfaces. We then designed a unique shear device to study the adhesion strength of the oral epithelial cells to HA. The SCPPPQ1/LAM332 complex resulted in a twofold enhancement in adhesion strength of the cells to HA compared to LAM332 (from 31 dyn/cm(2) to 63 dyn/cm(2)). In addition, using a modified wound-healing assay, we showed that gingival epithelial cells demonstrated a significantly high migration rate of 2.7 ± 0.24 µm/min over SCPPPQ1/LAM332-coated surfaces. Our collective data show that this protein complex has the potential to be further developed in designing a bioadhesive to enhance the JE attachment and protect the underlying connective tissue from bacterial invasion. However, its efficacy for wound healing requires further testing in vivo. STATEMENT OF SIGNIFICANCE: This work is the first functional study towards understanding the combined role of the enamel protein SCPPPQ1 and laminin 332 (LAM332) in the epithelial attachment of the gum, the junctional epithelium (JE), to the tooth hydroxyapatite surfaces. Such studies are essential for developing therapeutic approaches to restore the integrity of the JE in the destructive form of gum infection. We have developed a model system that provided the first evidence of the strong interaction between SCPPPQ1 and LAM332 on hydroxyapatite surfaces that favored protein adsorption and subsequently oral epithelial cell attachment and migration. Our collective data strongly suggested using the SCPPPQ1/LAM332 complex to accelerate the reestablishment of the JE after surgical gum removal to facilitate gum regeneration."
2022 Jun,Cellular and molecular bioengineering,Cell Mol Bioeng. 2022 Mar 27;15(3):245-254. doi: 10.1007/s12195-022-00722-2. ,"['Ikeda, Yuichi', 'Holcroft, James', 'Ikeda, Eri', 'Ganss, Bernhard']","['bioengineering', 'dentin', 'enamel biomineralization formation', 'guided tissue regeneration', 'hydroxyapatite']",Amelotin Promotes Mineralization and Adhesion in Collagen-Based Systems.,"INTRODUCTION: Periodontitis is characterized by the destruction of tooth-supporting tissues including the alveolar bone. Barrier membranes are used in dentistry for tissue regenerative therapy. Nevertheless, conventional membranes have issues related to membrane stability and direct induction of bone mineralization. Amelotin (AMTN), an enamel matrix protein, regulates hydroxyapatite crystal nucleation and growth. To apply an AMTN membrane in clinical practice, we investigated the mineralizing and adhesive effects of recombinant human (rh) AMTN in vitro using a collagen-based system. METHODS: Collagen hydrogel incorporated with rhAMTN (AMTN gel) and rhAMTN-coated dentin slices were prepared. AMTN gel was then applied on a commercial membrane (AMTN membrane). Samples were incubated for up to 24 h in mineralization buffer, and the structures were observed. The peak adhesive tensile strength between the dentin and AMTN membrane was measured. Using an enzyme-linked immunosorbent assay, the release kinetics of rhAMTN from the membrane were investigated. RESULTS: The AMTN gel resulted in the formation of hydroxyapatite deposits both onto and within the collagen matrix. Furthermore, coating the dentin surface with rhAMTN promoted the precipitation of mineral deposits on the surface. Interestingly, site-specific mineralization was observed in the AMTN membrane. Only 1% of rhAMTN was released from the membrane. Hence, the AMTN membrane adhered to the dentin surface with more than twofold greater tensile strength than that detected for a rhAMTN-free barrier membrane. CONCLUSIONS: RhAMTN can accelerate mineralization and adhesion in collagen-based systems. Furthermore, the AMTN membrane could inform the optimal design of calcified tissue regenerative materials. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s12195-022-00722-2."
2022 Mar,Materials today. Bio,Mater Today Bio. 2022 Apr 6;14:100255. doi: 10.1016/j.mtbio.2022.100255. ,"['Neshatian, Mehrnoosh', 'Holcroft, James', 'Kishen, Anil', 'De Souza, Grace', 'Ganss, Bernhard']",[],Promoting mineralization at biological interfaces Ex vivo with novel amelotin-based bio-nano complexes.,"Interfacial failure at the resin-dentin interface is a significant disadvantage of resin-based dental restoration. In this study, we created bio-inspired bio-nano complexes using the enamel protein amelotin (AMTN) or AMTN with an engineered collagen-binding site (AMTN-Col) to coat hydroxyapatite nanoparticles (HANP). The resulting nano-bio complexes, AMTN-HANP and AMTN-Col-HANP, were evaluated for their ability to promote collagen mineralization. Our study comprises three separate phases.In phase I, developing a method for functionalizing HANP with AMTN/AMTN-Col was explored. HANP were synthesized and characterized using TEM, SAED-TEM, XRD and ATR-FTIR. The nanoparticles were functionalized with AMTN or AMTN-Col. The successful coating of the nanoparticles with the proteins was confirmed using a TEM image of immunogold-labelled samples.In phase II of the study, the mineralization potential of the synthesized bio-nano complexes was studied using model systems consisting of simulated body fluid (SBF), polymerized collagen gels, and dentin disks prepared from human extracted molars. Mineral formation in SBF was recorded with a light scattering assay using a microplate reader on 8 replicates of each sample per study time point. Statistical analysis was performed using one-way ANOVA and the Tukey test. Significance was assigned at P ​< ​0.01. The extent of mineral formation on collagen gel and remineralization of demineralized dentin was studied with SEM. Accelerated mineral formation collagen mineralization of bio-nano complexes treated samples were observed in all model systems.In phase III of the study, the clinical utilization of AMTN/AMTN-Col coated HANP in bio-integration and enhancing the bond strength of a resin-based dental restoration and the dentin interface was investigated. The bio-nano complexes were applied as a pretreatment on dentin disks prepared from human extracted molars prior to the composite resin restoration. The micro-shear bond strength test was done on 8 samples per treatment group (a total of 32 samples). Statistical analysis on shear bond strength was performed using one-way ANOVA and the Tukey test. Significance was assigned at P ​< ​0.01. Shear bond strength values indicated that pretreatment of dentin with the bio-nano complexes before adhesive application significantly improved shear bond strength. CONCLUSION: We have shown that AMTN based bio-nano complexes promote mineral formation on collagenous interfaces. Our findings can be the basis of new bio-inspired, bio-nano materials that may improve dental restoration longevity by enhancing the stability and integrity of the dentin-composite resin interface."
2021 Nov 15,International journal of molecular sciences,Int J Mol Sci. 2021 Nov 15;22(22):12343. doi: 10.3390/ijms222212343.,"['Danesi, Alexander L', 'Athanasiadou, Dimitra', 'Mansouri, Ahmad', 'Phen, Alina', 'Neshatian, Mehrnoosh', 'Holcroft, James', 'Bonde, Johan', 'Ganss, Bernhard', 'Carneiro, Karina M M']","['amelogenin  chemistry genetics', 'biomimetic materials  chemistry', 'biomimetics methods', 'biomineralization  genetics', 'crystallization', 'dental enamel chemistry', 'dental enamel proteins  chemistry genetics', 'durapatite  chemistry', 'humans', 'nanostructures  chemistry', 'nanotechnology methods', 'protein engineering methods', 'protein folding', 'recombinant proteins chemistry', 'tooth chemistry', 'amelogenin', 'amelotin hydroxyapatite', 'bio-inspired materials', 'biomimetics', 'biomineralization', 'enamel']",Uniaxial Hydroxyapatite Growth on a Self-Assembled Protein Scaffold.,"Biomineralization is a crucial process whereby organisms produce mineralized tissues such as teeth for mastication, bones for support, and shells for protection. Mineralized tissues are composed of hierarchically organized hydroxyapatite crystals, with a limited capacity to regenerate when demineralized or damaged past a critical size. Thus, the development of protein-based materials that act as artificial scaffolds to guide hydroxyapatite growth is an attractive goal both for the design of ordered nanomaterials and for tissue regeneration. In particular, amelogenin, which is the main protein that scaffolds the hierarchical organization of hydroxyapatite crystals in enamel, amelogenin recombinamers, and amelogenin-derived peptide scaffolds have all been investigated for in vitro mineral growth. Here, we describe uniaxial hydroxyapatite growth on a nanoengineered amelogenin scaffold in combination with amelotin, a mineral promoting protein present during enamel formation. This bio-inspired approach for hydroxyapatite growth may inform the molecular mechanism of hydroxyapatite formation in vitro as well as possible mechanisms at play during mineralized tissue formation."
2022 Apr,Odontology,Odontology. 2022 Apr;110(2):223-230. doi: 10.1007/s10266-021-00675-4. Epub 2021 ,"[""O'Hagan-Wong, Kelsey"", 'Enax, Joachim', 'Meyer, Frederic', 'Ganss, Bernhard']","['cariostatic agents chemistry pharmacology', ' dental caries prevention & control', 'durapatite chemistry', 'fluorides pharmacology', 'humans', 'tooth remineralization', ' toothpastes chemistry', 'enamel', 'hydroxyapatite', 'oral care', 'toothpaste']",The use of hydroxyapatite toothpaste to prevent dental caries.,"Dissolution of hydroxyapatite from the tooth structure at low pH can lead to the irreversible destruction of enamel and dentin, which if left untreated can result in pain and tooth loss. Hydroxyapatite toothpastes contain hydroxyapatite particles in micro- or nanocrystalline form that have been shown to deposit and restore demineralized enamel surfaces. As such, they are currently being explored as a fluoride-free anti-caries agent. This narrative review article aims to summarize the recent findings of the research investigating the remineralization potential of HAP toothpaste in vitro, in situ and in vivo, as well as some other applications in dentistry."
2021 Dec,Annals of biomedical engineering,Ann Biomed Eng. 2021 Dec;49(12):3676-3684. doi: 10.1007/s10439-021-02867-z. Epub ,"['Tanaka, Daiki', 'Ikeda, Yuichi', 'Ikeda, Eri', 'Yokose, Mako', 'Ganss, Bernhard', 'Iwata, Takanori']","['animals', 'cell proliferation', 'cells, cultured', 'dental enamel proteins  pharmacology', 'disease models, animal', 'male', 'mice, inbred balb c', 'osteoblasts physiology', 'skull diagnostic imaging  drug effects injuries  physiopathology', 'wound healing  drug effects', 'x-ray microtomography', 'mice', 'amelotin', 'bioengineering', 'bone healing', 'matrix mineralization', 'non-collagenous proteins']",Effect of Amelotin on Bone Growth in the Murine Calvarial Defect Model.,"Amelotin (AMTN) is a protein that is expressed during the maturation of dental enamel and has important role in enamel hydroxyapatite mineralization. However, it is not well understood whether AMTN has a strong mineral-promoting ability in bone. In this study, the effect of AMTN on bone healing was investigated using mice calvarial defect model in vivo, and the expression of bone marker genes and cell proliferation were investigated to clarify the role of AMTN in bone mineralization using mouse osteogenic cells (MC3T3-E1) in vitro. Collagen membranes, with or without recombinant human (rh) AMTN, were applied to calvarial defects created on the parietal bones of C57BL/6N mice. Microcomputed tomography and histological observation revealed that the defect largely filled with mineralized tissue by the rhAMTN-containing membrane in eight weeks. Moreover, CD31 positive cells were observed in the newly formed mineralized tissue and around the rhAMTN-containing membrane. In the presence of rhAMTN, the expression of the Spp1 gene in MC3T3-E1 cells significantly increased within ten days in an osteoinductive medium. Moreover, rhAMTN significantly enhanced MC3T3-E1 cell proliferation. These findings indicate that AMTN positively influences bone repair by promoting hydroxyapatite mineralization."
2021 Apr,Clinical oral implants research,Clin Oral Implants Res. 2021 Apr;32(4):448-459. doi: 10.1111/clr.13714. Epub 2021 ,"['Zhu, Liqin', 'Yang, Jiakang', 'Gong, Jiaxing', 'Zhang, Chenqiu', 'Ganss, Bernhard', 'Wang, Huiming']","['animals', 'bone transplantation', 'dental implantation, endosseous', ' dental implants', 'dogs', 'maxillary sinus diagnostic imaging surgery', 'osteogenesis', ' sinus floor augmentation', 'bone substitutes', 'dental implants', 'minimally invasive surgical procedures', 'osseointegration', 'osteogenesis', 'sinus floor augmentation']",Early bone formation in mini-lateral window sinus floor elevation with simultaneous implant placement: An in vivo experimental study.,"OBJECTIVE: To investigate the early bone formation in beagles with mini-lateral window sinus floor elevation and simultaneous implant placement. MATERIAL AND METHODS: Six beagles were selected for the split-mouth design procedures. In each animal, one maxillary recess received a 5 mm-diameter mini-round lateral osteotomy (test group), and the contralateral maxillary recess received a large rectangular osteotomy (10 mm long and 8 mm wide), (control group). Simultaneous implant installation was executed on bilateral maxillary recesses. Tetracycline and calcein dyes were administered on the 14th, 13th days and the 4th, 3rd days prior to sacrifice, respectively. After 8 weeks of healing, the beagles were euthanized for fluorescent labeling and histomorphometric analyses. RESULTS: In both groups, new bone formation initiated from the circumferential native bone of the maxillary recesses and extended toward the central sub-recess cavities. The maxillary recesses with the mini-window procedures exhibited superior mineral apposition rate, bone formation rate, and the percentage of new bone area to those of the group exposed to large osteotomy procedure (p < .05). While there was no significant difference in the value of bone-to-implant contact, the mini-window group displayed a tendency for an increase in this aspect (p > .05). Bone formation rate and new bone amount were not statistically correlated with bone-to-implant contact (p > .05). CONCLUSION: The hypothesis that mini-lateral window sinus floor elevation with simultaneous implant placement would improve early new bone formation in augmented sinus compared with large lateral window procedure is accepted."
2020 Oct,Odontology,Odontology. 2020 Oct;108(4):532-544. doi: 10.1007/s10266-020-00483-2. Epub 2020 ,"['Nakayama, Yohei', 'Inoue, Eiko', 'Kato, Ayako', 'Iwai, Yasunobu', 'Takai-Yamazaki, Mizuho', 'Tsuruya, Yuto', 'Yamaguchi, Arisa', 'Noda, Keisuke', 'Nomoto, Takato', 'Ganss, Bernhard', 'Ogata, Yorimasa']","[' dendritic cells, follicular', 'epithelial attachment', 'gingiva', ' gingival overgrowth', 'humans', 'nifedipine', 'amtn', 'fdc-sp', 'gingival overgrowth', 'junctional epithelium', 'nifedipine']",Follicular dendritic cell-secreted protein gene expression is upregulated and spread in nifedipine-induced gingival overgrowth.,"Follicular dendritic cell-secreted protein (FDC-SP) is secreted protein expressed in follicular dendritic cells, periodontal ligament and junctional epithelium (JE). Its expression could be controlled during inflammatory process of gingiva; however, responsible mechanism for gingival overgrowth and involvement of FDC-SP in clinical condition is still unclear. We hypothesized that JE-specific genes are associated with the initiation of drug-induced gingival enlargement (DIGE) called gingival overgrowth, and investigated the changes of JE-specific gene's expression and their localization in overgrown gingiva from the patients. Immunohistochemical analysis revealed that the FDC-SP localization was spread in overgrown gingival tissues. FDC-SP mRNA levels in GE1 and Ca9-22 cells were increased by time-dependent nifedipine treatments, similar to other JE-specific genes, such as Amelotin (Amtn) and Lamininβ3 subunit (Lamβ3), whereas type 4 collagen (Col4) mRNA levels were decreased. Immunocytochemical analysis showed that FDC-SP, AMTN, and Lamβ3 protein levels were increased in GE1 and Ca9-22 cells. Transient transfection analyses were performed using luciferase constructs including various lengths of human FDC-SP gene promoter, nifedipine increased luciferase activities of -345 and -948FDC-SP constructs. These results raise the possibility that the nifedipine-induced FDC-SP may be related to the mechanism responsible for gingival overgrowth does not occur at edentulous jaw ridges."
2019 Aug,JBMR plus,JBMR Plus. 2019 Jul 31;3(8):e10205. doi: 10.1002/jbm4.10205. eCollection 2019 ,"['Marangoni, Pauline', 'Charles, Cyril', 'Ahn, Youngwook', 'Seidel, Kerstin', 'Jheon, Andrew', 'Ganss, Bernhard', 'Krumlauf, Robb', 'Viriot, Laurent', 'Klein, Ophir D']","['enamel mineralization defect', 'fgf signaling', 'spry4', 'tooth development']","Downregulation of FGF Signaling by Spry4 Overexpression Leads to Shape Impairment, Enamel Irregularities, and Delayed Signaling Center Formation in the Mouse Molar.","FGF signaling plays a critical role in tooth development, and mutations in modulators of this pathway produce a number of striking phenotypes. However, many aspects of the role of the FGF pathway in regulating the morphological features and the mineral quality of the dentition remain unknown. Here, we used transgenic mice overexpressing the FGF negative feedback regulator Sprouty4 under the epithelial keratin 14 promoter (K14-Spry4) to achieve downregulation of signaling in the epithelium. This led to highly penetrant defects affecting both cusp morphology and the enamel layer. We characterized the phenotype of erupted molars, identified a developmental delay in K14-Spry4 transgenic embryos, and linked this with changes in the tooth developmental sequence. These data further delineate the role of FGF signaling in the development of the dentition and implicate the pathway in the regulation of tooth mineralization. © 2019 The Authors. JBMR Plus is published by Wiley Periodicals, Inc. on behalf of American Society for Bone and Mineral Research."
