time,journal,doi_info,authors,key words,title,abstract
2024 Feb 27,Lab on a chip,Lab Chip. 2024 Feb 27;24(5):1327-1350. doi: 10.1039/d3lc00696d.,"['Regeenes, Romario', 'Rocheleau, Jonathan V']","['mice', 'humans', 'animals', 'microfluidics', ' diabetes mellitus, type 1 metabolism', ' diabetes mellitus, type 2 metabolism', ' islets of langerhans metabolism', 'insulin metabolism', 'lab-on-a-chip devices']",Twenty years of islet-on-a-chip: microfluidic tools for dissecting islet metabolism and function.,"Pancreatic islets are metabolically active micron-sized tissues responsible for controlling blood glucose through the secretion of insulin and glucagon. A loss of functional islet mass results in type 1 and 2 diabetes. Islet-on-a-chip devices are powerful microfluidic tools used to trap and study living ex vivo human and murine pancreatic islets and potentially stem cell-derived islet organoids. Devices developed over the past twenty years offer the ability to treat islets with controlled and dynamic microenvironments to mimic in vivo conditions and facilitate diabetes research. In this review, we explore the various islet-on-a-chip devices used to immobilize islets, regulate the microenvironment, and dynamically detect islet metabolism and insulin secretion. We first describe and assess the various methods used to immobilize islets including chambers, dam-walls, and hydrodynamic traps. We subsequently describe the surrounding methods used to create glucose gradients, enhance the reaggregation of dispersed islets, and control the microenvironment of stem cell-derived islet organoids. We focus on the various methods used to measure insulin secretion including capillary electrophoresis, droplet microfluidics, off-chip ELISAs, and on-chip fluorescence anisotropy immunoassays. Additionally, we delve into the various multiparametric readouts (NAD(P)H, Ca(2+)-activity, and O(2)-consumption rate) achieved primarily by adopting a microscopy-compatible optical window into the devices. By critical assessment of these advancements, we aim to inspire the development of new devices by the microfluidics community and accelerate the adoption of islet-on-a-chip devices by the wider diabetes research and clinical communities."
2024 Jan 1,ImmunoHorizons,Immunohorizons. 2024 Jan 1;8(1):57-73. doi: 10.4049/immunohorizons.2300101.,"['Ting, Kenneth K Y', 'Yu, Pei', 'Iyayi, Mudia', 'Dow, Riley', 'Hyduk, Sharon J', 'Floro, Eric', 'Ibrahim, Hisham', 'Karim, Saraf', 'Polenz, Chanele K', 'Winer, Daniel A', 'Woo, Minna', 'Rocheleau, Jonathan', 'Jongstra-Bilen, Jenny', 'Cybulsky, Myron I']","['animals', 'mice', 'acetyl coenzyme a', 'acetylation', 'acyltransferases', ' atherosclerosis', ' atp citrate (pro-s)-lyase genetics', 'lipopolysaccharides', ' lipoproteins, ldl', 'macrophages', 'epigenesis, genetic']","Oxidized Low-Density Lipoprotein Accumulation in Macrophages Impairs Lipopolysaccharide-Induced Activation of AKT2, ATP Citrate Lyase, Acetyl-Coenzyme A Production, and Inflammatory Gene H3K27 Acetylation.","The accumulation of lipid and the formation of macrophage foam cells is a hallmark of atherosclerosis, a chronic inflammatory disease. To better understand the role of macrophage lipid accumulation in inflammation during atherogenesis, we studied early molecular events that follow the accumulation of oxidized low-density lipoprotein (oxLDL) in cultured mouse macrophages. We previously showed that oxLDL accumulation downregulates the inflammatory response in conjunction with downregulation of late-phase glycolysis. In this study, we show that within hours after LPS stimulation, macrophages with accumulated oxLDL maintain early-phase glycolysis but selectively downregulate activation of AKT2, one of three AKT isoforms. The inhibition of AKT2 activation reduced LPS-induced ATP citrate lyase activation, acetyl-CoA production, and acetylation of histone 3 lysine 27 (H3K27ac) in certain inflammatory gene promoters. In contrast to oxLDL, multiple early LPS-induced signaling pathways were inhibited in macrophages with accumulated cholesterol, including TBK1, AKT1, AKT2, MAPK, and NF-κB, and early-phase glycolysis. The selective inhibition of LPS-induced AKT2 activation was dependent on the generation of mitochondrial oxygen radicals during the accumulation of oxLDL in macrophages prior to LPS stimulation. This is consistent with increased oxidative phosphorylation, fatty acid synthesis, and oxidation pathways found by comparative transcriptomic analyses of oxLDL-loaded versus control macrophages. Our study shows a functional connection between oxLDL accumulation, inactivation of AKT2, and the inhibition of certain inflammatory genes through epigenetic changes that occur soon after LPS stimulation, independent of early-phase glycolysis."
2023 Oct 23,Cell reports methods,Cell Rep Methods. 2023 Oct 23;3(10):100602. doi: 10.1016/j.crmeth.2023.100602. ,"['Wang, Yufeng', 'Regeenes, Romario', 'Memon, Mahnoor', 'Rocheleau, Jonathan V']","['humans', ' islets of langerhans metabolism', ' diabetes mellitus, type 2 metabolism', 'c-peptide metabolism', 'glucose pharmacology', 'lab-on-a-chip devices', 'cp: biotechnology', 'cp: metabolism', 'insulin', 'islet', 'islet-on-a-chip', 'live cell imaging', 'microfluidic', 'microscopy']",Insulin C-peptide secretion on-a-chip to measure the dynamics of secretion and metabolism from individual islets.,"First-phase glucose-stimulated insulin secretion is mechanistically linked to type 2 diabetes, yet the underlying metabolism is difficult to discern due to significant islet-to-islet variability. Here, we miniaturize a fluorescence anisotropy immunoassay onto a microfluidic device to measure C-peptide secretion from individual islets as a surrogate for insulin (InsC-chip). This method measures secretion from up to four islets at a time with ∼7 s resolution while providing an optical window for real-time live-cell imaging. Using the InsC-chip, we reveal two glucose-dependent peaks of insulin secretion (i.e., a double peak) within the classically defined 1(st) phase (<10 min). By combining real-time secretion and live-cell imaging, we show islets transition from glycolytic to oxidative phosphorylation (OxPhos)-driven metabolism at the nadir of the peaks. Overall, these data validate the InsC-chip to measure glucose-stimulated insulin secretion while revealing new dynamics in secretion defined by a shift in glucose metabolism."
2023 Oct 6,Science advances,Sci Adv. 2023 Oct 6;9(40):eadi8317. doi: 10.1126/sciadv.adi8317. Epub 2023 Oct 4.,"['Bui, Cindy V', 'Boswell, Curtis W', 'Ciruna, Brian', 'Rocheleau, Jonathan V']","['animals', ' insulin-secreting cells', 'nadp metabolism', 'zebrafish metabolism', 'oxidation-reduction', 'folic acid metabolism']",Apollo-NADP(+) reveals in vivo adaptation of NADPH/NADP(+) metabolism in electrically activated pancreatic β cells.,"Several genetically encoded sensors have been developed to study live cell NADPH/NADP(+) dynamics, but their use has been predominantly in vitro. Here, we developed an in vivo assay using the Apollo-NADP(+) sensor and microfluidic devices to measure endogenous NADPH/NADP(+) dynamics in the pancreatic β cells of live zebrafish embryos. Flux through the pentose phosphate pathway, the main source of NADPH in many cell types, has been reported to be low in β cells. Thus, it is unclear how these cells compensate to meet NADPH demands. Using our assay, we show that pyruvate cycling is the main source of NADP(+) reduction in β cells, with contributions from folate cycling after acute electrical activation. INS1E β cells also showed a stress-induced increase in folate cycling and further suggested that this cycling requires both increased glycolytic intermediates and cytosolic NAD(+). Overall, we show in vivo application of the Apollo-NADP(+) sensor and reveal that β cells are capable of adapting NADPH/NADP(+) redox during stress."
2023 Nov 15,"Journal of immunology (Baltimore, Md. : 1950)",J Immunol. 2023 Nov 15;211(10):1561-1577. doi: 10.4049/jimmunol.2300293.,"['Ting, Kenneth K Y', 'Yu, Pei', 'Dow, Riley', 'Floro, Eric', 'Ibrahim, Hisham', 'Scipione, Corey A', 'Hyduk, Sharon J', 'Polenz, Chanele K', 'Zaslaver, Olga', 'Karmaus, Peer W F', 'Fessler, Michael B', 'Röst, Hannes L', 'Ohh, Michael', 'Tsai, Sue', 'Winer, Daniel A', 'Woo, Minna', 'Rocheleau, Jonathan', 'Jongstra-Bilen, Jenny', 'Cybulsky, Myron I']","['humans', 'mice', 'animals', 'nf-e2-related factor 2 metabolism', 'lipopolysaccharides metabolism', 'nadp metabolism', 'macrophages metabolism', 'lipoproteins, ldl metabolism', 'glycolysis', ' atherosclerosis metabolism', ' hypercholesterolemia', 'cholesterol metabolism', 'antioxidants metabolism', 'hypoxia-inducible factor 1, alpha subunit metabolism']",Oxidized Low-Density Lipoprotein Accumulation Suppresses Glycolysis and Attenuates the Macrophage Inflammatory Response by Diverting Transcription from the HIF-1α to the Nrf2 Pathway.,"Lipid accumulation in macrophages (Mφs) is a hallmark of atherosclerosis, yet how lipid accumulation affects inflammatory responses through rewiring of Mφ metabolism is poorly understood. We modeled lipid accumulation in cultured wild-type mouse thioglycolate-elicited peritoneal Mφs and bone marrow-derived Mφs with conditional (Lyz2-Cre) or complete genetic deficiency of Vhl, Hif1a, Nos2, and Nfe2l2. Transfection studies employed RAW264.7 cells. Mφs were cultured for 24 h with oxidized low-density lipoprotein (oxLDL) or cholesterol and then were stimulated with LPS. Transcriptomics revealed that oxLDL accumulation in Mφs downregulated inflammatory, hypoxia, and cholesterol metabolism pathways, whereas the antioxidant pathway, fatty acid oxidation, and ABC family proteins were upregulated. Metabolomics and extracellular metabolic flux assays showed that oxLDL accumulation suppressed LPS-induced glycolysis. Intracellular lipid accumulation in Mφs impaired LPS-induced inflammation by reducing both hypoxia-inducible factor 1-α (HIF-1α) stability and transactivation capacity; thus, the phenotype was not rescued in Vhl-/- Mφs. Intracellular lipid accumulation in Mφs also enhanced LPS-induced NF erythroid 2-related factor 2 (Nrf2)-mediated antioxidative defense that destabilizes HIF-1α, and Nrf2-deficient Mφs resisted the inhibitory effects of lipid accumulation on glycolysis and inflammatory gene expression. Furthermore, oxLDL shifted NADPH consumption from HIF-1α- to Nrf2-regulated apoenzymes. Thus, we postulate that repurposing NADPH consumption from HIF-1α to Nrf2 transcriptional pathways is critical in modulating inflammatory responses in Mφs with accumulated intracellular lipid. The relevance of our in vitro models was established by comparative transcriptomic analyses, which revealed that Mφs cultured with oxLDL and stimulated with LPS shared similar inflammatory and metabolic profiles with foamy Mφs derived from the atherosclerotic mouse and human aorta."
2022 Nov 25,ACS sensors,ACS Sens. 2022 Nov 25;7(11):3308-3317. doi: 10.1021/acssensors.2c01174. Epub 2022 ,"['Chang, Huntley H', 'Bennett, Alex M', 'Cameron, William D', 'Floro, Eric', 'Au, Aaron', 'McFaul, Christopher M', 'Yip, Christopher M', 'Rocheleau, Jonathan V']","['nadp metabolism', ' insulin-secreting cells metabolism', 'oxidation-reduction', 'glucose metabolism', 'mitochondria metabolism', 'fret', 'nadph redox', 'fluorescence anisotropy', 'fluorescent protein', 'organelle targeting']",Targeting Apollo-NADP(+) to Image NADPH Generation in Pancreatic Beta-Cell Organelles.,"NADPH/NADP(+) redox state supports numerous reactions related to cell growth and survival; yet the full impact is difficult to appreciate due to organelle compartmentalization of NADPH and NADP(+). To study glucose-stimulated NADPH production in pancreatic beta-cell organelles, we targeted the Apollo-NADP(+) sensor by first selecting the most pH-stable version of the single-color sensor. We subsequently targeted mTurquoise2-Apollo-NADP(+) to various organelles and confirmed activity in the cytoplasm, mitochondrial matrix, nucleus, and peroxisome. Finally, we measured the glucose- and glutamine-stimulated NADPH responses by single- and dual-color imaging of the targeted sensors. Overall, we developed multiple organelle-targeted Apollo-NADP(+) sensors to reveal the prominent role of beta-cell mitochondria in determining NADPH production in the cytoplasm, nucleus, and peroxisome."
2022 Jul 19,Biofabrication,Biofabrication. 2022 Jul 19;14(4). doi: 10.1088/1758-5090/ac7eea.,"['Rafiei, Nafiseh', 'Moghadam, Mohammadamir G', 'Au, Aaron', 'Regeenes, Romario', 'Chidambaram, Subbulakshmi', 'Liang, Tao', 'Wang, Yufeng', 'Yip, Christopher M', 'Gaisano, Herbert', 'Rocheleau, Jonathan V']","['animals', 'humans', ' imaging, three-dimensional methods', ' lab-on-a-chip devices', 'mice', 'microscopy, fluorescence methods', 'optical imaging', 'confocal imaging', 'light sheet fluorescence microscopy (lsfm)', 'microfluidic device', 'precision-cut-tissue-slice-on-a-chip', 'selective plane illumination microscopy (spim)']",Design of a versatile microfluidic device for imaging precision-cut-tissue slices.,"Precision-cut-tissues (PCTs), which preserve many aspects of a tissue's microenvironment, are typically imaged using conventional sample dishes and chambers. These can require large amounts of reagent and, when used for flow-through experiments, the shear forces applied on the tissues are often ill-defined. Their physical design also makes it difficult to image large volumes and repetitively image smaller regions of interest in the living slice. We report here on the design of a versatile microfluidic device capable of holding mouse or human pancreas PCTs for 3D fluorescence imaging using confocal and selective plane illumination microscopy (SPIM). Our design positions PCTs within a 5 × 5 mm × 140µm deep chamber fitted with 150µm tall channels to facilitate media exchange. Shear stress in the device is localized to small regions on the surface of the tissue and can be easily controlled. This design allows for media exchange at flowrates ∼10-fold lower than those required for conventional chambers. Finally, this design allows for imaging the same immunofluorescently labeled PCT with high resolution on a confocal and with large field of view on a SPIM, without adversely affecting image quality."
2022 Apr 12,Scientific reports,Sci Rep. 2022 Apr 12;12(1):6110. doi: 10.1038/s41598-022-09804-7.,"['Pal, Vidhant', 'Wang, Yufeng', 'Regeenes, Romario', 'Kilkenny, Dawn M', 'Rocheleau, Jonathan V']","['animals', 'glucokinase metabolism', 'glucose metabolism pharmacology', 'insulin metabolism', ' insulin-secreting cells metabolism', ' laminin metabolism', 'mice', 'nadp metabolism']",Laminin matrix regulates beta-cell FGFR5 expression to enhance glucose-stimulated metabolism.,"We previously showed that pancreatic beta-cells plated on laminin matrix express reduced levels of FGFR1, a receptor linked to beta-cell metabolism and differentiation. Due to recent evidence that adult beta-cells also express FGFR5, a co-receptor for FGFR1, we now aim to determine the effect of laminin on FGFR5 expression and consequent effects on beta-cell metabolism. Using a genetically encoded sensor for NADPH/NADP(+) redox state (Apollo-NADP(+)), we show overexpression of FGFR5 enhances glucose-stimulated NADPH metabolism in beta-cell lines as well as mouse and human beta-cells. This enhanced response was accompanied by increased insulin secretion as well as increased expression of transcripts for glycolytic enzymes (Glucokinase/GCK, PKM2) and the functional maturity marker Urocortin 3 (UCN3). Culturing beta-cells on laminin matrix also stimulated upregulation of endogenous FGFR5 expression, and similarly enhanced beta-cell glucose-stimulated NADPH-metabolism as well as GCK and PKM2 transcript expression. The metabolism and transcript responses triggered by laminin were disrupted by R5ΔC, a truncated receptor isoform that inhibits the FGFR5/FGFR1 signaling complex. Collectively these data reveal that beta-cells respond to laminin by increasing FGFR5 expression to enhance beta-cell glucose metabolism."
2021 Aug,Diabetes,Diabetes. 2021 Aug;70(8):1717-1728. doi: 10.2337/db21-0037. Epub 2021 May 26.,"['Bauchle, Casey J', 'Rohli, Kristen E', 'Boyer, Cierra K', 'Pal, Vidhant', 'Rocheleau, Jonathan V', 'Liu, Siming', 'Imai, Yumi', 'Taylor, Eric B', 'Stephens, Samuel B']","['animals', 'citric acid  metabolism', 'cytosol metabolism', 'glucose  pharmacology', 'homeostasis drug effects', 'insulin secretion  drug effects', 'insulin-secreting cells drug effects  metabolism', 'isocitrates  metabolism', 'mice', 'mice, knockout', 'mitochondria drug effects  metabolism']",Mitochondrial Efflux of Citrate and Isocitrate Is Fully Dispensable for Glucose-Stimulated Insulin Secretion and Pancreatic Islet β-Cell Function.,"The defining feature of pancreatic islet β-cell function is the precise coordination of changes in blood glucose levels with insulin secretion to regulate systemic glucose homeostasis. While ATP has long been heralded as a critical metabolic coupling factor to trigger insulin release, glucose-derived metabolites have been suggested to further amplify fuel-stimulated insulin secretion. The mitochondrial export of citrate and isocitrate through the citrate-isocitrate carrier ("
2021 May 24,JCI insight,JCI Insight. 2021 May 24;6(10):e143037. doi: 10.1172/jci.insight.143037.,"['Xu, Jie', 'Wijesekara, Nadeeja', 'Regeenes, Romario', 'Rijjal, Dana Al', 'Piro, Anthony L', 'Song, Youchen', 'Wu, Anne', 'Bhattacharjee, Alpana', 'Liu, Ying', 'Marzban, Lucy', 'Rocheleau, Jonathan V', 'Fraser, Paul E', 'Dai, Feihan F', 'Hu, Cheng', 'Wheeler, Michael B']","['amyloidosis  metabolism', 'animals', 'diabetes mellitus, type 2  metabolism', 'disease models, animal', 'humans', 'insulin-secreting cells  metabolism', 'islet amyloid polypeptide genetics  metabolism', 'male', 'mice', 'mice, transgenic', ' zinc transporter 8 genetics metabolism', 'beta cells', 'diabetes', 'endocrinology', 'insulin', 'metabolism']",Pancreatic β cell-selective zinc transporter 8 insufficiency accelerates diabetes associated with islet amyloidosis.,"GWAS have shown that the common R325W variant of SLC30A8 (ZnT8) increases the risk of type 2 diabetes (T2D). However, ZnT8 haploinsufficiency is protective against T2D in humans, counterintuitive to earlier work in humans and mouse models. Therefore, whether decreasing ZnT8 activity is beneficial or detrimental to β cell function, especially under conditions of metabolic stress, remains unknown. In order to examine whether the existence of human islet amyloid polypeptide (hIAPP), a coresident of the insulin granule, affects the role of ZnT8 in regulating β cell function, hIAPP-expressing transgenics were generated with reduced ZnT8 (ZnT8B+/- hIAPP) or null ZnT8 (ZnT8B-/- hIAPP) expression specifically in β cells. We showed that ZnT8B-/- hIAPP mice on a high-fat diet had intensified amyloid deposition and further impaired glucose tolerance and insulin secretion compared with control, ZnT8B-/-, and hIAPP mice. This can in part be attributed to impaired glucose sensing and islet cell synchronicity. Importantly, ZnT8B+/- hIAPP mice were also glucose intolerant and had reduced insulin secretion and increased amyloid aggregation compared with controls. These data suggest that loss of or reduced ZnT8 activity in β cells heightened the toxicity induced by hIAPP, leading to impaired β cell function and glucose homeostasis associated with metabolic stress."
2021 May,Molecular metabolism,Mol Metab. 2021 May;47:101185. doi: 10.1016/j.molmet.2021.101185. Epub 2021 Feb ,"['Kim, Min Jeong', 'Febbraro, Daniella', 'Farkona, Sofia', 'Gillmore, Taylor', 'Son, Joe Eun', 'Regeenes, Romario', 'Chang, Huntley H', 'Pollock-Tahiri, Evan', 'Yang, Jiaqi', 'Park, Yoo Jin', 'Sivasubramaniyam, Tharini', 'Oh, Soo Jung', 'Saraon, Punit', 'Stagljar, Igor', 'Rocheleau, Jonathan V', 'Hui, Chi-Chung', 'Caniggia, Isabella', 'Hao, Zhenyu', 'Mak, Tak W', 'Konvalinka, Ana', 'Woo, Minna']","['animals', 'autophagy', 'endosomes metabolism', 'erbb receptors genetics  metabolism', 'female', 'fibroblast growth factors metabolism', ' homeostasis', 'male', 'mice', 'mice, knockout', 'mitochondrial dynamics', 'muscle, skeletal  metabolism', 'transcriptome', 'tumor suppressor proteins genetics  metabolism', 'ultraviolet rays', 'egfr', 'fgf21', 'mitochondrial dynamics', 'skeletal muscle', 'uvrag']",Distinct roles of UVRAG and EGFR signaling in skeletal muscle homeostasis.,"OBJECTIVE: Autophagy is a physiological self-eating process that can promote cell survival or activate cell death in eukaryotic cells. In skeletal muscle, it is important for maintaining muscle mass and function that is critical to sustain mobility and regulate metabolism. The UV radiation resistance-associated gene (UVRAG) regulates the early stages of autophagy and autophagosome maturation and plays a key role in endosomal trafficking. This study investigated the essential in vivo role of UVRAG in skeletal muscle biology. METHODS: To determine the role of UVRAG in skeletal muscle in vivo, we generated muscle-specific UVRAG knockout mice using the Cre-loxP system driven by Myf6 promoter that is exclusively expressed in skeletal muscle. Myf6-Cre(+) UVRAG(fl/fl) (M-UVRAG(-/-)) mice were compared to littermate Myf6-Cre(+) UVRAG(+/+) (M-UVRAG(+/+)) controls under basal conditions on a normal chow diet. Body composition, muscle function, and mitochondria morphology were assessed in muscles of the WT and KO mice at 24 weeks of age. RESULTS: M-UVRAG(-/-) mice developed accelerated sarcopenia and impaired muscle function compared to M-UVRAG(+/+) littermates at 24 weeks of age. Interestingly, these mice displayed improved glucose tolerance and increased energy expenditure likely related to upregulated Fgf21, a marker of muscle dysfunction. Skeletal muscle of the M-UVRAG(-/-) mice showed altered mitochondrial morphology with increased mitochondrial fission and EGFR accumulation reflecting defects in endosomal trafficking. To determine whether increased EGFR signaling had a causal role in muscle dysfunction, the mice were treated with an EGFR inhibitor, gefitinib, which partially restored markers of muscle and mitochondrial deregulation. Conversely, constitutively active EGFR transgenic expression in UVRAG-deficient muscle led to further detrimental effects with non-overlapping distinct defects in muscle function, with EGFR activation affecting the muscle fiber type whereas UVRAG deficiency impaired mitochondrial homeostasis. CONCLUSIONS: Our results show that both UVRAG and EGFR signaling are critical for maintaining muscle mass and function with distinct mechanisms in the differentiation pathway."
2021 Mar,APL bioengineering,APL Bioeng. 2021 Jan 4;5(1):016101. doi: 10.1063/5.0027993. eCollection 2021 Mar.,"['Cameron, William D', 'Bennett, Alex M', 'Bui, Cindy V', 'Chang, Huntley H', 'Rocheleau, Jonathan V']",[],Leveraging multimodal microscopy to optimize deep learning models for cell segmentation.,"Deep learning provides an opportunity to automatically segment and extract cellular features from high-throughput microscopy images. Many labeling strategies have been developed for this purpose, ranging from the use of fluorescent markers to label-free approaches. However, differences in the channels available to each respective training dataset make it difficult to directly compare the effectiveness of these strategies across studies. Here, we explore training models using subimage stacks composed of channels sampled from larger, ""hyper-labeled,"" image stacks. This allows us to directly compare a variety of labeling strategies and training approaches on identical cells. This approach revealed that fluorescence-based strategies generally provide higher segmentation accuracies but were less accurate than label-free models when labeling was inconsistent. The relative strengths of label and label-free techniques could be combined through the use of merging fluorescence channels and using out-of-focus brightfield images. Beyond comparing labeling strategies, using subimage stacks for training was also found to provide a method of simulating a wide range of labeling conditions, increasing the ability of the final model to accommodate a greater range of candidate cell labeling strategies."
2020 Jun,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2020 Jun;32(24):e1906274. doi: 10.1002/adma.201906274. Epub 2020 May ,"['Chen, Yih Yang', 'Syed, Abdullah Muhammad', 'MacMillan, Presley', 'Rocheleau, Jonathan V', 'Chan, Warren C W']","['biocompatible materials administration & dosage  chemistry  metabolism', 'biological transport', ' blood circulation', 'cell communication', 'human umbilical vein endothelial cells cytology  metabolism', 'humans', 'injections', 'kinetics', ' nanoparticles', 'blood vessels', 'flow shear', 'flow velocity', 'microfluidics', 'nanomedicine', 'nanoparticles']",Flow Rate Affects Nanoparticle Uptake into Endothelial Cells.,"Nanoparticles are commonly administered through systemic injection, which exposes them to the dynamic environment of the bloodstream. Injected nanoparticles travel within the blood and experience a wide range of flow velocities that induce varying shear rates to the blood vessels. Endothelial cells line these vessels, and have been shown to uptake nanoparticles during circulation, but it is difficult to characterize the flow-dependence of this interaction in vivo. Here, a microfluidic system is developed to control the flow rates of nanoparticles as they interact with endothelial cells. Gold nanoparticle uptake into endothelial cells is quantified at varying flow rates, and it is found that increased flow rates lead to decreased nanoparticle uptake. Endothelial cells respond to increased flow shear with decreased ability to uptake the nanoparticles. If cells are sheared the same way, nanoparticle uptake decreases as their flow velocity increases. Modifying nanoparticle surfaces with endothelial-cell-binding ligands partially restores uptake to nonflow levels, suggesting that functionalizing nanoparticles to bind to endothelial cells enables nanoparticles to resist flow effects. In the future, this microfluidic system can be used to test other nanoparticle-endothelial cell interactions under flow. The results of these studies can guide the engineering of nanoparticles for in vivo medical applications."
2019,PloS one,PLoS One. 2019 Oct 10;14(10):e0222424. doi: 10.1371/journal.pone.0222424. ,"['Sankar, Krishana S', 'Altamentova, Svetlana M', 'Rocheleau, Jonathan V']","['animals', 'cell communication drug effects  genetics', 'cell hypoxia drug effects genetics', 'cobalt pharmacology', 'electron transport complex iv genetics', 'endothelial cells  cytology drug effects metabolism', 'gene expression regulation genetics', 'glucose metabolism', 'humans', 'hypoxia-inducible factor 1, alpha subunit genetics', 'insulin genetics metabolism', 'insulin secretion genetics', 'insulin-secreting cells cytology drug effects  metabolism', 'islets of langerhans  cytology drug effects metabolism', 'mice', 'pyruvate dehydrogenase acetyl-transferring kinase genetics', 'vascular endothelial growth factor a genetics']",Hypoxia induction in cultured pancreatic islets enhances endothelial cell morphology and survival while maintaining beta-cell function.,"BACKGROUND: Pancreatic islets are heavily vascularized in vivo yet lose this vasculature after only a few days in culture. Determining how to maintain islet vascularity in culture could lead to better outcomes in transplanting this tissue for the treatment of type 1 diabetes as well as provide insight into the complex communication between beta-cells and endothelial cells (ECs). We previously showed that islet ECs die in part due to limited diffusion of serum albumin into the tissue. We now aim to determine the impact of hypoxia on islet vascularization. METHODS: We induced hypoxia in cultured mouse islets using the hypoxia mimetic cobalt chloride (100 μM CoCl2). We measured the impact on islet metabolism (two-photon NAD(P)H and Rh123 imaging) and function (insulin secretion and survival). We also measured the impact on hypoxia related transcripts (HIF-1α, VEGF-A, PDK-1, LDHA, COX4) and confirmed increased VEGF-A expression and secretion. Finally, we measured the vascularization of islets in static and flowing culture using PECAM-1 immunofluorescence. RESULTS: CoCl2 did not induce significant changes in beta cell metabolism (NAD(P)H and Rh123), insulin secretion, and survival. Consistent with hypoxia induction, CoCl2 stimulated HIF-1α, PDK-1, and LDHA transcripts and also stimulated VEGF expression and secretion. We observed a modest switch to the less oxidative isoform of COX4 (isoform 1 to 2) and this switch was noted in the glucose-stimulated cytoplasmic NAD(P)H responses. EC morphology and survival were greater in CoCl2 treated islets compared to exogenous VEGF-A in both static (dish) and microfluidic flow culture. CONCLUSIONS: Hypoxia induction using CoCl2 had a positive effect on islet EC morphology and survival with limited impact on beta-cell metabolism, function, and survival. The EC response appears to be due to endogenous production and secretion of angiogenic factors (e.g. VEGF-A), and mechanistically independent from survival induced by serum albumin."
2019 Mar,FASEB journal : official publication of the Federation of American Societies for ,FASEB J. 2019 Mar;33(3):3968-3984. doi: 10.1096/fj.201801397R. Epub 2018 Dec 3.,"['Untereiner, Ashley', 'Abdo, Shaaban', 'Bhattacharjee, Alpana', 'Gohil, Himaben', 'Pourasgari, Farzaneh', 'Ibeh, Neke', 'Lai, Mi', 'Batchuluun, Battsetseg', 'Wong, Anthony', 'Khuu, Nicholas', 'Liu, Ying', 'Al Rijjal, Dana', 'Winegarden, Neil', 'Virtanen, Carl', 'Orser, Beverley A', 'Cabrera, Over', 'Varga, Gabor', 'Rocheleau, Jonathan', 'Dai, Feihan F', 'Wheeler, Michael B']","['animals', 'cell line', ' cell proliferation', 'cells, cultured', 'diet, high-fat adverse effects', 'glucose  metabolism', 'homeostasis', 'humans', 'insulin metabolism', 'insulin-secreting cells drug effects  metabolism physiology', 'male', 'mice', 'mice, inbred c57bl', 'obesity etiology  metabolism', 'receptors, gaba-a metabolism', ' transcriptome', 'urocortins metabolism', 'gamma-aminobutyric acid  pharmacology', 'gabaa receptor', 'diet-induced obesity', 'glucose tolerance', 'insulin secretion', 'single cell rna-seq']","GABA promotes β-cell proliferation, but does not overcome impaired glucose homeostasis associated with diet-induced obesity.","β-cell proliferation, but does not overcome impaired glucose homeostasis associated with diet-induced obesity.PG - 3968-3984LID - 10.1096/fj.201801397R [doi]AB - γ-Aminobutyric acid (GABA) administration has been shown to increase β-cell mass, leading to a reversal of type 1 diabetes in mice. Whether GABA has any effect on β cells of healthy and prediabetic/glucose-intolerant obese mice remains unknown. In the present study, we show that oral GABA administration ( ad libitum) to mice indeed increased pancreatic β-cell mass, which led to a modest enhancement in insulin secretion and glucose tolerance. However, GABA treatment did not further increase insulin-positive islet area in high fat diet-fed mice and was unable to prevent or reverse glucose intolerance and insulin resistance. Mechanistically, whether in vivo or in vitro, GABA treatment increased β-cell proliferation. In vitro, the effect was shown to be mediated via the GABA(A) receptor. Single-cell RNA sequencing analysis revealed that GABA preferentially up-regulated pathways linked to β-cell proliferation and simultaneously down-regulated those networks required for other processes, including insulin biosynthesis and metabolism. Interestingly, single-cell differential expression analysis revealed GABA treatment gave rise to a distinct subpopulation of β cells with a unique transcriptional signature, including urocortin 3 ( ucn3), wnt4, and hepacam2. Taken together, this study provides new mechanistic insight into the proliferative nature of GABA but suggests that β-cell compensation associated with prediabetes overlaps with, and negates, its proliferative effects.-Untereiner, A., Abdo, S., Bhattacharjee, A., Gohil, H., Pourasgari, F., Ibeh, N., Lai, M., Batchuluun, B., Wong, A., Khuu, N., Liu, Y., Al Rijjal, D., Winegarden, N., Virtanen, C., Orser, B. A., Cabrera, O., Varga, G., Rocheleau, J., Dai, F. F., Wheeler, M. B. GABA promotes β-cell proliferation, but does not overcome impaired glucose homeostasis associated with diet-induced obesity."
