time,journal,doi_info,authors,key words,title,abstract
2024 Feb 19,Scientific reports,Sci Rep. 2024 Feb 19;14(1):4036. doi: 10.1038/s41598-024-54880-6.,"['Margolis, Emily A', 'Choi, Lucia S', 'Friend, Nicole E', 'Putnam, Andrew J']","['humans', 'animals', 'mice', ' endothelial cells', ' tissue engineering', 'microvessels', 'capillaries', 'hydrogels', 'neovascularization, physiologic']",Engineering primitive multiscale chimeric vasculature by combining human microvessels with explanted murine vessels.,"Strategies to separately manufacture arterial-scale tissue engineered vascular grafts and microvascular networks have been well-established, but efforts to bridge these two length scales to create hierarchical vasculature capable of supporting parenchymal cell functions or restoring perfusion to ischemic tissues have been limited. This work aimed to create multiscale vascular constructs by assessing the capability of macroscopic vessels isolated from mice to form functional connections to engineered capillary networks ex vivo. Vessels of venous and arterial origins from both thoracic and femoral locations were isolated from mice, and then evaluated for their abilities to sprout endothelial cells (EC) capable of inosculating with surrounding human cell-derived microvasculature within bulk fibrin hydrogels. Comparing aortae, vena cavae, and femoral vessel bundles, we identified the thoracic aorta as the rodent macrovessel that yielded the greatest degree of sprouting and interconnection to surrounding capillaries. The presence of cells undergoing vascular morphogenesis in the surrounding hydrogel attenuated EC sprouting from the macrovessel compared to sprouting into acellular hydrogels, but ultimately sprouted mouse EC interacted with human cell-derived capillary networks in the bulk, yielding chimeric vessels. We then integrated micromolded mesovessels into the constructs to engineer a primitive 3-scale vascular hierarchy comprising capillaries, mesovessels, and macrovessels. Overall, this study yielded a primitive hierarchical vasculature suitable as proof-of-concept for regenerative medicine applications and as an experimental model to better understand the spontaneous formation of host-graft vessel anastomoses."
2023 Dec,Adipocyte,Adipocyte. 2023 Dec;12(1):2268261. doi: 10.1080/21623945.2023.2268261. Epub 2023 ,"['Ky, Alexander', 'McCoy, Atticus J', 'Flesher, Carmen G', 'Friend, Nicole E', 'Li, Jie', 'Akinleye, Kore', 'Patsalis, Christopher', 'Lumeng, Carey N', 'Putnam, Andrew J', ""O'Rourke, Robert W""]","['humans', ' adipocytes metabolism', ' adipose tissue', 'adipogenesis genetics', 'hydrogels metabolism', 'phenotype', 'lipids', 'adipocyte', 'adipogenesis', 'adipose tissue', 'hydrogel', 'matrix']",Matrix density regulates adipocyte phenotype.,"Alterations of the extracellular matrix contribute to adipose tissue dysfunction in metabolic disease. We studied the role of matrix density in regulating human adipocyte phenotype in a tunable hydrogel culture system. Lipid accumulation was maximal in intermediate hydrogel density of 5 weight %, relative to 3% and 10%. Adipogenesis and lipid and oxidative metabolic gene pathways were enriched in adipocytes in 5% relative to 3% hydrogels, while fibrotic gene pathways were enriched in 3% hydrogels. These data demonstrate that the intermediate density matrix promotes a more adipogenic, less fibrotic adipocyte phenotype geared towards increased lipid and aerobic metabolism. These observations contribute to a growing literature describing the role of matrix density in regulating adipose tissue function."
2023 Nov,Biomaterials,Biomaterials. 2023 Nov;302:122282. doi: 10.1016/j.biomaterials.2023.122282. Epub ,"['Hobson, Eric C', 'Li, Weiping', 'Friend, Nicole E', 'Putnam, Andrew J', 'Stegemann, Jan P', 'Deng, Cheri X']","[' biocompatible materials', 'viscosity', 'elasticity', ' acoustics', 'hydrogels', 'hydrogel', 'phase transition', 'polymerization', 'resonant acoustic rheometry', 'surface wave', 'viscoelasticity']",Crossover of surface waves and capillary-viscous-elastic transition in soft biomaterials detected by resonant acoustic rheometry.,"Viscoelastic properties of hydrogels are important for their application in science and industry. However, rheological assessment of soft hydrogel biomaterials is challenging due to their complex, rapid, and often time-dependent behaviors. Resonant acoustic rheometry (RAR) is a newly developed technique capable of inducing and measuring resonant surface waves in samples in a non-contact fashion. By applying RAR at high temporal resolution during thrombin-induced fibrin gelation and ultraviolet-initiated polyethylene glycol (PEG) polymerization, we observed distinct changes in both frequency and amplitude of the resonant surface waves as the materials changed over time. RAR detected a series of capillary-elastic, capillary-viscous, and visco-elastic transitions that are uniquely manifested as crossover of different types of surface waves in the temporally evolving materials. These results reveal the dynamic interplay of surface tension, viscosity, and elasticity that is controlled by the kinetics of polymerization and crosslinking during hydrogel formation. RAR overcomes many limitations of conventional rheological approaches by offering a new way to comprehensively and longitudinally characterize soft materials during dynamic processes."
2024 Apr,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2024 Apr;112(4):549-561. doi: 10.1002/jbm.a.37580. Epub ,"['Friend, Nicole E', 'Beamish, Jeffrey A', 'Margolis, Emily A', 'Schott, Nicholas G', 'Stegemann, Jan P', 'Putnam, Andrew J']","['animals', 'mice', 'humans', 'cells, cultured', ' fibrin pharmacology chemistry', 'microspheres', ' neovascularization, physiologic', 'mice, scid', 'human umbilical vein endothelial cells', 'tissue engineering', 'neovascularization, pathologic', 'ischemia therapy', 'cell-based therapy', 'fibrin', 'hindlimb ischemia', 'microbeads', 'prevascularization']","Pre-cultured, cell-encapsulating fibrin microbeads for the vascularization of ischemic tissues.","There is a significant clinical need to develop effective vascularization strategies for tissue engineering and the treatment of ischemic pathologies. In patients afflicted with critical limb ischemia, comorbidities may limit common revascularization strategies. Cell-encapsulating modular microbeads possess a variety of advantageous properties, including the ability to support prevascularization in vitro while retaining the ability to be injected in a minimally invasive manner in vivo. Here, fibrin microbeads containing human umbilical vein endothelial cells (HUVEC) and bone marrow-derived mesenchymal stromal cells (MSC) were cultured in suspension for 3 days (D3 PC microbeads) before being implanted within intramuscular pockets in a S"
2023 Nov,Trends in biotechnology,Trends Biotechnol. 2023 Nov;41(11):1400-1416. doi: 10.1016/j.tibtech.2023.04.003. ,"['Margolis, Emily A', 'Friend, Nicole E', 'Rolle, Marsha W', 'Alsberg, Eben', 'Putnam, Andrew J']","['humans', ' tissue engineering', ' capillaries anatomy & histology physiology', 'regenerative medicine', 'heart', 'arteriole', 'artery', 'capillary', 'hierarchical', 'vasculature']",Manufacturing the multiscale vascular hierarchy: progress toward solving the grand challenge of tissue engineering.,"In human vascular anatomy, blood flows from the heart to organs and tissues through a hierarchical vascular tree, comprising large arteries that branch into arterioles and further into capillaries, where gas and nutrient exchange occur. Engineering a complete, integrated vascular hierarchy with vessels large enough to suture, strong enough to withstand hemodynamic forces, and a branching structure to permit immediate perfusion of a fluidic circuit across scales would be transformative for regenerative medicine (RM), enabling the translation of engineered tissues of clinically relevant size, and perhaps whole organs. How close are we to solving this biological plumbing problem? In this review, we highlight advances in engineered vasculature at individual scales and focus on recent strategies to integrate across scales."
2023 Jul 1,Acta biomaterialia,Acta Biomater. 2023 Jul 1;164:195-208. doi: 10.1016/j.actbio.2023.04.037. Epub ,"['Aliabouzar, Mitra', 'Quesada, Carole', 'Chan, Ze Qi', 'Fowlkes, J Brian', 'Franceschi, Renny T', 'Putnam, Andrew J', 'Fabiilli, Mario L']","['animals', 'mice', ' hydrogels', 'volatilization', ' acoustics', 'tissue scaffolds', 'fibrin', 'acoustic droplet vaporization', 'cavitation', 'fibrin hydrogel', 'microporosity', 'phase-shift droplet', 'ultrasound']",Acoustic droplet vaporization for on-demand modulation of microporosity in smart hydrogels.,"Microporosity in hydrogels is critical for directing tissue formation and function. We have developed a fibrin-based smart hydrogel, termed an acoustically responsive scaffold (ARS), which responds to focused ultrasound in a spatiotemporally controlled, user-defined manner. ARSs are highly flexible platforms due to the inclusion of phase-shift droplets and their tunable response to ultrasound through a mechanism termed acoustic droplet vaporization (ADV). Here, we demonstrated that ADV enabled consistent generation of micropores in ARSs, throughout the entire thickness (∼5.5 mm), utilizing perfluorooctane phase-shift droplets. Size characteristics of the generated micropores were quantified in response to critical parameters including acoustic properties, droplet size, and shear elastic modulus of fibrin using confocal microscopy. The findings showed that the length of the generated micropores correlated directly with excitation frequency, peak rarefactional pressure, pulse duration, droplet size, and indirectly with the shear elastic modulus of the fibrin matrix. The ADV-generated micropores in ARSs were further compared with cavitation-mediated micropores in fibrin gels without droplets. Additionally, the Keller-Miksis equation was used to predict an upper bound for micropore formation in ARSs at varying driving frequencies and droplet sizes. Finally, our in vivo studies showed that host cell migration following ADV-induced micropore formation was frequency-dependent, with up to 2.6 times higher cell migration at lower frequencies. Overall, these findings demonstrate a new potential application of ADV in hydrogels. STATEMENT OF SIGNIFICANCE: Interconnected micropores within a hydrogel can facilitate many cell-mediated processes. Most techniques for generating micropores are typically not biocompatible or do not enable controlled, in situ micropore formation. We used an ultrasound-based technique, termed acoustic droplet vaporization, to generate microporosity in smart hydrogels termed acoustically responsive scaffolds (ARSs). ARSs contain a fibrin matrix doped with a phase-shift droplet. We demonstrate that unique acoustic properties of phase-shift droplets can be tailored to yield spatiotemporally controlled, on-demand micropore formation. Additionally, the size characteristics of the ultrasound-generated micropores can be modulated by tuning ultrasound parameters, droplet properties, and bulk elastic properties of fibrin. Finally, we demonstrate significant, frequency-dependent host cell migration in subcutaneously implanted ARSs in mice following ultrasound-induced micropore formation in situ."
2023 Apr,Biomaterials,Biomaterials. 2023 Apr;295:122050. doi: 10.1016/j.biomaterials.2023.122050. Epub ,"['Friend, Nicole E', 'McCoy, Atticus J', 'Stegemann, Jan P', 'Putnam, Andrew J']","[' endothelial cells', ' extracellular matrix proteins', 'biocompatible materials', 'microvessels', 'hydrogels chemistry', 'polyethylene glycols chemistry', 'degradability', 'matrix remodeling', 'mechanical properties', 'poly(ethylene glycol)', 'vascularization']",A combination of matrix stiffness and degradability dictate microvascular network assembly and remodeling in cell-laden poly(ethylene glycol) hydrogels.,"The formation of functional capillary blood vessels that can sustain the metabolic demands of transplanted parenchymal cells remains one of the biggest challenges to the clinical realization of engineered tissues for regenerative medicine. As such, there remains a need to better understand the fundamental influences of the microenvironment on vascularization. Poly(ethylene glycol) (PEG) hydrogels have been widely adopted to interrogate the influence of matrix physicochemical properties on cellular phenotypes and morphogenetic programs, including the formation of microvascular networks, in part due to the ease with which their properties can be controlled. In this study, we co-encapsulated endothelial cells and fibroblasts in PEG-norbornene (PEGNB) hydrogels in which stiffness and degradability were tuned to assess their independent and synergistic effects on vessel network formation and cell-mediated matrix remodeling longitudinally. Specifically, we achieved a range of stiffnesses and differing rates of degradation by varying the crosslinking ratio of norbornenes to thiols and incorporating either one (sVPMS) or two (dVPMS) cleavage sites within the matrix metalloproteinase- (MMP-) sensitive crosslinker, respectively. In less degradable sVPMS gels, decreasing the crosslinking ratio (thereby decreasing the initial stiffness) supported enhanced vascularization. When degradability was increased in dVPMS gels, all crosslinking ratios supported robust vascularization regardless of initial mechanical properties. The vascularization in both conditions was coincident with the deposition of extracellular matrix proteins and cell-mediated stiffening, which was greater in dVPMS conditions after a week of culture. Collectively, these results indicate that enhanced cell-mediated remodeling of a PEG hydrogel, achieved either by reduced crosslinking or increased degradability, leads to more rapid vessel formation and higher degrees of cell-mediated stiffening."
2022 Mar,"Bioprinting (Amsterdam, Netherlands)",Bioprinting. 2022 Mar;25:e00188. doi: 10.1016/j.bprint.2021.e00188. Epub 2021 Dec ,"['Aliabouzar, Mitra', 'Ley, Adam W Y', 'Meurs, Sabine', 'Putnam, Andrew J', 'Baker, Brendon M', 'Kripfgans, Oliver D', 'Fowlkes, J Brian', 'Fabiilli, Mario L']","['acoustic droplet vaporization', 'bioink', 'bioprinting', 'fibrin', 'micropatterning', 'phase-shift emulsion', 'ultrasound']",Micropatterning of acoustic droplet vaporization in acoustically-responsive scaffolds using extrusion-based bioprinting.,"Acoustically-responsive scaffolds (ARSs) are composite hydrogels that respond to ultrasound in an on-demand, spatiotemporally-controlled manner due to the presence of a phase-shift emulsion. When exposed to ultrasound, a gas bubble is formed within each emulsion droplet via a mechanism termed acoustic droplet vaporization (ADV). In previous in vitro and in vivo studies, we demonstrated that ADV can control regenerative processes by releasing growth factors and/or modulating micromechanics in ARSs. Precise, spatial patterning of emulsion within an ARS could be beneficial for ADV-induced modulation of biochemical and biophysical cues. However, precise patterning is limited using conventional bulk polymerization techniques. Here, we developed an extrusion-based method for bioprinting ARSs with micropatterned structures. Emulsions were loaded within bioink formulations containing fibrin, hyaluronic acid and/or alginate. Experimental as well as theoretical studies elucidated the interrelations between printing parameters, needle geometry, rheological properties of the bioink, and the process-induced mechanical stresses during bioprinting. The shear thinning properties of the bioinks enabled use of lower extrusion pressures resulting in decreased shear stresses and shorter residence times, thereby facilitating high viability for cell-loaded bioinks. Bioprinting yielded greater alignment of fibrin fibers in ARSs compared to conventionally polymerized ARSs. Bioprinted ARSs also enabled generation of ADV at high spatial resolutions, which were otherwise not achievable in conventional ARSs, and acoustically-driven collapse of ADV-induced bubbles. Overall, bioprinting could aid in optimizing ARSs for therapeutic applications."
2022 Apr,Cell and tissue research,Cell Tissue Res. 2022 Apr;388(1):75-88. doi: 10.1007/s00441-021-03563-z. Epub ,"['Zou, Douhong', 'Vigen, Marina', 'Putnam, Andrew J', 'Cao, Chen', 'Tarlé, Susan A', 'Guinn, Tyler', 'Kaigler, Darnell']","[' bone marrow cells', 'bone regeneration', 'bone and bones', 'cell differentiation', 'cells, cultured', 'humans', ' mesenchymal stem cells metabolism', 'regenerative medicine', 'angiogenesis', 'bone regeneration', 'differential gene expression', 'mesenchymal stem cells', 'rna sequencing']","Phenotypic, trophic, and regenerative properties of mesenchymal stem cells from different osseous tissues.","Mesenchymal stem cells (MSCs) have broad-based therapeutic potential in regenerative medicine. However, a major barrier to their clinical utility is that MSCs from different tissues are highly variable in their regenerative properties. In this study, we defined the molecular and phenotypic identities of different MSC populations from different osseous tissue sites of different patients and, additionally, determined their respective regenerative properties. MSCs from 6 patients were isolated from either bone marrow of the iliac crest (BMSCs) or alveolar bone tissue (aBMSCs), and flow cytometry revealed that regardless of the tissue source, MSC immunotypes had the same expression of MSC markers CD73, CD90, and CD105. However, transcriptomic analyses revealed 589 genes differentially expressed (DE) between BMSCs and aBMSCs, including eightfold higher levels of bone morphogenetic protein 4 (BMP-4) in aBMSCs. In striking contrast, gene expression of MSCs derived from the same tissue, but between different patients (i.e., BMSCs to BMSCs, aBMSCs to aBMSCs), showed only 38 DE BMSC genes and 51 DE aBMSC genes. A protein array showed that aBMSC and BMSC produced equivalent levels of angiogenic cytokines; however, when placed in angiogenesis model systems, aBMSCs induced significantly more capillaries in vitro and in vivo. Finally, cell transplantation of MSCS into osseous defects showed that the bone regenerative capacity of aBMSCs was significantly greater than that of BMSCs. This study is the first to link the molecular, phenotypic, and regenerative properties of different MSCs from different patients and provides novel insights toward MSC differences based on the osseous tissue origin."
2022 Jan 15,Acta biomaterialia,Acta Biomater. 2022 Jan 15;138:133-143. doi: 10.1016/j.actbio.2021.11.020. Epub ,"['Farrell, Easton', 'Aliabouzar, Mitra', 'Quesada, Carole', 'Baker, Brendon M', 'Franceschi, Renny T', 'Putnam, Andrew J', 'Fabiilli, Mario L']","['cell differentiation', 'extracellular matrix', ' fibrin', 'fibroblasts', 'hydrogels pharmacology', ' myofibroblasts', 'transforming growth factor beta1', 'acoustic droplet vaporization', 'differentiation', 'fibrin', 'fibroblast', 'myofibroblast', 'phase-shift emulsion', 'strain stiffening', 'ultrasound']",Spatiotemporal control of myofibroblast activation in acoustically-responsive scaffolds via ultrasound-induced matrix stiffening.,"Hydrogels are often used to study the impact of biomechanical and topographical cues on cell behavior. Conventional hydrogels are designed a priori, with characteristics that cannot be dynamically changed in an externally controlled, user-defined manner. We developed a composite hydrogel, termed an acoustically-responsive scaffold (ARS), that enables non-invasive, spatiotemporally controlled modulation of mechanical and morphological properties using focused ultrasound. An ARS consists of a phase-shift emulsion distributed in a fibrin matrix. Ultrasound non-thermally vaporizes the emulsion into bubbles, which induces localized, radial compaction and stiffening of the fibrin matrix. In this in vitro study, we investigate how this mechanism can control the differentiation of fibroblasts into myofibroblasts, a transition correlated with substrate stiffness on 2D substrates. Matrix compaction and stiffening was shown to be highly localized using confocal and atomic force microscopies, respectively. Myofibroblast phenotype, evaluated by α-smooth muscle actin (α-SMA) immunocytochemistry, significantly increased in matrix regions proximal to bubbles compared to distal regions, irrespective of the addition of exogenous transforming growth factor-β1 (TGF-β1). Introduction of the TGF-β1 receptor inhibitor SB431542 abrogated the proximal enhancement. This approach providing spatiotemporal control over biophysical signals and resulting cell behavior could aid in better understanding fibrotic disease progression and the development of therapeutic interventions for chronic wounds. STATEMENT OF SIGNIFICANCE: Hydrogels are used in cell culture to recapitulate both biochemical and biophysical aspects of the native extracellular matrix. Biophysical cues like stiffness can impact cell behavior. However, with conventional hydrogels, there is a limited ability to actively modulate stiffness after polymerization. We have developed an ultrasound-based method of spatiotemporally-controlling mechanical and morphological properties within a composite hydrogel, termed an acoustically-responsive scaffold (ARS). Upon exposure to ultrasound, bubbles are non-thermally generated within the fibrin matrix of an ARS, thereby locally compacting and stiffening the matrix. We demonstrate how ARSs control the differentiation of fibroblasts into myofibroblasts in 2D. This approach could assist with the study of fibrosis and the development of therapies for chronic wounds."
2021 Oct 10,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2021 Oct 10;338:773-783. doi: 10.1016/j.jconrel.2021.09.013. ,"['Jin, Hai', 'Quesada, Carole', 'Aliabouzar, Mitra', 'Kripfgans, Oliver D', 'Franceschi, Renny T', 'Liu, Jianhua', 'Putnam, Andrew J', 'Fabiilli, Mario L']","['animals', ' fibrin', ' fibroblast growth factor 2', 'hindlimb', 'hydrogels', 'ischemia therapy', 'mice', 'neovascularization, physiologic', 'volatilization', 'acoustic droplet vaporization', 'angiogenesis', 'basic fibroblast growth factor', 'drug delivery', 'fibrin', 'hind limb ischemia', 'phase-shift emulsion', 'ultrasound']",Release of basic fibroblast growth factor from acoustically-responsive scaffolds promotes therapeutic angiogenesis in the hind limb ischemia model.,"Pro-angiogenic growth factors have been studied as potential therapeutics for cardiovascular diseases like critical limb ischemia (CLI). However, the translation of these factors has remained a challenge, in part, due to problems associated with safe and effective delivery. Here, we describe a hydrogel-based delivery system for growth factors where release is modulated by focused ultrasound (FUS), specifically a mechanism termed acoustic droplet vaporization. With these fibrin-based, acoustically-responsive scaffolds (ARSs), release of a growth factor is non-invasively and spatiotemporally-controlled in an on-demand manner using non-thermal FUS. In vitro studies demonstrated sustained release of basic fibroblast growth factor (bFGF) from the ARSs using repeated applications of FUS. In in vivo studies, ARSs containing bFGF were implanted in mice following induction of hind limb ischemia, a preclinical model of CLI. During the 4-week study, mice in the ARS + FUS group longitudinally exhibited significantly more perfusion and less visible necrosis compared to other experimental groups. Additionally, significantly greater angiogenesis and less fibrosis were observed for the ARS + FUS group. Overall, these results highlight a promising, FUS-based method of delivering a pro-angiogenic growth factor for stimulating angiogenesis and reperfusion in a cardiovascular disease model. More broadly, these results could be used to personalize the delivery of therapeutics in different regenerative applications by actively controlling the release of a growth factor."
2021 Jul 15,Acta biomaterialia,Acta Biomater. 2021 Jul 15;129:73-83. doi: 10.1016/j.actbio.2021.04.048. Epub ,"['Huang, Leidan', 'Quesada, Carole', 'Aliabouzar, Mitra', 'Fowlkes, J Brian', 'Franceschi, Renny T', 'Liu, Zheng', 'Putnam, Andrew J', 'Fabiilli, Mario L']","['animals', 'delayed-action preparations', ' fibrin', ' fibroblast growth factor 2 pharmacology', 'hydrogels', 'mice', 'neovascularization, physiologic', 'volatilization', 'acoustic droplet vaporization', 'angiogenesis', 'basic fibroblast growth factor', 'drug delivery', 'fibrin', 'ultrasound']",Spatially-directed angiogenesis using ultrasound-controlled release of basic fibroblast growth factor from acoustically-responsive scaffolds.,"Vascularization is a critical step following implantation of an engineered tissue construct in order to maintain its viability. The ability to spatially pattern or direct vascularization could be therapeutically beneficial for anastomosis and vessel in-growth. However, acellular and cell-based strategies to stimulate vascularization typically do not afford this control. We have developed an ultrasound-based method of spatially- controlling regenerative processes using acellular, composite hydrogels termed acoustically-responsive scaffolds (ARSs). An ARS consists of a fibrin matrix doped with a phase-shift double emulsion (PSDE). A therapeutic payload, which is initially contained within the PSDE, is released by an ultrasound-mediated process called acoustic droplet vaporization (ADV). During ADV, the perfluorocarbon (PFC) phase within the PSDE is vaporized into a gas bubble. In this study, we generated ex situ four different spatial patterns of ADV within ARSs containing basic fibroblast growth factor (bFGF), which were subcutaneously implanted in mice. The PFC species within the PSDE significantly affected the morphology of the ARS, based on the stability of the gas bubble generated by ADV, which impacted host cell migration. Irrespective of PFC, significantly greater cell proliferation (i.e., up to 2.9-fold) and angiogenesis (i.e., up to 3.7-fold) were observed adjacent to +ADV regions of the ARSs compared to -ADV regions. The morphology of the PSDE, macrophage infiltration, and perfusion in the implant region were also quantified. These results demonstrate that spatially-defined patterns of ADV within an ARS can elicit spatially-defined patterns of angiogenesis. Overall, these finding can be applied to improve strategies for spatially-controlling vascularization. STATEMENT OF SIGNIFICANCE: Vascularization is a critical step following implantation of an engineered tissue. The ability to spatially pattern or direct vascularization could be therapeutically beneficial for inosculation and vessel in-growth. However, acellular and cell-based strategies to stimulate vascularization typically do not afford this control. We have developed an ultrasound-based method of spatially-controlling angiogenesis using acellular, composite hydrogels termed acoustically-responsive scaffolds (ARSs). An ARS consists of a fibrin matrix doped with a phase-shift double emulsion (PSDE). An ultrasound-mediated process called acoustic droplet vaporization (ADV) was used to release basic fibroblast growth factor (bFGF), which was initially contained within the PSDE. We demonstrate that spatially-defined patterns of ADV within an ARS can elicit spatially-defined patterns of angiogenesis in vivo. Overall, these finding can improve strategies for spatially-controlling vascularization."
2021 Mar 21,Lab on a chip,Lab Chip. 2021 Mar 21;21(6):1150-1163. doi: 10.1039/d0lc01092h. Epub 2021 Feb 4.,"['Margolis, Emily A', 'Cleveland, David S', 'Kong, Yen P', 'Beamish, Jeffrey A', 'Wang, William Y', 'Baker, Brendon M', 'Putnam, Andrew J']","['cell differentiation', ' lab-on-a-chip devices', ' microvessels', 'morphogenesis', 'neovascularization, physiologic', 'stromal cells']",Stromal cell identity modulates vascular morphogenesis in a microvasculature-on-a-chip platform.,"Supportive stromal cells of mesenchymal origins regulate vascular morphogenesis in developmental, pathological, and regenerative contexts, contributing to vessel formation, maturation, and long-term stability, in part via the secretion of bioactive molecules. In this work, we adapted a microfluidic lab-on-a-chip system that enables the formation and perfusion of microvascular capillary beds with connections to arteriole-scale endothelialized channels to explore how stromal cell (SC) identity influences endothelial cell (EC) morphogenesis. We compared and contrasted lung fibroblasts (LFs), dermal fibroblasts (DFs), and bone marrow-derived mesenchymal stem cells (MSCs) for their abilities to support endothelial morphogenesis and subsequent perfusion of microvascular networks formed in fibrin hydrogels within the microfluidic device. We demonstrated that while all 3 SC types supported EC morphogenesis, LFs in particular resulted in microvascular morphologies with the highest total network length, vessel diameter, and vessel interconnectivity across a range of SC-EC ratio and density conditions. Not only did LFs support robust vascular morphology, but also, they were the only SC type to support functional perfusion of the resultant capillary beds. Lastly, we identified heightened traction stress produced by LFs as a possible mechanism by which LFs enhance endothelial morphogenesis in 3D compared to other SC types examined. This study provides a unique comparison of three different SC types and their role in supporting the formation of microvasculature that could provide insights for the choice of cells for vascular cell-based therapies and the regulation of tissue-specific vasculature."
2021 Feb,Biomaterials,Biomaterials. 2021 Feb;269:120676. doi: 10.1016/j.biomaterials.2021.120676. Epub ,"['Hobson, Eric C', 'Li, Weiping', 'Juliar, Benjamin A', 'Putnam, Andrew J', 'Stegemann, Jan P', 'Deng, Cheri X']","['acoustics', ' biocompatible materials', ' hydrogels', 'rheology', 'sepharose', 'viscosity', 'hydrogel', 'mechanical properties', 'modulus', 'non-contact', 'rheology', 'tissue engineering']",Resonant acoustic rheometry for non-contact characterization of viscoelastic biomaterials.,"Resonant Acoustic Rheometry (RAR) is a new, non-contact technique to characterize the mechanical properties of soft and viscoelastic biomaterials, such as hydrogels, that are used to mimic the extracellular matrix in tissue engineering. RAR uses a focused ultrasound pulse to generate a microscale perturbation at the sample surface and tracks the ensuing surface wave using pulse-echo ultrasound. The frequency spectrum of the resonant surface waves is analyzed to extract viscoelastic material properties. In this study, RAR was used to characterize fibrin, gelatin, and agarose hydrogels. Single time point measurements of gelled samples with static mechanical properties showed that RAR provided consistent quantitative data and measured intrinsic material characteristics independent of ultrasound parameters. RAR was also used to longitudinally track dynamic changes in viscoelastic properties over the course of fibrin gelation, revealing distinct phase and material property transitions. Application of RAR was verified using finite element modeling and the results were validated against rotational shear rheometry. Importantly, RAR circumvents some limitations of conventional rheology methods and can be performed in a high-throughput manner using conventional labware. Overall, these studies demonstrate that RAR can be a valuable tool to noninvasively quantify the viscoelastic mechanical properties of soft hydrogel biomaterials."
2020 Sep 23,Scientific reports,Sci Rep. 2020 Sep 23;10(1):15562. doi: 10.1038/s41598-020-72576-5.,"['Friend, Nicole E', 'Rioja, Ana Y', 'Kong, Yen P', 'Beamish, Jeffrey A', 'Hong, Xiaowei', 'Habif, Julia C', 'Bezenah, Jonathan R', 'Deng, Cheri X', 'Stegemann, Jan P', 'Putnam, Andrew J']","['animals', 'cells, cultured', 'fibrin chemistry  pharmacology', 'fibroblasts drug effects', 'human umbilical vein endothelial cells', 'humans', 'hydrogels chemistry  pharmacology', 'mice', 'microspheres', 'microvessels drug effects growth & development', ' neovascularization, physiologic', ' tissue engineering', 'tissue scaffolds chemistry']",Injectable pre-cultured tissue modules catalyze the formation of extensive functional microvasculature in vivo.,"Revascularization of ischemic tissues is a major barrier to restoring tissue function in many pathologies. Delivery of pro-angiogenic factors has shown some benefit, but it is difficult to recapitulate the complex set of factors required to form stable vasculature. Cell-based therapies and pre-vascularized tissues have shown promise, but the former require time for vascular assembly in situ while the latter require invasive surgery to implant vascularized scaffolds. Here, we developed cell-laden fibrin microbeads that can be pre-cultured to form primitive vascular networks within the modular structures. These microbeads can be delivered in a minimally invasive manner and form functional microvasculature in vivo. Microbeads containing endothelial cells and stromal fibroblasts were pre-cultured for 3 days in vitro and then injected within a fibrin matrix into subcutaneous pockets on the dorsal flanks of S"
2020 Jul 22,Soft matter,Soft Matter. 2020 Jul 22;16(28):6501-6513. doi: 10.1039/d0sm00753f.,"['Aliabouzar, Mitra', 'Davidson, Christopher D', 'Wang, William Y', 'Kripfgans, Oliver D', 'Franceschi, Renny T', 'Putnam, Andrew J', 'Fowlkes, J Brian', 'Baker, Brendon M', 'Fabiilli, Mario L']","[' acoustics', 'emulsions', ' fibrin', 'hydrogels', 'volatilization']",Spatiotemporal control of micromechanics and microstructure in acoustically-responsive scaffolds using acoustic droplet vaporization.,"Acoustically-responsive scaffolds (ARSs), which are composite fibrin hydrogels, have been used to deliver regenerative molecules. ARSs respond to ultrasound in an on-demand, spatiotemporally-controlled manner via a mechanism termed acoustic droplet vaporization (ADV). Here, we study the ADV-induced, time-dependent micromechanical and microstructural changes to the fibrin matrix in ARSs using confocal fluorescence microscopy as well as atomic force microscopy. ARSs, containing phase-shift double emulsion (PSDE, mean diameter: 6.3 μm), were exposed to focused ultrasound to generate ADV - the phase transitioning of the PSDE into gas bubbles. As a result of ADV-induced mechanical strain, localized restructuring of fibrin occurred at the bubble-fibrin interface, leading to formation of locally denser regions. ADV-generated bubbles significantly reduced fibrin pore size and quantity within the ARS. Two types of ADV-generated bubble responses were observed in ARSs: super-shelled spherical bubbles, with a growth rate of 31 μm per day in diameter, as well as fluid-filled macropores, possibly as a result of acoustically-driven microjetting. Due to the strain stiffening behavior of fibrin, ADV induced a 4-fold increase in stiffness in regions of the ARS proximal to the ADV-generated bubble versus distal regions. These results highlight that the mechanical and structural microenvironment within an ARS can be spatiotemporally modulated using ultrasound, which could be used to control cellular processes and further the understanding of ADV-triggered drug delivery for regenerative applications."
