time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in immunology,Front Immunol. 2024 Jun 14;15:1403145. doi: 10.3389/fimmu.2024.1403145. ,"['Frame, David G', 'Geer, Marcus', 'Kasha, Salena', 'Markstrom, Denise', 'Scappaticci, Gianni', 'Feeney, Tate', 'Hayduk, Andrew', 'Mansoor, Hilary M', 'Oberfeld, Avery', ""D'Antonio, Hannah"", 'Anand, Sarah', 'Choi, Sung Won', 'Maciejewski, John', 'Pawarode, Attaphol', 'Riwes, Mary Mansour', 'Tewari, Muneesh', 'Magenau, John', 'Ghosh, Monalisa']","['humans', ' immunotherapy, adoptive adverse effects methods', 'male', 'middle aged', 'female', ' antigens, cd19 immunology', ' vidarabine analogs & derivatives administration & dosage therapeutic use', 'retrospective studies', ' lymphoma, non-hodgkin therapy immunology', 'aged', ' cyclophosphamide therapeutic use administration & dosage', 'adult', 'lymphocyte depletion methods', 'treatment outcome', 'antineoplastic combined chemotherapy protocols therapeutic use adverse effects', 'biological products therapeutic use adverse effects administration & dosage', 'receptors, antigen, t-cell', 'car t-cell', 'crs', 'icans', 'lymphodepletion', 'non-hodgkin’s lymphoma']",Comparing 2-day vs 3-day flu-CY lymphodepleting regimens for CD19 CAR T-cell therapy in patients with non-hodgkin's lymphoma.,"INTRODUCTION: Lymphodepleting chemotherapy (LDC) is critical to CAR T-cell expansion and efficacy. Despite this, there is not a consensus in the literature regarding the optimal LDC regimen, including dose and frequency. METHODS: We retrospectively reviewed consecutive patients at a single institution that received LDC prior to treatment with the CD19 directed CAR T-cell products axicabtagene ciloleucel and tisagenlecleucel. Patients treated at our center received fludarabine 30 mg/m(2) and cyclophosphamide 500 mg/m(2) for 3 consecutive days prior to May 2019. After this timepoint patients routinely received fludarabine 40 mg/m(2) and cyclophosphamide 500 mg/m(2) for 2 consecutive days. Clinical data from each cohort were obtained from the electronic medical record and compared for differences in CAR T-cell efficacy and toxicity. RESULTS: From June 2018 to August 2023, LDC was given to 92 patients prior to CD19 directed CAR T-cell therapy for relapsed non-Hodgkin's lymphoma. Twenty-eight patients received a 3-day regimen, and 64 patients received a 2-day regimen. In the total cohort, 75% of patients received axicabtagene ciloleucel and 25% received tisagenlecleucel. The overall response rates in both the 2-day regimen group and the 3-day regimen group were similar (69% vs 75%, p= 0.21) as were the complete response rates (50% vs 54%, p=0.82). There were no significant differences between the 2-day and 3-day regimens for grade 2-4 cytokine release syndrome (55% vs 50%, p=0.82), grade 2-4 immune effector cell associated-neurotoxicity syndrome (42% vs 29%, p=0.25), or time to resolution of neutropenia or thrombocytopenia. The rate of prolonged platelet recovery lasting greater than 60 days was higher with the 3-day regimen (9% vs 27%, p=0.026). DISCUSSION: As the number of patients eligible for CAR T-cell therapy continues to increase, optimizing each component of therapy is necessary. We show that a 2-day regimen of LDC with fludarabine and cyclophosphamide is feasible without significant impact on CAR T-cell efficacy or toxicity. Prospective studies are necessary to further determine the most effective LDC regimen."
2024 Apr 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 10:2024.04.06.587997. doi: ,"['Dai, Liuhan', 'Johnson-Buck, Alexander', 'Laird, Peter W', 'Tewari, Muneesh', 'Walter, Nils G']",[],Ultrasensitive amplification-free quantification of a methyl CpG-rich cancer biomarker by single-molecule kinetic fingerprinting.,"The most well-studied epigenetic marker in humans is the 5-methyl modification of cytosine in DNA, which has great potential as a disease biomarker in liquid biopsies of cell-free DNA. Currently, quantification of DNA methylation relies heavily on bisulfite conversion followed by PCR amplification and NGS or microarray analysis. PCR is subject to potential bias in differential amplification of bisulfite-converted methylated versus unmethylated sequences. Here, we combine bisulfite conversion with single-molecule kinetic fingerprinting to develop an amplification-free assay for DNA methylation at the branched-chain amino acid transaminase 1 (BCAT1) promoter. Our assay selectively responds to methylated sequences with a limit of detection below 1 fM and a specificity of 99.9999%. Evaluating complex genomic DNA matrices, we reliably distinguish 2-5% DNA methylation at the BCAT1 promoter in whole blood DNA from completely unmethylated whole-genome amplified DNA. Taken together, these results demonstrate the feasibility and sensitivity of our amplification-free, single-molecule quantification approach to improve the early detection of methylated cancer DNA biomarkers."
2024 Feb 8,JCI insight,JCI Insight. 2024 Feb 8;9(6):e177759. doi: 10.1172/jci.insight.177759.,"['Bhambhani, Chandan', 'Kang, Qing', 'Hovelson, Daniel H', 'Sandford, Erin', 'Olesnavich, Mary', 'Dermody, Sarah M', 'Wolfgang, Jenny', 'Tuck, Kirsten L', 'Brummel, Collin', 'Bhangale, Apurva D', 'He, Kuang', 'Gutierrez, Marc G', 'Lindstrom, Ryan H', 'Liu, Chia-Jen', 'Tuck, Melissa', 'Kandarpa, Malathi', 'Mierzwa, Michelle', 'Casper, Keith', 'Prince, Mark E', 'Krauss, John C', 'Talpaz, Moshe', 'Henry, N Lynn', 'Giraldez, Maria D', 'Ramnath, Nithya', 'Tomlins, Scott A', 'Swiecicki, Paul L', 'Brenner, J Chad', 'Tewari, Muneesh']","['united states', 'humans', ' papillomavirus infections genetics', ' carcinoma, squamous cell diagnosis genetics metabolism', ' oropharyngeal neoplasms diagnosis genetics', 'squamous cell carcinoma of head and neck', 'dna, neoplasm', ' head and neck neoplasms', 'liquid biopsy', 'cancer', 'diagnostics', 'head and neck cancer', 'oncology']",ctDNA transiting into urine is ultrashort and facilitates noninvasive liquid biopsy of HPV+ oropharyngeal cancer.,"BACKGROUNDTransrenal cell-free tumor DNA (TR-ctDNA), which transits from the bloodstream into urine, has the potential to enable noninvasive cancer detection for a wide variety of nonurologic cancer types.MethodsUsing whole-genome sequencing, we discovered that urine TR-ctDNA fragments across multiple cancer types are predominantly ultrashort (<50 bp) and, therefore, likely to be missed by conventional ctDNA assays. We developed an ultrashort droplet digital PCR assay to detect TR-ctDNA originating from HPV-associated oropharyngeal squamous cell carcinoma (HPV+ OPSCC) and confirmed that assaying ultrashort DNA is critical for sensitive cancer detection from urine samples.ResultsTR-ctDNA was concordant with plasma ctDNA for cancer detection in patients with HPV+ OPSCC. As proof of concept for using urine TR-ctDNA for posttreatment surveillance, in a small longitudinal case series, TR-ctDNA showed promise for noninvasive detection of recurrence of HPV+ OPSCC.ConclusionOur data indicate that focusing on ultrashort fragments of TR-ctDNA will be important for realizing the full potential of urine-based cancer diagnostics. This has implications for urine-based detection of a wide variety of cancer types and for facilitating access to care through at-home specimen collections.FundingNIH grants R33 CA229023, R21 CA225493; NIH/National Cancer Institute grants U01 CA183848, R01 CA184153, and P30CA046592; American Cancer Society RSG-18-062-01-TBG; American Cancer Society Mission Boost grant MBGI-22-056-01-MBG; and the A. Alfred Taubman Medical Research Institute."
2024 Mar 26,Blood advances,Blood Adv. 2024 Mar 26;8(6):1422-1426. doi: 10.1182/bloodadvances.2023010728.,"['Flora, Christopher', 'Olesnavich, Mary', 'Zuo, Yu', 'Sandford, Erin', 'Madhukar, Rashmi', 'Rozwadowski, Michelle', 'Sugur, Kavya', 'Ly, Andrew', 'Canbaz, Ata Alpay', 'Shedeck, Audra', 'Li, Gen', 'Geer, Marcus J', 'Yanik, Gregory A', 'Ghosh, Monalisa', 'Frame, David G', 'Bonifant, Challice L', 'Jain, Tania', 'Knight, Jason S', 'Choi, Sung Won', 'Tewari, Muneesh']","['humans', ' immunotherapy, adoptive adverse effects', 'neutrophils', 'proteomics', ' receptors, chimeric antigen', 'cytokines']",Longitudinal plasma proteomics in CAR T-cell therapy patients implicates neutrophils and NETosis in the genesis of CRS.,
2023 Nov,Nature medicine,Nat Med. 2023 Nov;29(11):2805-2813. doi: 10.1038/s41591-023-02587-y. Epub 2023 ,"['Riwes, Mary M', 'Golob, Jonathan L', 'Magenau, John', 'Shan, Mengrou', 'Dick, Gregory', 'Braun, Thomas', 'Schmidt, Thomas M', 'Pawarode, Attaphol', 'Anand, Sarah', 'Ghosh, Monalisa', 'Maciejewski, John', 'King, Darren', 'Choi, Sung', 'Yanik, Gregory', 'Geer, Marcus', 'Hillman, Ethan', 'Lyssiotis, Costas A', 'Tewari, Muneesh', 'Reddy, Pavan']","['adult', 'humans', 'butyrates', 'feasibility studies', ' gastrointestinal microbiome', ' graft vs host disease prevention & control', ' hematopoietic stem cell transplantation methods']",Feasibility of a dietary intervention to modify gut microbial metabolism in patients with hematopoietic stem cell transplantation.,"Evaluation of the impact of dietary intervention on gastrointestinal microbiota and metabolites after allogeneic hematopoietic stem cell transplantation (HCT) is lacking. We conducted a feasibility study as the first of a two-phase trial. Ten adults received resistant potato starch (RPS) daily from day -7 to day 100. The primary objective was to test the feasibility of RPS and its effect on intestinal microbiome and metabolites, including the short-chain fatty acid butyrate. Feasibility met the preset goal of 60% or more, adhering to 70% or more doses; fecal butyrate levels were significantly higher when participants were on RPS than when they were not (P < 0.0001). An exploratory objective was to evaluate plasma metabolites. We observed longitudinal changes in plasma metabolites compared to baseline, which were independent of RPS (P < 0.0001). However, in recipients of RPS, the dominant plasma metabolites were more stable compared to historical controls with significant difference at engraftment (P < 0.05). These results indicate that RPS in recipients of allogeneic HCT is feasible; in this study, it was associated with significant alterations in intestinal and plasma metabolites. A phase 2 trial examining the effect of RPS on graft-versus-host disease in recipients of allogeneic HCT is underway. ClinicalTrials.gov registration: NCT02763033 ."
2023 Aug,"Journal of the Royal Society, Interface",J R Soc Interface. 2023 Aug;20(205):20230030. doi: 10.1098/rsif.2023.0030. Epub ,"['Kim, Dae Wook', 'Mayer, Caleb', 'Lee, Minki P', 'Choi, Sung Won', 'Tewari, Muneesh', 'Forger, Daniel B']","['humans', ' body temperature', 'heart rate', 'circadian rhythm', ' wearable electronic devices', 'kalman filtering', 'body temperature', 'circadian rhythms', 'heart rate', 'least-squares methods', 'wearables']",Efficient assessment of real-world dynamics of circadian rhythms in heart rate and body temperature from wearable data.,"Laboratory studies have made unprecedented progress in understanding circadian physiology. Quantifying circadian rhythms outside of laboratory settings is necessary to translate these findings into real-world clinical practice. Wearables have been considered promising way to measure these rhythms. However, their limited validation remains an open problem. One major barrier to implementing large-scale validation studies is the lack of reliable and efficient methods for circadian assessment from wearable data. Here, we propose an approximation-based least-squares method to extract underlying circadian rhythms from wearable measurements. Its computational cost is ∼ 300-fold lower than that of previous work, enabling its implementation in smartphones with low computing power. We test it on two large-scale real-world wearable datasets: [Formula: see text] of body temperature data from cancer patients and ∼ 184 000 days of heart rate and activity data collected from the 'Social Rhythms' mobile application. This shows successful extraction of real-world dynamics of circadian rhythms. We also identify a reasonable harmonic model to analyse wearable data. Lastly, we show our method has broad applicability in circadian studies by embedding it into a Kalman filter that infers the state space of the molecular clocks in tissues. Our approach facilitates the translation of scientific advances in circadian fields into actual improvements in health."
2023 Aug,Oral oncology,Oral Oncol. 2023 Aug;143:106436. doi: 10.1016/j.oraloncology.2023.106436. Epub ,"['Bhambhani, Chandan', 'Sandford, Erin', 'Haring, Catherine T', 'Brummel, Collin', 'Tuck, Kirsten L', 'Olesnavich, Mary', 'Bhangale, Apurva D', 'Walline, Heather M', 'Dermody, Sarah M', 'Spector, Matthew E', 'Chinn, Steven B', 'Casper, Keith', 'Mierzwa, Michelle', 'Swiecicki, Paul L', 'Chad Brenner, J', 'Tewari, Muneesh']","['humans', ' circulating tumor dna', 'human papillomavirus viruses', ' carcinoma, squamous cell pathology', ' papillomavirus infections', 'human papillomavirus 16 genetics', 'polymerase chain reaction', ' head and neck neoplasms', ' oropharyngeal neoplasms', 'anal cancer', 'biomarker', 'cell-free dna', 'cervical cancer', 'circulating tumor dna', 'hpv', 'head and neck cancer', 'liquid biopsy', 'oropharyngeal cancer', 'ctdna']",Development of a high-performance multi-probe droplet digital PCR assay for high-sensitivity detection of human papillomavirus circulating tumor DNA from plasma.,"OBJECTIVES: To develop a high-performance droplet digital PCR (ddPCR) assay capable of enhancing the detection of human papillomavirus (HPV) circulating tumor DNA (ctDNA) in plasma from patients with HPV-associated oropharyngeal squamous cell carcinoma (HPV+ OPSCC). MATERIALS AND METHODS: Plasma samples from subjects with HPV+ OPSCC were collected. We developed a high-performance ddPCR assay designed to simultaneously target nine regions of the HPV16 genome. RESULTS: The new assay termed 'ctDNA HPV16 Assessment using Multiple Probes' (CHAMP- 16) yielded significantly higher HPV16 counts compared to our previously validated 'Single-Probe' (SP) assay and a commercially available NavDx® assay. Analytical validation demonstrated that the CHAMP-16 assay had a limit of detection (LoD) of 4.1 copies per reaction, corresponding to < 1 genome equivalent (GE) of HPV16. When tested on plasma ctDNA from 21 patients with early-stage HPV+ OPSCC and known HPV16 ctDNA using the SP assay, all patients were positive for HPV16 ctDNA in both assays and the CHAMP-16 assay displayed 6.6-fold higher HPV16 signal on average. Finally, in a longitudinal analysis of samples from a patient with recurrent disease, the CHAMP-16 assay detected HPV16 ctDNA signal ∼ 20 months prior to the conventional SP assay. CONCLUSION: Increased HPV16 signal detection using the CHAMP-16 assay suggests the potential for detection of recurrences significantly earlier than with conventional ddPCR assays in patients with HPV16+ OPSCC. Critically, this multi-probe approach maintains the cost-benefit advantage of ddPCR over next generation sequencing (NGS) approaches, supporting the cost-effectiveness of this assay for both large population screening and routine post-treatment surveillance."
2023,mHealth,Mhealth. 2023 Jan 28;9:5. doi: 10.21037/mhealth-22-24. eCollection 2023.,"['Koblick, Sarah B', 'Yu, Miao', 'DeMoss, Matthew', 'Liu, Qiaoxue', 'Nessle, Charles N', 'Rozwadowski, Michelle', 'Troost, Jonathan P', 'Miner, Jennifer A', 'Hassett, Afton', 'Carlozzi, Noelle E', 'Barton, Debra L', 'Tewari, Muneesh', 'Hanauer, David A', 'Choi, Sung Won']","['mobile health (mhealth)', 'pediatric oncology', 'wearable sensors']",A pilot intervention of using a mobile health app (ONC Roadmap) to enhance health-related quality of life in family caregivers of pediatric patients with cancer.,"BACKGROUND: The Roadmap mobile health (mHealth) app was developed to provide health-related quality of life (HRQOL) support for family caregivers of patients with cancer. METHODS: Eligibility included: family caregivers (age ≥18 years) who self-reported as the primary caregiver of their pediatric patient with cancer; patients (age ≥5 years) who were receiving cancer care at the University of Michigan. Feasibility was calculated as the percentage of caregivers who logged into ONC Roadmap and engaged with it at least twice weekly for at least 50% of the 120-day study duration. Feasibility and acceptability was also assessed through a Feasibility and Acceptability questionnaire and the Mobile App Rating Scale to specifically assess app-quality. Exploratory analyses were also conducted to assess HRQOL self- or parent proxy assessments and physiological data capture. RESULTS: Between September 2020-September 2021, 100 participants (or 50 caregiver-patient dyads) consented and enrolled in the ONC Roadmap study for 120-days. Feasibility of the study was met, wherein the majority of caregivers (N=32; 65%) logged into ONC Roadmap and engaged with it at least twice weekly for at least 50% of the study duration (defined a priori in the Protocol). The Feasibility and Acceptability questionnaire responses indicated that the study was feasible and acceptable with the majority (>50%) reporting Agree or Strongly Agree with positive Net Favorability [(Agree + Strongly Agree) - (Disagree + Totally Disagree)] in each of the domains (e.g., Fitbit use, ONC Roadmap use, completing longitudinal assessments, engaging in similar future study, study expectations). Improvements were seen across the majority of the mental HRQOL domains across all groups; even though underpowered, there were significant improvements in caregiver-specific aspects of HRQOL and anxiety and in depression and fatigue for children (ages 8-17 years), and a trend toward improvement in depression for children ages 8-17 years and in fatigue for adult patients. CONCLUSIONS: This study supports that mHealth technology may be a promising platform to provide HRQOL support for caregivers of pediatric patients with cancer. Importantly, the findings suggest that the study protocol was feasible, and participants were favorable to participate in future studies of this intervention alongside routine cancer care delivery."
2023 Feb 28,Molecular human reproduction,Mol Hum Reprod. 2023 Feb 28;29(3):gaad003. doi: 10.1093/molehr/gaad003.,"['Gornalusse, Germán', 'Spengler, Ryan M', 'Sandford, Erin', 'Kim, Yeseul', 'Levy, Claire', 'Tewari, Muneesh', 'Hladik, Florian', 'Vojtech, Lucia']","['male', 'animals', 'mice', 'analgesics, opioid', 'semen metabolism', ' substance abuse, intravenous', 'rna, transfer', ' illicit drugs', 'epigenetics', 'opioids', 'people who inject illicit drugs', 'semen', 'trna', 'trna fragments', 'trna halves']",Men who inject opioids exhibit altered tRNA-Gly-GCC isoforms in semen.,"In addition to their role in protein translation, tRNAs can be cleaved into shorter, biologically active fragments called tRNA fragments (tRFs). Specific tRFs from spermatocytes can propagate metabolic disorders in second generations of mice. Thus, tRFs in germline cells are a mechanism of epigenetic inheritance. It has also been shown that stress and toxins can cause alterations in tRF patterns. We were therefore interested in whether injecting illicit drugs, a major stressor, impacts tRFs in germline cells. We sequenced RNA from spermatocytes and from semen-derived exosomes from people who inject illicit drugs (PWID) and from non-drug using controls, both groups of unknown fertility status. All PWID injected opioids daily, but most also used other illicit drugs. The tRF cleavage products from Gly-GCC tRNA were markedly different between spermatocytes from PWID compared to controls. Over 90% of reads in controls mapped to shorter Gly-GCC tRFs, while in PWID only 45% did. In contrast, only 4.1% of reads in controls mapped to a longer tRFs versus 45.6% in PWID. The long/short tRF ratio was significantly higher in PWID than controls (0.23 versus 0.16, P = 0.0128). We also report differential expression of a group of small nucleolar RNAs (snoRNAs) in semen-derived exosomes, including, among others, ACA14a, U19, and U3-3. Thus, PWID exhibited an altered cleavage pattern of tRNA-Gly-GCC in spermatocytes and an altered cargo of snoRNAs in semen-derived exosomes. Participants were not exclusively using opioids and were not matched with controls in terms of diet, chronic disease, or other stressors, so our finding are not conclusively linked to opioid use. However, all individuals in the PWID group did inject heroin daily. Our study indicates a potential for opioid injection and/or its associated multi-drug use habits and lifestyle changes to influence epigenetic inheritance."
2022 Aug 19,iScience,iScience. 2022 Jun 23;25(8):104653. doi: 10.1016/j.isci.2022.104653. eCollection ,"['Mateescu, Bogdan', 'Jones, Jennifer C', 'Alexander, Roger P', 'Alsop, Eric', 'An, Ji Yeong', 'Asghari, Mohammad', 'Boomgarden, Alex', 'Bouchareychas, Laura', 'Cayota, Alfonso', 'Chang, Hsueh-Chia', 'Charest, Al', 'Chiu, Daniel T', 'Coffey, Robert J', 'Das, Saumya', 'De Hoff, Peter', 'deMello, Andrew', ""D'Souza-Schorey, Crislyn"", 'Elashoff, David', 'Eliato, Kiarash R', 'Franklin, Jeffrey L', 'Galas, David J', 'Gerstein, Mark B', 'Ghiran, Ionita H', 'Go, David B', 'Gould, Stephen', 'Grogan, Tristan R', 'Higginbotham, James N', 'Hladik, Florian', 'Huang, Tony Jun', 'Huo, Xiaoye', 'Hutchins, Elizabeth', 'Jeppesen, Dennis K', 'Jovanovic-Talisman, Tijana', 'Kim, Betty Y S', 'Kim, Sung', 'Kim, Kyoung-Mee', 'Kim, Yong', 'Kitchen, Robert R', 'Knouse, Vaughan', 'LaPlante, Emily L', 'Lebrilla, Carlito B', 'Lee, L James', 'Lennon, Kathleen M', 'Li, Guoping', 'Li, Feng', 'Li, Tieyi', 'Liu, Tao', 'Liu, Zirui', 'Maddox, Adam L', 'McCarthy, Kyle', 'Meechoovet, Bessie', 'Maniya, Nalin', 'Meng, Yingchao', 'Milosavljevic, Aleksandar', 'Min, Byoung-Hoon', 'Morey, Amber', 'Ng, Martin', 'Nolan, John', 'De Oliveira Junior, Getulio P', 'Paulaitis, Michael E', 'Phu, Tuan Anh', 'Raffai, Robert L', 'Reátegui, Eduardo', 'Roth, Matthew E', 'Routenberg, David A', 'Rozowsky, Joel', 'Rufo, Joseph', 'Senapati, Satyajyoti', 'Shachar, Sigal', 'Sharma, Himani', 'Sood, Anil K', 'Stavrakis, Stavros', 'Stürchler, Alessandra', 'Tewari, Muneesh', 'Tosar, Juan P', 'Tucker-Schwartz, Alexander K', 'Turchinovich, Andrey', 'Valkov, Nedyalka', 'Van Keuren-Jensen, Kendall', 'Vickers, Kasey C', 'Vojtech, Lucia', 'Vreeland, Wyatt N', 'Wang, Ceming', 'Wang, Kai', 'Wang, ZeYu', 'Welsh, Joshua A', 'Witwer, Kenneth W', 'Wong, David T W', 'Xia, Jianping', 'Xie, Ya-Hong', 'Yang, Kaichun', 'Zaborowski, Mikołaj P', 'Zhang, Chenguang', 'Zhang, Qin', 'Zivkovic, Angela M', 'Laurent, Louise C']","['biochemistry', 'biological sciences', 'cell biology', 'molecular biology']",Phase 2 of extracellular RNA communication consortium charts next-generation approaches for extracellular RNA research.,"The extracellular RNA communication consortium (ERCC) is an NIH-funded program aiming to promote the development of new technologies, resources, and knowledge about exRNAs and their carriers. After Phase 1 (2013-2018), Phase 2 of the program (ERCC2, 2019-2023) aims to fill critical gaps in knowledge and technology to enable rigorous and reproducible methods for separation and characterization of both bulk populations of exRNA carriers and single EVs. ERCC2 investigators are also developing new bioinformatic pipelines to promote data integration through the exRNA atlas database. ERCC2 has established several Working Groups (Resource Sharing, Reagent Development, Data Analysis and Coordination, Technology Development, nomenclature, and Scientific Outreach) to promote collaboration between ERCC2 members and the broader scientific community. We expect that ERCC2's current and future achievements will significantly improve our understanding of exRNA biology and the development of accurate and efficient exRNA-based diagnostic, prognostic, and theranostic biomarker assays."
2022 Sep,Pediatric blood & cancer,Pediatr Blood Cancer. 2022 Sep;69(9):e29835. doi: 10.1002/pbc.29835. Epub 2022 ,"['Nessle, Charles Nathaniel', 'Flora, Christopher', 'Sandford, Erin', 'Choi, Sung Won', 'Tewari, Muneesh']","['anti-bacterial agents therapeutic use', ' bacteremia complications diagnosis drug therapy', 'child', ' febrile neutropenia complications diagnosis drug therapy', 'fever diagnosis drug therapy etiology', 'humans', ' neoplasms drug therapy', 'temperature', ' wearable electronic devices', 'bacteremia', 'digital biomarkers', 'febrile neutropenia', 'home care', 'supportive care', 'wearable device']",High-frequency temperature monitoring at home using a wearable device: A case series of early fever detection and antibiotic administration for febrile neutropenia with bacteremia.,"We present a case series of three febrile episodes in neutropenic pediatric cancer patients who wore a Food and Drug Administration approved high-frequency temperature monitoring (HFTM) wearable device (WD) at home. The WD detected fever events when temperature monitoring by thermometer did not detect fever or was not feasible to perform. Two of the episodes were associated with bloodstream infections and the WD detected fevers 5 and 12 h prior to fevers detected by thermometer, triggering earlier medical evaluation and more prompt administration of antibiotics. These observations provide a basis for future investigation of home-based HFTM to improve infection-related outcomes in pediatric oncology."
2022,Frontiers in genetics,Front Genet. 2022 Apr 27;13:879108. doi: 10.3389/fgene.2022.879108. eCollection ,"['Dermody, Sarah M', 'Bhambhani, Chandan', 'Swiecicki, Paul L', 'Brenner, J Chad', 'Tewari, Muneesh']","['biomarker', 'cancer', 'cell-free dna', 'circulating tumor dna', 'ctdna', 'liquid biopsy', 'trans-renal', 'urine']",Trans-Renal Cell-Free Tumor DNA for Urine-Based Liquid Biopsy of Cancer.,"Cancer biomarkers are a promising tool for cancer detection, personalization of therapy, and monitoring of treatment response or recurrence. ""Liquid biopsy"" commonly refers to minimally invasive or non-invasive sampling of a bodily fluid (i.e., blood, urine, saliva) for detection of cancer biomarkers such as circulating tumor cells or cell-free tumor DNA (ctDNA). These methods offer a means to collect frequent tumor assessments without needing surgical biopsies. Despite much progress with blood-based liquid biopsy approaches, there are limitations-including the limited amount of blood that can be drawn from a person and challenges with collecting blood samples at frequent intervals to capture ctDNA biomarker kinetics. These limitations are important because ctDNA is present at extremely low levels in plasma and there is evidence that measuring ctDNA biomarker kinetics over time can be useful for clinical prediction. Additionally, blood-based assays require access to trained phlebotomists and often a trip to a healthcare facility. In contrast, urine is a body fluid that can be self-collected from a patient's home, at frequent intervals, and mailed to a laboratory for analysis. Multiple reports indicate that fragments of ctDNA pass from the bloodstream through the kidney's glomerular filtration system into the urine, where they are known as trans-renal ctDNA (TR-ctDNA). Accumulating studies indicate that the limitations of blood based ctDNA approaches for cancer can be overcome by measuring TR-ctDNA. Here, we review current knowledge about TR-ctDNA in urine as a cancer biomarker approach, and discuss its clinical potential and open questions in this research field."
2022 Apr 19,Cell reports. Medicine,Cell Rep Med. 2022 Apr 19;3(4):100601. doi: 10.1016/j.xcrm.2022.100601. ,"['Mayer, Caleb', 'Tyler, Jonathan', 'Fang, Yu', 'Flora, Christopher', 'Frank, Elena', 'Tewari, Muneesh', 'Choi, Sung Won', 'Sen, Srijan', 'Forger, Daniel B']","[' covid-19', 'disease progression', 'heart rate', 'humans', 'monitoring, physiologic', ' wearable electronic devices', 'covid-19', 'circadian rhythms', 'disease monitoring', 'heart rate', 'mathematical modeling', 'wearables']",Consumer-grade wearables identify changes in multiple physiological systems during COVID-19 disease progression.,"Consumer-grade wearables are needed to track disease, especially in the ongoing pandemic, as they can monitor patients in real time. We show that decomposing heart rate from low-cost wearable technologies into signals from different systems can give a multidimensional description of physiological changes due to COVID-19 infection. We find that the separate physiological features of basal heart rate, heart rate response to physical activity, circadian variation in heart rate, and autocorrelation of heart rate are significantly altered and can classify symptomatic versus healthy periods. Increased heart rate and autocorrelation begin at symptom onset, while the heart rate response to activity increases soon after symptom onset and increases more in individuals exhibiting cough. Symptom onset is associated with a blunting of circadian variation in heart rate, as measured by the uncertainty in the phase estimate. This work establishes an innovative data analytic approach to monitor disease progression remotely using consumer-grade wearables."
2022 Jul,Translational oncology,Transl Oncol. 2022 Jul;21:101428. doi: 10.1016/j.tranon.2022.101428. Epub 2022 ,"['Hinton, Tonaye', 'Karnak, David', 'Tang, Ming', 'Jiang, Ralph', 'Luo, Yi', 'Boonstra, Philip', 'Sun, Yilun', 'Nancarrow, Derek J', 'Sandford, Erin', 'Ray, Paramita', 'Maurino, Christopher', 'Matuszak, Martha', 'Schipper, Matthew J', 'Green, Michael D', 'Yanik, Gregory A', 'Tewari, Muneesh', 'Naqa, Issam El', 'Schonewolf, Caitlin A', 'Haken, Randall Ten', 'Jolly, Shruti', 'Lawrence, Theodore S', 'Ray, Dipankar']","['data-driven bayesian network (dd-bn) analysis', 'inflammatory cytokines', 'microrna (mirna)', 'radiation pneumonitis', 'tumor necrosis factor alpha (tnfα) signaling, nuclear factor kappa b (nfκb)']",Improved prediction of radiation pneumonitis by combining biological and radiobiological parameters using a data-driven Bayesian network analysis.,"Grade 2 and higher radiation pneumonitis (RP2) is a potentially fatal toxicity that limits efficacy of radiation therapy (RT). We wished to identify a combined biomarker signature of circulating miRNAs and cytokines which, along with radiobiological and clinical parameters, may better predict a targetable RP2 pathway. In a prospective clinical trial of response-adapted RT for patients (n = 39) with locally advanced non-small cell lung cancer, we analyzed patients' plasma, collected pre- and during RT, for microRNAs (miRNAs) and cytokines using array and multiplex enzyme linked immunosorbent assay (ELISA), respectively. Interactions between candidate biomarkers, radiobiological, and clinical parameters were analyzed using data-driven Bayesian network (DD-BN) analysis. We identified alterations in specific miRNAs (miR-532, -99b and -495, let-7c, -451 and -139-3p) correlating with lung toxicity. High levels of soluble tumor necrosis factor alpha receptor 1 (sTNFR1) were detected in a majority of lung cancer patients. However, among RP patients, within 2 weeks of RT initiation, we noted a trend of temporary decline in sTNFR1 (a physiological scavenger of TNFα) and ADAM17 (a shedding protease that cleaves both membrane-bound TNFα and TNFR1) levels. Cytokine signature identified activation of inflammatory pathway. Using DD-BN we combined miRNA and cytokine data along with generalized equivalent uniform dose (gEUD) to identify pathways with better accuracy of predicting RP2 as compared to either miRNA or cytokines alone. This signature suggests that activation of the TNFα-NFκB inflammatory pathway plays a key role in RP which could be specifically ameliorated by etanercept rather than current therapy of non-specific leukotoxic corticosteroids."
