time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,The AAPS journal,AAPS J. 2024 Jun 11;26(4):68. doi: 10.1208/s12248-024-00937-3.,"['Kopp, Anna', 'Guan, Jiakun', 'Johnston, Colette', 'Vance, Steven', 'Legg, James', 'Galson-Holt, Laurie', 'Thurber, Greg M']","[' antibodies, bispecific pharmacology immunology', 'humans', ' tumor necrosis factor receptor superfamily, member 9 immunology', ' t-lymphocytes immunology drug effects', ' lymphocyte activation drug effects', ' programmed cell death 1 receptor immunology', 'cross-linking reagents chemistry', 'drug design', 'antibody crosslinking', 'bispecific antibody design', 'computational modeling', 'immune synapse']",Design of Crosslinking Antibodies For T-Cell Activation: Experimental and Computational Analysis of PD-1/CD137 Bispecific Agents.,"Bispecific and multispecific agents have become increasingly utilized in cancer treatment and immunotherapy, yet their complex design parameters present a challenge in developing successful therapeutics. Bispecifics that crosslink receptors on two opposing cells can provide specific activation of a receptor only when these cells are in close spatial proximity, such as an immune cell and cancer cell in a tumor. These agents, including T cell activating bispecifics, can avoid off-tumor toxicity through activation only in the tumor microenvironment by utilizing a tumor target to cluster T-cell receptors for a selective costimulatory signal. Here, we investigate a panel of PD-1/CD137 targeted Humabody V(H) domains to determine the key factors for T cell activation, such as affinity, valency, expression level, domain orientation, and epitope location. Target expression is a dominant factor determining both specificity and potency of T cell activation. Given an intrinsic expression level, the affinity can be tuned to modulate the level of activation and IC(50) and achieve specificity between low and high expression levels. Changing the epitope location and linker length showed minor improvements to activation at low expression levels, but increasing the valency for the target decreased activation at all expression levels. By combining non-overlapping epitopes for the target, we achieved higher receptor activation at low expression levels. A kinetic model was able to capture these trends, offering support for the mechanistic interpretation. This work provides a framework to quantify factors for T cell activation by cell-crosslinking bispecific agents and guiding principles for the design of new agents."
2024 May 31,Science advances,Sci Adv. 2024 May 31;10(22):eadk1894. doi: 10.1126/sciadv.adk1894. Epub 2024 May ,"['Rubahamya, Baron', 'Dong, Shujun', 'Thurber, Greg M']","['animals', ' immunoconjugates administration & dosage pharmacokinetics pharmacology', 'mice', ' neoplasms drug therapy pathology', 'humans', 'xenograft model antitumor assays', 'translational research, biomedical', 'disease models, animal', 'tumor microenvironment drug effects', 'cell line, tumor', 'antineoplastic agents administration & dosage pharmacokinetics', 'drug evaluation, preclinical']",Clinical translation of antibody drug conjugate dosing in solid tumors from preclinical mouse data.,"Antibody drug conjugates (ADCs) have made impressive strides in the clinic in recent years with 11 Food and Drug Administration approvals, including 6 for the treatment of patients with solid tumors. Despite this success, the development of new agents remains challenging with a high failure rate in the clinic. Here, we show that current approved ADCs for the treatment of patients with solid tumors can all show substantial efficacy in some mouse models when administered at a similar weight-based [milligrams per kilogram (mg/kg)] dosing in mice that is tolerated in the clinic. Mechanistically, equivalent mg/kg dosing results in a similar drug concentration in the tumor and a similar tissue penetration into the tumor due to the unique delivery features of ADCs. Combined with computational approaches, which can account for the complex distribution within the tumor microenvironment, these scaling concepts may aid in the evaluation of new agents and help design therapeutics with maximum clinical efficacy."
2024 Jun,Pharmaceutical research,Pharm Res. 2024 Jun;41(6):1109-1120. doi: 10.1007/s11095-024-03715-0. Epub 2024 ,"['Calopiz, Melissa C', 'Linderman, Jennifer J', 'Thurber, Greg M']","[' immunoconjugates administration & dosage chemistry pharmacokinetics pharmacology', 'humans', ' trastuzumab administration & dosage chemistry', ' neoplasms drug therapy', 'computer simulation', 'drug carriers chemistry', 'models, biological', 'antineoplastic agents administration &', 'dose-response relationship, drug', 'agent-based modeling', 'antibody drug-conjugate', 'carrier dose', 'tissue penetration']",Optimizing Solid Tumor Treatment with Antibody-drug Conjugates Using Agent-Based Modeling: Considering the Role of a Carrier Dose and Payload Class.,"INTRODUCTION: Antibody-drug conjugates (ADCs) show significant clinical efficacy in the treatment of solid tumors, but a major limitation to their success is poor intratumoral distribution. Adding a carrier dose improves both distribution and overall drug efficacy of ADCs, but the optimal carrier dose has not been outlined for different payload classes. OBJECTIVE: In this work, we study two carrier dose regimens: 1) matching payload potency to cellular delivery but potentially not reaching cells farther away from blood vessels, or 2) dosing to tumor saturation but risking a reduction in cell killing from a lower amount of payload delivered per cell. METHODS: We use a validated computational model to test four different payloads conjugated to trastuzumab to determine the optimal carrier dose as a function of target expression, ADC dose, and payload potency. RESULTS: We find that dosing to tumor saturation is more efficacious than matching payload potency to cellular delivery for all payloads because the increase in the number of cells targeted by the ADC outweighs the loss in cell killing on targeted cells. An important exception exists if the carrier dose reduces the payload uptake per cell to the point where all cell killing is lost. Likewise, receptor downregulation can mitigate the benefits of a carrier dose. CONCLUSIONS: Because tumor saturation and in vitro potency can be measured early in ADC design, these results provide insight into maximizing ADC efficacy and demonstrate the benefits of using simulation to guide ADC design."
2024 Apr 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 10:2024.04.06.588433. doi: ,"['Kopp, Anna', 'Dong, Shujun', 'Kwon, Hyeyoung', 'Wang, Tiexin', 'Desai, Alec A', 'Linderman, Jennifer J', 'Tessier, Peter', 'Thurber, Greg M']",[],"In vivo Auto-tuning of Antibody-Drug Conjugate Delivery for Effective Immunotherapy using High-Avidity, Low-Affinity Antibodies.","Antibody-drug conjugates (ADCs) have experienced a surge in clinical approvals in the past five years. Despite this success, a major limitation to ADC efficacy in solid tumors is poor tumor penetration, which leaves many cancer cells untargeted. Increasing antibody doses or co-administering ADC with an unconjugated antibody can improve tumor penetration and increase efficacy when target receptor expression is high. However, it can also reduce efficacy in low-expression tumors where ADC delivery is limited by cellular uptake. This creates an intrinsic problem because many patients express different levels of target between tumors and even within the same tumor. Here, we generated High-Avidity, Low-Affinity (HALA) antibodies that can automatically tune the cellular ADC delivery to match the local expression level. Using HER2 ADCs as a model, HALA antibodies were identified with the desired HER2 expression-dependent competitive binding with ADCs in vitro. Multi-scale distribution of trastuzumab emtansine and trastuzumab deruxtecan co-administered with the HALA antibody were analyzed in vivo, revealing that the HALA antibody increased ADC tumor penetration in high-expression systems with minimal reduction in ADC uptake in low-expression tumors. This translated to greater ADC efficacy in immunodeficient mouse models across a range of HER2 expression levels. Furthermore, Fc-enhanced HALA antibodies showed improved Fc-effector function at both high and low expression levels and elicited a strong response in an immunocompetent mouse model. These results demonstrate that HALA antibodies can expand treatment ranges beyond high expression targets and leverage strong immune responses."
2024 Mar 12,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 Mar 12;121(11):e2311726121. doi: ,"['Case, Marshall', 'Smith, Matthew', 'Vinh, Jordan', 'Thurber, Greg']","[' proteins metabolism', ' machine learning', 'protein engineering methods', 'mutation', 'gene library', 'directed evolution', 'machine learning', 'protein engineering']",Machine learning to predict continuous protein properties from binary cell sorting data and map unseen sequence space.,"Proteins are a diverse class of biomolecules responsible for wide-ranging cellular functions, from catalyzing reactions to recognizing pathogens. The ability to evolve proteins rapidly and inexpensively toward improved properties is a common objective for protein engineers. Powerful high-throughput methods like fluorescent activated cell sorting and next-generation sequencing have dramatically improved directed evolution experiments. However, it is unclear how to best leverage these data to characterize protein fitness landscapes more completely and identify lead candidates. In this work, we develop a simple yet powerful framework to improve protein optimization by predicting continuous protein properties from simple directed evolution experiments using interpretable, linear machine learning models. Importantly, we find that these models, which use data from simple but imprecise experimental estimates of protein fitness, have predictive capabilities that approach more precise but expensive data. Evaluated across five diverse protein engineering tasks, continuous properties are consistently predicted from readily available deep sequencing data, demonstrating that protein fitness space can be reasonably well modeled by linear relationships among sequence mutations. To prospectively test the utility of this approach, we generated a library of stapled peptides and applied the framework to predict affinity and specificity from simple cell sorting data. We then coupled integer linear programming, a method to optimize protein fitness from linear weights, with mutation scores from machine learning to identify variants in unseen sequence space that have improved and co-optimal properties. This approach represents a versatile tool for improved analysis and identification of protein variants across many domains of protein engineering."
2024 Feb,"Neoplasia (New York, N.Y.)",Neoplasia. 2024 Feb;48:100962. doi: 10.1016/j.neo.2023.100962. Epub 2024 Jan 5.,"['Kopp, Anna', 'Kwon, Hyeyoung', 'Johnston, Colette', 'Vance, Steven', 'Legg, James', 'Galson-Holt, Laurie', 'Thurber, Greg M']","['humans', 't-lymphocytes', ' antibodies, bispecific pharmacology chemistry', 'albumins therapeutic use', ' neoplasms drug therapy', ' antineoplastic agents therapeutic use', 'bispecific antibodies', 'heterotypic spheroids', 'single domain antibodies', 't-cell activating agents', 'tumoral distribution']",Impact of tissue penetration and albumin binding on design of T cell targeted bispecific agents.,"Bispecific agents are a rapidly growing class of cancer therapeutics, and immune targeted bispecific agents have the potential to expand functionality well beyond monoclonal antibody agents. Humabodies⁎ are fully human single domain antibodies that can be linked in a modular fashion to form multispecific therapeutics. However, the effect of heterogeneous delivery on the efficacy of crosslinking bispecific agents is currently unclear. In this work, we utilize a PSMA-CD137 Humabody with an albumin binding half-life extension (HLE) domain to determine the impact of tissue penetration on T cell activating bispecific agents. Using heterotypic spheroids, we demonstrate that increased tissue penetration results in higher T cell activation at sub-saturating concentrations. Next, we tested the effect of two different albumin binding moieties on tissue distribution using albumin-specific HLE domains with varying affinities for albumin and a non-specific lipophilic dye. The results show that a specific binding mechanism to albumin does not influence tissue penetration, but a non-specific mechanism reduced both spheroid uptake and distribution in the presence of albumin. These results highlight the potential importance of tissue penetration on bispecific agent efficacy and describe how the design parameters including albumin-binding domains can be selected to maximize the efficacy of bispecific agents."
2024 Mar 4,Molecular cancer therapeutics,Mol Cancer Ther. 2024 Mar 4;23(3):343-353. doi: 10.1158/1535-7163.MCT-23-0437.,"['Nessler, Ian', 'Rubahamya, Baron', 'Kopp, Anna', 'Hofsess, Scott', 'Cardillo, Thomas M', 'Sathyanarayan, Nalini', 'Donnell, Jennifer', 'Govindan, Serengulam V', 'Thurber, Greg M']","['animals', ' immunoconjugates', 'carcinoembryonic antigen', 'irinotecan', 'cell line, tumor', 'antibodies, monoclonal', ' antineoplastic agents']",Improving Intracellular Delivery of an Antibody-Drug Conjugate Targeting Carcinoembryonic Antigen Increases Efficacy at Clinically Relevant Doses In Vivo.,"Solid tumor antibody-drug conjugates (ADC) have experienced more clinical success in the last 5 years than the previous 18-year span since the first ADC approval in 2000. While recent advances in protein engineering, linker design, and payload variations have played a role in this success, high expression and readily internalized targets have also been crucial to solid tumor therapy. However, these factors are also paradoxically connected to poor tissue penetration and lower efficacy. Previous work shows that potent ADCs can benefit from slower internalization under subsaturating doses to improve tissue penetration and increase tumor response. In contrast, faster internalization is predicted to increase efficacy under higher, tumor saturating doses. In this work, the intracellular delivery of SN-38 conjugated to an anti-carcinoembryonic antigen (anti-CEA) antibody (Ab) is increased by coadministering a noncompeting (cross-linking) anti-CEA Ab to improve efficacy in a colorectal carcinoma animal model. The SN-38 payload enables broad tumor saturation with clinically-tolerable doses, and under these saturating conditions, using a second CEA receptor cross-linking Ab yields faster internalization, which increases tumor killing efficacy. Our spheroid results show indirect bystander killing can also occur, but the more efficient direct cell killing from targeted intracellular payload release drives a greater tumor response. These results provide a strategy to increase therapeutic effectiveness with improved intracellular delivery under tumor saturating doses with the potential to expand the ADC target repertoire."
2023 Oct,The Journal of pharmacology and experimental therapeutics,J Pharmacol Exp Ther. 2023 Oct;387(1):78-91. doi: 10.1124/jpet.122.001540. Epub ,"['Khera, Eshita', 'Kim, Jaeyeon', 'Stein, Andrew', 'Ratanapanichkich, Matt', 'Thurber, Greg M']","['humans', ' models, theoretical', 'antibodies, monoclonal', 'computer simulation', 'drug development', ' neoplasms diagnostic imaging drug therapy']",Mechanistically Weighted Metric to Predict In Vivo Antibody-Receptor Occupancy: An Analytical Approach.,"In situ clinical measurement of receptor occupancy (RO) is challenging, particularly for solid tumors, necessitating the use of mathematical models that predict tumor receptor occupancy to guide dose decisions. A potency metric, average free tissue target to initial target ratio (AFTIR), was previously described based on a mechanistic compartmental model and is informative for near-saturating dose regimens. However, the metric fails at clinically relevant subsaturating antibody doses, as compartmental models cannot capture the spatial heterogeneity of distribution faced by some antibodies in solid tumors. Here we employ a partial differential equation (PDE) Krogh cylinder model to simulate spatiotemporal receptor occupancy and derive an analytical solution, a mechanistically weighted global AFTIR, that can better predict receptor occupancy regardless of dosing regimen. In addition to the four key parameters previously identified, a fifth key parameter, the absolute receptor density (targets/cell), is incorporated into the mechanistic AFTIR metric. Receptor density can influence equilibrium intratumoral drug concentration relative to whether the dose is saturating or not, thereby influencing the tumor penetration depth of the antibody. We derive mechanistic RO predictions based on distinct patterns of antibody tumor penetration, presented as a global AFTIR metric guided by a Thiele Modulus and a local saturation potential (drug equivalent of binding potential for positron emissions tomography imaging) and validate the results using rigorous global and local sensitivity analysis. This generalized AFTIR serves as a more accurate analytical metric to aid clinical dose decisions and rational design of antibody-based therapeutics without the need for extensive PDE simulations. SIGNIFICANCE STATEMENT: Determining antibody-receptor occupancy (RO) is critical for dosing decisions in pharmaceutical development, but direct clinical measurement of RO is often challenging and invasive, particularly for solid tumors. Significant efforts have been made to develop mathematical models and simplified analytical metrics of RO, but these often require complex computer simulations. Here we present a mathematically rigorous but simplified analytical model to accurately predict RO across a range of affinities, doses, drug, and tumor properties."
2023 Mar 15,Bioconjugate chemistry,Bioconjug Chem. 2023 Mar 15;34(3):538-548. doi: 10.1021/acs.bioconjchem.2c00611. ,"['de Bever, Laureen', 'Popal, Sorraya', 'van Schaik, Jord', 'Rubahamya, Baron', 'van Delft, Floris L', 'Thurber, Greg M', 'van Berkel, Sander S']","['humans', ' immunoconjugates therapeutic use', 'tissue distribution', ' carcinoma, hepatocellular drug therapy', ' liver neoplasms drug therapy', ' antineoplastic agents', 'technology']",Generation of DAR1 Antibody-Drug Conjugates for Ultrapotent Payloads Using Tailored GlycoConnect Technology.,"GlycoConnect technology can be readily adapted to provide different drug-to-antibody ratios (DARs) and is currently also evaluated in various clinical programs, including ADCT-601 (DAR2), MRG004a (DAR4), and XMT-1660 (DAR6). While antibody-drug conjugates (ADCs) typically feature a DAR2-8, it has become clear that ADCs with ultrapotent payloads (e.g., PBD dimers and calicheamicin) can only be administered to patients at low doses (<0.5 mg/kg), which may compromise effective biodistribution and may be insufficient to reach target receptor saturation in the tumor. Here, we show that GlycoConnect technology can be readily extended to DAR1 ADCs without the need of antibody re-engineering. We demonstrate that various ultrapotent, cytotoxic payloads are amenable to this methodology. In a follow-up experiment, HCC-1954 tumor spheroids were treated with either an AlexaFluor647-labeled DAR1 or DAR2 PBD-based ADC to study the effect on tumor penetration. Significant improvement of tumor spheroid penetration was observed for the DAR1 ADC compared to the DAR2 ADC at an equal payload dose, underlining the potential of a lower DAR for ADCs bearing ultrapotent payloads."
2022 Oct 7,The AAPS journal,AAPS J. 2022 Oct 7;24(6):107. doi: 10.1208/s12248-022-00756-4.,"['Menezes, Bruna', 'Khera, Eshita', 'Calopiz, Melissa', 'Smith, Michael D', 'Ganno, Michelle L', 'Cilliers, Cornelius', 'Abu-Yousif, Adnan O', 'Linderman, Jennifer J', 'Thurber, Greg M']","['animals', 'antibodies', ' antineoplastic agents pharmacology therapeutic use', 'bystander effect', 'cell line, tumor', 'humans', ' immunoconjugates pharmacokinetics', 'mice', ' neoplasms drug therapy', 'adc bystander effects', 'agent-based modeling', 'antibody co-administration', 'carrier dose', 'guanylyl-cyclase c targeting']",Pharmacokinetics and Pharmacodynamics of TAK-164 Antibody Drug Conjugate Coadministered with Unconjugated Antibody.,"The development of new antibody-drug conjugates (ADCs) has led to the approval of 7 ADCs by the FDA in 4 years. Given the impact of intratumoral distribution on efficacy of these therapeutics, coadministration of unconjugated antibody with ADC has been shown to improve distribution and efficacy of several ADCs in high and moderately expressed tumor target systems by increasing tissue penetration. However, the benefit of coadministration in low expression systems is less clear. TAK-164, an ADC composed of an anti-GCC antibody (5F9) conjugated to a DGN549 payload, has demonstrated heterogeneous distribution and bystander killing. Here, we evaluated the impact of 5F9 coadministration on distribution and efficacy of TAK-164 in a primary human tumor xenograft mouse model. Coadministration was found to improve the distribution of TAK-164 within the tumor, but it had no significant impact (increase or decrease) on efficacy. Experimental and computational evidence indicates that this was not a result of tumor saturation, increased binding to perivascular cells, or compensatory bystander effects. Rather, the cellular potency of DGN549 was matched with the single-cell uptake of TAK-164 making its IC(50) close to its equilibrium binding affinity (K(D)), and as such, coadministration dilutes total DGN549 in cells below the maximum cytotoxic concentration, thereby offsetting an increased number of targeted cells with decreased ability to kill each cell. These results provide new insights on matching payload potency to ADC delivery to help identify when increasing tumor penetration is beneficial for improving ADC efficacy and demonstrate how mechanistic simulations can be leveraged to design clinically effective ADCs."
2023 Jan 3,Molecular cancer therapeutics,Mol Cancer Ther. 2023 Jan 3;22(1):102-111. doi: 10.1158/1535-7163.MCT-22-0375.,"['Kopp, Anna', 'Hofsess, Scott', 'Cardillo, Thomas M', 'Govindan, Serengulam V', 'Donnell, Jennifer', 'Thurber, Greg M']","['humans', 'drug liberation', 'camptothecin pharmacology', ' immunoconjugates', ' stomach neoplasms drug therapy', 'cell line, tumor']",Antibody-Drug Conjugate Sacituzumab Govitecan Drives Efficient Tissue Penetration and Rapid Intracellular Drug Release.,"Antibody-drug conjugates (ADC) are a rapidly growing class of targeted cancer treatments, but the field has experienced significant challenges from their complex design. This study examined the multiscale distribution of sacituzumab govitecan (SG; Trodelvy), a recently clinically approved ADC, to clarify the mechanism(s) of efficacy given its unique design strategy. We employed a multiscale quantitative pharmacokinetic approach, including near-infrared fluorescence imaging, single-cell flow cytometry measurements, payload distribution via γH2AX pharmacodynamic staining, and a novel dual-labeled fluorescent technique to track the ADC and payload in a high trophoblast cell-surface antigen 2 expression xenograft model of gastric cancer (N"
2022 May 10,Scientific reports,Sci Rep. 2022 May 10;12(1):7677. doi: 10.1038/s41598-022-11648-0.,"['Evans, Reginald', 'Thurber, Greg M']","['antibodies', ' antineoplastic agents', 'cell line, tumor', 'humans', ' immunoconjugates pharmacology', ' neoplasms']",Design of high avidity and low affinity antibodies for in situ control of antibody drug conjugate targeting.,"Antibody-Drug Conjugates (ADCs) have rapidly expanded in the clinic, with 7 new approvals in 3 years. For solid tumors, high doses of ADCs improve tissue penetration and efficacy. These doses are enabled by lower drug-to-antibody ratios and/or co-administration of unconjugated antibody carrier doses to avoid payload toxicity. While effective for highly expressed targets, these strategies may not maintain efficacy with lower target expression. To address this issue, a carrier dose that adjusts binding in situ according to cellular expression was designed using computational modeling. Previous studies demonstrated that coadministration of unconjugated antibody with the corresponding ADC at an 8:1 ratio improves ADCs efficacy in high HER2 expressing tumors. By designing a High Avidity, Low Affinity (HALA) carrier antibody, ADC binding is partially blocked in high expression cells, improving tissue penetration. In contrast, the HALA antibody cannot compete with the ADC in low expressing cells, allowing ADC binding to the majority of receptors. Thus, the amount of competition from the carrier dose automatically adjusts to expression levels, allowing tailored competition between different patients/metastases. The computational model highlights two dimensionless numbers, the Thiele modulus and a newly defined competition number, to design an optimal HALA antibody carrier dose for any target."
2022,Frontiers in pharmacology,Front Pharmacol. 2022 Mar 3;13:836925. doi: 10.3389/fphar.2022.836925. ,"['Dong, Shujun', 'Nessler, Ian', 'Kopp, Anna', 'Rubahamya, Baron', 'Thurber, Greg M']","['checkpoint inhibitors', 'predictive pharmokinetics', 'thiele modulus', 'antibody drug conjugate', 'tissue penetration']",Predictive Simulations in Preclinical Oncology to Guide the Translation of Biologics.,"Preclinical in vivo studies form the cornerstone of drug development and translation, bridging in vitro experiments with first-in-human trials. However, despite the utility of animal models, translation from the bench to bedside remains difficult, particularly for biologics and agents with unique mechanisms of action. The limitations of these animal models may advance agents that are ineffective in the clinic, or worse, screen out compounds that would be successful drugs. One reason for such failure is that animal models often allow clinically intolerable doses, which can undermine translation from otherwise promising efficacy studies. Other times, tolerability makes it challenging to identify the necessary dose range for clinical testing. With the ability to predict pharmacokinetic and pharmacodynamic responses, mechanistic simulations can help advance candidates from in vitro to in vivo and clinical studies. Here, we use basic insights into drug disposition to analyze the dosing of antibody drug conjugates (ADC) and checkpoint inhibitor dosing (PD-1 and PD-L1) in the clinic. The results demonstrate how simulations can identify the most promising clinical compounds rather than the most effective in vitro and preclinical in vivo agents. Likewise, the importance of quantifying absolute target expression and antibody internalization is critical to accurately scale dosing. These predictive models are capable of simulating clinical scenarios and providing results that can be validated and updated along the entire development pipeline starting in drug discovery. Combined with experimental approaches, simulations can guide the selection of compounds at early stages that are predicted to have the highest efficacy in the clinic."
2022 Feb,Molecular cancer therapeutics,Mol Cancer Ther. 2022 Feb;21(2):310-321. doi: 10.1158/1535-7163.MCT-21-0580. Epub ,"['Khera, Eshita', 'Dong, Shujun', 'Huang, Haolong', 'de Bever, Laureen', 'van Delft, Floris L', 'Thurber, Greg M']","['animals', ' antineoplastic agents pharmacology', 'cell line, tumor', ' immunoconjugates chemistry pharmacology']",Cellular-Resolution Imaging of Bystander Payload Tissue Penetration from Antibody-Drug Conjugates.,"After several notable clinical failures in early generations, antibody-drug conjugates (ADC) have made significant gains with seven new FDA approvals within the last 3 years. These successes have been driven by a shift towards mechanistically informed ADC design, where the payload, linker, drug-to-antibody ratio, and conjugation are increasingly tailored to a specific target and clinical indication. However, fundamental aspects needed for design, such as payload distribution, remain incompletely understood. Payloads are often classified as ""bystander"" or ""nonbystander"" depending on their ability to diffuse out of targeted cells into adjacent cells that may be antigen-negative or more distant from tumor vessels, helping to overcome heterogeneous distribution. Seven of the 11 FDA-approved ADCs employ these bystander payloads, but the depth of penetration and cytotoxic effects as a function of physicochemical properties and mechanism of action have not been fully characterized. Here, we utilized tumor spheroids and pharmacodynamic marker staining to quantify tissue penetration of the three major classes of agents: microtubule inhibitors, DNA-damaging agents, and topoisomerase inhibitors. PAMPA data and coculture assays were performed to compare with the 3D tissue culture data. The results demonstrate a spectrum in bystander potential and tissue penetration depending on the physicochemical properties and potency of the payload. Generally, directly targeted cells show a greater response even with bystander payloads, consistent with the benefit of deeper ADC tissue penetration. These results are compared with computational simulations to help scale the data from in vitro and preclinical animal models to the clinic."
