time,journal,doi_info,authors,key words,title,abstract
2024 Jun 12,ChemPlusChem,Chempluschem. 2024 Jun 12:e202400138. doi: 10.1002/cplu.202400138.,"['Hwang, Sung-Won', 'Kim, Minha', 'Liu, Allen']",['synthetic cell   synthetic organelle   energy self-production   atp synthesis'],Towards Synthetic Cells with Self-Producing Energy.,"Autonomous generation of energy, specifically adenosine triphosphate (ATP), is critical for sustaining the engineered functionalities of synthetic cells constructed from the bottom-up. In this mini-review, we categorize studies on ATP-producing synthetic cells into three different approaches: photosynthetic mechanisms, mitochondrial respiration mimicry, and utilization of non-conventional approaches such as exploiting synthetic metabolic pathways. Within this framework, we evaluate the strengths and limitations of each approach and provide directions for future research endeavors. We also introduce a concept of building ATP-generating synthetic organelle that will enable us to mimic cellular respiration in a simpler way than current strategies. This review aims to highlight the importance of energy self-production in synthetic cells, providing suggestions and ideas that may help overcome some longstanding challenges in this field."
2024 Jan 1,Biomolecular concepts,Biomol Concepts. 2024 Apr 1;15(1). doi: 10.1515/bmc-2022-0047. eCollection 2024 ,"['DeNies, Maxwell S', 'Liu, Allen P', 'Schnell, Santiago']","['blotting, western', ' signal transduction', 'western blots', 'biometrology', 'cell signaling', 'experimental design', 'post-translational modification', 'protein abundance', 'quantitative biology', 'reproducibility', 'rigor', 'undergraduate and graduate research education']",Seeing beyond the blot: A critical look at assumptions and raw data interpretation in Western blotting.,"Rapid advancements in technology refine our understanding of intricate biological processes, but a crucial emphasis remains on understanding the assumptions and sources of uncertainty underlying biological measurements. This is particularly critical in cell signaling research, where a quantitative understanding of the fundamental mechanisms governing these transient events is essential for drug development, given their importance in both homeostatic and pathogenic processes. Western blotting, a technique developed decades ago, remains an indispensable tool for investigating cell signaling, protein expression, and protein-protein interactions. While improvements in statistical analysis and methodology reporting have undoubtedly enhanced data quality, understanding the underlying assumptions and limitations of visual inspection in Western blotting can provide valuable additional information for evaluating experimental conclusions. Using the example of agonist-induced receptor post-translational modification, we highlight the theoretical and experimental assumptions associated with Western blotting and demonstrate how raw blot data can offer clues to experimental variability that may not be fully captured by statistical analyses and reported methodologies. This article is not intended as a comprehensive technical review of Western blotting. Instead, we leverage an illustrative example to demonstrate how assumptions about experimental design and data normalization can be revealed within raw data and subsequently influence data interpretation."
2024 Apr 19,ACS synthetic biology,ACS Synth Biol. 2024 Apr 19;13(4):974-997. doi: 10.1021/acssynbio.3c00724. Epub ,"['Rothschild, Lynn J', 'Averesch, Nils J H', 'Strychalski, Elizabeth A', 'Moser, Felix', 'Glass, John I', 'Cruz Perez, Rolando', 'Yekinni, Ibrahim O', 'Rothschild-Mancinelli, Brooke', 'Roberts Kingman, Garrett A', 'Wu, Feilun', 'Waeterschoot, Jorik', 'Ioannou, Ion A', 'Jewett, Michael C', 'Liu, Allen P', 'Noireaux, Vincent', 'Sorenson, Carlise', 'Adamala, Katarzyna P']","[' biotechnology', ' synthetic biology']",Building Synthetic Cells─From the Technology Infrastructure to Cellular Entities.,"The de novo construction of a living organism is a compelling vision. Despite the astonishing technologies developed to modify living cells, building a functioning cell ""from scratch"" has yet to be accomplished. The pursuit of this goal alone has─and will─yield scientific insights affecting fields as diverse as cell biology, biotechnology, medicine, and astrobiology. Multiple approaches have aimed to create biochemical systems manifesting common characteristics of life, such as compartmentalization, metabolism, and replication and the derived features, evolution, responsiveness to stimuli, and directed movement. Significant achievements in synthesizing each of these criteria have been made, individually and in limited combinations. Here, we review these efforts, distinguish different approaches, and highlight bottlenecks in the current research. We look ahead at what work remains to be accomplished and propose a ""roadmap"" with key milestones to achieve the vision of building cells from molecular parts."
2024 Mar 8,Journal of visualized experiments : JoVE,J Vis Exp. 2024 Mar 8;(205). doi: 10.3791/66595.,"['Loi, Kyle J', 'Moghimianavval, Hossein', 'Liu, Allen P']","[' membrane proteins metabolism', ' lipid bilayers', 'unilamellar liposomes metabolism', 'membranes metabolism', 'protein sorting signals']",Reconstitution of the Bacterial Glutamate Receptor Channel by Encapsulation of a Cell-Free Expression System.,"Cell-free expression (CFE) systems are powerful tools in synthetic biology that allow biomimicry of cellular functions like biosensing and energy regeneration in synthetic cells. Reconstruction of a wide range of cellular processes, however, requires successful reconstitution of membrane proteins into the membrane of synthetic cells. While the expression of soluble proteins is usually successful in common CFE systems, the reconstitution of membrane proteins in lipid bilayers of synthetic cells has proven to be challenging. Here, a method for reconstitution of a model membrane protein, bacterial glutamate receptor (GluR0), in giant unilamellar vesicles (GUVs) as model synthetic cells based on encapsulation and incubation of the CFE reaction inside synthetic cells is demonstrated. Utilizing this platform, the effect of substituting the N-terminal signal peptide of GluR0 with proteorhodopsin signal peptide on successful cotranslational translocation of GluR0 into membranes of hybrid GUVs is demonstrated. This method provides a robust procedure that will allow cell-free reconstitution of various membrane proteins in synthetic cells."
2024 Mar 21,NPJ microgravity,NPJ Microgravity. 2024 Mar 21;10(1):35. doi: 10.1038/s41526-024-00386-4.,"['Wubshet, Nadab H', 'Cai, Grace', 'Chen, Samuel J', 'Sullivan, Molly', 'Reeves, Mark', 'Mays, David', 'Harrison, Morgan', 'Varnado, Paul', 'Yang, Benjamin', 'Arreguin-Martinez, Esmeralda', 'Qu, Yunjia', 'Lin, Shan-Shan', 'Duran, Pamela', 'Aguilar, Carlos', 'Giza, Shelby', 'Clements, Twyman', 'Liu, Allen P']",[],Cellular mechanotransduction of human osteoblasts in microgravity.,"Astronauts experience significant and rapid bone loss as a result of an extended stay in space, making the International Space Station (ISS) the perfect laboratory for studying osteoporosis due to the accelerated nature of bone loss on the ISS. This prompts the question, how does the lack of load due to zero-gravity propagate to bone-forming cells, human fetal osteoblasts (hFOBs), altering their maturation to mineralization? Here, we aim to study the mechanotransduction mechanisms by which bone loss occurs in microgravity. Two automated experiments, microfluidic chips capable of measuring single-cell mechanics via aspiration and cell spheroids incubated in pressure-controlled chambers, were each integrated into a CubeLab deployed to the ISS National Laboratory. For the first experiment, we report protrusion measurements of aspirated cells after exposure to microgravity at the ISS and compare these results to ground control conducted inside the CubeLab. We found slightly elongated protrusions for space samples compared to ground samples indicating softening of hFOB cells in microgravity. In the second experiment, we encapsulated osteoblast spheroids in collagen gel and incubated the samples in pressure-controlled chambers. We found that microgravity significantly reduced filamentous actin levels in the hFOB spheroids. When subjected to pressure, the spheroids exhibited increased pSMAD1/5/9 expression, regardless of the microgravity condition. Moreover, microgravity reduced YAP expression, while pressure increased YAP levels, thus restoring YAP expression for spheroids in microgravity. Our study provides insights into the influence of microgravity on the mechanical properties of bone cells and the impact of compressive pressure on cell signaling in space."
2024 Apr 15,Acta biomaterialia,Acta Biomater. 2024 Apr 15;179:192-206. doi: 10.1016/j.actbio.2024.03.007. Epub ,"['Cai, Grace', 'Li, Xinzhi', 'Lin, Shan-Shan', 'Chen, Samuel J', 'Rodgers, Nicole C', 'Koning, Katherine M', 'Bi, Dapeng', 'Liu, Allen P']","[' spheroids, cellular metabolism', ' cell movement', 'humans', 'cell line, tumor', 'cell adhesion', 'tumor microenvironment', 'extracellular matrix metabolism', 'models, biological', '3d cell culture', 'cancer invasion', 'cell–cell adhesion', 'hydrogels']",Matrix confinement modulates 3D spheroid sorting and burst-like collective migration.,"While it is known that cells with differential adhesion tend to segregate and preferentially sort, the physical forces governing sorting and invasion in heterogeneous tumors remain poorly understood. To investigate this, we tune matrix confinement, mimicking changes in the stiffness and confinement of the tumor microenvironment, to explore how physical confinement influences individual and collective cell migration in 3D spheroids. High levels of confinement lead to cell sorting while reducing matrix confinement triggers the collective fluidization of cell motion. Cell sorting, which depends on cell-cell adhesion, is crucial to this phenomenon. Burst-like migration does not occur for spheroids that have not undergone sorting, regardless of the degree of matrix confinement. Using computational Self-Propelled Voronoi modeling, we show that spheroid sorting and invasion into the matrix depend on the balance between cell-generated forces and matrix resistance. The findings support a model where matrix confinement modulates 3D spheroid sorting and unjamming in an adhesion-dependent manner, providing insights into the mechanisms of cell sorting and migration in the primary tumor and toward distant metastatic sites. STATEMENT OF SIGNIFICANCE: The mechanical properties of the tumor microenvironment significantly influence cancer cell migration within the primary tumor, yet how these properties affect intercellular interactions in heterogeneous tumors is not well understood. By utilizing calcium and calcium chelators, we dynamically alter collagen-alginate hydrogel stiffness and investigate tumor cell behavior within co-culture spheroids in response to varying degrees of matrix confinement. High confinement is found to trigger cell sorting while reducing confinement for sorted spheroids facilitates collective cell invasion. Notably, without prior sorting, spheroids do not exhibit burst-like migration, regardless of confinement levels. This work establishes that matrix confinement and intercellular adhesion regulate 3D spheroid dynamics, offering insights into cellular organization and migration within the primary tumor."
2024 Mar 3,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Mar 3:2024.03.03.583164. doi: 10.1101/2024.03.03.583164.,"['Wubshet, Nadab H', 'Cai, Grace', 'Chen, Samuel J', 'Sullivan, Molly', 'Reeves, Mark', 'Mays, David', 'Harrison, Morgan', 'Varnado, Paul', 'Yang, Benjamin', 'Arreguin-Martinez, Esmeralda', 'Qu, Yunjia', 'Lin, Shan-Shan', 'Duran, Pamela', 'Aguilar, Carlos', 'Giza, Shelby', 'Clements, Twyman', 'Liu, Allen P']",[],Cellular mechanotransduction of human osteoblasts in microgravity.,"Astronauts experience significant and rapid bone loss as a result of an extended stay in space, making the International Space Station (ISS) the perfect laboratory for studying osteoporosis due to the accelerated nature of bone loss on the ISS. This prompts the question, how does the lack of load due to zero-gravity propagate to bone-forming cells, human fetal osteoblasts (hFOBs), altering their maturation to mineralization? Here, we aim to study the mechanotransduction mechanisms by which bone loss occurs in microgravity. Two automated experiments, 4 microfluidic chips capable of measuring single-cell mechanics of hFOBs via aspiration and cell spheroids incubated in pressure-controlled chambers, were each integrated into a CubeLab deployed to the ISS National Laboratory. For the first experiment, we report protrusion measurements of aspirated cells after exposure to microgravity at the ISS and compare these results to ground control conducted inside the CubeLab. Our analysis revealed slightly elongated protrusions for space samples compared to ground samples indicating softening of hFOB cells in microgravity. In the second experiment, we encapsulated osteoblast spheroids in collagen gel and incubated the samples in pressure-controlled chambers. We found that microgravity significantly reduced filamentous actin levels in the hFOB spheroids. When subjected to pressure, the spheroids exhibited increased pSMAD1/5/9 expression, regardless of the microgravity condition. Moreover, microgravity reduced YAP expression, while pressure increased YAP levels, thus restoring YAP expression for spheroids in microgravity. Our study provides insights into the influence of microgravity on the mechanical properties of bone cells and the impact of compressive pressure on cell behavior and signaling in space."
2024,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2024;2774:43-58. doi: 10.1007/978-1-0716-3718-0_4.,"['Moghimianavval, Hossein', 'Mohapatra, Sonisilpa', 'Liu, Allen P']","['animals', ' synthetic biology', 'membranes', ' signal transduction', 'biophysics', 'dimerization', 'mammals', 'cell-free expression', 'membrane protein reconstitution', 'membrane–membrane interfaces', 'split protein reconstitution', 'spytag–spycatcher', 'synthetic biology']",A Mammalian-Based Synthetic Biology Toolbox to Engineer Membrane-Membrane Interfaces.,"Intercellular membrane-membrane interfaces are compartments with specialized functions and unique biophysical properties that are essential in numerous cellular processes including cell signaling, development, and immunity. Using synthetic biology to engineer or to create novel cellular functions in the intercellular regions has led to an increasing need for a platform that allows generation of functionalized intercellular membrane-membrane interfaces. Here, we present a synthetic biology platform to engineer functional membrane-membrane interfaces using a pair of dimerizing proteins in both cell-free and cellular environments. We envisage this platform to be a helpful tool for synthetic biologists who wish to engineer novel intercellular signaling and communication systems."
2024 Feb 7,"Cytoskeleton (Hoboken, N.J.)",Cytoskeleton (Hoboken). 2024 Feb 7. doi: 10.1002/cm.21836.,"['Wubshet, Nadab H', 'Young, Cole J', 'Liu, Allen P']","['actin network reconstitution', 'cell mechanics', 'giant unilamellar vesicle encapsulation']",Rearrangement of GUV-confined actin networks in response to micropipette aspiration.,"Although diverse actin network architectures found inside the cell have been individually reconstituted outside of the cell, how different types of actin architectures reorganize under applied forces is not entirely understood. Recently, bottom-up reconstitution has enabled studies where dynamic and phenotypic characteristics of various actin networks can be recreated in an isolated cell-like environment. Here, by creating a giant unilamellar vesicle (GUV)-based cell model encapsulating actin networks, we investigate how actin networks rearrange in response to localized stresses applied by micropipette aspiration. We reconstitute actin bundles and branched bundles in GUVs separately and mechanically perturb them. Interestingly, we find that, when aspirated, protrusive actin bundles that are otherwise randomly oriented in the GUV lumen collapse and align along the axis of the micropipette. However, when branched bundles are aspirated, the network remains intact and outside of the pipette while the GUV membrane is aspirated into the micropipette. These results reveal distinct responses in the rearrangement of actin networks in a network architecture-dependent manner when subjected to physical forces."
2024 Feb 6,ACS nano,ACS Nano. 2024 Feb 6;18(5):4068-4076. doi: 10.1021/acsnano.3c07407. Epub 2024 Jan ,"['Xu, Haobo', 'Herzog, Joshua M', 'Zhou, Yimin', 'Bashirzadeh, Yashar', 'Liu, Allen', 'Adera, Solomon']","['lubricant-impregnated surfaces (lis)', 'oil-infused surfaces', 'planar laser-induced fluorescence (plif)', 'slippery liquid-infused porous surfaces (slips)', 'spreading coefficient', 'wetting ridge', 'wrapping layer']",Visualization and Experimental Characterization of Wrapping Layer Using Planar Laser-Induced Fluorescence.,"Droplets on nanotextured oil-impregnated surfaces have high mobility due to record-low contact angle hysteresis (∼1-3°), attributed to the absence of solid-liquid contact. Past studies have utilized the ultralow droplet adhesion on these surfaces to improve condensation, reduce hydrodynamic drag, and inhibit biofouling. Despite their promising utility, oil-impregnated surfaces are not fully embraced by industry because of the concern for lubricant depletion, the source of which has not been adequately studied. Here, we use planar laser-induced fluorescence (PLIF) to not only visualize the oil layer encapsulating the droplet (aka wrapping layer) but also measure its thickness since the wrapping layer contributes to lubricant depletion. Our PLIF visualization and experiments show that (a) due to the imbalance of interfacial forces at the three-phase contact line, silicone oil forms a wrapping layer on the outer surface of water droplets, (b) the thickness of the wrapping layer is nonuniform both in space and time, and (c) the time-average thickness of the wrapping layer is ∼50 ± 10 nm, a result that compares favorably with our scaling analysis (∼50 nm), which balances the curvature-induced capillary force with the intermolecular van der Waals forces. Our experiments show that, unlike silicone oil, mineral oil does not form a wrapping layer, an observation that can be exploited to mitigate oil depletion of nanotextured oil-impregnated surfaces. Besides advancing our mechanistic understanding of the wrapping oil layer dynamics, the insights gained from this work can be used to quantify the lubricant depletion rate by pendant droplets in dropwise condensation and water harvesting."
2024 Jan 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 6:2024.01.05.574425. doi: 10.1101/2024.01.05.574425.,"['Moghimianavval, Hossein', 'Loi, Kyle J', 'Hwang, Sung-Won', 'Bashirzadeh, Yashar', 'Liu, Allen P']",[],Light-based juxtacrine signaling between synthetic cells.,"Cell signaling through direct physical cell-cell contacts plays vital roles in biology during development, angiogenesis, and immune response. Intercellular communication mechanisms between synthetic cells constructed from the bottom up are majorly reliant on diffusible chemical signals, thus limiting the range of responses in receiver cells. Engineering contact-dependent signaling between synthetic cells promises to unlock more complicated signaling schemes with different types of responses. Here, we design and demonstrate a light-activated contact-dependent communication tool for synthetic cells. We utilize a split bioluminescent protein to limit signal generation exclusively to contact interfaces of synthetic cells, driving the recruitment of a photoswitchable protein in receiver cells, akin to juxtacrine signaling in living cells. Our modular design not only demonstrates contact-dependent communication between synthetic cells but also provides a platform for engineering orthogonal contact-dependent signaling mechanisms."
2023 Oct 9,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2023 Oct 9;62(41):e202308509. doi: ,"['Hwang, Sung-Won', 'Lim, Chung-Man', 'Huynh, Cong Truc', 'Moghimianavval, Hossein', 'Kotov, Nicholas A', 'Alsberg, Eben', 'Liu, Allen P']","['block copolymers', 'functional material', 'stimuli-responsive hydrogel', 'stress-induced degradation', 'vesicles']",Hybrid Vesicles Enable Mechano-Responsive Hydrogel Degradation.,"Stimuli-responsive hydrogels are intriguing biomimetic materials. Previous efforts to develop mechano-responsive hydrogels have mostly relied on chemical modifications of the hydrogel structures. Here, we present a simple, generalizable strategy that confers mechano-responsive behavior on hydrogels. Our approach involves embedding hybrid vesicles, composed of phospholipids and amphiphilic block copolymers, within the hydrogel matrix to act as signal transducers. Under mechanical stress, these vesicles undergo deformation and rupture, releasing encapsulated compounds that can control the hydrogel network. To demonstrate this concept, we embedded vesicles containing ethylene glycol tetraacetic acid (EGTA), a calcium chelator, into a calcium-crosslinked alginate hydrogel. When compressed, the released EGTA sequesters calcium ions and degrades the hydrogel. This study provides a novel method for engineering mechano-responsive hydrogels that may be useful in various biomedical applications."
2024 Feb 4,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 4:2023.07.23.549940. doi: 10.1101/2023.07.23.549940.,"['Cai, Grace', 'Li, Xinzhi', 'Lin, Shan-Shan', 'Chen, Samuel J', 'Rodgers, Nicole C', 'Koning, Katherine M', 'Bi, Dapeng', 'Liu, Allen P']","['3d cell culture', 'cancer invasion', 'cell–cell adhesion', 'hydrogels']",Matrix confinement modulates 3D spheroid sorting and burst-like collective migration.,"While it is known that cells with differential adhesion tend to segregate and preferentially sort, the physical forces governing sorting and invasion in heterogeneous tumors remain poorly understood. To investigate this, we tune matrix confinement, mimicking changes in the stiffness and confinement of the tumor microenvironment, to explore how physical confinement influences individual and collective cell migration in 3D spheroids. High levels of confinement lead to cell sorting while reducing matrix confinement triggers the collective fluidization of cell motion. Cell sorting, which depends on cell-cell adhesion, is crucial to this phenomenon. Burst-like migration does not occur for spheroids that have not undergone sorting, regardless of the degree of matrix confinement. Using computational Self-Propelled Voronoi modeling, we show that spheroid sorting and invasion into the matrix depend on the balance between cell-generated forces and matrix resistance. The findings support a model where matrix confinement modulates 3D spheroid sorting and unjamming in an adhesion-dependent manner, providing insights into the mechanisms of cell sorting and migration in the primary tumor and toward distant metastatic sites."
2024 Apr,SLAS technology,SLAS Technol. 2024 Apr;29(2):100095. doi: 10.1016/j.slast.2023.06.004. Epub 2023 ,"['Hsu, Yen-Yu', 'Hwang, Sung-Won', 'Chen, Samuel J', 'Alsberg, Eben', 'Liu, Allen P']","[' artificial cells', 'mechanotransduction, cellular physiology', 'ion channels metabolism', 'cell membrane metabolism', 'cell-free expression', 'mechanosensitive channel', 'synthetic cell', 'targeted drug delivery']",Development of mechanosensitive synthetic cells for biomedical applications.,"The ability of cells to sense and respond to their physical environment plays a fundamental role in a broad spectrum of biological processes. As one of the most essential molecular force sensors and transducers found in cell membranes, mechanosensitive (MS) ion channels can convert mechanical inputs into biochemical or electrical signals to mediate a variety of sensations. The bottom-up construction of cell-sized compartments displaying cell-like organization, behaviors, and complexity, also known as synthetic cells, has gained popularity as an experimental platform to characterize biological functions in isolation. By reconstituting MS channels in the synthetic lipid bilayers, we envision using mechanosensitive synthetic cells for several medical applications. Here, we describe three different concepts for using ultrasound, shear stress, and compressive stress as mechanical stimuli to activate drug release from mechanosensitive synthetic cells for disease treatments."
2023 Jul 13,"Chemical communications (Cambridge, England)",Chem Commun (Camb). 2023 Jul 13;59(57):8806-8809. doi: 10.1039/d3cc02204h.,"['Hsu, Yen-Yu', 'Chen, Samuel J', 'Bernal-Chanchavac, Julio', 'Sharma, Bineet', 'Moghimianavval, Hossein', 'Stephanopoulos, Nicholas', 'Liu, Allen P']","[' membrane fusion', 'calcium metabolism', ' artificial cells', 'snare proteins metabolism']",Calcium-triggered DNA-mediated membrane fusion in synthetic cells.,"In cells, membrane fusion is mediated by SNARE proteins, whose activities are calcium-dependent. While several non-native membrane fusion mechanisms have been demonstrated, few can respond to external stimuli. Here, we develop a calcium-triggered DNA-mediated membrane fusion strategy where fusion is regulated using surface-bound PEG chains that are cleavable by the calcium-activated protease calpain-1."
2023 Jun 2,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jun 2:2023.05.06.539684. doi: 10.1101/2023.05.06.539684.,"['Hsu, Yen-Yu', 'Chen, Samuel J', 'Bernal-Chanchavac, Julio', 'Sharma, Bineet', 'Moghimianavval, Hossein', 'Stephanopoulos, Nicholas', 'Liu, Allen P']",[],Calcium-triggered DNA-mediated membrane fusion in synthetic cells.,"In cells, membrane fusion is mediated by SNARE proteins, whose activities are calcium-dependent. While several non-native membrane fusion mechanisms have been demonstrated, few can respond to external stimuli. Here, we develop a calcium-triggered DNA-mediated membrane fusion strategy where fusion is regulated using surface-bound PEG chains that are cleavable by the calcium-activated protease calpain-1."
2023,Computational and structural biotechnology journal,Comput Struct Biotechnol J. 2022 Dec 18;21:550-562. doi: ,"['Wubshet, Nadab H', 'Liu, Allen P']","['afm', 'acoustic deformation', 'electrodeformation', 'guv', 'guv mechanics', 'microfluidics', 'micropipette aspiration', 'optical stretching']",Methods to mechanically perturb and characterize GUV-based minimal cell models.,"Cells shield organelles and the cytosol via an active boundary predominantly made of phospholipids and membrane proteins, yet allowing communication between the intracellular and extracellular environment. Micron-sized liposome compartments commonly known as giant unilamellar vesicles (GUVs) are used to model the cell membrane and encapsulate biological materials and processes in a cell-like confinement. In the field of bottom-up synthetic biology, many have utilized GUVs as substrates to study various biological processes such as protein-lipid interactions, cytoskeletal assembly, and dynamics of protein synthesis. Like cells, it is ideal that GUVs are also mechanically durable and able to stay intact when the inner and outer environment changes. As a result, studies have demonstrated approaches to tune the mechanical properties of GUVs by modulating membrane composition and lumenal material property. In this context, there have been many different methods developed to test the mechanical properties of GUVs. In this review, we will survey various perturbation techniques employed to mechanically characterize GUVs."
2023 Jan 27,ACS sensors,ACS Sens. 2023 Jan 27;8(1):12-18. doi: 10.1021/acssensors.2c01921. Epub 2023 Jan ,"['Hsu, Yen-Yu', 'Resto Irizarry, Agnes M', 'Fu, Jianping', 'Liu, Allen P']","[' ion channels', 'escherichia coli metabolism', 'cell membrane metabolism', ' escherichia coli proteins metabolism', 'cell mechanics', 'mechanosensitive channel', 'membrane tension', 'protein engineering', 'reporter']",Mechanosensitive Channel-Based Optical Membrane Tension Reporter.,"Plasma membrane tension functions as a global physical organizer of cellular activities. Technical limitations of current membrane tension measurement techniques have hampered in-depth investigation of cellular membrane biophysics and the role of plasma membrane tension in regulating cellular processes. Here, we develop an optical membrane tension reporter by repurposing an E. coli mechanosensitive channel via insertion of circularly permuted GFP (cpGFP), which undergoes a large conformational rearrangement associated with channel activation and thus fluorescence intensity changes under increased membrane tension."
2023 Jun 6,Biophysical journal,Biophys J. 2023 Jun 6;122(11):2068-2081. doi: 10.1016/j.bpj.2022.11.026. Epub ,"['Wubshet, Nadab H', 'Wu, Bowei', 'Veerapaneni, Shravan', 'Liu, Allen P']","[' actins chemistry', ' cytoskeleton metabolism', 'actin cytoskeleton metabolism', 'unilamellar liposomes chemistry', 'cytosol metabolism']",Differential regulation of GUV mechanics via actin network architectures.,"Actin networks polymerize and depolymerize to construct highly organized structures, thereby endowing the mechanical phenotypes found in a cell. It is generally believed that the amount of filamentous actin and actin network architecture determine cytoplasmic viscoelasticity of the whole cell. However, the intrinsic complexity of a cell and the presence of endogenous cellular components make it difficult to study the differential roles of distinct actin networks in regulating cell mechanics. Here, we model a cell by using giant unilamellar vesicles (GUVs) encapsulating actin filaments and networks assembled by various actin cross-linker proteins. Perturbation of these cytoskeletal vesicles using alternating current electric fields revealed that deformability depends on actin network architecture. While actin-free vesicles exhibited large electromechanical deformations, deformations of GUVs encapsulating actin filaments were significantly dampened. The suppression of electrodeformation of actin-GUVs can be similarly recapitulated by using aqueous poly(ethylene glycol) 8000 solutions at different concentrations to modulate solution viscoelasticity. Furthermore, networks cross-linked by alpha actinin resulted in decreased GUV deformability compared with actin-filament-encapsulating GUVs, and membrane-associated actin networks, through the formation of the dendritic actin cortex, greatly dampened electrodeformation of GUVs. These results highlight that the organization of actin networks regulates the mechanics of GUVs and shed insights into the origin of differential deformability of cells."
2022,Frontiers in cell and developmental biology,Front Cell Dev Biol. 2022 Oct 4;10:933042. doi: 10.3389/fcell.2022.933042. ,"['Cai, Grace', 'Nguyen, Anh', 'Bashirzadeh, Yashar', 'Lin, Shan-Shan', 'Bi, Dapeng', 'Liu, Allen P']","['cell shape', 'cell–cell adhesion', 'collective migration', 'traction force microscopy', 'unjamming transition']",Compressive stress drives adhesion-dependent unjamming transitions in breast cancer cell migration.,"Cellular unjamming is the collective fluidization of cell motion and has been linked to many biological processes, including development, wound repair, and tumor growth. In tumor growth, the uncontrolled proliferation of cancer cells in a confined space generates mechanical compressive stress. However, because multiple cellular and molecular mechanisms may be operating simultaneously, the role of compressive stress in unjamming transitions during cancer progression remains unknown. Here, we investigate which mechanism dominates in a dense, mechanically stressed monolayer. We find that long-term mechanical compression triggers cell arrest in benign epithelial cells and enhances cancer cell migration in transitions correlated with cell shape, leading us to examine the contributions of cell-cell adhesion and substrate traction in unjamming transitions. We show that cadherin-mediated cell-cell adhesion regulates differential cellular responses to compressive stress and is an important driver of unjamming in stressed monolayers. Importantly, compressive stress does not induce the epithelial-mesenchymal transition in unjammed cells. Furthermore, traction force microscopy reveals the attenuation of traction stresses in compressed cells within the bulk monolayer regardless of cell type and motility. As traction within the bulk monolayer decreases with compressive pressure, cancer cells at the leading edge of the cell layer exhibit sustained traction under compression. Together, strengthened intercellular adhesion and attenuation of traction forces within the bulk cell sheet under compression lead to fluidization of the cell layer and may impact collective cell motion in tumor development and breast cancer progression."
2022 Dec 1,Molecular biology of the cell,Mol Biol Cell. 2022 Dec 1;33(14):ar134. doi: 10.1091/mbc.E22-07-0248. Epub 2022 ,"['Poddar, Abhishek', 'Hsu, Yen-Yu', 'Zhang, Faith', 'Shamma, Abeda', 'Kreais, Zachary', 'Muller, Clare', 'Malla, Mamata', 'Ray, Aniruddha', 'Liu, Allen P', 'Chen, Qian']","[' calcium metabolism', 'calcium signaling', 'cytokinesis', 'permeability', ' schizosaccharomyces metabolism', ' trpp cation channels metabolism', ' schizosaccharomyces pombe proteins metabolism']",Membrane stretching activates calcium permeability of a putative channel Pkd2 during fission yeast cytokinesis.,"Pkd2 is the fission yeast homologue of polycystins. This putative ion channel localizes to the plasma membrane. It is required for the expansion of cell volume during interphase growth and cytokinesis, the last step of cell division. However, the channel activity of Pkd2 remains untested. Here, we examined the calcium permeability and mechanosensitivity of Pkd2 through in vitro reconstitution and calcium imaging of pkd2 mutant cells. Pkd2 was translated and inserted into the lipid bilayers of giant unilamellar vesicles using a cell-free expression system. The reconstituted Pkd2 permeated calcium when the membrane was stretched via hypoosmotic shock. In vivo, inactivation of Pkd2 through a temperature-sensitive mutation pkd2-B42 reduced the average intracellular calcium level by 34%. Compared with the wild type, the hypomorphic mutation pkd2-81KD reduced the amplitude of hypoosmotic shock-triggered calcium spikes by 59%. During cytokinesis, mutations of pkd2 reduced the calcium spikes, accompanying cell separation and the ensuing membrane stretching, by 60%. We concluded that fission yeast polycystin Pkd2 allows calcium influx when activated by membrane stretching, representing a likely mechanosensitive channel that contributes to the cytokinetic calcium spikes."
