time,journal,doi_info,authors,key words,title,abstract
2024,Brain communications,Brain Commun. 2024 May 13;6(3):fcae165. doi: 10.1093/braincomms/fcae165. ,"['Shi, Haoer', 'Pattnaik, Akash Ranjan', 'Aguila, Carlos', 'Lucas, Alfredo', 'Sinha, Nishant', 'Prager, Brian', 'Mojena, Marissa', 'Gallagher, Ryan', 'Parashos, Alexandra', 'Bonilha, Leonardo', 'Gleichgerrcht, Ezequiel', 'Davis, Kathryn A', 'Litt, Brian', 'Conrad, Erin C']","['connectivity', 'intracranial eeg', 'pre-processing', 'relative entropy']",Utility of intracranial EEG networks depends on re-referencing and connectivity choice.,"Studies of intracranial EEG networks have been used to reveal seizure generators in patients with drug-resistant epilepsy. Intracranial EEG is implanted to capture the epileptic network, the collection of brain tissue that forms a substrate for seizures to start and spread. Interictal intracranial EEG measures brain activity at baseline, and networks computed during this state can reveal aberrant brain tissue without requiring seizure recordings. Intracranial EEG network analyses require choosing a reference and applying statistical measures of functional connectivity. Approaches to these technical choices vary widely across studies, and the impact of these technical choices on downstream analyses is poorly understood. Our objective was to examine the effects of different re-referencing and connectivity approaches on connectivity results and on the ability to lateralize the seizure onset zone in patients with drug-resistant epilepsy. We applied 48 pre-processing pipelines to a cohort of 125 patients with drug-resistant epilepsy recorded with interictal intracranial EEG across two epilepsy centres to generate intracranial EEG functional connectivity networks. Twenty-four functional connectivity measures across time and frequency domains were applied in combination with common average re-referencing or bipolar re-referencing. We applied an unsupervised clustering algorithm to identify groups of pre-processing pipelines. We subjected each pre-processing approach to three quality tests: (i) the introduction of spurious correlations; (ii) robustness to incomplete spatial sampling; and (iii) the ability to lateralize the clinician-defined seizure onset zone. Three groups of similar pre-processing pipelines emerged: common average re-referencing pipelines, bipolar re-referencing pipelines and relative entropy-based connectivity pipelines. Relative entropy and common average re-referencing networks were more robust to incomplete electrode sampling than bipolar re-referencing and other connectivity methods (Friedman test, Dunn-Šidák test P < 0.0001). Bipolar re-referencing reduced spurious correlations at non-adjacent channels better than common average re-referencing (Δ mean from machine ref = -0.36 versus -0.22) and worse in adjacent channels (Δ mean from machine ref = -0.14 versus -0.40). Relative entropy-based network measures lateralized the seizure onset hemisphere better than other measures in patients with temporal lobe epilepsy (Benjamini-Hochberg-corrected P < 0.05, Cohen's d: 0.60-0.76). Finally, we present an interface where users can rapidly evaluate intracranial EEG pre-processing choices to select the optimal pre-processing methods tailored to specific research questions. The choice of pre-processing methods affects downstream network analyses. Choosing a single method among highly correlated approaches can reduce redundancy in processing. Relative entropy outperforms other connectivity methods in multiple quality tests. We present a method and interface for researchers to optimize their pre-processing methods for deriving intracranial EEG brain networks."
2024 May 20,Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc. 2024 May 20;31(6):1348-1355. doi: 10.1093/jamia/ocae047.,"['Xie, Kevin', 'Ojemann, William K S', 'Gallagher, Ryan S', 'Shinohara, Russell T', 'Lucas, Alfredo', 'Hill, Chloé E', 'Hamilton, Roy H', 'Johnson, Kevin B', 'Roth, Dan', 'Litt, Brian', 'Ellis, Colin A']","['humans', 'female', 'male', 'adult', ' healthcare disparities', ' seizures', ' epilepsy', 'middle aged', 'natural language processing', 'social determinants of health', 'adolescent', 'young adult', 'language', 'clinical informatics', 'electronic health record', 'health disparities', 'natural language processing']",Disparities in seizure outcomes revealed by large language models.,"OBJECTIVE: Large-language models (LLMs) can potentially revolutionize health care delivery and research, but risk propagating existing biases or introducing new ones. In epilepsy, social determinants of health are associated with disparities in care access, but their impact on seizure outcomes among those with access remains unclear. Here we (1) evaluated our validated, epilepsy-specific LLM for intrinsic bias, and (2) used LLM-extracted seizure outcomes to determine if different demographic groups have different seizure outcomes. MATERIALS AND METHODS: We tested our LLM for differences and equivalences in prediction accuracy and confidence across demographic groups defined by race, ethnicity, sex, income, and health insurance, using manually annotated notes. Next, we used LLM-classified seizure freedom at each office visit to test for demographic outcome disparities, using univariable and multivariable analyses. RESULTS: We analyzed 84 675 clinic visits from 25 612 unique patients seen at our epilepsy center. We found little evidence of bias in the prediction accuracy or confidence of outcome classifications across demographic groups. Multivariable analysis indicated worse seizure outcomes for female patients (OR 1.33, P ≤ .001), those with public insurance (OR 1.53, P ≤ .001), and those from lower-income zip codes (OR ≥1.22, P ≤ .007). Black patients had worse outcomes than White patients in univariable but not multivariable analysis (OR 1.03, P = .66). CONCLUSION: We found little evidence that our LLM was intrinsically biased against any demographic group. Seizure freedom extracted by LLM revealed disparities in seizure outcomes across several demographic groups. These findings quantify the critical need to reduce disparities in the care of people with epilepsy."
2023 Dec 29,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2023 Dec 29:2023.12.28.23300409. doi: ,"['Lucas, Alfredo', 'Campbell Arnold, T', 'Okar, Serhat V', 'Vadali, Chetan', 'Kawatra, Karan D', 'Ren, Zheng', 'Cao, Quy', 'Shinohara, Russell T', 'Schindler, Matthew K', 'Davis, Kathryn A', 'Litt, Brian', 'Reich, Daniel S', 'Stein, Joel M']",[],Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data.,"INTRODUCTION: Portable low-field strength (64mT) MRI scanners promise to increase access to neuroimaging for clinical and research purposes, however these devices produce lower quality images compared to high-field scanners. In this study, we developed and evaluated a deep learning architecture to generate high-field quality brain images from low-field inputs using a paired dataset of multiple sclerosis (MS) patients scanned at 64mT and 3T. METHODS: A total of 49 MS patients were scanned on portable 64mT and standard 3T scanners at Penn (n=25) or the National Institutes of Health (NIH, n=24) with T1-weighted, T2-weighted and FLAIR acquisitions. Using this paired data, we developed a generative adversarial network (GAN) architecture for low- to high-field image translation (LowGAN). We then evaluated synthesized images with respect to image quality, brain morphometry, and white matter lesions. RESULTS: Synthetic high-field images demonstrated visually superior quality compared to low-field inputs and significantly higher normalized cross-correlation (NCC) to actual high-field images for T1 (p=0.001) and FLAIR (p<0.001) contrasts. LowGAN generally outperformed the current state-of-the-art for low-field volumetrics. For example, thalamic, lateral ventricle, and total cortical volumes in LowGAN outputs did not differ significantly from 3T measurements. Synthetic outputs preserved MS lesions and captured a known inverse relationship between total lesion volume and thalamic volume. CONCLUSIONS: LowGAN generates synthetic high-field images with comparable visual and quantitative quality to actual high-field scans. Enhancing portable MRI image quality could add value and boost clinician confidence, enabling wider adoption of this technology."
2023 Dec 14,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2023 Dec 14:2023.12.13.23299907. doi: ,"['Conrad, Erin C', 'Lucas, Alfredo', 'Ojemann, William K S', 'Aguila, Carlos A', 'Mojena, Marissa', 'LaRocque, Joshua J', 'Pattnaik, Akash R', 'Gallagher, Ryan', 'Greenblatt, Adam', 'Tranquille, Ashley', 'Parashos, Alexandra', 'Gleichgerrcht, Ezequiel', 'Bonilha, Leonardo', 'Litt, Brian', 'Sinha, Saurabh', 'Ungar, Lyle', 'Davis, Kathryn A']","['eeg', 'interictal eeg', 'intracranial eeg', 'temporal lobe epilepsy']",Interictal intracranial EEG asymmetry lateralizes temporal lobe epilepsy.,"Patients with drug-resistant temporal lobe epilepsy often undergo intracranial EEG recording to capture multiple seizures in order to lateralize the seizure onset zone. This process is associated with morbidity and often ends in postoperative seizure recurrence. Abundant interictal (between-seizure) data is captured during this process, but these data currently play a small role in surgical planning. Our objective was to predict the laterality of the seizure onset zone using interictal (between-seizure) intracranial EEG data in patients with temporal lobe epilepsy. We performed a retrospective cohort study (single-center study for model development; two-center study for model validation). We studied patients with temporal lobe epilepsy undergoing intracranial EEG at the University of Pennsylvania (internal cohort) and the Medical University of South Carolina (external cohort) between 2015 and 2022. We developed a logistic regression model to predict seizure onset zone laterality using interictal EEG. We compared the concordance between the model-predicted seizure onset zone laterality and the side of surgery between patients with good and poor surgical outcomes. 47 patients (30 women; ages 20-69; 20 left-sided, 10 right-sided, and 17 bilateral seizure onsets) were analyzed for model development and internal validation. 19 patients (10 women; ages 23-73; 5 left-sided, 10 right-sided, 4 bilateral) were analyzed for external validation. The internal cohort cross-validated area under the curve for a model trained using spike rates was 0.83 for a model predicting left-sided seizure onset and 0.68 for a model predicting right-sided seizure onset. Balanced accuracies in the external cohort were 79.3% and 78.9% for the left- and right-sided predictions, respectively. The predicted concordance between the laterality of the seizure onset zone and the side of surgery was higher in patients with good surgical outcome. In conclusion, interictal EEG signatures are distinct across seizure onset zone lateralities. Left-sided seizure onsets are easier to distinguish than right-sided onsets. A model trained on spike rates accurately identifies patients with left-sided seizure onset zones and predicts surgical outcome."
2024 Mar,Epilepsia,Epilepsia. 2024 Mar;65(3):817-829. doi: 10.1111/epi.17863. Epub 2024 Jan 10.,"['Lucas, Alfredo', 'Scheid, Brittany H', 'Pattnaik, Akash R', 'Gallagher, Ryan', 'Mojena, Marissa', 'Tranquille, Ashley', 'Prager, Brian', 'Gleichgerrcht, Ezequiel', 'Gong, Ruxue', 'Litt, Brian', 'Davis, Kathryn A', 'Das, Sandhitsu', 'Stein, Joel M', 'Sinha, Nishant']","['humans', ' electrocorticography methods', 'retrospective studies', 'prospective studies', ' epilepsy diagnostic imaging surgery', 'magnetic resonance imaging methods', 'electrodes', 'electroencephalography methods', 'electrodes, implanted', 'drug-resistant epilepsy', 'intracranial electrodes', 'machine learning', 'multimodal', 'presurgical planning']",iEEG-recon: A fast and scalable pipeline for accurate reconstruction of intracranial electrodes and implantable devices.,"OBJECTIVE: Clinicians use intracranial electroencephalography (iEEG) in conjunction with noninvasive brain imaging to identify epileptic networks and target therapy for drug-resistant epilepsy cases. Our goal was to promote ongoing and future collaboration by automating the process of ""electrode reconstruction,"" which involves the labeling, registration, and assignment of iEEG electrode coordinates on neuroimaging. We developed a standalone, modular pipeline that performs electrode reconstruction. We demonstrate our tool's compatibility with clinical and research workflows and its scalability on cloud platforms. METHODS: We created iEEG-recon, a scalable electrode reconstruction pipeline for semiautomatic iEEG annotation, rapid image registration, and electrode assignment on brain magnetic resonance imaging (MRI). Its modular architecture includes a clinical module for electrode labeling and localization, and a research module for automated data processing and electrode contact assignment. To ensure accessibility for users with limited programming and imaging expertise, we packaged iEEG-recon in a containerized format that allows integration into clinical workflows. We propose a cloud-based implementation of iEEG-recon and test our pipeline on data from 132 patients at two epilepsy centers using retrospective and prospective cohorts. RESULTS: We used iEEG-recon to accurately reconstruct electrodes in both electrocorticography and stereoelectroencephalography cases with a 30-min running time per case (including semiautomatic electrode labeling and reconstruction). iEEG-recon generates quality assurance reports and visualizations to support epilepsy surgery discussions. Reconstruction outputs from the clinical module were radiologically validated through pre- and postimplant T1-MRI visual inspections. We also found that our use of ANTsPyNet deep learning-based brain segmentation for electrode classification was consistent with the widely used FreeSurfer segmentations. SIGNIFICANCE: iEEG-recon is a robust pipeline for automating reconstruction of iEEG electrodes and implantable devices on brain MRI, promoting fast data analysis and integration into clinical workflows. iEEG-recon's accuracy, speed, and compatibility with cloud platforms make it a useful resource for epilepsy centers worldwide."
2024 Jan,Epilepsy & behavior : E&B,Epilepsy Behav. 2024 Jan;150:109572. doi: 10.1016/j.yebeh.2023.109572. Epub 2023 ,"['Emmert, Brian E', 'Xie, Kevin', 'Conrad, Erin C', 'Ghosn, Nina J', 'Bauman, Kristie', 'Korzun, Jacob', 'Kulick-Soper, Catherine V', 'Naveed, Omer', 'Hartmann, Nicole', 'LaRocque, Joshua J', 'Mindy Ganguly, Taneeta', 'Gugger, James J', 'Raghupathi, Ramya', 'Gelfand, Michael A', 'Davis, Kathryn A', 'Sinha, Saurabh R', 'Litt, Brian', 'Shinohara, Russell T', 'Ellis, Colin A']","['humans', 'retrospective studies', ' electroencephalography methods', 'seizures psychology', ' epilepsy complications diagnosis epidemiology', 'monitoring, physiologic', 'ethanol therapeutic use', 'alcohol', 'epilepsy monitoring unit', 'induction techniques']",Alcohol for seizure induction in the epilepsy monitoring unit.,"RATIONALE: Seizure induction techniques are used in the epilepsy monitoring unit (EMU) to increase diagnostic yield and reduce length of stay. There are insufficient data on the efficacy of alcohol as an induction technique. METHODS: We performed a retrospective cohort study using six years of EMU data at our institution. We compared cases who received alcohol for seizure induction to matched controls who did not. The groups were matched on the following variables: age, reason for admission, length of stay, number of antiseizure medications (ASM) at admission, whether ASMs were tapered during admission, and presence of interictal epileptiform discharges. We used both propensity score and exact matching strategies. We compared the likelihood of epileptic seizures and nonepileptic events in cases versus controls using Kaplan-Meier time-to-event analysis, as well as odds ratios for these outcomes occurring at any time during the admission. RESULTS: We analyzed 256 cases who received alcohol (median dose 2.5 standard drinks) and 256 propensity score-matched controls. Cases who received alcohol were no more likely than controls to have an epileptic seizure (X(2)(1) = 0.01, p = 0.93) or nonepileptic event (X(2)(1) = 2.1, p = 0.14) in the first 48 h after alcohol administration. For the admission overall, cases were no more likely to have an epileptic seizure (OR 0.89, 95 %"
2023 Nov 20,Epilepsia,Epilepsia. 2023 Nov 20:10.1111/epi.17833. doi: 10.1111/epi.17833.,"['Knight, Andrew', 'Gschwind, Tilo', 'Galer, Peter', 'Worrell, Gregory A', 'Litt, Brian', 'Soltesz, Ivan', 'Beniczky, Sándor']","['eeg', 'artificial intelligence', 'seizure']",Artificial intelligence in epilepsy phenotyping.,"Artificial intelligence (AI) allows data analysis and integration at an unprecedented granularity and scale. Here we review the technological advances, challenges, and future perspectives of using AI for electro-clinical phenotyping of animal models and patients with epilepsy. In translational research, AI models accurately identify behavioral states in animal models of epilepsy, allowing identification of correlations between neural activity and interictal and ictal behavior. Clinical applications of AI-based automated and semi-automated analysis of audio and video recordings of people with epilepsy, allow significant data reduction and reliable detection and classification of major motor seizures. AI models can accurately identify electrographic biomarkers of epilepsy, such as spikes, high-frequency oscillations, and seizure patterns. Integrating AI analysis of electroencephalographic, clinical, and behavioral data will contribute to optimizing therapy for patients with epilepsy."
2023 Nov-Dec,Brain stimulation,Brain Stimul. 2023 Nov-Dec;16(6):1709-1718. doi: 10.1016/j.brs.2023.11.005. Epub ,"['Ojemann, William K S', 'Scheid, Brittany H', 'Mouchtaris, Sofia', 'Lucas, Alfredo', 'LaRocque, Joshua J', 'Aguila, Carlos', 'Ashourvan, Arian', 'Caciagli, Lorenzo', 'Davis, Kathryn A', 'Conrad, Erin C', 'Litt, Brian']","['humans', ' electroencephalography methods', ' epilepsy therapy', 'seizures therapy', 'brain', 'biomarkers', 'epilepsy', 'interictal', 'neurostimulation', 'rns', 'spikes']",Resting-state background features demonstrate multidien cycles in long-term EEG device recordings.,"BACKGROUND: Longitudinal EEG recorded by implanted devices is critical for understanding and managing epilepsy. Recent research reports patient-specific, multi-day cycles in device-detected epileptiform events that coincide with increased likelihood of clinical seizures. Understanding these cycles could elucidate mechanisms generating seizures and advance drug and neurostimulation therapies. OBJECTIVE/HYPOTHESIS: We hypothesize that seizure-correlated cycles are present in background neural activity, independent of interictal epileptiform spikes, and that neurostimulation may temporarily interrupt these cycles. METHODS: We analyzed regularly-recorded seizure-free data epochs from 20 patients implanted with a responsive neurostimulation (RNS) device for at least 1.5 years, to explore the relationship between cycles in device-detected interictal epileptiform activity (dIEA), clinician-validated interictal spikes, background EEG features, and neurostimulation. RESULTS: Background EEG features tracked the cycle phase of dIEA in all patients (AUC: 0.63 [0.56-0.67]) with a greater effect size compared to clinically annotated spike rate alone (AUC: 0.55 [0.53-0.61], p < 0.01). After accounting for circadian variation and spike rate, we observed significant population trends in elevated theta and beta band power and theta and alpha connectivity features at the cycle peaks (sign test, p < 0.05). In the period directly after stimulation we observe a decreased association between cycle phase and EEG features compared to background recordings (AUC: 0.58 [0.55-0.64]). CONCLUSIONS: Our findings suggest that seizure-correlated dIEA cycles are not solely due to epileptiform discharges but are associated with background measures of brain state; and that neurostimulation may temporarily interrupt these cycles. These results may help elucidate mechanisms underlying seizure generation, provide new biomarkers for seizure risk, and facilitate monitoring, treating, and managing epilepsy with implantable devices."
2023 Sep 22,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2023 Sep 22:2023.09.20.23295842. doi: ,"['Xie, Kevin', 'Ojemann, William K S', 'Gallagher, Ryan S', 'Lucas, Alfredo', 'Hill, Chloé E', 'Hamilton, Roy H', 'Johnson, Kevin B', 'Roth, Dan', 'Litt, Brian', 'Ellis, Colin A']","['clinical informatics', 'electronic health record', 'health disparities', 'natural language processing']",Disparities in seizure outcomes revealed by large language models.,"OBJECTIVE: Large-language models (LLMs) in healthcare have the potential to propagate existing biases or introduce new ones. For people with epilepsy, social determinants of health are associated with disparities in access to care, but their impact on seizure outcomes among those with access to specialty care remains unclear. Here we (1) evaluated our validated, epilepsy-specific LLM for intrinsic bias, and (2) used LLM-extracted seizure outcomes to test the hypothesis that different demographic groups have different seizure outcomes. METHODS: First, we tested our LLM for intrinsic bias in the form of differential performance in demographic groups by race, ethnicity, sex, income, and health insurance in manually annotated notes. Next, we used LLM-classified seizure freedom at each office visit to test for outcome disparities in the same demographic groups, using univariable and multivariable analyses. RESULTS: We analyzed 84,675 clinic visits from 25,612 patients seen at our epilepsy center 2005-2022. We found no differences in the accuracy, or positive or negative class balance of outcome classifications across demographic groups. Multivariable analysis indicated worse seizure outcomes for female patients (OR 1.33, p = 3×10(-8)), those with public insurance (OR 1.53, p = 2×10(-13)), and those from lower-income zip codes (OR ≥ 1.22, p ≤ 6.6×10(-3)). Black patients had worse outcomes than White patients in univariable but not multivariable analysis (OR 1.03, p = 0.66). SIGNIFICANCE: We found no evidence that our LLM was intrinsically biased against any demographic group. Seizure freedom extracted by LLM revealed disparities in seizure outcomes across several demographic groups. These findings highlight the critical need to reduce disparities in the care of people with epilepsy."
2023 Oct,JAMIA open,JAMIA Open. 2023 Aug 16;6(3):ooad070. doi: 10.1093/jamiaopen/ooad070. eCollection ,"['Xie, Kevin', 'Terman, Samuel W', 'Gallagher, Ryan S', 'Hill, Chloe E', 'Davis, Kathryn A', 'Litt, Brian', 'Roth, Dan', 'Ellis, Colin A']","['clinical informatics', 'electronic health records', 'epilepsy', 'natural language processing']",Generalization of finetuned transformer language models to new clinical contexts.,"OBJECTIVE: We have previously developed a natural language processing pipeline using clinical notes written by epilepsy specialists to extract seizure freedom, seizure frequency text, and date of last seizure text for patients with epilepsy. It is important to understand how our methods generalize to new care contexts. MATERIALS AND METHODS: We evaluated our pipeline on unseen notes from nonepilepsy-specialist neurologists and non-neurologists without any additional algorithm training. We tested the pipeline out-of-institution using epilepsy specialist notes from an outside medical center with only minor preprocessing adaptations. We examined reasons for discrepancies in performance in new contexts by measuring physical and semantic similarities between documents. RESULTS: Our ability to classify patient seizure freedom decreased by at least 0.12 agreement when moving from epilepsy specialists to nonspecialists or other institutions. On notes from our institution, textual overlap between the extracted outcomes and the gold standard annotations attained from manual chart review decreased by at least 0.11 F(1) when an answer existed but did not change when no answer existed; here our models generalized on notes from the outside institution, losing at most 0.02 agreement. We analyzed textual differences and found that syntactic and semantic differences in both clinically relevant sentences and surrounding contexts significantly influenced model performance. DISCUSSION AND CONCLUSION: Model generalization performance decreased on notes from nonspecialists; out-of-institution generalization on epilepsy specialist notes required small changes to preprocessing but was especially good for seizure frequency text and date of last seizure text, opening opportunities for multicenter collaborations using these outcomes."
2023 Jul 27,ArXiv,ArXiv [Preprint]. 2023 Jul 27:arXiv:2307.15170v1.,"['Gallagher, Ryan S', 'Sinha, Nishant', 'Pattnaik, Akash R', 'Ojemann, William K S', 'Lucas, Alfredo', 'LaRocque, Joshua J', 'Bernabei, John M', 'Greenblatt, Adam S', 'Sweeney, Elizabeth M', 'Chen, H Isaac', 'Davis, Kathryn A', 'Conrad, Erin C', 'Litt, Brian']","['epilepsy surgery', 'intracranial eeg', 'normative atlas', 'seizure onset zone', 'spatial coverage']",Quantifying interictal intracranial EEG to predict focal epilepsy.,"INTRODUCTION: Intracranial EEG (IEEG) is used for 2 main purposes, to determine: (1) if epileptic networks are amenable to focal treatment and (2) where to intervene. Currently these questions are answered qualitatively and sometimes differently across centers. There is a need for objective, standardized methods to guide surgical decision making and to enable large scale data analysis across centers and prospective clinical trials. METHODS: We analyzed interictal data from 101 patients with drug resistant epilepsy who underwent presurgical evaluation with IEEG. We chose interictal data because of its potential to reduce the morbidity and cost associated with ictal recording. 65 patients had unifocal seizure onset on IEEG, and 36 were non-focal or multi-focal. We quantified the spatial dispersion of implanted electrodes and interictal IEEG abnormalities for each patient. We compared these measures against the ""5 Sense Score (5SS),"" a pre-implant estimate of the likelihood of focal seizure onset, and assessed their ability to predict the clinicians' choice of therapeutic intervention and the patient outcome. RESULTS: The spatial dispersion of IEEG electrodes predicted network focality with precision similar to the 5SS (AUC = 0.67), indicating that electrode placement accurately reflected pre-implant information. A cross-validated model combining the 5SS and the spatial dispersion of interictal IEEG abnormalities significantly improved this prediction (AUC = 0.79; p<0.05). The combined model predicted ultimate treatment strategy (surgery vs. device) with an AUC of 0.81 and post-surgical outcome at 2 years with an AUC of 0.70. The 5SS, interictal IEEG, and electrode placement were not correlated and provided complementary information. CONCLUSIONS: Quantitative, interictal IEEG significantly improved upon pre-implant estimates of network focality and predicted treatment with precision approaching that of clinical experts. We present this study as an important step in building standardized, quantitative tools to guide epilepsy surgery."
2023 Aug 10,Journal of neural engineering,J Neural Eng. 2023 Aug 10;20(4). doi: 10.1088/1741-2552/aceca1.,"['Pattnaik, Akash R', 'Ghosn, Nina J', 'Ong, Ian Z', 'Revell, Andrew Y', 'Ojemann, William K S', 'Scheid, Brittany H', 'Georgostathi, Georgia', 'Bernabei, John M', 'Conrad, Erin C', 'Sinha, Saurabh R', 'Davis, Kathryn A', 'Sinha, Nishant', 'Litt, Brian']","['humans', ' seizures diagnosis therapy', ' epilepsy', 'electroencephalography methods', 'brain surgery', 'electrocorticography', 'epilepsy', 'intracranial eeg', 'seizure spread']",The seizure severity score: a quantitative tool for comparing seizures and their response to therapy.,"Objective.Epilepsy is a neurological disorder characterized by recurrent seizures which vary widely in severity, from clinically silent to prolonged convulsions. Measuring severity is crucial for guiding therapy, particularly when complete control is not possible. Seizure diaries, the current standard for guiding therapy, are insensitive to the duration of events or the propagation of seizure activity across the brain. We present a quantitative seizure severity score that incorporates electroencephalography (EEG) and clinical data and demonstrate how it can guide epilepsy therapies.Approach.We collected intracranial EEG and clinical semiology data from 54 epilepsy patients who had 256 seizures during invasive, in-hospital presurgical evaluation. We applied an absolute slope algorithm to EEG recordings to identify seizing channels. From this data, we developed a seizure severity score that combines seizure duration, spread, and semiology using non-negative matrix factorization. For validation, we assessed its correlation with independent measures of epilepsy burden: seizure types, epilepsy duration, a pharmacokinetic model of medication load, and response to epilepsy surgery. We investigated the association between the seizure severity score and preictal network features.Main results.The seizure severity score augmented clinical classification by objectively delineating seizure duration and spread from recordings in available electrodes. Lower preictal medication loads were associated with higher seizure severity scores (p= 0.018, 97.5% confidence interval = [-1.242, -0.116]) and lower pre-surgical severity was associated with better surgical outcome (p= 0.042). In 85% of patients with multiple seizure types, greater preictal change from baseline was associated with higher severity.Significance.We present a quantitative measure of seizure severity that includes EEG and clinical features, validated on gold standard in-patient recordings. We provide a framework for extending our tool's utility to ambulatory EEG devices, for linking it to seizure semiology measured by wearable sensors, and as a tool to advance data-driven epilepsy care."
2023 Jul 7,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2023 Jul 7:2023.07.05.23291521. doi: ,"['Ojemann, William K S', 'Scheid, Brittany H', 'Mouchtaris, Sofia', 'Lucas, Alfredo', 'LaRocque, Joshua J', 'Aguila, Carlos', 'Ashourvan, Arian', 'Caciagli, Lorenzo', 'Davis, Kathryn A', 'Conrad, Erin C', 'Litt, Brian']","['rns', 'biomarkers', 'epilepsy', 'interictal', 'neurostimulation', 'spikes']",Resting-state background features demonstrate multidien cycles in long-term EEG device recordings.,"BACKGROUND: Longitudinal EEG recorded by implanted devices is critical for understanding and managing epilepsy. Recent research reports patient-specific, multi-day cycles in device-detected epileptiform events that coincide with increased likelihood of clinical seizures. Understanding these cycles could elucidate mechanisms generating seizures and advance drug and neurostimulation therapies. OBJECTIVE/HYPOTHESIS: We hypothesize that seizure-correlated cycles are present in background neural activity, independent of interictal epileptiform spikes, and that neurostimulation may disrupt these cycles. METHODS: We analyzed regularly-recorded seizure-free data epochs from 20 patients implanted with a responsive neurostimulation (RNS) device for at least 1.5 years, to explore the relationship between cycles in device-detected interictal epileptiform activity (dIEA), clinician-validated interictal spikes, background EEG features, and neurostimulation. RESULTS: Background EEG features tracked the cycle phase of dIEA in all patients (AUC: 0.63 [0.56 - 0.67]) with a greater effect size compared to clinically annotated spike rate alone (AUC: 0.55 [0.53-0.61], p < 0.01). After accounting for circadian variation and spike rate, we observed significant population trends in elevated theta and beta band power and theta and alpha connectivity features at the cycle peaks (sign test, p < 0.05). In the period directly after stimulation we observe a decreased association between cycle phase and EEG features compared to background recordings (AUC: 0.58 [0.55-0.64]). CONCLUSIONS: Our findings suggest that seizure-correlated dIEA cycles are not solely due to epileptiform discharges but are associated with background measures of brain state; and that neurostimulation may disrupt these cycles. These results may help elucidate mechanisms underlying seizure generation, provide new biomarkers for seizure risk, and facilitate monitoring, treating, and managing epilepsy with implantable devices."
2023 Jun 13,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2023 Jun 13:2023.06.12.23291286. doi: ,"['Lucas, Alfredo', 'Scheid, Brittany H', 'Pattnaik, Akash R', 'Gallagher, Ryan', 'Mojena, Marissa', 'Tranquille, Ashley', 'Prager, Brian', 'Gleichgerrcht, Ezequiel', 'Gong, Ruxue', 'Litt, Brian', 'Davis, Kathryn A', 'Das, Sandhitsu', 'Stein, Joel M', 'Sinha, Nishant']",[],iEEG-recon: A Fast and Scalable Pipeline for Accurate Reconstruction of Intracranial Electrodes and Implantable Devices.,"BACKGROUND: Collaboration between epilepsy centers is essential to integrate multimodal data for epilepsy research. Scalable tools for rapid and reproducible data analysis facilitate multicenter data integration and harmonization. Clinicians use intracranial EEG (iEEG) in conjunction with non-invasive brain imaging to identify epileptic networks and target therapy for drug-resistant epilepsy cases. Our goal was to promote ongoing and future collaboration by automating the process of ""electrode reconstruction,"" which involves the labeling, registration, and assignment of iEEG electrode coordinates on neuroimaging. These tasks are still performed manually in many epilepsy centers. We developed a standalone, modular pipeline that performs electrode reconstruction. We demonstrate our tool's compatibility with clinical and research workflows and its scalability on cloud platforms. METHODS: We created iEEG-recon, a scalable electrode reconstruction pipeline for semi-automatic iEEG annotation, rapid image registration, and electrode assignment on brain MRIs. Its modular architecture includes three modules: a clinical module for electrode labeling and localization, and a research module for automated data processing and electrode contact assignment. To ensure accessibility for users with limited programming and imaging expertise, we packaged iEEG-recon in a containerized format that allows integration into clinical workflows. We propose a cloud-based implementation of iEEG-recon, and test our pipeline on data from 132 patients at two epilepsy centers using retrospective and prospective cohorts. RESULTS: We used iEEG-recon to accurately reconstruct electrodes in both electrocorticography (ECoG) and stereoelectroencephalography (SEEG) cases with a 10 minute running time per case, and ~20 min for semi-automatic electrode labeling. iEEG-recon generates quality assurance reports and visualizations to support epilepsy surgery discussions. Reconstruction outputs from the clinical module were radiologically validated through pre- and post-implant T1-MRI visual inspections. Our use of ANTsPyNet deep learning approach for brain segmentation and electrode classification was consistent with the widely used Freesurfer segmentation. DISCUSSION: iEEG-recon is a valuable tool for automating reconstruction of iEEG electrodes and implantable devices on brain MRI, promoting efficient data analysis, and integration into clinical workflows. The tool's accuracy, speed, and compatibility with cloud platforms make it a useful resource for epilepsy centers worldwide. Comprehensive documentation is available at https://ieeg-recon.readthedocs.io/en/latest/."
2023 Jul 3,Brain : a journal of neurology,Brain. 2023 Jul 3;146(7):2663-2665. doi: 10.1093/brain/awad178.,"['Bernabei, John M', 'Litt, Brian', 'Cajigas, Iahn']","['humans', ' epilepsy diagnosis surgery', 'seizures', 'brain', 'electroencephalography']",Thalamic stereo-EEG in epilepsy surgery: where do we stand?,
