time,journal,doi_info,authors,key words,title,abstract
2024 Jun 3,"The European physical journal. E, Soft matter",Eur Phys J E Soft Matter. 2024 Jun 3;47(6):37. doi: ,"[""O'Callaghan, Jessica Ann"", 'Kamat, Neha P', 'Vargo, Kevin B', 'Chattaraj, Rajarshi', 'Lee, Daeyeon', 'Hammer, Daniel A']","[' artificial cells chemistry', ' polymers chemistry chemical synthesis', 'emulsions chemistry', 'capsules chemistry', 'microfluidics methods', 'water chemistry', 'microfluidic analytical techniques', 'proteins chemistry']",A microfluidic platform for the synthesis of polymer and polymer-protein-based protocells.,"In this study, we demonstrate the fabrication of polymersomes, protein-blended polymersomes, and polymeric microcapsules using droplet microfluidics. Polymersomes with uniform, single bilayers and controlled diameters are assembled from water-in-oil-in-water double-emulsion droplets. This technique relies on adjusting the interfacial energies of the droplet to completely separate the polymer-stabilized inner core from the oil shell. Protein-blended polymersomes are prepared by dissolving protein in the inner and outer phases of polymer-stabilized droplets. Cell-sized polymeric microcapsules are assembled by size reduction in the inner core through osmosis followed by evaporation of the middle phase. All methods are developed and validated using the same glass-capillary microfluidic apparatus. This integrative approach not only demonstrates the versatility of our setup, but also holds significant promise for standardizing and customizing the production of polymer-based artificial cells."
2024 Feb 5,Nature chemistry,Nat Chem. 2024 Feb 5. doi: 10.1038/s41557-023-01423-7.,"['Welles, Rachel M', 'Sojitra, Kandarp A', 'Garabedian, Mikael V', 'Xia, Boao', 'Wang, Wentao', 'Guan, Muyang', 'Regy, Roshan M', 'Gallagher, Elizabeth R', 'Hammer, Daniel A', 'Mittal, Jeetain', 'Good, Matthew C']",[],Determinants that enable disordered protein assembly into discrete condensed phases.,"Cells harbour numerous mesoscale membraneless compartments that house specific biochemical processes and perform distinct cellular functions. These protein- and RNA-rich bodies are thought to form through multivalent interactions among proteins and nucleic acids, resulting in demixing via liquid-liquid phase separation. Proteins harbouring intrinsically disordered regions (IDRs) predominate in membraneless organelles. However, it is not known whether IDR sequence alone can dictate the formation of distinct condensed phases. We identified a pair of IDRs capable of forming spatially distinct condensates when expressed in cells. When reconstituted in vitro, these model proteins do not co-partition, suggesting condensation specificity is encoded directly in the polypeptide sequences. Through computational modelling and mutagenesis, we identified the amino acids and chain properties governing homotypic and heterotypic interactions that direct selective condensation. These results form the basis of physicochemical principles that may direct subcellular organization of IDRs into specific condensates and reveal an IDR code that can guide construction of orthogonal membraneless compartments."
2023,Frontiers in cell and developmental biology,Front Cell Dev Biol. 2023 Nov 2;11:1291201. doi: 10.3389/fcell.2023.1291201. ,"['Buffone, Alexander Jr', 'Hammer, Daniel A', 'Kim, Sarah Hyun Ji', 'Anderson, Nicholas R', 'Mochida, Ai', 'Lee, Dong-Hun', 'Guin, Subham']","['icam-1', 'lfa-1', 't-cells', 'hematopoietic stem cells', 'inflammation', 'leukocytes', 'migration']",Not all (cells) who wander are lost: Upstream migration as a pervasive mode of amoeboid cell motility.,"Leukocytes possess the ability to migrate upstream-against the direction of flow-on surfaces of specific chemistry. Upstream migration was first characterized in vitro for T-cells on surfaces comprised of intracellular adhesion molecule-1 (ICAM-1). Upstream migration occurs when the integrin receptor α(L)β(2) (also known as lymphocyte function-associated antigen-1, or LFA-1) binds to ICAM-1. LFA-1/ICAM-1 interactions are ubiquitous and are widely found in leukocyte trafficking. Upstream migration would be employed after cells come to arrest on the apical surface of the endothelium and might confer an advantage for both trans-endothelial migration and tissue surveillance. It has now been shown that several other motile amoeboid cells which have the responsibility of trafficking from blood vessels into tissues, such as Marginal zone B cells, hematopoietic stem cells, and neutrophils (when macrophage-1 antigen, Mac-1, is blocked), can also migrate upstream on ICAM-1 surfaces. This review will summarize what is known about the basic mechanisms of upstream migration, which cells have displayed this phenomenon, and the possible role of upstream migration in physiology and tissue homeostasis."
2023 Oct 30,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Oct 30. doi: 10.1021/acsami.3c10222.,"[""O'Callaghan, Jessica Ann"", 'Lee, Daeyeon', 'Hammer, Daniel A']","['diffusiophoresis', 'enzyme catalysis', 'microfluidics', 'micromotors', 'protocells', 'self-propulsion']",Asymmetry-Enhanced Motion of Urease-Powered Micromotors from Double Emulsion-Templated Microcapsules.,"Autonomous motion of enzyme-powered motors has important implications for drug delivery, cell-cell communication, and protocell engineering. Although many of these systems are inspired by the motion of biological cells, most of them lack key structural features, like micrometer-sized boundaries and aqueous compartments, and rely on bubble propulsion to generation motion. In this study, we use droplet microfluidics to generate large populations of cell-sized microcapsules with poly(lactic-co-glycolic acid) shells and functionalize their surfaces with the enzyme urease to drive their motion. We adjust the number of surface functional groups for urease conjugation by preparing microcapsules with two different surfactants, poly(vinyl alcohol) (PVA) and poly(ethylene-alt-maleic anhydride) (PEMA). We also tune the surface roughness of the microcapsules by varying the concentration of silica nanoparticles in the droplet middle phase. We find that PEMA plays a crucial role in increasing the grafting density of urease on the surface of smooth microcapsules, leading to active motion in the presence of urea. In addition, rough microcapsules prepared with PEMA and loaded with comparable amounts of urease move up to three times faster than their smooth counterparts, which we believe is due to an asymmetric distribution of urease on the surface, giving rise to a preferred direction of motion. Taken together, these results provide new insights into the role that various stabilizing agents play in the induction of motion by enzymatic motors prepared from microfluidics, which is a potentially powerful tool for future preparation of motile protocells in biomedicine."
2022 Nov 15,Biochemistry,Biochemistry. 2022 Nov 15;61(22):2470-2481. doi: 10.1021/acs.biochem.2c00250. ,"['Garabedian, Mikael V', 'Su, Zhihui', 'Dabdoub, Jorge', 'Tong, Michelle', 'Deiters, Alexander', 'Hammer, Daniel A', 'Good, Matthew C']","[' intrinsically disordered proteins chemistry', 'phase transition', 'protein domains', ' biochemical phenomena', 'protein biosynthesis']",Protein Condensate Formation via Controlled Multimerization of Intrinsically Disordered Sequences.,"Many proteins harboring low complexity or intrinsically disordered sequences (IDRs) are capable of undergoing liquid-liquid phase separation to form mesoscale condensates that function as biochemical niches with the ability to concentrate or sequester macromolecules and regulate cellular activity. Engineered disordered proteins have been used to generate programmable synthetic membraneless organelles in cells. Phase separation is governed by the strength of interactions among polypeptides with multivalency enhancing phase separation at lower concentrations. Previously, we and others demonstrated enzymatic control of IDR valency from multivalent precursors to dissolve condensed phases. Here, we develop noncovalent strategies to multimerize an individual IDR, the RGG domain of LAF-1, using protein interaction domains to regulate condensate formation in vitro and in living cells. First, we characterize modular dimerization of RGG domains at either terminus using cognate high-affinity coiled-coil pairs to form stable condensates in vitro. Second, we demonstrate temporal control over phase separation of RGG domains fused to FRB and FKBP in the presence of dimerizer. Further, using a photocaged dimerizer, we achieve optically induced condensation both in cell-sized emulsions and within live cells. Collectively, these modular tools allow multiple strategies to promote phase separation of a common core IDR for tunable control of condensate assembly."
2021 Oct 26,Biochemistry,Biochemistry. 2021 Oct 26;60(42):3137-3151. doi: 10.1021/acs.biochem.1c00373. ,"['Guan, Muyang', 'Garabedian, Mikael V', 'Leutenegger, Marcel', 'Schuster, Benjamin S', 'Good, Matthew C', 'Hammer, Daniel A']","['animals', 'caenorhabditis elegans enzymology', 'caenorhabditis elegans proteins  chemistry', 'luciferases  chemistry', 'luminescence', 'macromolecular substances  chemistry', 'protein domains', 'protein engineering', 'rna helicases  chemistry']",Incorporation and Assembly of a Light-Emitting Enzymatic Reaction into Model Protein Condensates.,"Eukaryotic cells partition enzymes and other cellular components into distinct subcellular compartments to generate specialized biochemical niches. A subclass of these compartments form in the absence of lipid membranes, via liquid-liquid phase separation of proteins to form biomolecular condensates or ""membraneless organelles"" such as nucleoli, stress granules, and P-bodies. Because of their propensity to form compartments from simple starting materials, membraneless organelles are an attractive target for engineering new functionalities in both living cells and protocells. In this work, we demonstrate incorporation of a novel enzymatic activity in protein coacervates with the light-generating enzyme, NanoLuc, to produce bioluminescence. Using condensates comprised of the disordered RGG domain of Caenorhabditis elegans LAF-1, we functionalized condensates with enzymatic activity in vitro and show that enzyme localization to coacervates enhances assembly and activity of split enzymes. To build condensates that function as light-emitting reactors, we designed a NanoLuc enzyme flanked by RGG domains. The resulting condensates concentrated NanoLuc by 10-fold over bulk solution and displayed significantly increased reaction rates. We further show that condensate viscosity impacts light emission due to diffusion-limited behavior. Because our model condensates have low viscosities, we predict NanoLuc diffusion-limited behavior in most other condensates and thus propose the condensate-Nanoluc system as a potential strategy for high-throughput screening of condensate targeting drugs. By splitting the NanoLuc enzyme into its constituent components, we demonstrate that NanoLuc activity can be reconstituted via co-condensation. In addition, we demonstrate control of the spatial localization of the enzyme within condensates by targettng NanoLuc to the surface of in vitro condensates. Collectively, this work demonstrates that membraneless organelles can be endowed with localized enzymatic activity and that this activity can be spatially and temporally controlled via biochemical reconstitution and design of protein surfactants."
2021 Aug 19,Molecular biology of the cell,Mol Biol Cell. 2021 Aug 19;32(18):1749-1757. doi: 10.1091/mbc.E21-03-0131. Epub ,"['Kim, Sarah Hyun Ji', 'Hammer, Daniel A']","['acrylic resins chemistry', 'cd4-positive t-lymphocytes  cytology  physiology', 'cell culture techniques instrumentation methods', 'cell movement', 'humans', 'hydrogels chemistry', 'integrin alpha4beta1 chemistry metabolism', 'integrins  metabolism', 'intercellular adhesion molecule-1 chemistry metabolism', 'lymphocyte function-associated antigen-1 metabolism', 'mechanotransduction, cellular', 'vascular cell adhesion molecule-1 chemistry metabolism']",Integrin cross-talk modulates stiffness-independent motility of CD4+ T lymphocytes.,"To carry out their physiological responsibilities, CD4+ T lymphocytes interact with various tissues of different mechanical properties. Recent studies suggest that T cells migrate upstream on surfaces expressing intracellular adhesion molecule-1 (ICAM-1) through interaction with leukocyte function-associated antigen-1 (α(L)β(2)) (LFA-1) integrins. LFA-1 likely behaves as a mechanosensor, and thus we hypothesized that substrate mechanics might affect the ability of LFA-1 to support upstream migration of T cells under flow. Here we measured motility of CD4+ T lymphocytes on polyacrylamide gels with predetermined stiffnesses containing ICAM-1, vascular cell adhesion molecule-1 (VCAM-1), or a 1:1 mixture of VCAM-1/ICAM-1. Under static conditions, we found that CD4+ T cells exhibit an increase in motility on ICAM-1, but not on VCAM-1 or VCAM-1/ICAM-1 mixed, surfaces as a function of matrix stiffness. The mechanosensitivity of T-cell motility on ICAM-1 is overcome when VLA-4 (very late antigen-4 [α(4)β(1)]) is ligated with soluble VCAM-1. Last, we observed that CD4+ T cells migrate upstream under flow on ICAM-1-functionalized hydrogels, independent of substrate stiffness. In summary, we show that CD4+ T cells under no flow respond to matrix stiffness through LFA-1, and that the cross-talk of VLA-4 and LFA-1 can compensate for deformable substrates. Interestingly, CD4+ T lymphocytes migrated upstream on ICAM-1 regardless of the substrate stiffness, suggesting that flow can compensate for substrate stiffness."
2021 Sep,Ultrasound in medicine & biology,Ultrasound Med Biol. 2021 Sep;47(9):2676-2691. doi: ,"['Chattaraj, Rajarshi', 'Hammer, Daniel A', 'Lee, Daeyeon', 'Sehgal, Chandra M']","['acoustics', 'contrast media', ' fluorocarbons', ' microbubbles', 'xenon', 'contrast gradient', 'flow imaging', 'mechanical index', 'microbubbles', 'shell stiffness', 'xenon']",Multivariable Dependence of Acoustic Contrast of Fluorocarbon and Xenon Microbubbles under Flow.,"Microbubbles (MBs) are 1 to 10 µm gas particles stabilized by an amphiphilic shell capable of responding to biomedical ultrasound with strong acoustic signals, allowing them to be commonly used in ultrasound imaging and therapy. The composition of both the shell and the core determines their stability and acoustic properties. While there has been extensive characterization of the dissolution, oscillation, cavitation, collapse and therefore, ultrasound contrast of MBs under static conditions, few reports have examined such behavior under hydrodynamic flow. In this study, we evaluate the interplay of ultrasound parameters (five different mechanical indices [MIs]), MB shell parameter (shell stiffness), type of gas (perfluorocarbon for diagnostic imaging and xenon as a therapeutic gas), and a flow parameter (flow rate) on the ultrasound signal of phospholipid-stabilized MBs flowing through a latex tube embedded in a tissue-mimicking phantom. We find that the contrast gradient (CG), a metric of the rate of decay of contrast along the length of the tube, and the contrast peak (CP), the location where the maximum contrast is reached, depend on the conditions of flow, imaging, and MB material. For instance, while the contrast near the flow inlet of the field of view is highest for a softer shell (dipalmitoylphosphatidylcholine [DPPC], C16) than for stiffer shells (distearoylphosphatidylcholine [DSPC], C18, and dibehenoylphosphatidylcholine [DBPC], C22), the contrast decay is also faster; stiffer shells provide more resistance and hence lead to slower MB dissolution/destruction. At higher flow rates, the CG is low for a fixed length of time because each MB is exposed to ultrasound for a shorter period. The CG becomes high for low flow rates, especially at high incident pressures (high MI), causing more MB destruction closer to the inlet of the field of view. Also, the CP shifts toward the inlet at low flow rates, high MIs, and low shell stiffness. We also report the first demonstration of sustained ultrasound flow imaging of a water-soluble, therapeutic gas MB (xenon). We find that an increased MB concentration is necessary for obtaining the same signal magnitude for xenon MBs. In summary, this study builds a framework depicting how multiple variables simultaneously affect the evolution of MB ultrasound contrast under flow. Depending on the MB composition, imaging conditions, transducer positioning, and image processing, building on such a framework could potentially allow for extraction of additional diagnostic information than is commonly analyzed for physiological flow."
2020 Sep 9,Journal of cell science,J Cell Sci. 2020 Sep 9;133(17):jcs248328. doi: 10.1242/jcs.248328.,"['Roy, Nathan H', 'Kim, Sarah Hyun Ji', 'Buffone, Alexander Jr', 'Blumenthal, Daniel', 'Huang, Bonnie', 'Agarwal, Sangya', 'Schwartzberg, Pamela L', 'Hammer, Daniel A', 'Burkhardt, Janis K']","[' actins', 'animals', 'cell adhesion', 'intercellular adhesion molecule-1 genetics', ' lymphocyte function-associated antigen-1', 'mice', 'phosphatidylinositol 3-kinases', 'polymerization', 't-lymphocytes', 'vascular cell adhesion molecule-1', 'actin', 'integrins', 'migration', 'shear flow', 'signaling', 't cell']",LFA-1 signals to promote actin polymerization and upstream migration in T cells.,"T cell entry into inflamed tissue requires firm adhesion, cell spreading, and migration along and through the endothelial wall. These events require the T cell integrins LFA-1 and VLA-4 and their endothelial ligands ICAM-1 and VCAM-1, respectively. T cells migrate against the direction of shear flow on ICAM-1 and with the direction of shear flow on VCAM-1, suggesting that these two ligands trigger distinct cellular responses. However, the contribution of specific signaling events downstream of LFA-1 and VLA-4 has not been explored. Using primary mouse T cells, we found that engagement of LFA-1, but not VLA-4, induces cell shape changes associated with rapid 2D migration. Moreover, LFA-1 ligation results in activation of the phosphoinositide 3-kinase (PI3K) and ERK pathways, and phosphorylation of multiple kinases and adaptor proteins, whereas VLA-4 ligation triggers only a subset of these signaling events. Importantly, T cells lacking Crk adaptor proteins, key LFA-1 signaling intermediates, or the ubiquitin ligase cCbl (also known as CBL), failed to migrate against the direction of shear flow on ICAM-1. These studies identify novel signaling differences downstream of LFA-1 and VLA-4 that drive T cell migratory behavior.This article has an associated First Person interview with the first author of the paper."
2020 May 26,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2020 May 26;117(21):11421-11431. doi: ,"['Schuster, Benjamin S', 'Dignon, Gregory L', 'Tang, Wai Shing', 'Kelley, Fleurie M', 'Ranganath, Aishwarya Kanchi', 'Jahnke, Craig N', 'Simpkins, Alison G', 'Regy, Roshan Mammen', 'Hammer, Daniel A', 'Good, Matthew C', 'Mittal, Jeetain']","['amino acid substitution', 'arginine chemistry', 'caenorhabditis elegans proteins  chemistry genetics metabolism', 'cytoplasm metabolism', 'hydrophobic and hydrophilic interactions', 'intrinsically disordered proteins  chemistry genetics metabolism', 'microorganisms, genetically-modified', 'molecular dynamics simulation', 'phase transition', 'protein domains', 'rna helicases  chemistry genetics metabolism', 'saccharomyces cerevisiae genetics metabolism', 'temperature', 'tyrosine chemistry', 'liquid–liquid phase separation', 'membraneless organelles', 'molecular simulations']",Identifying sequence perturbations to an intrinsically disordered protein that determine its phase-separation behavior.,"Phase separation of intrinsically disordered proteins (IDPs) commonly underlies the formation of membraneless organelles, which compartmentalize molecules intracellularly in the absence of a lipid membrane. Identifying the protein sequence features responsible for IDP phase separation is critical for understanding physiological roles and pathological consequences of biomolecular condensation, as well as for harnessing phase separation for applications in bioinspired materials design. To expand our knowledge of sequence determinants of IDP phase separation, we characterized variants of the intrinsically disordered RGG domain from LAF-1, a model protein involved in phase separation and a key component of P granules. Based on a predictive coarse-grained IDP model, we identified a region of the RGG domain that has high contact probability and is highly conserved between species; deletion of this region significantly disrupts phase separation in vitro and in vivo. We determined the effects of charge patterning on phase behavior through sequence shuffling. We designed sequences with significantly increased phase separation propensity by shuffling the wild-type sequence, which contains well-mixed charged residues, to increase charge segregation. This result indicates the natural sequence is under negative selection to moderate this mode of interaction. We measured the contributions of tyrosine and arginine residues to phase separation experimentally through mutagenesis studies and computationally through direct interrogation of different modes of interaction using all-atom simulations. Finally, we show that despite these sequence perturbations, the RGG-derived condensates remain liquid-like. Together, these studies advance our fundamental understanding of key biophysical principles and sequence features important to phase separation."
2020 May,Advanced healthcare materials,Adv Healthc Mater. 2020 May;9(9):e1901721. doi: 10.1002/adhm.201901721. Epub 2020 ,"['Chattaraj, Rajarshi', 'Hwang, Misun', 'Zemerov, Serge D', 'Dmochowski, Ivan J', 'Hammer, Daniel A', 'Lee, Daeyeon', 'Sehgal, Chandra M']","['animals', 'contrast media', ' fluorocarbons', 'male', 'mice', ' microbubbles', 'phospholipids', 'ultrasonography', 'argon', 'cryptophanes', 'helium', 'image-guided delivery', 'microbubbles', 'phospholipids', 'ultrasound', 'xenon']",Ultrasound Responsive Noble Gas Microbubbles for Applications in Image-Guided Gas Delivery.,"Noble gases, especially xenon (Xe), have been shown to have antiapoptotic effects in treating hypoxia ischemia related injuries. Currently, in vivo gas delivery is systemic and performed through inhalation, leading to reduced efficacy at the injury site. This report provides a first demonstration of the encapsulation of pure Xe, Ar, or He in phospholipid-coated sub-10 µm microbubbles, without the necessity of stabilizing perfluorocarbon additives. Optimization of shell compositions and preparation techniques show that distearoylphosphatidylcholine (DSPC) with DSPE-PEG5000 can produce stable microbubbles upon shaking, while dibehenoylphosphatidylcholine (DBPC) blended with either DSPE-PEG2000 or DSPE-PEG5000 produces a high yield of microbubbles via a sonication/centrifugation method. Xe and Ar concentrations released into the microbubble suspension headspace are measured using GC-MS, while Xe released directly in solution is detected by the fluorescence quenching of a Xe-sensitive cryptophane molecule. Bubble production is found to be amenable to scale-up while maintaining their size distribution and stability. Excellent ultrasound contrast is observed in a phantom for several minutes under physiological conditions, while an intravenous administration of a bolus of pure Xe microbubbles provides significant contrast in a mouse in pre- and post-lung settings (heart and kidney, respectively), paving the way for image-guided, localized gas delivery for theranostic applications."
2020 Mar 20,ACS synthetic biology,ACS Synth Biol. 2020 Mar 20;9(3):500-507. doi: 10.1021/acssynbio.9b00503. Epub ,"['Reed, Ellen H', 'Schuster, Benjamin S', 'Good, Matthew C', 'Hammer, Daniel A']","['caenorhabditis elegans proteins genetics metabolism', 'escherichia coli genetics', 'light', 'maltose-binding proteins genetics metabolism', 'protein domains', 'protein engineering  methods', 'protein folding', 'rna helicases genetics metabolism', 'recombinant fusion proteins  chemistry genetics  metabolism', 'saccharomyces cerevisiae genetics metabolism', 'phocl', 'rgg', 'biomolecular condensates', 'membraneless organelles', 'optogenetics', 'recombinant proteins']",SPLIT: Stable Protein Coacervation Using a Light Induced Transition.,"Protein coacervates serve as hubs to concentrate and sequester proteins and nucleotides and thus function as membraneless organelles to manipulate cell physiology. We have engineered a coacervating protein to create tunable, synthetic membraneless organelles that assemble in response to a single pulse of light. Coacervation is driven by the intrinsically disordered RGG domain from the protein LAF-1, and opto-responsiveness is coded by the protein PhoCl, which cleaves in response to 405 nm light. We developed a fusion protein containing a solubilizing maltose-binding protein domain, PhoCl, and two copies of the RGG domain. Several seconds of illumination at 405 nm is sufficient to cleave PhoCl, removing the solubilization domain and enabling RGG-driven coacervation within minutes in cellular-sized water-in-oil emulsions. An optimized version of this system displayed light-induced coacervation in Saccharomyces cerevisiae. The methods described here provide novel strategies for inducing protein phase separation using light."
2019 Dec 31,Integrative biology : quantitative biosciences from nano to macro,Integr Biol (Camb). 2019 Dec 31;11(10):384-393. doi: 10.1093/intbio/zyz034.,"['Kim, Sarah Hyun Ji', 'Hammer, Daniel A']","['atpases associated with diverse cellular activities  metabolism', 'antibodies chemistry', 'cd4-positive t-lymphocytes  cytology', 'cd8-positive t-lymphocytes cytology', 'cell adhesion', ' cell movement', 'chemokines', 'endothelium, vascular metabolism', 'humans', 'inflammation', 'integrin alpha4beta1 metabolism', 'integrins  metabolism', 'intercellular adhesion molecule-1 metabolism', 'ligands', 'lymphocyte function-associated antigen-1 metabolism', 'mechanotransduction, cellular', 'metalloendopeptidases  metabolism', 'phosphatidylinositol 3-kinases metabolism', 'signal transduction', 'vascular cell adhesion molecule-1 metabolism', 'lfa-1', 'pi3kinase', 't-cell', 'vla-4', 'upstream migration']",Integrin crosstalk allows CD4+ T lymphocytes to continue migrating in the upstream direction after flow.,"In order to perform critical immune functions at sites of inflammation, circulatory T lymphocytes must be able to arrest, adhere, migrate and transmigrate on the endothelial surface. This progression of steps is coordinated by cellular adhesion molecules (CAMs), chemokines, and selectins presented on the endothelium. Two important interactions are between Lymphocyte Function-associated Antigen-1 (LFA-1) and Intracellular Adhesion Molecule-1 (ICAM-1) and also between Very Late Antigen-4 (VLA-4) and Vascular Cell Adhesion Molecule-1 (VCAM-1). Recent studies have shown that T lymphocytes and other cell types can migrate upstream (against the direction) of flow through the binding of LFA-1 to ICAM-1. Since upstream migration of T cells depends on a specific adhesive pathway, we hypothesized that mechanotransduction is critical to migration, and that signals might allow T-cells to remember their direction of migration after the flow is terminated. Cells on ICAM-1 surfaces migrate against the shear flow, but the upstream migration reverts to random migration after the flow is stopped. Cells on VCAM-1 migrate with the direction of flow. However, on surfaces that combine ICAM-1 and VCAM-1, cells crawl upstream at a shear rate of 800 s-1 and continue migrating in the upstream direction for at least 30 minutes after the flow is terminated-we call this 'migrational memory'. Post-flow upstream migration on VCAM-1/ICAM-1 surfaces is reversed upon the inhibition of PI3K, but conserved with cdc42 and Arp2/3 inhibitors. Using an antibody against VLA-4, we can block migrational memory on VCAM-1/ICAM-1 surfaces. Using a soluble ligand for VLA-4 (sVCAM-1), we can promote migrational memory on ICAM-1 surfaces. These results indicate that, while upstream migration under flow requires LFA-1 binding to immobilized ICAM-1, signaling from VLA-4 and PI3K activity is required for the migrational memory of CD4+ T cells. These results indicate that crosstalk between integrins potentiates the signal of upstream migration."
2019 Jun,Cellular and molecular bioengineering,Cell Mol Bioeng. 2019 May 29;12(3):193-202. doi: 10.1007/s12195-019-00575-2. ,"['Lee, Dooyoung', 'Beste, Michael T', 'Anderson, Nicholas R', 'Koretzky, Gary A', 'Hammer, Daniel A']","['chemokine', 'firm arrest', 'lfa-1', 'sensitivity analysis', 't lymphocyte']",Identifying Key Pathways and Components in Chemokine-Triggered T Lymphocyte Arrest Dynamics Using a Multi-Parametric Global Sensitivity Analysis.,"INTRODUCTION: The arrest of rolling T lymphocytes at specific locations is crucial to proper immune response function. We previously developed a model of chemokine-driven integrin activation, termed integrative signaling adhesive dynamics (ISAD). In addition, we have shown that loss of diacylglycerol kinase (DGK) leads to a gain of function regarding adhesion under shear flow. We undertook this study to understand the sensitivity of adhesion to perturbations in other signaling molecules. METHODS: We adapted multi-parametric sensitivity analysis (MPSA) for use in our ISAD model to identify important parameters, including initial protein concentrations and kinetic rate constants, for T lymphocyte arrest. We also compared MPSA results to those obtained from a single parametric sensitivity analysis. RESULTS: In addition to the previously shown importance of DGK in lymphocyte arrest, PIP(2) cleavage and Rap1 activation are crucial in determining T cell arrest dynamics, which agree with previous experimental findings. The l-selectin density on the T lymphocyte surface also plays a large role in determining the distance rolled before arrest. Both the MPSA and single-parametric method returned similar results regarding the most sensitive kinetic rate constants. CONCLUSION: We show here that the regulation of the amount of second messengers are, in general, more critical for determining T lymphocyte arrest over the initial signaling proteins, highlighting the importance of amplification of signaling in cell adhesion responses. Overall, this work provides a mechanistic insight of the contribution of key pathways and components, thus may help to identify potential therapeutic targets for drug development against immune disorders."
2019 Oct,PLoS computational biology,PLoS Comput Biol. 2019 Oct 7;15(10):e1007295. doi: 10.1371/journal.pcbi.1007295. ,"['Parr, Avery', 'Anderson, Nicholas R', 'Hammer, Daniel A']","['adaptive immunity', 'animals', 'cell movement', 'chemokines  physiology', 'chemotaxis physiology', 'computer simulation', 'dendritic cells  physiology', 'humans', 'models, theoretical', 'motion', 'signal transduction immunology']",A simulation of the random and directed motion of dendritic cells in chemokine fields.,"Dendritic cells (DCs) are the most effective professional antigen-presenting cell. They ferry antigen from the extremities to T cells and are essential for the initiation of an adaptive immune response. Despite interest in how DCs respond to chemical stimuli, there have been few attempts to model DC migration. In this paper, we simulate the motility of DCs by modeling the generation of forces by filopodia and a force balance on the cell. The direction of fliopodial extension is coupled to differential occupancy of cognate chemokine receptors across the cell. Our model simulates chemokinesis and chemotaxis in a variety of chemical and mechanical environments. Simulated DCs undergoing chemokinesis were measured to have a speed of 5.1 ± 0.07 μm·min-1 and a persistence time of 3.2 ± 0.46 min, consistent with experiment. Cells undergoing chemotaxis exhibited a stronger chemotactic response when exposed to lower average chemokine concentrations, also consistent with experiment. We predicted that when placed in two opposing gradients, cells will cluster in a line, which we call the ""line of equistimulation;"" this clustering has also been observed. We calculated the effect of varying gradient steepness on the line of equistimulation, with steeper gradients resulting in tighter clustering. Moreover, gradients are found to be most potent when cells are in a gradient of chemokine whose mean concentration is close to the binding of the Kd to the receptor, and least potent when the mean concentration is 0.1Kd. Comparing our simulations to experiment, we can give a quantitative measure of the strength of certain chemokines relative to others. Assigning the signal of CCL19 binding CCR7 a baseline strength of 1, we found CCL21 binding CCR7 had a strength of 0.28, and CXCL12 binding CXCR4 had a strength of 0.30. These differences emerge despite both chemokines having virtually the same Kd, suggesting a mechanism of signal amplification in DCs requiring further study."
2019 Oct 15,Biophysical journal,Biophys J. 2019 Oct 15;117(8):1393-1404. doi: 10.1016/j.bpj.2019.08.044. Epub ,"['Buffone, Alexander Jr', 'Anderson, Nicholas R', 'Hammer, Daniel A']","['antibodies, neutralizing immunology', 'cell line, tumor', ' cell movement', 'cells, cultured', 'human umbilical vein endothelial cells  metabolism physiology', 'humans', 'intercellular adhesion molecule-1  metabolism', 'lymphocyte function-associated antigen-1 immunology metabolism', 'macrophage-1 antigen immunology  metabolism', 'neutrophils metabolism  physiology']",Human Neutrophils Will Crawl Upstream on ICAM-1 If Mac-1 Is Blocked.,"The recruitment of neutrophils to sites of inflammatory insult is a hallmark of the innate immune response. Neutrophil recruitment is regulated by a multistep process that includes cell rolling, activation, adhesion, and transmigration through the endothelium commonly referred to as the leukocyte adhesion cascade. After selectin-mediated braking, neutrophils migrate along the activated vascular endothelium on which ligands, including intercellular adhesion molecule-1 (ICAM-1) and vascular cell adhesion molecule-1 (VCAM-1), are expressed. Previous studies have shown that two cells that commonly home from blood vessel to tissue-T cells and hematopoietic stem and progenitor cells-use the integrin lymphocyte functional antigen-1 (LFA-1) to migrate against the direction of shear flow once adherent on ICAM-1 surfaces. Like T cells and hematopoietic stem and progenitor cells, neutrophils express LFA-1, but they also express macrophage-1 antigen (Mac-1), which binds to ICAM-1. Previous reports have shown that neutrophils will not migrate against the direction of flow on ICAM-1, but we hypothesized this was due to the influence of Mac-1. Here, we report that both the HL-60 neutrophil-like cell line and primary human neutrophils can migrate against the direction of fluid flow on ICAM-1 surfaces via LFA-1 if Mac-1 is blocked; otherwise, they migrate downstream. We demonstrate this both on ICAM-1 surfaces and on activated endothelium. In sum, both LFA-1 and Mac-1 binding ICAM-1 play a critical role in determining the direction of neutrophil migration along the endothelium, and their interaction may play an important role in controlling neutrophil trafficking during inflammation."
