time,journal,doi_info,authors,key words,title,abstract
2024 Jun 1,Journal of biomechanical engineering,J Biomech Eng. 2024 Jun 1;146(6):060905. doi: 10.1115/1.4063628.,"['Fung, Ashley K', 'Li, Yihan', 'Wang, Jasmine', 'Leahy, Thomas P', 'Shetye, Snehal S', 'Liu, X Sherry', 'Soslowsky, Louis J']","['humans', 'pregnancy', 'rats', 'female', 'male', 'animals', ' rotator cuff pathology', 'breast feeding', 'biomechanical phenomena', ' rotator cuff injuries pathology', 'reproduction', 'tendons', 'humerus', 'lactation', 'lactation', 'mechanics', 'pregnancy', 'subchondral bone', 'supraspinatus tendon']",Long-Term Effects of Reproduction and Lactation on the Rat Supraspinatus Tendon and Proximal Humerus.,"During pregnancy and breastfeeding, women undergo hormonal fluctuations required for fetal development, parturition, and infant growth. These changes have secondary consequences on the maternal musculoskeletal system, increasing the risk for joint pain and osteoporosis. Though hormone levels return to prepregnancy levels postpartum, women may experience lasting musculoskeletal pain. Sex disparities exist in the prevalence of musculoskeletal disorders, but it remains unclear how reproductive history may impact sex differences. Specifically, the effects of both reproductive history and sex on the rotator cuff have not been studied. Pregnancy and lactation affect bone microstructure, suggesting possible impairments at the enthesis of rotator cuff tendons, where tears commonly occur. Therefore, our objective was to evaluate how reproductive history affects sex differences of the supraspinatus tendon and proximal humerus using male, virgin female, and female rats with a history of reproduction (referred to as reproductive females). We hypothesized tendon mechanical properties and humeral bone microstructure would be inferior in reproductive females compared to virgin females. Results showed sex differences independent of reproductive history, including greater tendon midsubstance modulus but lower subchondral bone mineral density (BMD) in females. When considering reproductive history, reproductive rats exhibited reduced tendon insertion site modulus and trabecular bone micro-architecture compared to virgin females with no differences from males. Overall, our study identified long-term changes in supraspinatus tendon mechanical and humeral trabecular bone properties that result following pregnancy and lactation, highlighting the importance of considering reproductive history in investigations of sex differences in the physiology and pathology of rotator cuff injuries."
2022 Dec,Journal of bone and mineral research : the official journal of the American ,J Bone Miner Res. 2022 Dec;37(12):2498-2511. doi: 10.1002/jbmr.4717. Epub 2022 ,"['Gui, Tao', 'Wei, Yulong', 'Luo, Lijun', 'Li, Jun', 'Zhong, Leilei', 'Yao, Lutian', 'Beier, Frank', 'Nelson, Charles L', 'Tsourkas, Andrew', 'Liu, X Sherry', 'Enomoto-Iwamoto, Motomi', 'Yu, Feifan', 'Cheng, Zhiliang', 'Qin, Ling']","['animals', 'mice', 'cartilage, articular metabolism', ' erbb receptors metabolism', 'ligands', ' osteoarthritis metabolism', 'synovitis metabolism', 'epidermal growth factor receptor', 'mechanical loading', 'nanoparticle', 'phospholipid micellar', 'post-traumatic osteoarthritis']",Activating EGFR Signaling Attenuates Osteoarthritis Development Following Loading Injury in Mice.,"Posttraumatic osteoarthritis (PTOA) results in joint pain, loss of joint function, and impaired quality of daily life in patients with limited treatment options. We previously demonstrated that epidermal growth factor receptor (EGFR) signaling is essential for maintaining chondroprogenitors during articular cartilage development and homeostasis. Here, we used a nonsurgical, loading-induced PTOA mouse model to investigate the protective action of EGFR signaling. A single bout of cyclic tibial loading at a peak force of 6 N injured cartilage at the posterior aspect of lateral femoral condyle. Similar loading at a peak force of 9 N ruptured the anterior cruciate ligament, causing additional cartilage damage at the medial compartment and ectopic cartilage formation in meniscus and synovium. Constitutively overexpression of an EGFR ligand, heparin binding EGF-like growth factor (HBEGF), in chondrocytes significantly reduced cartilage injury length, synovitis, and pain after 6 N loading and mitigated medial side cartilage damage and ectopic cartilage formation after 9 N loading. Mechanistically, overactivation of EGFR signaling protected chondrocytes from loading-induced apoptosis and loss of proliferative ability and lubricant synthesis. Overexpressing HBEGF in adult cartilage starting right before 6 N loading had similar beneficial effects. In contrast, inactivating EGFR in adult cartilage led to accelerated PTOA progression with elevated cartilage Mankin score and synovitis score and increased ectopic cartilage formation. As a therapeutic approach, we constructed a nanoparticle conjugated with the EGFR ligand TGFα. Intra-articular injections of this nanoconstruct once every 3 weeks for 12 weeks partially mitigated PTOA symptoms in cartilage and synovium after 6 N loading. Our findings demonstrate the anabolic actions of EGFR signaling in maintaining articular cartilage during PTOA development and shed light on developing a novel nanomedicine for PTOA. © 2022 American Society for Bone and Mineral Research (ASBMR)."
2022 Nov,Journal of bone and mineral research : the official journal of the American ,J Bone Miner Res. 2022 Nov;37(11):2215-2225. doi: 10.1002/jbmr.4704. Epub 2022 ,"['Wang, Wenzheng', 'Azar, Tala', 'Tseng, Wei-Ju', 'Pei, Shaopeng', 'Zhou, Yilu', 'Jiang, Xi', 'Dyment, Nathaniel', 'Liu, X Sherry']","['animals', 'female', 'rats', ' anabolic agents pharmacology', 'bone density', ' bone diseases, metabolic', ' bone resorption drug therapy', 'osteogenesis', 'ovariectomy', 'parathyroid hormone pharmacology', 'rats, sprague-dawley', 'x-ray microtomography', 'anabolics', 'analysis quantitation of bone', 'bone histomorphometry', 'bone qct microct', 'preclinical studies']",Distinct Responses of Modeling- and Remodeling-Based Bone Formation to the Discontinuation of Intermittent Parathyroid Hormone Treatment in Ovariectomized Rats.,"Anabolic agents, such as intermittent parathyroid hormone (PTH), exert their treatment efficacy through activation of two distinct bone formation processes, namely, remodeling-based bone formation (RBF, bone formation coupled with prior bone resorption) and modeling-based bone formation (MBF, bone formation without prior activation of bone resorption). However, if not followed by an antiresorptive agent, treatment benefit was quickly lost upon withdrawal from anabolic agents. By using in vivo micro-computed tomography imaging and multiplex cryohistology with sequential immunofluorescence staining, we investigated the temporal response of newly formed bone tissue from MBF and RBF and the preexisting bone tissue to withdrawal from PTH treatment and the associated cellular activity in an ovariectomized (OVX) rat model. We first demonstrated continued mineral apposition at both RBF and MBF sites following PTH discontinuation, resulting in an extended anabolic effect after 1-week withdrawal from PTH. It was further discovered that MBF sites had a greater contribution than RBF sites to the extended anabolic effect upon early withdrawal from PTH, evidenced by a higher percentage of alkaline phosphatase-positive (ALP+) surfaces and far greater bone formation activity at MBF versus RBF sites. Furthermore, significant bone loss occurred after 3 weeks of discontinuation from PTH, resulting from marked loss of newly formed bone tissue from RBF and preexisting bone tissue prior to treatment. In contrast, MBF surfaces had a delayed increase of tartrate-resistant acid phosphatase activity following PTH discontinuation. As a result, newly formed bone tissue from MBF had greater resistance to PTH discontinuation-induced bone loss than those from RBF and preexisting bone. Understanding various responses of two distinct bone formation types and preexisting bone to anabolic treatment discontinuation is critical to inform the design of follow-up treatment or cyclic treatment strategies to maximize treatment benefit of anabolic agents. © 2022 American Society for Bone and Mineral Research (ASBMR)."
2022 Dec,Progress in biophysics and molecular biology,Prog Biophys Mol Biol. 2022 Dec;176:38-51. doi: 10.1016/j.pbiomolbio.2022.05.010. ,"['Pei, Shaopeng', 'Zhou, Yilu', 'Li, Yihan', 'Azar, Tala', 'Wang, Wenzheng', 'Kim, Do-Gyoon', 'Liu, X Sherry']","[' bone and bones', 'fluorescent microscopy imaging', 'musculoskeletal tissues', 'nanoindentation', 'raman spectroscopy and imaging', 'scanning electron microscopy']",Instrumented nanoindentation in musculoskeletal research.,"Musculoskeletal tissues, such as bone, cartilage, and muscle, are natural composite materials that are constructed with a hierarchical structure ranging from the cell to tissue level. The component differences and structural complexity, together, require comprehensive multiscale mechanical characterization. In this review, we focus on nanoindentation testing, which is used for nanometer to sub-micrometer length scale mechanical characterization. In the following context, we will summarize studies of nanoindentation in musculoskeletal research, examine the critical factors that affect nanoindentation testing results, and briefly summarize other commonly used techniques that can be conjoined with nanoindentation for synchronized imaging and colocalized characterization."
2022 Apr,Journal of bone and mineral research : the official journal of the American ,J Bone Miner Res. 2022 Apr;37(4):616-628. doi: 10.1002/jbmr.4495. Epub 2022 Jan ,"['Tseng, Wei-Ju', 'Lee, Wonsae', 'Zhao, Hongbo', 'Liu, Yang', 'Wang, Wenzheng', 'de Bakker, Chantal Mj', 'Li, Yihan', 'Osuna, Carlos', 'Tong, Wei', 'Wang, Luqiang', 'Ma, Xiaoyuan', 'Qin, Ling', 'Liu, X Sherry']","[' anabolic agents pharmacology', 'animals', 'bone density', 'estrogens', 'female', 'humans', 'ovariectomy', ' parathyroid hormone pharmacology', 'rats', 'bone cell activities', 'bone mechanics', 'bone microarchitecture', 'cyclic treatment regimen', 'parathyroid hormone', 'pth treatment discontinuation']",Short Cyclic Regimen With Parathyroid Hormone (PTH) Results in Prolonged Anabolic Effect Relative to Continuous Treatment Followed by Discontinuation in Ovariectomized Rats.,"Despite the potent effect of intermittent parathyroid hormone (PTH) treatment on promoting new bone formation, bone mineral density (BMD) rapidly decreases upon discontinuation of PTH administration. To uncover the mechanisms behind this adverse phenomenon, we investigated the immediate responses in bone microstructure and bone cell activities to PTH treatment withdrawal and the associated long-term consequences. Unexpectedly, intact female and estrogen-deficient female rats had distinct responses to the discontinuation of PTH treatment. Significant tibial bone loss and bone microarchitecture deterioration occurred in estrogen-deficient rats, with the treatment benefits of PTH completely lost 9 weeks after discontinuation. In contrast, no adverse effect was observed in intact rats, with sustained treatment benefit 9 weeks after discontinuation. Intriguingly, there is an extended anabolic period during the first week of treatment withdrawal in estrogen-deficient rats, during which no significant change occurred in the number of osteoclasts, whereas the number of osteoblasts remained elevated compared with vehicle-treated rats. However, increases in number of osteoclasts and decreases in number of osteoblasts occurred 2 weeks after discontinuation of PTH treatment, leading to significant reduction in bone mass and bone microarchitecture. To leverage the extended anabolic period upon early withdrawal from PTH, a cyclic administration regimen with repeated cycles of on and off PTH treatment was explored. We demonstrated that the cyclic treatment regimen efficiently alleviated the PTH withdrawal-induced bone loss, improved bone mass, bone microarchitecture, and whole-bone mechanical properties, and extended the treatment duration. © 2021 American Society for Bone and Mineral Research (ASBMR)."
2022 Jan,Journal of the mechanical behavior of biomedical materials,J Mech Behav Biomed Mater. 2022 Jan;125:104943. doi: 10.1016/j.jmbbm.2021.104943. ,"['Sang, Wen', 'Li, Yihan', 'Guignon, Jane', 'Liu, X Sherry', 'Ural, Ani']","['animals', ' bone matrix', 'elastic modulus', 'female', 'finite element analysis', ' osteocytes', 'porosity', 'rats', 'bone fracture', 'bone mechanical properties', 'cohesive finite element modeling', 'lactation', 'osteocyte lacunae']",Structural role of osteocyte lacunae on mechanical properties of bone matrix: A cohesive finite element study.,"Despite the extensive studies on biological function of osteocytes, there are limited studies that evaluated the structural role of osteocyte lacunae on local mechanical properties of the bone matrix. As a result, the goal of this study was to elucidate the independent contribution of osteocyte lacunae structure on mechanical properties and fracture behavior of the bone matrix uncoupled from its biological effects and bone tissue composition variation. This study combined cohesive finite element modeling with experimental data from a lactation rat model to evaluate the influence of osteocyte lacunar area porosity, density, size, axis ratio, and orientation on the elastic modulus, ultimate strength, and ultimate strain of the bone matrix as well as on local crack formation and propagation. It also performed a parametric study to isolate the influence of a single osteocyte lacunae structural property on the mechanical properties of the bone matrix. The experimental measurements demonstrated statistically significant differences in lacunar size between ovariectomized rats with lactation history and virgin groups (both ovariectomized and intact) and in axis ratio between rats with lactation history and virgins. There were no differences in mechanical properties between virgin and lactation groups as determined by the finite element simulations. However, there were statistically significant linear relationships between the physiological range of osteocyte lacunar area porosity, density, size, and orientation and the elastic modulus and ultimate strength of the bone matrix in virgin and lactation rats. The parametric study also revealed similar but stronger relationships between elastic modulus and ultimate strength and lacunar density, size, and orientation. The simulations also demonstrated that the osteocyte lacunae guided the crack propagation through local stress concentrations. In summary, this study enhanced the limited knowledge on the structural role of osteocyte lacunae on local mechanical properties of the bone matrix. These data are important in gaining a better understanding of the mechanical implications of the local modifications due to osteocytes in the bone matrix."
2021 Sep,Biomaterials,Biomaterials. 2021 Sep;276:121015. doi: 10.1016/j.biomaterials.2021.121015. Epub ,"['Wang, Wenzheng', 'Tseng, Wei-Ju', 'Zhao, Hongbo', 'Azar, Tala', 'Pei, Shaopeng', 'Jiang, Xi', 'Dyment, Nathaniel', 'Liu, X Sherry']","['animals', 'bone density', ' bone and bones', 'female', 'male', ' osteogenesis', 'ovariectomy', 'parathyroid hormone', 'rats', 'tibia diagnostic imaging', 'anabolic treatments', 'animal model', 'bone histomorphometry', 'modeling- and remodeling-based bone formation', 'osteoporosis']","Activation, development, and attenuation of modeling- and remodeling-based bone formation in adult rats.","Activation of modeling-based bone formation (MBF - bone formation without prior activation of bone resorption), has been identified as an important mechanism by which anabolic agents, such as intermittent parathyroid hormone (PTH), rapidly elicit new bone formation. Using a novel cryohistology imaging platform, coupled with sequential multicolor fluorochrome injections, we demonstrated that MBF and remodeling-based bone formation (RBF) in the adult rat tibia model have similar contributions to trabecular bone homeostasis. PTH treatment resulted in a 2.4-4.9 fold greater bone formation rate over bone surface (BFR/BS) by RBF and a 4.3-8.5 fold greater BFR/BS by MBF in male, intact female, and ovariectomized female rats. Moreover, regardless of bone formation type, once a formation site is activated by PTH, mineral deposition continues throughout the entire treatment duration. Furthermore, by tracking the sequence of multicolor fluorochrome labels, we discovered that MBF, a highly efficient but often overlooked regenerative mechanism, is activated more rapidly but attenuated faster than RBF in response to PTH. This suggests that MBF and RBF contribute differently to PTH's anabolic effect in rats: MBF has a greater contribution to the acute elevation in bone mass at the early stage of treatment while RBF contributes to the sustained treatment effect."
2021 Oct,Bone,Bone. 2021 Oct;151:116033. doi: 10.1016/j.bone.2021.116033. Epub 2021 Jun 5.,"['Lai, Xiaohan', 'Chung, Rebecca', 'Li, Yihan', 'Liu, Xiaowei Sherry', 'Wang, Liyun']","['animals', 'bone and bones', 'female', ' lactation', 'mice', ' osteocytes', 'porosity', 'tibia', 'bone fluid flow', 'lactation', 'lacunar-canalicular system (lcs)', 'mechanosensing', 'osteocyte', 'pericellular matrix (pcm)']",Lactation alters fluid flow and solute transport in maternal skeleton: A multiscale modeling study on the effects of microstructural changes and loading frequency.,"The female skeleton undergoes significant material and ultrastructural changes to meet high calcium demands during reproduction and lactation. Through the peri-lacunar/canalicular remodeling (PLR), osteocytes actively resorb surrounding matrix and enlarge their lacunae and canaliculi during lactation, which are quickly reversed after weaning. How these changes alter the physicochemical environment of osteocytes, the most abundant and primary mechanosensing cells in bone, are not well understood. In this study, we developed a multiscale poroelastic modeling technique to investigate lactation-induced changes in stress, fluid pressurization, fluid flow, and solute transport across multiple length scales (whole bone, porous midshaft cortex, lacunar-canalicular pore system (LCS), and pericellular matrix (PCM) around osteocytes) in murine tibiae subjected to axial compression at 3 N peak load (~320 με) at 0.5, 2, or 4 Hz. Based on previously reported skeletal anatomical measurements from lactating and nulliparous mice, our models demonstrated that loading frequency, LCS porosity, and PCM density were major determinants of fluid and solute flows responsible for osteocyte mechanosensing, cell-cell signaling, and metabolism. When loaded at 0.5 Hz, lactation-induced LCS expansion and potential PCM reduction promoted solute transport and osteocyte mechanosensing via primary cilia, but suppressed mechanosensing via fluid shear and/or drag force on the cell membrane. Interestingly, loading at 2 or 4 Hz was found to overcome the mechanosensing deficits observed at 0.5 Hz and these counter effects became more pronounced at 4 Hz and with sparser PCM in the lactating bone. Synergistically, higher loading frequency (2, 4 Hz) and sparser PCM enhanced flow-mediated mechanosensing and diffusion/convection of nutrients and signaling molecules for osteocytes. In summary, lactation-induced structural changes alter the local environment of osteocytes in ways that favor metabolism, mechanosensing, and post-weaning recovery of maternal bone. Thus, osteocytes play a role in balancing the metabolic and mechanical functions of female skeleton during reproduction and lactation."
2021 Oct,Bone,Bone. 2021 Oct;151:116031. doi: 10.1016/j.bone.2021.116031. Epub 2021 Jun 5.,"['Li, Yihan', 'de Bakker, Chantal M J', 'Lai, Xiaohan', 'Zhao, Hongbo', 'Parajuli, Ashutosh', 'Tseng, Wei-Ju', 'Pei, Shaopeng', 'Meng, Tan', 'Chung, Rebecca', 'Wang, Liyun', 'Liu, X Sherry']","['animals', ' bone and bones', 'cortical bone', 'female', ' lactation', 'osteocytes', 'pregnancy', 'rats', 'weaning', 'bone mechano-responsiveness', 'lactation', 'maternal bone adaptation', 'osteocyte mechanosensing', 'peri-lacunar canalicular remodeling (plr)', 'reproduction']","Maternal bone adaptation to mechanical loading during pregnancy, lactation, and post-weaning recovery.","The maternal skeleton undergoes dramatic bone loss during pregnancy and lactation, and substantial bone recovery post-weaning. The structural adaptations of maternal bone during reproduction and lactation exert a better protection of the mechanical integrity at the critical load-bearing sites, suggesting the importance of physiological load-bearing in regulating reproduction-induced skeletal alterations. Although it is suggested that physical exercise during pregnancy and breastfeeding improves women's physical and psychological well-being, its effects on maternal bone health remain unclear. Therefore, the objective of this study was to investigate the maternal bone adaptations to external mechanical loading during pregnancy, lactation, and post-weaning recovery. By utilizing an in vivo dynamic tibial loading protocol in a rat model, we demonstrated improved maternal cortical bone structure in response to dynamic loading at tibial midshaft, regardless of reproductive status. Notably, despite the minimal loading responses detected in the trabecular bone in virgins, rat bone during lactation experienced enhanced mechano-responsiveness in both trabecular and cortical bone compartments when compared to rats at other reproductive stages or age-matched virgins. Furthermore, our study showed that the lactation-induced elevation in osteocyte peri-lacunar/canalicular remodeling (PLR) activities led to enlarged osteocyte lacunae. This may result in alterations in interstitial fluid flow-mediated mechanical stimulation on osteocytes and an elevation in solute transport through the lacunar-canalicular system (LCS) during high-frequency dynamic loading, thus enhancing mechano-responsiveness of maternal bone during lactation. Taken together, findings from this study provide important insights into the relationship between reproduction- and lactation-induced skeletal changes and external mechanical loading, emphasizing the importance of weight-bearing exercise on maternal bone health during reproduction and postpartum."
2021 Jun 4,eLife,Elife. 2021 Jun 4;10:e62917. doi: 10.7554/eLife.62917.,"['Wei, Yulong', 'Sun, Hao', 'Gui, Tao', 'Yao, Lutian', 'Zhong, Leilei', 'Yu, Wei', 'Heo, Su-Jin', 'Han, Lin', 'Dyment, Nathaniel A', 'Liu, Xiaowei Sherry', 'Zhang, Yejia', 'Koyama, Eiki', 'Long, Fanxin', 'Zgonis, Miltiadis H', 'Mauck, Robert L', 'Ahn, Jaimo', 'Qin, Ling']","['animals', 'cell lineage', 'cell proliferation', 'disease models, animal', 'hedgehog proteins genetics  metabolism', 'humans', 'male', 'menisci, tibial metabolism pathology  surgery', ' mesenchymal stem cell transplantation', 'mesenchymal stem cells  metabolism', 'mice, knockout', 'osteoarthritis, knee genetics metabolism pathology  prevention & control', 'signal transduction', 'swine', 'swine, miniature', 'tibial meniscus injuries genetics metabolism pathology  surgery', 'time factors', ' wound healing', 'zinc finger protein gli1 genetics  metabolism', 'mice', 'gli1', 'developmental biology', 'lineage tracing', 'meniscus injury', 'mesenchymal progenitor', 'mouse', 'osteoarthritis', 'regenerative medicine', 'stem cells']",The critical role of Hedgehog-responsive mesenchymal progenitors in meniscus development and injury repair.,"Meniscal tears are associated with a high risk of osteoarthritis but currently have no disease-modifying therapies. Using a Gli1 reporter line, we found that Gli1(+) cells contribute to the development of meniscus horns from 2 weeks of age. In adult mice, Gli1(+) cells resided at the superficial layer of meniscus and expressed known mesenchymal progenitor markers. In culture, meniscal Gli1(+) cells possessed high progenitor activities under the control of Hh signal. Meniscus injury at the anterior horn induced a quick expansion of Gli1-lineage cells. Normally, meniscal tissue healed slowly, leading to cartilage degeneration. Ablation of Gli1(+) cells further hindered this repair process. Strikingly, intra-articular injection of Gli1(+) meniscal cells or an Hh agonist right after injury accelerated the bridging of the interrupted ends and attenuated signs of osteoarthritis. Taken together, our work identified a novel progenitor population in meniscus and proposes a new treatment for repairing injured meniscus and preventing osteoarthritis."
2021 Apr,Bone,Bone. 2021 Apr;145:115862. doi: 10.1016/j.bone.2021.115862. Epub 2021 Jan 22.,"['Li, Yihan', 'Tseng, Wei-Ju', 'de Bakker, Chantal M J', 'Zhao, Hongbo', 'Chung, Rebecca', 'Liu, X Sherry']","['animals', 'bone density', ' bone diseases, metabolic', ' cancellous bone diagnostic imaging', 'estrogens', 'female', 'humans', 'ovariectomy', 'rats', 'x-ray microtomography', 'bone loss predictor', 'bone mechanical properties', 'bone microstructure', 'in vivo micro-computed tomography', 'osteoporosis', 'ovariectomy']",Peak trabecular bone microstructure predicts rate of estrogen-deficiency-induced bone loss in rats.,"Postmenopausal osteoporosis affects a large number of women worldwide. Reduced estrogen levels during menopause lead to accelerated bone remodeling, resulting in low bone mass and increased fracture risk. Both peak bone mass and the rate of bone loss are important predictors of postmenopausal osteoporosis risk. However, whether peak bone mass and/or bone microstructure directly influence the rate of bone loss following menopause remains unclear. Our study aimed to establish the relationship between peak bone mass/microstructure and the rate of bone loss in response to estrogen deficiency following ovariectomy (OVX) surgery in rats of homogeneous background by tracking the skeletal changes using in vivo micro-computed tomography (μCT) and three-dimensional (3D) image registrations. Linear regression analyses demonstrated that the peak bone microstructure, but not peak bone mass, was highly predictive of the rate of OVX-induced bone loss. In particular, the baseline trabecular thickness was found to have the highest correlation with the degree of OVX-induced bone loss and trabecular stiffness reduction. Given the same bone mass, the rats with thicker baseline trabeculae had a lower rate of trabecular microstructure and stiffness deterioration after OVX. Moreover, further evaluation to track the changes within each individual trabecula via our novel individual trabecular dynamics (ITD) analysis suggested that a trabecular network with thicker trabeculae is less likely to disconnect or perforate in response to estrogen deficiency, resulting a lower degree of bone loss. Taken together, these findings indicate that the rate of estrogen-deficiency-induced bone loss could be predicted by peak bone microstructure, most notably the trabecular thickness. Given the same bone mass, a trabecular bone phenotype with thin trabeculae may be a risk factor toward accelerated postmenopausal bone loss."
2021 Jan 19,The Journal of clinical investigation,J Clin Invest. 2021 Jan 19;131(2):e140214. doi: 10.1172/JCI140214.,"['Yu, Wei', 'Zhong, Leilei', 'Yao, Lutian', 'Wei, Yulong', 'Gui, Tao', 'Li, Ziqing', 'Kim, Hyunsoo', 'Holdreith, Nicholas', 'Jiang, Xi', 'Tong, Wei', 'Dyment, Nathaniel', 'Liu, X Sherry', 'Yang, Shuying', 'Choi, Yongwon', 'Ahn, Jaimo', 'Qin, Ling']","['adipocytes metabolism pathology', 'adiponectin genetics metabolism', 'animals', ' bone marrow metabolism pathology', ' bone remodeling', ' bone resorption genetics metabolism pathology', 'mice', 'mice, transgenic', ' osteoclasts metabolism pathology', 'rank ligand genetics metabolism', 'bone biology', 'bone marrow differentiation']",Bone marrow adipogenic lineage precursors promote osteoclastogenesis in bone remodeling and pathologic bone loss.,
2020 Aug,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2020 Aug;38(8):1661-1665. doi: 10.1002/jor.24685. Epub 2020 Apr 25.,"['Alliston, Tamara', 'Foucher, Kharma C', 'Frederick, Brenda', 'Hernandez, Christopher J', 'Iatridis, James C', 'Kozloff, Kenneth M', 'Lewis, Karl J', 'Liu, X Sherry', 'Mercer, Deana M', 'Ochia, Ruth', 'Queen, Robin M', 'Rimnac, Clare M', 'van der Meulen, Marjolein C H', 'Westendorf, Jennifer J']","['biomedical research  organization & administration', ' cultural diversity', 'orthopedics  organization & administration', 'societies, medical']","The importance of diversity, equity, and inclusion in orthopedic research.",
2020 Aug,"Arthritis & rheumatology (Hoboken, N.J.)",Arthritis Rheumatol. 2020 Aug;72(8):1266-1277. doi: 10.1002/art.41254. Epub 2020 ,"['Li, Qing', 'Han, Biao', 'Wang, Chao', 'Tong, Wei', 'Wei, Yulong', 'Tseng, Wei-Ju', 'Han, Li-Hsin', 'Liu, X Sherry', 'Enomoto-Iwamoto, Motomi', 'Mauck, Robert L', 'Qin, Ling', 'Iozzo, Renato V', 'Birk, David E', 'Han, Lin']","['aggrecans metabolism', 'animals', 'cartilage, articular  metabolism', 'chondrocytes metabolism', 'collagen metabolism', 'decorin  metabolism', 'disease models, animal', 'glycosaminoglycans metabolism', 'interleukin-1beta metabolism', 'matrilin proteins metabolism', 'menisci, tibial metabolism', 'mice', 'mice, knockout', 'osteoarthritis etiology  metabolism', 'osteophyte metabolism', 'wounds and injuries complications']",Mediation of Cartilage Matrix Degeneration and Fibrillation by Decorin in Post-traumatic Osteoarthritis.,"OBJECTIVE: To elucidate the role of decorin, a small leucine-rich proteoglycan, in the degradation of cartilage matrix during the progression of post-traumatic osteoarthritis (OA). METHODS: Three-month-old decorin-null (Dcn(-/-) ) and inducible decorin-knockout (Dcn(i) (KO) ) mice were subjected to surgical destabilization of the medial meniscus (DMM) to induce post-traumatic OA. The OA phenotype that resulted was evaluated by assessing joint morphology and sulfated glycosaminoglycan (sGAG) staining via histological analysis (n = 6 mice per group), surface collagen fibril nanostructure via scanning electron microscopy (n = 4 mice per group), tissue modulus via atomic force microscopy-nanoindentation (n = 5 or more mice per group) and subchondral bone structure via micro-computed tomography (n = 5 mice per group). Femoral head cartilage explants from wild-type and Dcn(-/-) mice were stimulated with the inflammatory cytokine interleukin-1β (IL-1β) in vitro (n = 6 mice per group). The resulting chondrocyte response to IL-1β and release of sGAGs were quantified. RESULTS: In both Dcn(-/-) and Dcn(i) (KO) mice, the absence of decorin resulted in accelerated sGAG loss and formation of highly aligned collagen fibrils on the cartilage surface relative to the control (P < 0.05). Also, Dcn(-/-) mice developed more salient osteophytes, illustrating more severe OA. In cartilage explants treated with IL-1β, loss of decorin did not alter the expression of either anabolic or catabolic genes. However, a greater proportion of sGAGs was released to the media from Dcn(-/-) mouse explants, in both live and devitalized conditions (P < 0.05). CONCLUSION: In post-traumatic OA, decorin delays the loss of fragmented aggrecan and fibrillation of cartilage surface, and thus, plays a protective role in ameliorating cartilage degeneration."
2020 Jan 29,Biomolecules,Biomolecules. 2020 Jan 29;10(2):198. doi: 10.3390/biom10020198.,"['Parajuli, Ashutosh', 'Pei, Shaopeng', 'Zhao, Hongbo', 'Martinez, Jerahme R', 'Lu, X Lucas', 'Liu, X Sherry', 'Farach-Carson, Mary C', 'Kirn-Safran, Catherine B', 'Wang, Liyun']","['animals', 'cancellous bone  pathology', 'femur pathology', 'hematopoietic stem cells cytology', 'heparan sulfate proteoglycans  deficiency  genetics physiology', 'kyphosis', 'male', 'mechanotransduction, cellular', 'metabolism', 'mice', 'mice, inbred c57bl', 'osteoclasts cytology', 'osteocytes  cytology', 'osteogenesis', 'phenotype', 'risk factors', 'stress, mechanical', 'walking', 'x-ray microtomography', 'schwartz-jampel syndrome', 'hindlimb suspension', 'micro-computed tomography', 'osteoclastogenesis', 'osteoporosis', 'perlecan', 're-ambulation', 'trabecular bone']",Trabecular Bone Deficit and Enhanced Anabolic Response to Re-Ambulation after Disuse in Perlecan-Deficient Skeleton.,"Perlecan/Hspg2, a large monomeric heparan sulfate proteoglycan, is found in the basement membrane and extracellular matrix, where it acts as a matrix scaffold, growth factor depot, and tissue barrier. Perlecan deficiency leads to skeletal dysplasia in Schwartz-Jampel Syndrome (SJS) and is a risk factor for osteoporosis. In the SJS-mimicking murine model (Hypo), inferior cortical bone quality and impaired mechanotransduction in osteocytes were reported. This study focused on trabecular bone, where perlecan deficiency was hypothesized to result in structural deficit and altered response to disuse and re-loading. We compared the Hypo versus WT trabecular bone in both axial and appendicular skeletons of 8-38-week-old male mice, and observed severe trabecular deficit in Hypo mice, approximately 50% reduction of Tb.BV/TV regardless of skeletal site and animal age. Defects in endochondral ossification (e.g., accelerated mineralization), increases in osteoclast activity, and altered differentiation of bone progenitor cells in marrow contributed to the Hypo phenotype. The Hypo trabecular bone deteriorated further under three-week hindlimb suspension as did the WT. Re-ambulation partially recovered the lost trabecular bone in Hypo, but not in WT mice. The novel finding that low-impact loading could counter detrimental disuse effects in the perlecan-deficient skeleton suggests a strategy to maintain skeletal health in SJS patients."
