time,journal,doi_info,authors,key words,title,abstract
2024 May 16,Oncotarget,Oncotarget. 2024 May 16;15:313-325. doi: 10.18632/oncotarget.28585.,"['Shkreta, Lulzim', 'Toutant, Johanne', 'Delannoy, Aurélie', 'Durantel, David', 'Salvetti, Anna', 'Ehresmann, Sophie', 'Sauvageau, Martin', 'Delbrouck, Julien A', 'Gravel-Trudeau, Alice', 'Comeau, Christian', 'Huard, Caroline', 'Coulombe-Huntington, Jasmin', 'Tyers, Mike', 'Grierson, David', 'Boudreault, Pierre-Luc', 'Chabot, Benoit']","['humans', ' epithelial-mesenchymal transition drug effects', ' protein-tyrosine kinases metabolism antagonists & inhibitors genetics', ' protein kinase inhibitors pharmacology', ' cell proliferation drug effects', 'cell line, tumor', 'antineoplastic agents pharmacology', 'protein serine-threonine kinases metabolism genetics antagonists & inhibitors', 'thiazoles pharmacology', 'antiviral agents pharmacology', 'hct116 cells', 'dead-box rna helicases metabolism genetics', 'gene expression profiling', 'clk kinases inhibitors', 'emt', 'antiviral immune response', 'metastasis', 'microtubules']",The anticancer potential of the CLK kinases inhibitors 1C8 and GPS167 revealed by their impact on the epithelial-mesenchymal transition and the antiviral immune response.,"The diheteroarylamide-based compound 1C8 and the aminothiazole carboxamide-related compound GPS167 inhibit the CLK kinases, and affect the proliferation of a broad range of cancer cell lines. A chemogenomic screen previously performed with GPS167 revealed that the depletion of components associated with mitotic spindle assembly altered sensitivity to GPS167. Here, a similar screen performed with 1C8 also established the impact of components involved in mitotic spindle assembly. Accordingly, transcriptome analyses of cells treated with 1C8 and GPS167 indicated that the expression and RNA splicing of transcripts encoding mitotic spindle assembly components were affected. The functional relevance of the microtubule connection was confirmed by showing that subtoxic concentrations of drugs affecting mitotic spindle assembly increased sensitivity to GPS167. 1C8 and GPS167 impacted the expression and splicing of transcripts in pathways relevant to tumor progression, including MYC targets and the epithelial mesenchymal transition (EMT). Finally, 1C8 and GPS167 altered the expression and alternative splicing of transcripts involved in the antiviral immune response. Consistent with this observation, depleting the double-stranded RNA sensor DHX33 suppressed GPS167-mediated cytotoxicity on HCT116 cells. Our study uncovered molecular mechanisms through which 1C8 and GPS167 affect cancer cell proliferation as well as processes critical for metastasis."
2023 Nov 16,Molecular cell,Mol Cell. 2023 Nov 16;83(22):4078-4092.e6. doi: 10.1016/j.molcel.2023.10.017. ,"['Wilson, Gemma A', 'Vuina, Karla', 'Sava, Georgina', 'Huard, Caroline', 'Meneguello, Leticia', 'Coulombe-Huntington, Jasmin', 'Bertomeu, Thierry', 'Maizels, Rory J', 'Lauring, Josh', 'Kriston-Vizi, Janos', 'Tyers, Mike', 'Ali, Simak', 'Bertoli, Cosetta', 'de Bruin, Robertus A M']","['humans', ' cyclin-dependent kinases genetics metabolism', 'cyclin-dependent kinase-activating kinase', 'signal transduction', 'cell cycle', 'enzyme inhibitors', 'tor serine-threonine kinases genetics metabolism', ' neoplasms drug therapy genetics', 'cell line, tumor', 'cdk inhibition', 'cdk7 inhibitor', 'cancer treatment', 'cell cycle', 'cell size', 'cell-cycle arrest', 'cellular growth', 'mtor singaling', 'proliferation', 'samuraciclib', 'senescence']",Active growth signaling promotes senescence and cancer cell sensitivity to CDK7 inhibition.,"Tumor growth is driven by continued cellular growth and proliferation. Cyclin-dependent kinase 7's (CDK7) role in activating mitotic CDKs and global gene expression makes it therefore an attractive target for cancer therapies. However, what makes cancer cells particularly sensitive to CDK7 inhibition (CDK7i) remains unclear. Here, we address this question. We show that CDK7i, by samuraciclib, induces a permanent cell-cycle exit, known as senescence, without promoting DNA damage signaling or cell death. A chemogenetic genome-wide CRISPR knockout screen identified that active mTOR (mammalian target of rapamycin) signaling promotes samuraciclib-induced senescence. mTOR inhibition decreases samuraciclib sensitivity, and increased mTOR-dependent growth signaling correlates with sensitivity in cancer cell lines. Reverting a growth-promoting mutation in PIK3CA to wild type decreases sensitivity to CDK7i. Our work establishes that enhanced growth alone promotes CDK7i sensitivity, providing an explanation for why some cancers are more sensitive to CDK inhibition than normally growing cells."
2023 Aug,PLoS genetics,PLoS Genet. 2023 Aug 28;19(8):e1010903. doi: 10.1371/journal.pgen.1010903. ,"['Normandin, Karine', 'Coulombe-Huntington, Jasmin', 'St-Denis, Corinne', 'Bernard, Alexandre', 'Bourouh, Mohammed', 'Bertomeu, Thierry', 'Tyers, Mike', 'Archambault, Vincent']","[' cell cycle proteins genetics', ' kinetochores', ' protein serine-threonine kinases genetics', ' enhancer elements, genetic', 'humans', 'polo-like kinase 1']",Genetic enhancers of partial PLK1 inhibition reveal hypersensitivity to kinetochore perturbations.,"Polo-like kinase 1 (PLK1) is a serine/threonine kinase required for mitosis and cytokinesis. As cancer cells are often hypersensitive to partial PLK1 inactivation, chemical inhibitors of PLK1 have been developed and tested in clinical trials. However, these small molecule inhibitors alone are not completely effective. PLK1 promotes numerous molecular and cellular events in the cell division cycle and it is unclear which of these events most crucially depend on PLK1 activity. We used a CRISPR-based genome-wide screening strategy to identify genes whose inactivation enhances cell proliferation defects upon partial chemical inhibition of PLK1. Genes identified encode proteins that are functionally linked to PLK1 in multiple ways, most notably factors that promote centromere and kinetochore function. Loss of the kinesin KIF18A or the outer kinetochore protein SKA1 in PLK1-compromised cells resulted in mitotic defects, activation of the spindle assembly checkpoint and nuclear reassembly defects. We also show that PLK1-dependent CENP-A loading at centromeres is extremely sensitive to partial PLK1 inhibition. Our results suggest that partial inhibition of PLK1 compromises the integrity and function of the centromere/kinetochore complex, rendering cells hypersensitive to different kinetochore perturbations. We propose that KIF18A is a promising target for combinatorial therapies with PLK1 inhibitors."
2022 Nov 7,The Journal of cell biology,J Cell Biol. 2022 Nov 7;221(11):e202011050. doi: 10.1083/jcb.202011050. Epub 2022 ,"['Navare, Arti T', 'Mast, Fred D', 'Olivier, Jean Paul', 'Bertomeu, Thierry', 'Neal, Maxwell L', 'Carpp, Lindsay N', 'Kaushansky, Alexis', 'Coulombe-Huntington, Jasmin', 'Tyers, Mike', 'Aitchison, John D']","['humans', ' guanine nucleotide exchange factors metabolism', 'synthetic lethal mutations', 'virus replication', 'gene expression regulation, viral', ' poliovirus', ' viral core proteins genetics metabolism', 'host-pathogen interactions']",Viral protein engagement of GBF1 induces host cell vulnerability through synthetic lethality.,"Viruses co-opt host proteins to carry out their lifecycle. Repurposed host proteins may thus become functionally compromised; a situation analogous to a loss-of-function mutation. We term such host proteins as viral-induced hypomorphs. Cells bearing cancer driver loss-of-function mutations have successfully been targeted with drugs perturbing proteins encoded by the synthetic lethal (SL) partners of cancer-specific mutations. Similarly, SL interactions of viral-induced hypomorphs can potentially be targeted as host-based antiviral therapeutics. Here, we use GBF1, which supports the infection of many RNA viruses, as a proof-of-concept. GBF1 becomes a hypomorph upon interaction with the poliovirus protein 3A. Screening for SL partners of GBF1 revealed ARF1 as the top hit, disruption of which selectively killed cells that synthesize 3A alone or in the context of a poliovirus replicon. Thus, viral protein interactions can induce hypomorphs that render host cells selectively vulnerable to perturbations that leave uninfected cells otherwise unscathed. Exploiting viral-induced vulnerabilities could lead to broad-spectrum antivirals for many viruses, including SARS-CoV-2."
2022 Mar,PLoS biology,PLoS Biol. 2022 Mar 3;20(3):e3001548. doi: 10.1371/journal.pbio.3001548. ,"['Tollis, Sylvain', 'Singh, Jaspal', 'Palou, Roger', 'Thattikota, Yogitha', 'Ghazal, Ghada', 'Coulombe-Huntington, Jasmin', 'Tang, Xiaojing', 'Moore, Susan', 'Blake, Deborah', 'Bonneil, Eric', 'Royer, Catherine A', 'Thibault, Pierre', 'Tyers, Mike']","['amino acid sequence', 'cell division genetics', 'dna-binding proteins genetics metabolism', 'g1 phase  genetics', ' gene expression regulation, fungal', 'immunoblotting', 'nitrogen  metabolism', 'protein binding', 'rna-seq methods', 'repressor proteins genetics metabolism', 's phase  genetics', 'saccharomyces cerevisiae  genetics metabolism', 'saccharomyces cerevisiae proteins  genetics metabolism', 'sequence homology, amino acid', 'transcription factors genetics metabolism']",The microprotein Nrs1 rewires the G1/S transcriptional machinery during nitrogen limitation in budding yeast.,"Commitment to cell division at the end of G1 phase, termed Start in the budding yeast Saccharomyces cerevisiae, is strongly influenced by nutrient availability. To identify new dominant activators of Start that might operate under different nutrient conditions, we screened a genome-wide ORF overexpression library for genes that bypass a Start arrest caused by absence of the G1 cyclin Cln3 and the transcriptional activator Bck2. We recovered a hypothetical gene YLR053c, renamed NRS1 for Nitrogen-Responsive Start regulator 1, which encodes a poorly characterized 108 amino acid microprotein. Endogenous Nrs1 was nuclear-localized, restricted to poor nitrogen conditions, induced upon TORC1 inhibition, and cell cycle-regulated with a peak at Start. NRS1 interacted genetically with SWI4 and SWI6, which encode subunits of the main G1/S transcription factor complex SBF. Correspondingly, Nrs1 physically interacted with Swi4 and Swi6 and was localized to G1/S promoter DNA. Nrs1 exhibited inherent transactivation activity, and fusion of Nrs1 to the SBF inhibitor Whi5 was sufficient to suppress other Start defects. Nrs1 appears to be a recently evolved microprotein that rewires the G1/S transcriptional machinery under poor nitrogen conditions."
2022 Jan 25,Blood advances,Blood Adv. 2022 Jan 25;6(2):509-514. doi: 10.1182/bloodadvances.2021006047.,"['Krosl, Jana', 'Bordeleau, Marie-Eve', 'Moison, Céline', 'MacRae, Tara', 'Boivin, Isabel', 'Mayotte, Nadine', 'Gracias, Deanne', 'Baccelli, Irène', 'Lavallée, Vincent-Philippe', 'Bisaillon, Richard', 'Lehnertz, Bernhard', 'Mendoza-Sanchez, Rodrigo', 'Ruel, Réjean', 'Bertomeu, Thierry', 'Coulombe-Huntington, Jasmin', 'Boucher, Geneviève', 'Noronha, Nandita', 'Pabst, Caroline', 'Tyers, Mike', 'Gendron, Patrick', 'Lemieux, Sébastien', 'Barabé, Frédéric', 'Marinier, Anne', 'Hébert, Josée', 'Sauvageau, Guy']","['humans', ' hydroxymethylglutaryl-coa reductase inhibitors pharmacology therapeutic use', ' leukemia, myeloid, acute drug therapy genetics']",Vesicular trafficking is a key determinant of the statin response in acute myeloid leukemia.,"Cholesterol homeostasis has been proposed as one mechanism contributing to chemoresistance in AML and hence, inclusion of statins in therapeutic regimens as part of clinical trials in AML has shown encouraging results. Chemical screening of primary human AML specimens by our group led to the identification of lipophilic statins as potent inhibitors of AMLs from a wide range of cytogenetic groups. Genetic screening to identify modulators of the statin response uncovered the role of protein geranylgeranylation and of RAB proteins, coordinating various aspect of vesicular trafficking, in mediating the effects of statins on AML cell viability. We further show that statins can inhibit vesicle-mediated transport in primary human specimens, and that statins sensitive samples show expression signatures reminiscent of enhanced vesicular trafficking. Overall, this study sheds light into the mechanism of action of statins in AML and identifies a novel vulnerability for cytogenetically diverse AML."
2021 Oct 29,Science advances,Sci Adv. 2021 Oct 29;7(44):eabi5797. doi: 10.1126/sciadv.abi5797. Epub 2021 Oct ,"['St-Cyr, Daniel', 'Ceccarelli, Derek F', 'Orlicky, Stephen', 'van der Sloot, Almer M', 'Tang, Xiaojing', 'Kelso, Susan', 'Moore, Susan', 'James, Clint', 'Posternak, Ganna', 'Coulombe-Huntington, Jasmin', 'Bertomeu, Thierry', 'Marinier, Anne', 'Sicheri, Frank', 'Tyers, Mike']",[],Identification and optimization of molecular glue compounds that inhibit a noncovalent E2 enzyme-ubiquitin complex.,"Pharmacological control of the ubiquitin-proteasome system (UPS) is of intense interest in drug discovery. Here, we report the development of chemical inhibitors of the ubiquitin-conjugating (E2) enzyme CDC34A (also known as UBE2R1), which donates activated ubiquitin to the cullin-RING ligase (CRL) family of ubiquitin ligase (E3) enzymes. A FRET-based interaction assay was used to screen for novel compounds that stabilize the noncovalent complex between CDC34A and ubiquitin, and thereby inhibit the CDC34A catalytic cycle. An isonipecotamide hit compound was elaborated into analogs with ~1000-fold increased potency in stabilizing the CDC34A-ubiquitin complex. These analogs specifically inhibited CDC34A-dependent ubiquitination in vitro and stabilized an E2~ubiquitin thioester reaction intermediate in cells. The x-ray crystal structure of a CDC34A-ubiquitin-inhibitor complex uncovered the basis for analog structure-activity relationships. The development of chemical stabilizers of the CDC34A-ubiquitin complex illustrates a general strategy for de novo discovery of molecular glue compounds that stabilize weak protein interactions."
2021 Nov 19,Journal of molecular biology,J Mol Biol. 2021 Nov 19;433(23):167294. doi: 10.1016/j.jmb.2021.167294. Epub 2021 ,"['Saraon, Punit', 'Snider, Jamie', 'Schormann, Wiebke', 'Rai, Ankit', 'Radulovich, Nikolina', 'Sánchez-Osuna, Maria', 'Coulombe-Huntington, Jasmin', 'Huard, Caroline', 'Mohammed, Mohammed', 'Lima-Fernandes, Evelyne', 'Thériault, Brigitte', 'Halabelian, Levon', 'Chan, Manuel', 'Joshi, Dhananjay', 'Drecun, Luka', 'Yao, Zhong', 'Pathmanathan, Shivanthy', 'Wong, Victoria', 'Lyakisheva, Anna', 'Aboualizadeh, Farzaneh', 'Niu, Li', 'Li, Fengling', 'Kiyota, Taira', 'Subramanian, Ratheesh', 'Joseph, Babu', 'Aman, Ahmed', 'Prakesch, Michael', 'Isaac, Methvin', 'Mamai, Ahmed', 'Poda, Gennady', 'Vedadi, Masoud', 'Marcellus, Richard', 'Uehling, David', 'Leighl, Natasha', 'Sacher, Adrian', 'Samaržija, Miroslav', 'Jakopović, Marko', 'Arrowsmith, Cheryl', 'Tyers, Mike', 'Tsao, Ming-Sound', 'Andrews, David', 'Al-Awar, Rima', 'Stagljar, Igor']","['coatomer protein  genetics  metabolism', ' drug discovery methods', 'drug screening assays, antitumor', 'endoplasmic reticulum stress  drug effects  genetics', 'erbb receptors antagonists & inhibitors genetics metabolism', 'gene expression regulation, neoplastic  drug effects', 'humans', 'mutation', 'protein kinase inhibitors pharmacology', 'protein processing, post-translational', 'receptor protein-tyrosine kinases  genetics metabolism', 'signal transduction drug effects', 'coatomer protein complex beta 2 (copb2)', 'endoplasmic reticulum stress', 'epidermal growth factor receptor (egfr)', 'lung cancer', 'receptor tyrosine kinase']",Chemical Genetics Screen Identifies COPB2 Tool Compounds That Alters ER Stress Response and Induces RTK Dysregulation in Lung Cancer Cells.,"Activating mutations in the epidermal growth factor receptor (EGFR) are common driver mutations in non-small cell lung cancer (NSCLC). First, second and third generation EGFR tyrosine kinase inhibitors (TKIs) are effective at inhibiting mutant EGFR NSCLC, however, acquired resistance is a major issue, leading to disease relapse. Here, we characterize a small molecule, EMI66, an analog of a small molecule which we previously identified to inhibit mutant EGFR signalling via a novel mechanism of action. We show that EMI66 attenuates receptor tyrosine kinase (RTK) expression and signalling and alters the electrophoretic mobility of Coatomer Protein Complex Beta 2 (COPB2) protein in mutant EGFR NSCLC cells. Moreover, we demonstrate that EMI66 can alter the subcellular localization of EGFR and COPB2 within the early secretory pathway. Furthermore, we find that COPB2 knockdown reduces the growth of mutant EGFR lung cancer cells, alters the post-translational processing of RTKs, and alters the endoplasmic reticulum (ER) stress response pathway. Lastly, we show that EMI66 treatment also alters the ER stress response pathway and inhibits the growth of mutant EGFR lung cancer cells and organoids. Our results demonstrate that targeting of COPB2 with EMI66 presents a viable approach to attenuate mutant EGFR signalling and growth in NSCLC."
2021 Jun,NAR cancer,NAR Cancer. 2021 May 25;3(2):zcab019. doi: 10.1093/narcan/zcab019. eCollection ,"['Sohail, Muhammad', 'Shkreta, Lulzim', 'Toutant, Johanne', 'Rabea, Safwat', 'Babeu, Jean-Philippe', 'Huard, Caroline', 'Coulombe-Huntington, Jasmin', 'Delannoy, Aurélie', 'Placet, Morgane', 'Geha, Sameh', 'Gendron, Fernand-Pierre', 'Boudreau, François', 'Tyers, Mike', 'Grierson, David S', 'Chabot, Benoit']",[],A novel class of inhibitors that target SRSF10 and promote p53-mediated cytotoxicity on human colorectal cancer cells.,"The elevated expression of the splicing regulator SRSF10 in metastatic colorectal cancer (CRC) stimulates the production of the pro-tumorigenic BCLAF1-L splice variant. We discovered a group of small molecules with an aminothiazole carboxamide core (GPS167, GPS192 and others) that decrease production of BCLAF1-L. While additional alternative splicing events regulated by SRSF10 are affected by GPS167/192 in HCT116 cells (e.g. in MDM4, WTAP, SLK1 and CLK1), other events are shifted in a SRSF10-independent manner (e.g. in MDM2, NAB2 and TRA2A). GPS167/192 increased the interaction of SRSF10 with the CLK1 and CLK4 kinases, leading us to show that GPS167/192 can inhibit CLK kinases preferentially impacting the activity of SRSF10. Notably, GPS167 impairs the growth of CRC cell lines and organoids, inhibits anchorage-independent colony formation, cell migration, and promotes cytoxicity in a manner that requires SRSF10 and p53. In contrast, GPS167 only minimally affects normal colonocytes and normal colorectal organoids. Thus, GPS167 reprograms the tumorigenic activity of SRSF10 in CRC cells to elicit p53-dependent apoptosis."
2021 Apr,Aging cell,Aging Cell. 2021 Apr;20(4):e13331. doi: 10.1111/acel.13331. Epub 2021 Mar 4.,"['Benslimane, Yahya', 'Sánchez-Osuna, María', 'Coulombe-Huntington, Jasmin', 'Bertomeu, Thierry', 'Henry, Danielle', 'Huard, Caroline', 'Bonneil, Éric', 'Thibault, Pierre', 'Tyers, Mike', 'Harrington, Lea']","['humans', ' aminobenzoates pharmacology', 'cell line, tumor', 'dna damage drug effects', 'gene knockout techniques', 'imidazoles pharmacology', ' intercellular signaling peptides and proteins genetics metabolism', ' naphthalenes pharmacology', 'piperazines pharmacology', ' precursor cell lymphoblastic leukemia-lymphoma metabolism pathology', 'proto-oncogene proteins c-mdm2 antagonists & inhibitors', ' signal transduction drug effects genetics', ' telomerase antagonists & inhibitors genetics metabolism', 'telomere metabolism', 'transduction, genetic', ' tumor suppressor protein p53 metabolism', 'up-regulation genetics', 'c16orf72', 'crispr-cas9', 'telomere attrition and p53 response 1', 'genome-wide screen', 'p53', 'synthetic-sick-lethal', 'telomerase inhibitor (bibr1532)', 'telomere erosion']","A novel p53 regulator, C16ORF72/TAPR1, buffers against telomerase inhibition.","Telomere erosion in cells with insufficient levels of the telomerase reverse transcriptase (TERT), contributes to age-associated tissue dysfunction and senescence, and p53 plays a crucial role in this response. We undertook a genome-wide CRISPR screen to identify gene deletions that sensitized p53-positive human cells to telomerase inhibition. We uncovered a previously unannotated gene, C16ORF72, which we term Telomere Attrition and p53 Response 1 (TAPR1), that exhibited a synthetic-sick relationship with TERT loss. A subsequent genome-wide CRISPR screen in TAPR1-disrupted cells reciprocally identified TERT as a sensitizing gene deletion. Cells lacking TAPR1 or TERT possessed elevated p53 levels and transcriptional signatures consistent with p53 upregulation. The elevated p53 response in TERT- or TAPR1-deficient cells was exacerbated by treatment with the MDM2 inhibitor and p53 stabilizer nutlin-3a and coincided with a further reduction in cell fitness. Importantly, the sensitivity to treatment with nutlin-3a in TERT- or TAPR1-deficient cells was rescued by loss of p53. These data suggest that TAPR1 buffers against the deleterious consequences of telomere erosion or DNA damage by constraining p53. These findings identify C16ORF72/TAPR1 as new regulator at the nexus of telomere integrity and p53 regulation."
2021 Feb 12,Nature communications,Nat Commun. 2021 Feb 12;12(1):979. doi: 10.1038/s41467-021-21204-5.,"['Sachamitr, Patty', 'Ho, Jolene C', 'Ciamponi, Felipe E', 'Ba-Alawi, Wail', 'Coutinho, Fiona J', 'Guilhamon, Paul', 'Kushida, Michelle M', 'Cavalli, Florence M G', 'Lee, Lilian', 'Rastegar, Naghmeh', 'Vu, Victoria', 'Sánchez-Osuna, María', 'Coulombe-Huntington, Jasmin', 'Kanshin, Evgeny', 'Whetstone, Heather', 'Durand, Mathieu', 'Thibault, Philippe', 'Hart, Kirsten', 'Mangos, Maria', 'Veyhl, Joseph', 'Chen, Wenjun', 'Tran, Nhat', 'Duong, Bang-Chi', 'Aman, Ahmed M', 'Che, Xinghui', 'Lan, Xiaoyang', 'Whitley, Owen', 'Zaslaver, Olga', 'Barsyte-Lovejoy, Dalia', 'Richards, Laura M', 'Restall, Ian', 'Caudy, Amy', 'Röst, Hannes L', 'Bonday, Zahid Quyoom', 'Bernstein, Mark', 'Das, Sunit', 'Cusimano, Michael D', 'Spears, Julian', 'Bader, Gary D', 'Pugh, Trevor J', 'Tyers, Mike', 'Lupien, Mathieu', 'Haibe-Kains, Benjamin', 'Artee Luchman, H', 'Weiss, Samuel', 'Massirer, Katlin B', 'Prinos, Panagiotis', 'Arrowsmith, Cheryl H', 'Dirks, Peter B']","['animals', 'antineoplastic agents  pharmacology', 'apoptosis', 'brain neoplasms drug therapy genetics  metabolism pathology', 'cell cycle', 'cell line, tumor', 'cell proliferation drug effects', 'drug discovery', 'epigenomics', 'female', 'gene expression regulation, neoplastic', 'glioblastoma drug therapy genetics  metabolism pathology', 'humans', 'mice', 'neoplastic stem cells metabolism', 'protein-arginine n-methyltransferases drug effects genetics  metabolism', 'rna splicing', 'xenograft model antitumor assays']",PRMT5 inhibition disrupts splicing and stemness in glioblastoma.,"Glioblastoma (GBM) is a deadly cancer in which cancer stem cells (CSCs) sustain tumor growth and contribute to therapeutic resistance. Protein arginine methyltransferase 5 (PRMT5) has recently emerged as a promising target in GBM. Using two orthogonal-acting inhibitors of PRMT5 (GSK591 or LLY-283), we show that pharmacological inhibition of PRMT5 suppresses the growth of a cohort of 46 patient-derived GBM stem cell cultures, with the proneural subtype showing greater sensitivity. We show that PRMT5 inhibition causes widespread disruption of splicing across the transcriptome, particularly affecting cell cycle gene products. We identify a GBM splicing signature that correlates with the degree of response to PRMT5 inhibition. Importantly, we demonstrate that LLY-283 is brain-penetrant and significantly prolongs the survival of mice with orthotopic patient-derived xenografts. Collectively, our findings provide a rationale for the clinical development of brain penetrant PRMT5 inhibitors as treatment for GBM."
2021 Jan 7,Cell stem cell,Cell Stem Cell. 2021 Jan 7;28(1):48-62.e6. doi: 10.1016/j.stem.2020.12.002.,"['Chagraoui, Jalila', 'Girard, Simon', 'Spinella, Jean-Francois', 'Simon, Laura', 'Bonneil, Eric', 'Mayotte, Nadine', 'MacRae, Tara', 'Coulombe-Huntington, Jasmin', 'Bertomeu, Thierry', 'Moison, Celine', 'Tomellini, Elisa', 'Thibault, Pierre', 'Tyers, Mike', 'Marinier, Anne', 'Sauvageau, Guy']","[' co-repressor proteins genetics metabolism', ' epigenesis, genetic', ' hematopoietic stem cells metabolism', 'histone deacetylases metabolism', 'humans', 'cullin3 e3 ligase-mediated proteasomal degradation', 'hsc self-renewal', 'kelch-btb domain proteinum171 small molecule', 'lsd1 rcor1 corest complex', 'epigenetic modulation']",UM171 Preserves Epigenetic Marks that Are Reduced in Ex Vivo Culture of Human HSCs via Potentiation of the CLR3-KBTBD4 Complex.,"Human hematopoietic stem cells (HSCs) exhibit attrition of their self-renewal capacity when cultured ex vivo, a process that is partially reversed upon treatment with epigenetic modifiers, most notably inhibitors of histone deacetylases (HDACs) or lysine-specific demethylase LSD1. A recent study showed that the human HSC self-renewal agonist UM171 modulates the CoREST complex, leading to LSD1 degradation, whose inhibition mimics the activity of UM171. The mechanism underlying the UM171-mediated loss of CoREST function remains undetermined. We now report that UM171 potentiates the activity of a CULLIN3-E3 ubiquitin ligase (CRL3) complex whose target specificity is dictated by the poorly characterized Kelch/BTB domain protein KBTBD4. CRL3(KBTBD4) targets components of the LSD1/RCOR1 corepressor complex for proteasomal degradation, hence re-establishing H3K4me2 and H3K27ac epigenetic marks, which are rapidly decreased upon ex vivo culture of human HSCs."
2020 Nov 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2020 Nov 6;221(11):2020.10.12.336487. doi: ,"['Navare, Arti T', 'Mast, Fred D', 'Olivier, Jean Paul', 'Bertomeu, Thierry', 'Neal, Maxwell', 'Carpp, Lindsay N', 'Kaushansky, Alexis', 'Coulombe-Huntington, Jasmin', 'Tyers, Mike', 'Aitchison, John D']",[],Viral protein engagement of GBF1 induces host cell vulnerability through synthetic lethality.,"Viruses co-opt host proteins to carry out their lifecycle. Repurposed host proteins may thus become functionally compromised; a situation analogous to a loss-of-function mutation. We term such host proteins viral-induced hypomorphs. Cells bearing cancer driver loss-of-function mutations have successfully been targeted with drugs perturbing proteins encoded by the synthetic lethal partners of cancer-specific mutations. Synthetic lethal interactions of viral-induced hypomorphs have the potential to be similarly targeted for the development of host-based antiviral therapeutics. Here, we use GBF1, which supports the infection of many RNA viruses, as a proof-of-concept. GBF1 becomes a hypomorph upon interaction with the poliovirus protein 3A. Screening for synthetic lethal partners of GBF1 revealed ARF1 as the top hit, disruption of which, selectively killed cells that synthesize poliovirus 3A. Thus, viral protein interactions can induce hypomorphs that render host cells vulnerable to perturbations that leave uninfected cells intact. Exploiting viral-induced vulnerabilities could lead to broad-spectrum antivirals for many viruses, including SARS-CoV-2. SUMMARY: Using a viral-induced hypomorph of GBF1, Navare et al., demonstrate that the principle of synthetic lethality is a mechanism to selectively kill virus-infected cells."
