time,journal,doi_info,authors,key words,title,abstract
2024 Jun 26,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2024 Jun 26:e2402116. doi: 10.1002/smll.202402116.,"['Liu, Jiarong', 'Huang, Ziyang', 'Xu, Youan', 'Liu, Peng', 'Wu, Keyou', 'Hao, Yugan', 'Zhang, Yunhao', 'Zhang, Zhiyuan', 'Zhang, Zehao', 'Ding, Baofu', 'Li, Bing', 'Liu, Bilu']","['2d materials', 'cotton–mouton coefficient', 'magnetic‐assisted printing', 'magneto‐optics', 'transmissive interference color']",Tunable and Non-Invasive Printing of Transmissive Interference Colors with 2D Material Inks.,"Interference colors hold significant importance in optics and arts. Current methods for printing interference colors entail complex procedures and large-scale printing systems for the scarcity of inks that exhibit both sensitivity and tunability to external fields. The production of highly transparent inks capable of rendering transmissive colors has presented ongoing challenges. Here, a type of paramagnetic ink based on 2D materials that exhibit polychrome in one magnetic field is invented. By precisely manipulating the doping ratio of magnetic elements within titanate nanosheets, the magneto-optical sensitivity named Cotton-Mouton coefficient is engineerable from 728 to a record high value of 3272 m(-1) T(-2), with negligible influence on its intrinsic wide optical bandgap. Combined with the sensitive and controllable magneto-responsiveness of the ink, modulate and non-invasively print transmissive interference colors using small permanent magnets are precised. This work paves the way for preparing transmissive interference colors in an energy-saving and damage-free manner, which can expand its use in widespread areas."
2024 Jun 19,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2024 Jun 19:e2400185. doi: 10.1002/advs.202400185.,"['Liu, Chang', 'Li, Kaiyi', 'Sui, Xizhao', 'Zhao, Tian', 'Zhang, Ting', 'Chen, Zhongyao', 'Wu, Hainan', 'Li, Chao', 'Li, Hao', 'Yang, Fan', 'Liu, Zhidong', 'Lu, You-Yong', 'Wang, Jun', 'Chen, Xiaofang', 'Liu, Peng']","['function‐associated single‐cell rna sequencing', 'immune checkpoint blockade', 'local tumor immune microenvironment', 'primary lung cancer organoid', 'tumor micro‐niche']",Patient-Derived Tumor Organoids Combined with Function-Associated ScRNA-Seq for Dissecting the Local Immune Response of Lung Cancer.,"In vitro models coupled with multimodal approaches are needed to dissect the dynamic response of local tumor immune microenvironment (TIME) to immunotherapy. Here the patient-derived primary lung cancer organoids (pLCOs) are generated by isolating tumor cell clusters, including the infiltrated immune cells. A function-associated single-cell RNA sequencing (FascRNA-seq) platform allowing both phenotypic evaluation and scRNA-seq at single-organoid level is developed to dissect the TIME of individual pLCOs. The analysis of 171 individual pLCOs derived from seven patients reveals that pLCOs retain the TIME heterogeneity in the parenchyma of parental tumor tissues, providing models with identical genetic background but various TIME. Linking the scRNA-seq data of individual pLCOs with their responses to anti-PD-1 (αPD-1) immune checkpoint blockade (ICB) allows to confirm the central role of CD8(+) T cells in anti-tumor immunity, to identify potential tumor-reactive T cells with a set of 10 genes, and to unravel the factors regulating T cell activity, including CD99 gene. In summary, the study constructs a joint phenotypic and transcriptomic FascRNA-seq platform to dissect the dynamic response of local TIME under ICB treatment, providing a promising approach to evaluate novel immunotherapies and to understand the underlying molecular mechanisms."
2024 May 15,Heliyon,Heliyon. 2024 Apr 23;10(9):e30006. doi: 10.1016/j.heliyon.2024.e30006. ,"['Tang, Yudi', 'Wei, Haining', 'Zhang, Zihao', 'Fu, Mingzhu', 'Feng, Junqiang', 'Li, Zhixin', 'Liu, Xinke', 'Wu, Yue', 'Zhang, Jinyuan', 'You, Wei', 'Xue, Rong', 'Zhuo, Yan', 'Jiang, Yuhua', 'Li, Youxiang', 'Li, Rui', 'Liu, Peng']","['4d flow mri', '7t mri', 'aneurysm', 'aneurysmal wall enhancement', 'hemodynamics']",Transition of intracranial aneurysmal wall enhancement from high to low wall shear stress mediation with size increase: A hemodynamic study based on 7T magnetic resonance imaging.,"BACKGROUND: Wall shear stress (WSS) has been proved to be related to the formation, development and rupture of intracranial aneurysms. Aneurysm wall enhancement (AWE) on magnetic resonance imaging (MRI) can be caused by inflammation and have confirmed its relationship with low WSS. High WSS can also result in inflammation but the research of its correlation with AWE is lack because of the focus on large aneurysms limited by 3T MRI in most previous studies.This study aimed to assess the potential association between high or low WSS and AWE in different aneuryms. Especially the relationship between high WSS and AWE in small aneurysm. METHODS: Forty-three unruptured intracranial aneurysms in 42 patients were prospectively included for analysis. 7.0 T MRI was used for imaging. Aneurysm size was measured on three-dimensional time-of-flight (TOF) images. Aneurysm-to-pituitary stalk contrast ratio (CRstalk) was calculated on post-contrast black-blood T1-weighted fast spin echo sequence images. Hemodynamics were assessed by four-dimensional flow MRI. RESULTS: The small aneurysms group had more positive WSS-CRstalk correlation coefficient distribution (dome: 78.6 %, p = 0.009; body: 50.0 %, p = 0.025), and large group had more negative coefficient distribution (dome: 44.8 %, p = 0.001; body: 69.0 %, p = 0.002). Aneurysm size was positively correlated with the significant OSI-CRstalk correlation coefficient at the dome (p = 0.012) and body (p = 0.010) but negatively correlated with the significant WSS-CRstalk correlation coefficient at the dome (p < 0.001) and body (p = 0.017). CONCLUSION: AWE can be mediated by both high and low WSS, and translate from high WSS- to low WSS-mediated pathways as size increase. Additionally, AWE may serve as an indicator of the stage of aneurysm development via different correlations with hemodynamic factors."
2024 Jan 2,Scientific reports,Sci Rep. 2024 Jan 2;14(1):21. doi: 10.1038/s41598-023-50745-6.,"['Lyu, Wenjing', 'Hu, Ying', 'Liu, Jin', 'Chen, Kaizhe', 'Liu, Peng', 'Deng, Junjun', 'Zhang, Shaojun']",[],Impact of battery electric vehicle usage on air quality in three Chinese first-tier cities.,"China, the world leader in automobile production and sales, confronts the challenge of transportation emissions, which account for roughly 10% of its total carbon emissions. This study, utilizing real-world vehicle data from three major Chinese cities, assesses the impact of Battery Electric Vehicles (BEVs) on air quality. Our analysis reveals that BEVs, when replacing gasoline vehicles in their operational phase, significantly reduce emissions, with reductions ranging from 8.72 to 85.71 kg of CO(2) per vehicle monthly. The average monthly reduction rate is 9.47%, though this effect is less pronounced during winter. Advanced BEVs, characterized by higher efficiency and newer technology, exhibit greater emission reduction benefits. While private BEVs generally contribute positively to environmental outcomes, taxi BEVs, due to their intensive usage patterns, show less environmental advantage and may sometimes worsen air quality. Looking ahead, we project substantial emission reductions from the replacement of gasoline vehicles with electric alternatives over the next decade. Policymakers are urged to adopt proactive measures, focusing on promoting medium to large electric vehicles and fostering the use of private and ride-hailing electric vehicles."
2024 Jan 4,"Chemical communications (Cambridge, England)",Chem Commun (Camb). 2024 Jan 4;60(4):392-395. doi: 10.1039/d3cc05011d.,"['Pan, Siyuan', 'Liu, Changyi', 'Yao, Huan', 'Pan, Xingyu', 'Li, Jinhang', 'Yang, Jinlei', 'Du, Murong', 'Liu, Peng', 'Zhang, Sichun', 'Zhang, Xinrong']","['humans', ' lymphocytes', ' cd8-positive t-lymphocytes metabolism', 'cd4-positive t-lymphocytes metabolism']",Single-cell metabolite profiling enables information-rich classification of lymphocyte types and subtypes.,"Lymphocytes play crucial roles in the human immune system; however, detailed metabolite characteristics need to be further investigated. Herein, we propose a lymphocyte classification method based on metabolite profiling at the single-cell level. The percentages of different lymphocyte types were calculated with a low margin of error, confirming that the metabolites could serve as a basis for lymphocyte classification. Furthermore, we analyzed the CD4/CD8 ratio in human peripheral blood to verify the feasibility of this method for the classification of lymphocyte subtypes. The proposed method is expected to be a potential tool for the clinical diagnosis of lymphocyte-related diseases."
2023 Dec 5,Analytical chemistry,Anal Chem. 2023 Dec 5;95(48):17679-17690. doi: 10.1021/acs.analchem.3c03467. Epub ,"['Li, Shanglin', 'Gu, Yin', 'Geng, Zhi', 'Li, Kaiyi', 'Hu, Yawei', 'Liu, Qiang', 'Fu, Rongxin', 'Liu, Peng']","['humans', 'mutation', ' carcinoma, non-small-cell lung diagnosis genetics pathology', 'polymerase chain reaction methods', 'dna', ' lung neoplasms diagnosis genetics pathology']",Tweezer PCR: A Highly Specific Method for Accurate Identification of Low-Abundance Mutations.,"Somatic mutation is a valuable biomarker for tracking tumor progression and migration due to its distinctive feature in various tumors and its wide distribution throughout body fluids. However, accurately detecting somatic mutations from the abundant DNA of noncancerous origins remains a practical challenge in the clinic. Herein, we developed an ultraspecific method, called tweezer PCR, for detecting low-abundance mutations inspired by the design of DNA origami. The high specificity of tweezer PCR relies on a tweezer-shaped primer containing six basic functional units: a primer, a hairpin, a linker, a blocker, a spacer, and a toehold. After optimizing the structure of the tweezer-shaped primer and enhancing its specificity by adding additional Mg(2+) and Na(+), tweezer PCR distinguished as low as 20 copies of mutations from 2 million copies of wild-type templates per test. By testing synthesized plasmids and plasma samples gathered from nonsmall-cell lung cancer patients, tweezer PCR showed higher specificity and robustness for detecting low-copy-number mutations in contrast with digital droplet PCR. Additionally, the need for conventional instruments makes tweezer PCR a practically accessible method for testing low-abundance mutations. Because of its numerous advantages, we believe that tweezer PCR offers a precise, robust, and pragmatic tool for cancer screening, prognosis, and genotyping in the clinic."
2023 Dec 12,Microbiology spectrum,Microbiol Spectr. 2023 Dec 12;11(6):e0109923. doi: 10.1128/spectrum.01099-23. ,"['Li, Shanglin', 'Guo, Jiazhen', 'Gu, Yin', 'Meng, Yan', 'He, Ming', 'Yang, Shangzhi', 'Ge, Ziruo', 'Wang, Guanjun', 'Yang, Yi', 'Jin, Ronghua', 'Lu, Lianhe', 'Liu, Peng']","['humans', ' covid-19', 'sars-cov-2', 'respiratory aerosols and droplets', 'infection control methods', 'hospitals', 'sars-cov-2', 'aerosol', 'airborne transmission', 'designated covid-19 hospital', 'nosocomial transmission']",Assessing airborne transmission risks in COVID-19 hospitals by systematically monitoring SARS-CoV-2 in the air.,"Risk management and control of airborne transmission in hospitals is crucial in response to a respiratory virus pandemic. However, the formulation of these infection control measures is often based on epidemiological investigations, which are an indirect way of analyzing the transmission route of viruses. This can lead to careless omissions in infection prevention and control or excessively restrictive measures that increase the burden on healthcare workers. The study provides a starting point for standardizing transmission risk management in designated hospitals by systemically monitoring viruses in the air of typical spaces in COVID-19 hospitals. The negative results of 359 air samples in the clean and emergency zones demonstrated the existing measures to interrupt airborne transmission in a designated COVID-19 hospital. Some positive cases in the corridor of the contaminant zone during rounds and meal delivery highlighted the importance of monitoring airborne viruses for interrupting nosocomial infection."
2024 Jan,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Jan;36(1):e2307925. doi: 10.1002/adma.202307925. Epub 2023 Oct ,"['Wang, Juan', 'Liang, Caiwu', 'Ma, Xuyang', 'Liu, Peng', 'Pan, Weisheng', 'Zhu, Haojie', 'Guo, Zhenbin', 'Sui, Yiming', 'Liu, Hongjie', 'Liu, Le', 'Yang, Cheng']","['anion-exchange-membrane water electrolyzers', 'bubble transportation', 'electrocatalysis', 'high current density', 'metallic aerogels', 'oxygen evolution reaction']",Dynamically Adaptive Bubbling for Upgrading Oxygen Evolution Reaction Using Lamellar Fern-Like Alloy Aerogel Self-Standing Electrodes.,"Adopting renewable electricity to produce ""green"" hydrogen has been a critical challenge because at a high current density the mass transfer capability of most catalytic electrodes deteriorates significantly. Herein, a unique lamellar fern-like alloy aerogel (LFA) electrode, showing a unique dynamically adaptive bubbling capability and can effectively avoid stress concentration caused by bubble aggregation is reported. The LFA electrode is intrinsically highly catalytic-active and shows a highly porous, resilient, hierarchically ordered, and well-percolated conductive network. It not only shows superior gas evacuation capability but also exhibits significantly improved stability at high current densities, showing the record lowest oxygen evolution reaction (OER) overpotential of 244 mV at 1000 mA cm(-2) and stably over 6000 h. With the merits of mechanical robustness, excellent electron transport, and efficient bubble evacuation, LFA can be self-standing catalytic electrode and gas diffusion layers in anion-exchange-membrane water electrolysis (AEMWE), which can achieve 3000 mA cm(-2) at a low voltage of 1.88 V and can sustain stable electrolysis at 2000 mA cm(-2) for over 1300 h. This strategy can be extended to various gas evolution reactions as a general design rule for multiphase catalysis applications."
2023,"Open medicine (Warsaw, Poland)",Open Med (Wars). 2023 Aug 26;18(1):20230760. doi: 10.1515/med-2023-0760. ,"['Wei, Qingqing', 'Sun, Jing', 'Bai, Yusuo', 'Meng, Chang', 'Miao, Guobin', 'Liu, Peng', 'Wang, Haijun']","['aspirin', 'joint surgery', 'low-molecular-weight heparin', 'venous thromboembolism']",Aspirin versus LMWH for VTE prophylaxis after orthopedic surgery.,"Low molecular weight heparin (LMWH) is often used to prevent perioperative venous thrombosis after surgery, but aspirin is also recommended by academics. Studies were searched in electronic databases until February 24, 2023. We performed a meta-analysis to evaluate the safety and efficacy of aspirin and LMWH for venous thromboembolism (VTE) prophylaxis in patients after orthopedic surgery. The outcomes were death from any causes, deep vein thrombosis (DVT), pulmonary embolism (PE), etc. This study was registered with INPLASY, number 202320117. Six randomized controlled trials enrolled 13,851 patients with postoperative joint surgery. The risk of DVT was comparable between the two groups when aspirin was combined with mechanical devices (RR 0.61 [95%"
2023 Aug 10,Orphanet journal of rare diseases,Orphanet J Rare Dis. 2023 Aug 10;18(1):240. doi: 10.1186/s13023-023-02847-7.,"['Liu, Weida', 'Liu, Peng', 'Guo, Dan', 'Jin, Ye', 'Zhao, Kun', 'Zheng, Jiayin', 'Li, Kexin', 'Li, Linkang', 'Zhang, Shuyang']","['humans', 'cross-sectional studies', ' rare diseases diagnosis genetics', ' physicians', 'genetic testing', 'surveys and questionnaires', 'china', 'accessibility', 'genetic testing', 'rare diseases', 'utilization']",Physicians' use and perceptions of genetic testing for rare diseases in China: a nationwide cross-sectional study.,"BACKGROUND: Genetic testing can facilitate the diagnosis and subsequent therapeutic management of rare diseases. However, there is a lack of data on the use of genetic testing for rare diseases. This study aims to describe the utilization rate and troubles encountered by clinicians in treating rare diseases with genetic testing. METHODS: A cross-sectional electronic questionnaire survey was conducted between June and October 2022 among the medical staff from the hospitals covering all provinces, municipalities, and autonomous regions of China. The survey on genetic testing focused on whether genetic testing was used in the diagnosis and treatment of rare diseases, the specific methods of genetic testing, and the problems encountered when using genetic testing. RESULTS: A total of 20,132 physicians who had treated rare diseases were included, of whom 35.5% were from the central region, 36.7% were from the eastern region, and 27.8% were from the western region. The total utilization rate of genetic testing for rare diseases was 76.0% (95%"
2023 Oct,Biomaterials,Biomaterials. 2023 Oct;301:122215. doi: 10.1016/j.biomaterials.2023.122215. Epub ,"['Qu, Jianan', 'Wang, Xiaoqing', 'Zhang, Yang', 'Hu, Ruowen', 'Hao, Yunqi', 'Zhao, Xuechen', 'Dong, Chunhui', 'Yang, Chengxi', 'Zhang, Weirong', 'Sui, Jingchao', 'Huang, Yan', 'Liu, Peng', 'Yu, Jian', 'Chen, Xiaofang', 'Fan, Yubo']","['humans', ' cellular reprogramming', 'cell differentiation', ' induced pluripotent stem cells', 'hydrophobic and hydrophilic interactions', 'cell aggregation', 'cell reprogramming', 'induced pluripotent stem cells', 'insoluble microenvironmental cues', 'superhydrophobic microwell array chip']",Cell reprogramming in a predictable manner on the superhydrophobic microwell array chip.,"Reprogramming of somatic cells into the pluripotent state is stochastic and inefficient using the conventional culture plates. Novel micro-culture systems employing precisely controlled biophysical cues can improve the reprogramming efficiencies dramatically. Here we perform iPSC induction on our previously developed superhydrophobic microwell array chip (SMAR-chip) where cells undergo distinctive morphology change, switching from 2D monolayers to 3D clumps, and develop into bona fide colonies in more than 90% of the microwells. The PDMS substrate, together with the microwell structure and the superhydrophobic layer constitute a well-controlled microenvironment favorable for the morphogenesis and pluripotency induction. Investigation of the molecular roadmap demonstrates that the SMAR-chip promotes the transition from the initiation phase to the maturation phase and overcomes the roadblocks for reprogramming. In addition, the SMAR-chip also promotes the reprogramming of human cells, opening our method for translational applications. In summary, our study provides a novel platform for efficient cell reprogramming and emphasizes the advantages of employing the insoluble microenvironmental cues for the precise control of cell fate conversion."
2023 Jun 14,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Jun 14;15(23):28349-28357. doi: ,"['Shu, Zhiwen', 'Ye, Fuhua', 'Liu, Peng', 'Zeng, Pei', 'Liang, Huikang', 'Chen, Lei', 'Zhang, Xiaoqing', 'Chen, Yiqin', 'Fan, Zhichao', 'Yu, Jianwu', 'Duan, Huigao']","['crack lithography', 'electron beam lithography', 'nanoscale', 'physical unclonable function', 'second-order cracks']",Programmable Nanoscale Crack Lithography for Multiscale PMMA Patterns.,"Crack lithography is important for preparing microstructured materials. This strategic use of cracking breaks with the traditional idea that cracks are unwanted and has great potential for high-resolution and high-throughput production. However, the ability to control nanoscale crack patterning is still insufficient. Here, we present a nanoscale, programmable angle-dependent technique to control crack generation that relies on standard electron-beam lithography. Multiscale patterns of poly(methyl methacrylate) of arbitrary shape, geometric size, and large area were obtained, greatly expanding the processing capacity of electron-beam lithography. In addition, we observed the interaction between adjacent structures and cracks, which resulted in crack suppression or second-order cracks. We also demonstrated that angle-dependent nanoscale cracks can be used in physical unclonable functions and have great application prospects in the field of information security. We believe that our strategy for programmable nanoscale crack patterning provides new opportunities and perspectives for nanofabrication."
2023 May 26,ACS sensors,ACS Sens. 2023 May 26;8(5):1960-1970. doi: 10.1021/acssensors.3c00031. Epub 2023 ,"['Zhu, Yuanshou', 'Odiwuor, Nelson', 'Sha, Zigan', 'Chen, Yanjing', 'Shao, Ning', 'Wu, Xudong', 'Chen, Jianwei', 'Li, Yang', 'Guo, Shujuan', 'Shi, Dawei', 'Liu, Peng', 'Zhang, Yan', 'Wei, Hongping', 'Tao, Sheng-Ce']","['humans', ' sars-cov-2 genetics', ' covid-19 diagnosis', 'covid-19 testing', 'limit of detection', 'rna, viral genetics analysis', 'hive-chip platform', 'rt-lamp', 'sars-cov-2', 'high-throughput and multiplex detection']","Rapid and Accurate Detection of SARS-CoV-2 Using an iPad-Controlled, High-Throughput, Portable, and Multiplex Hive-Chip Platform (HiCube).","Rapid and accurate detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is one of the most effective measures to control the coronavirus disease 2019 (COVID-19) pandemic. However, there is still lack of an ideal detection platform capable of high sample throughput, portability, and multiplicity. Herein, by combining Hive-Chip (capillary microarray) and reverse transcriptional loop-mediated isothermal amplification (RT-LAMP), we developed an iPad-controlled, high-throughput (48 samples at one run), portable (smaller than a backpack), multiplex (monitoring 8 gene fragments in one reaction), and real-time detection platform for SARS-CoV-2 detection. This platform is composed of a portable Hive-Chip device (HiCube; 32.7 × 29.7 × 20 cm, 5 kg), custom-designed software, and optimized Hive-Chips. RT-LAMP primers targeting seven SARS-CoV-2 genes (S, E, M, N, ORF1ab, ORF3a, and ORF7a) and one positive control (human RNase P) were designed and prefixed in the Hive-Chip. On-chip RT-LAMP showed that the limit of detection (LOD) of SARS-CoV-2 synthetic RNAs is 1 copy/μL, and there is no cross-reaction among different target genes. The platform was validated by 100 clinical samples of SARS-CoV-2, and the results were highly consistent with those of the traditional real-time PCR assay. In addition, on-chip detection of 6 other respiratory pathogens showed no cross-reactivity. Overall, our platform has great potential for fast, accurate, and on-site detection of SARS-CoV-2."
